,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,17463304244.69,12776904591.47,6661348150.28,18184223754.87,8319806965.83,6561542696.97,4027193547.78,17264304991.07,11157719260.61,9664468824.90,6121773640.17,19597046175.90,14234686534.25,10428836854.68,5579870358.59,15386094716.52,11172898281.93,8044007840.10,3804679394.43,11390908365.34,8294183862.15,5195404220.43,2620713898.12,7576260479.98,5377236966.97,2736858154.24,1382653870.47,3554251620.07,2109810370.22,1391199499.20,729185392.46,3330444457.55,2004355082.02,1016844526.94,680407055.77,3327833798.84,1404142856.00,943784541.31,588974307.26,1635363945.07,1036093819.66,728694925.55,329486773.55,910593169.38,449127930.22,354935317.30,153526126.79,619499524.99,476133168.54,219703205.48,50049928.38,292331615.77,194654626.24,126142313.79,48883204.51,300003673.95,191849966.41,122282500.31,56179144.51,315768139.22,157671464.04,101559767.80,36536806.46,212799937.31,127618412.87,69491480.39,24344388.20,178015417.84,152501401.89,120077677.31,46682332.69,205581497.20,102774096.51,223103833.61,146286168.95,151380980.33,53360565.93,108130546.86,29363889.31,85608245.15,51174645.00,62095765.65,27305405.00,99935083.00,51794378.00,80821367.00,33253502.24,45548576.94,11086514.03,34319906.51,0.0
2,营业收入,10069504301.90,7304977525.89,3451313606.29,14132694359.30,7191756313.48,4213871259.00,3871497490.46,15793360160.15,11006109757.66,9602243012.68,6097697304.23,19460541180.18,14234686534.25,10428836854.68,5579870358.59,15386094716.52,11172898281.93,8044007840.10,3804679394.43,11390908365.34,8294183862.15,5195404220.43,2620713898.12,7576260479.98,5377236966.97,2736858154.24,1382653870.47,3554251620.07,2109810370.22,1391199499.20,729185392.46,3330444457.55,2004355082.02,1016844526.94,680407055.77,3327833798.84,1404142856.00,943784541.31,588974307.26,1635363945.07,1036093819.66,728694925.55,329486773.55,910593169.38,449127930.22,354935317.30,153526126.79,619499524.99,476133168.54,219703205.48,50049928.38,284713050.71,189201959.06,122927102.31,47775780.54,299589975.10,192817892.94,122569365.02,56626845.30,311184388.29,153493106.09,98515078.75,32583603.41,207149167.81,123353371.63,66448681.94,23328872.19,175432218.85,151927153.80,118975645.97,46082056.04,204012762.95,101358956.44,214168300.76,144813982.58,147670723.34,51355199.00,103088074.13,28253616.26,82135390.08,50285327.00,57409476.45,26135717.00,97895334.00,51068734.00,80487457.00,33193708.57,45444597.64,11086514.03,34192736.55,0.0
3,二、营业总成本,16062153280.07,11609688169.64,5539995109.63,18115037631.52,9226846161.58,7037100182.83,3883108225.69,14993936277.43,9989983197.23,8306362306.51,5103971448.81,16372878330.89,11860279171.79,8512516995.18,4405261012.27,12744236417.87,9061628062.07,6459561488.60,3198195938.31,9734546621.37,6991443236.12,4337326144.26,2241603919.87,6195467715.59,4452180316.95,2113766773.20,1013880444.66,3363590111.27,1906228749.39,1204965748.64,647302735.52,2862847523.58,1749636830.11,798065896.34,598368810.13,2641352742.47,1085822651.19,688122262.83,423013901.90,1249060950.51,824347330.06,560270741.49,248674759.81,719949925.68,337732245.42,255205301.53,120800266.16,455284141.40,365947302.81,169830261.78,42479712.24,270266170.20,176924915.29,113408809.46,46678329.53,372189399.97,193445673.91,124323914.80,58779098.07,425887683.64,153583269.97,97784912.48,35124197.00,205138982.68,123084391.84,70270953.14,26682803.10,170826864.78,142417735.21,110298444.52,43391377.28,205509856.61,98425608.90,182156527.12,103787940.39,125398300.71,42917887.75,89687855.48,28432549.95,76565912.21,0,60572825.57,0,81317215.00,0,63266638.00,0,39363611.28,8188307.46,27533988.33,0.0
4,营业成本,6323055906.36,4727493873.91,2051901190.31,9947188602.87,5064231171.04,2701945191.79,2505182706.13,9596878731.08,6497455185.52,5844262598.22,3659140119.79,12889656745.98,9758103316.54,6892171195.35,3532382886.24,9933455294.09,7417893277.20,5318311493.28,2661733081.93,7826568792.39,5765236740.53,3555413876.28,1859686668.55,4399260738.54,3349603174.77,1581767507.61,758913592.86,2345106798.60,1380584811.45,951094445.77,504114234.34,2086353785.11,1394788382.98,617326447.85,490886824.88,2050799122.10,819854948.47,518545833.04,326340499.75,967937173.98,643813571.12,440444243.16,199090153.45,535985353.53,241350296.30,184957158.56,91564683.17,362909933.36,296188308.19,127349101.37,29797508.24,148569930.27,101691523.23,67701494.73,26873219.27,195671386.02,132033271.49,85421171.19,41692652.04,209059478.36,97015850.50,58154857.90,17455298.28,124656346.04,72582441.67,37462931.27,13290950.22,110392764.07,96052828.63,78552936.57,28950840.91,142356245.19,72523328.23,129621263.80,87505774.73,92999313.74,32256327.40,60815060.14,17056211.16,51490404.83,0,37375826.06,0,57550538.00,0,47694685.00,0,33674637.52,8188307.46,22437476.26,0.0
5,营业税金及附加,671401511.26,476609528.63,302553547.03,1086563101.16,341859067.83,272934025.89,240602034.88,1490594727.84,1049666686.61,840563864.88,606522839.15,1491165653.95,1086531856.54,931137593.05,575847467.86,1530913944.41,1052120904.85,759443593.52,319834360.56,1009459094.01,670644585.31,437562419.52,199410526.26,846341417.71,499143178.62,205414035.74,110877468.23,328409749.35,155020539.88,101681943.69,52416267.90,326439106.77,140233256.79,70947478.82,45139367.65,348213257.97,105267984.92,71878739.43,45222189.63,114516263.32,73664862.19,52363845.07,23864396.09,58522945.26,29706746.03,23458272.07,10240829.36,41134516.51,29176282.18,14286686.36,3263065.47,18796410.75,12600720.21,7943779.26,3082629.92,18694866.48,12766068.89,7335926.04,3292286.78,17306712.69,9254676.77,7036936.49,1824681.75,11417898.23,6969577.25,3470162.46,1025289.07,10407371.09,9569417.79,8587496.07,3122743.26,12191042.00,5786761.30,13513197.11,9181533.63,8328580.37,1398249.15,2200379.95,610969.37,3776372.26,0,2515738.07,0,5640341.00,0,3888114.00,0,2517460.13,0,2585322.92,0.0
6,销售费用,178997479.98,651608925.96,364638337.42,1540770352.20,786539392.39,488905676.28,246368824.70,888986273.58,267925484.26,282407434.63,66283930.61,482598880.59,281321561.04,184235266.75,69139672.70,521168619.45,261340748.32,157012963.14,114619630.01,462651514.09,270423836.00,151057046.92,96145982.53,391509589.95,214114109.73,117380185.57,45178069.23,318051568.56,145178468.29,62849692.44,46876689.65,214624444.87,103490485.06,48560992.22,23751018.34,116589952.64,74091727.27,40361779.66,29603433.86,95770230.15,60200546.25,37687178.95,10383526.06,71308846.98,51921447.82,39292518.01,6026867.06,22789956.87,15314057.43,9361266.05,4412041.82,26755550.69,20004309.61,10641345.99,4737030.95,20549286.47,12049809.81,7693759.79,3680937.21,19800739.78,14546519.30,10460204.86,4655412.00,18260067.97,12034526.77,6897881.61,2918454.25,15727460.27,10787918.80,6751862.83,3464163.54,10808924.23,3332714.72,11154289.67,4427631.96,6033642.73,2381113.93,4472403.64,1464889.13,2559443.74,0,2453115.96,0,1965665.00,0,1261125.00,0,315865.84,0,237658.96,0.0
7,管理费用,436809033.21,275981666.39,115652191.12,659929706.15,290649188.39,237433671.98,112116414.88,619226211.43,557999384.70,256369193.50,195175601.97,499352377.80,371490401.03,230322318.41,103565067.51,562838610.11,245025440.60,168680924.92,69973387.56,296028818.16,204933544.82,129473273.71,60170207.65,324653188.88,197560080.19,139429035.05,59869810.91,252854085.89,135432571.35,71300919.12,44125764.94,210210686.44,101227041.15,55571672.88,34501702.63,103151284.11,76515109.05,50152850.06,23492010.14,60504108.83,44901769.46,23718800.15,11369919.93,39049582.75,19939304.81,14080466.42,13419581.47,26439387.32,24843467.22,17990576.34,5063681.37,38856476.94,15932393.82,9452181.63,3484408.79,101800459.14,10894599.89,7496615.13,1995555.34,150332601.44,10158179.57,6987780.70,3358075.79,22421554.65,9936381.03,7629988.64,1996240.94,9850974.56,5491776.46,3268861.33,1944115.92,24033034.14,10083059.82,26610165.52,6324384.67,16459676.01,5793963.95,15928496.20,4555522.33,8737909.40,0,9423623.80,0,10001691.00,0,6319929.00,0,2509471.66,0,1492056.60,0.0
8,财务费用,1343949752.92,857497068.70,457890933.17,2704177664.71,1745174687.32,1132749099.05,568498887.25,2087521584.81,1488783632.42,993119246.08,477881572.32,883346337.73,355775619.45,226826420.15,106986474.70,163302543.06,91847204.72,57053676.23,32944126.85,108495699.36,74906199.27,54683672.00,23038054.02,184783635.29,180336836.54,59784451.67,26840091.76,107540642.88,81885847.42,5971259.36,-412805.52,9144405.22,6309880.22,5453253.59,3029091.79,11513477.63,8734053.03,6288962.38,-365729.93,3361412.66,2108818.47,787795.71,1166044.37,1134377.85,-722170.46,-628975.37,-451694.90,1426167.29,-206233.52,-135182.60,-56584.66,37287801.55,26695968.42,17670007.85,8501040.60,35473401.86,25701923.83,16376442.65,8117666.70,29388151.37,22608043.83,15145132.53,7830729.18,28383115.79,21561465.12,14809989.16,7451868.62,24448294.79,20515793.53,13137287.72,5909513.65,16120611.05,6699744.83,1002566.72,-4389972.72,1459192.15,1088233.32,6271515.55,4744957.96,10001781.98,0,8804521.68,0,6158980.00,0,4102785.00,0,346176.13,0,781473.59,0.0
