,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,452620664.95,304121900.13,173195020.47,1095458919.50,818799931.94,517508892.39,239575271.77,945074614.04,708312401.18,463822881.69,238734913.45,871137228.14,622793280.23,383335191.58,185416358.72,1081011526.11,997847047.90,603443542.23,271709181.15,2452595901.62,2115794732.65,1713369277.78,647637933.29,2873430701.12,2231105625.74,1408852778.56,644235738.89,2248490286.36,1843414483.77,1165726027.35,557224551.67,2323860786.64,1903174130.76,1290702006.23,568132468.57,1637374790.24,1177920014.26,703622349.67,327376671.54,1198918254.78,774130497.32,466247816.62,199569283.76,1045441930.70,788768927.29,500457830.17,248432155.86,916977483.71,693774806.10,450911637.42,209762541.48,730477179.95,538804413.98,340779797.59,145820303.25,598562300.02,426280515.81,284698448.54,148317665.88,582139987.41,468361568.03,289416851.90,144935805.48,445188477.24,312382760.19,224744447.40,103282161.52,419338142.95,334044840.79,239820736.25,114284903.87,1226292108.24,977393675.39,678230000.00,1052379946.38,455832730.22,544142002.63,265301596.55,360561300.06,258926634.55,132154905.44,0.0
2,营业收入,452620664.95,304121900.13,173195020.47,1095458919.50,818799931.94,517508892.39,239575271.77,945074614.04,708312401.18,463822881.69,238734913.45,871137228.14,622793280.23,383335191.58,185416358.72,1081011526.11,997847047.90,603443542.23,271709181.15,2452595901.62,2115794732.65,1713369277.78,647637933.29,2873430701.12,2231105625.74,1408852778.56,644235738.89,2248490286.36,1843414483.77,1165726027.35,557224551.67,2323860786.64,1903174130.76,1290702006.23,568132468.57,1637374790.24,1177920014.26,703622349.67,327376671.54,1198918254.78,774130497.32,466247816.62,199569283.76,1045441930.70,788768927.29,500457830.17,248432155.86,916977483.71,693774806.10,450911637.42,209762541.48,728652029.81,537638883.02,340058879.35,145342575.04,597030446.70,425166164.54,284251301.02,148466364.50,581735020.02,468095847.16,289310592.63,144908972.77,444813360.75,311635986.01,224786458.85,103241555.66,419003446.52,334063444.00,239842279.58,114301040.02,1225383888.31,977050555.23,678090000.00,1063744407.59,455920699.91,546107987.61,266851805.63,361280527.75,259107078.07,132154239.65,0.0
3,二、营业总成本,469754389.10,318258178.76,181801594.23,1076149675.76,820051208.76,539612026.54,269918402.99,1338187641.85,854971082.37,563981637.14,292407462.89,1122786261.67,822538445.08,519047999.20,256363734.89,1793641678.47,1347580513.62,773680369.03,341806485.47,2816744012.74,2271684519.89,1799803032.30,674821133.50,2909331600.91,2236928397.53,1388159986.44,637445916.88,2256449026.73,1784768113.04,1132683660.76,544960047.70,2188923570.57,1764446540.30,1207936919.03,541769357.93,1567536783.65,1134682309.08,683846081.89,317490682.03,1187539690.35,751998913.93,452268033.27,195638660.74,1000859483.27,743781563.85,466248345.85,229178127.47,853238895.80,647636520.86,425335924.14,199282225.72,676075346.30,502924380.97,319078899.81,136741493.63,547680577.46,391371021.77,260991579.29,137803510.68,522301600.20,416772860.45,263544424.10,136926070.41,423912324.89,301141809.77,215267613.34,99713247.63,404634002.49,325975859.35,232694012.20,110831463.47,1037526933.27,799085828.70,0,870253237.68,370370014.52,465924007.80,222977273.78,293577361.74,215133612.90,107699096.08,0.0
4,营业成本,386761125.27,260167373.42,152981820.50,929053032.91,708416849.54,462804613.42,223693888.86,932885374.81,709860772.02,468194419.48,240391607.31,946284240.76,685678073.35,428708240.91,209175342.95,1209899309.54,1064749938.18,644036735.66,288047834.23,2417326920.41,2065912091.94,1663494741.99,616048533.42,2645775188.22,2072312041.42,1279678176.02,593539996.72,1974162032.11,1616593989.43,1028414028.10,502215482.26,1816413425.38,1490114337.45,1020318484.19,456388544.16,1308879744.95,974515859.94,602406444.40,286445258.85,1064677215.78,689293855.57,419058267.81,184707553.53,874847045.12,663288845.64,410525539.11,200070924.41,717973344.61,543067091.04,355643486.92,168368647.29,573899458.89,416851394.66,258090638.83,109337696.30,460231191.20,330671798.65,221112119.90,117934359.71,435284231.93,341265074.83,220027252.58,115421826.07,351732112.03,253973481.32,184525490.61,84303975.69,340472365.72,280984580.98,203636948.37,97259081.67,930633073.84,731014128.87,0,774281487.03,318287893.61,400979205.85,192474939.95,247539626.37,169711231.64,79776823.86,0.0
5,营业税金及附加,7961178.48,5043968.52,3246733.79,14461789.78,10713236.08,7572676.05,3880578.27,17858696.45,14334266.28,9825483.55,5545744.32,15941973.07,6263041.46,3783715.22,875971.73,10911818.86,8060066.76,3652108.02,1365828.14,8164467.23,6250445.00,3523469.86,1326375.39,3052917.82,1401626.81,888434.69,386294.37,5076916.24,3851233.30,2895222.55,418669.21,3956141.89,3196852.65,2780784.31,1279195.87,10231288.03,6694563.51,4147315.32,1225190.03,13805814.49,6870105.59,3604417.32,1044452.82,2143463.23,980865.75,733741.63,531789.77,6775302.90,5074284.88,2225789.99,1058856.94,2354030.40,140490.84,-938946.30,1151399.10,2983701.05,455757.50,270574.65,6543.50,68671.75,51651.61,51651.61,29318.06,174728.69,153988.03,120174.76,93722.03,697929.56,267922.55,206422.16,2622.66,173943.30,3996551.06,0,3248273.58,2614705.14,1848708.62,927592.55,822539.77,653929.78,321261.35,0.0
6,销售费用,4437063.93,3333365.25,2505865.45,12164660.56,7095729.68,4699834.65,3280903.46,11967899.45,8771431.40,4897216.89,2170288.37,14682179.29,10954984.58,8386392.74,3269333.85,18500205.67,12955170.27,9327408.05,4118671.52,33694498.18,24896349.76,18893733.06,8178182.30,25428887.74,18169133.27,10454949.61,5338639.87,25993455.20,20278080.81,13107727.06,8835049.59,28926223.27,22987433.58,15290653.15,8641220.59,29571938.63,21159818.70,8016202.42,1042448.26,19668325.05,9625962.76,5588164.56,2584542.82,15698053.90,10349827.91,9234782.94,4059508.19,16528905.29,12529163.34,8634757.64,5179882.81,14854799.43,10285341.41,6551519.34,3547605.61,11273576.49,7267140.39,5294102.40,2239396.52,13551406.60,9810207.09,5996112.37,3085272.31,10237866.46,8210657.83,5574014.44,3232183.87,8821523.29,4656200.47,2865876.85,266885.54,18518128.96,11799479.77,0,19971215.55,15203457.99,12182926.49,4006376.35,6356888.08,6945862.36,4890697.63,0.0
7,管理费用,52118751.31,39215954.68,18127310.28,102668627.27,72944494.77,52246995.47,23274769.25,122066390.10,81521634.49,55506237.24,25424705.50,132186243.97,96657113.89,65991968.16,31023203.10,143805677.37,92928030.22,60750342.83,27786722.93,151870628.58,104674751.29,68639962.30,27494122.78,129035135.75,79080775.13,51712518.87,23831549.62,142915415.77,91328466.33,53870728.30,21065641.50,221113068.26,161306857.11,115535369.46,51895838.63,155157058.79,74277353.87,39981744.09,17172257.95,61101260.38,40549130.66,24182505.70,11150437.54,86249844.59,51730974.53,34779213.73,18497934.71,79135071.45,62745238.38,38530071.69,22207427.85,78871248.70,71378996.30,53304972.53,21475613.54,72063991.34,51364199.81,33904356.53,17586091.92,69531443.37,64272206.51,36747852.05,18115349.36,57738931.50,36261258.65,23384387.02,10083369.03,47739139.87,32294929.58,21840880.90,10254845.74,77734257.33,43565516.13,0,69733308.98,31174366.27,36234008.95,17849000.22,20018922.16,22890838.14,12803348.80,0.0
8,财务费用,12363038.12,11572234.19,7486262.94,5789385.73,12848296.41,14530149.27,15962839.93,44904786.34,36418067.49,22473781.65,10918090.89,33962578.01,30620751.07,20625806.22,14738209.61,60148272.84,52948687.89,41440206.12,21168802.81,88565103.06,63173383.07,41555889.30,20828111.91,101517579.82,70847752.82,49534130.02,19702564.13,88489510.62,61662744.60,42955378.13,18796481.85,94319003.23,80881979.42,49260070.98,22855735.87,54059123.18,46624275.36,24253825.96,10465641.12,24960296.61,17505733.26,12378376.12,6289187.48,17490095.46,15440562.83,9921149.13,4796249.66,9748150.88,7539760.27,5025663.71,1763106.88,6095808.88,4268157.76,2070715.41,1229179.08,1128117.38,1612125.42,410425.81,37119.03,3865846.55,1373720.41,721555.49,274304.61,4028686.21,2542423.94,1663546.51,1999997.01,6903044.05,7772225.77,4143883.92,3048027.86,10467529.84,8710152.87,0,2843109.84,3805421.39,14592109.86,7719364.71,18839385.36,14931750.98,9906964.44,0.0
