,报表日期,20191231,20181231,20180630,20171231,20161231,20151231,19700101
0,单位,元,元,元,元,元,元,
1,一、营业总收入,512645084.98,475085563.44,187726193.83,393585622.99,326075544.51,355529999.47,0.0
2,营业收入,512645084.98,475085563.44,187726193.83,393585622.99,326075544.51,355529999.47,0.0
3,二、营业总成本,399732298.59,382926854.86,150032892.07,316460632.39,258185580.41,284283972.29,0.0
4,营业成本,301631102.33,270092225.90,98254281.03,214727498.07,176485861.79,197131745.81,0.0
5,营业税金及附加,5740961.50,5049905.98,2345128.14,5009823.83,4671659.31,5626515.15,0.0
6,销售费用,20972868.13,21087857.10,8610078.58,16596082.69,13729855.59,13061560.57,0.0
7,管理费用,40527218.85,39872534.55,18842546.27,39961390.63,27215029.25,28259118.36,0.0
8,财务费用,113433.59,1025583.79,850106.13,3991914.69,5714440.65,2490380.16,0.0
9,研发费用,30746714.19,28912909.28,11329152.71,25810907.44,22890358.90,21337513.18,0.0
10,资产减值损失,0,16885838.26,9801599.21,10363015.04,7478374.92,16377139.06,0.0
11,公允价值变动收益,0,0,0,0,0,0,0.0
12,投资收益,0,560072.12,-62539.83,189194.02,-186914.53,308193.21,0.0
13,其中:对联营企业和合营企业的投资收益,0,-62539.83,-62539.83,-121179.22,-370037.82,86663.63,0.0
14,汇兑收益,0,0,0,0,0,0,0.0
15,三、营业利润,102380524.47,94914404.44,37868271.26,80855936.03,77466362.25,71554220.39,0.0
16,加:营业外收入,261.58,24087.68,99.68,720440.91,2316013.10,1979335.00,0.0
17,减：营业外支出,301941.78,1624639.69,1551927.15,271269.63,306151.39,186064.43,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0.0
19,四、利润总额,102078844.27,93313852.43,36316443.79,81305107.31,79476223.96,73347490.96,0.0
20,减：所得税费用,14145572.43,12181158.70,6332391.76,14877566.98,14194134.62,11388419.46,0.0
21,五、净利润,87933271.84,81132693.73,29984052.03,66427540.33,65282089.34,61959071.50,0.0
22,归属于母公司所有者的净利润,86362495.60,80461767.78,29886507.49,64333082.42,65072474.41,61751216.58,0.0
23,少数股东损益,1570776.24,670925.95,97544.54,2094457.91,209614.93,207854.92,0.0
24,六、每股收益,,,,,,,
25,基本每股收益(元/股),1.440000,1.340000,0.500000,1.100000,1.210000,1.150000,0.0
26,稀释每股收益(元/股),0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0.0
28,八、综合收益总额,87933271.84,81132693.73,29984052.03,66427540.33,65282089.34,61959071.50,0.0
29,归属于母公司所有者的综合收益总额,86362495.60,80461767.78,29886507.49,64333082.42,65072474.41,61751216.58,0.0
30,归属于少数股东的综合收益总额,1570776.24,670925.95,97544.54,2094457.91,209614.93,207854.92,0.0
