,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2545255748.56,1848681551.65,1269647080.59,619079603.59,2690012210.01,3549634899.70,2401107521.54,955488173.75,4622844290.48,3417777475.16,2137811480.41,915352849.14,4076359733.71,2637952813.16,1484159988.25,590144251.92,4368755786.51,3240531278.10,2243716331.20,840644831.76,3759123602.57,2722871901.40,1583261350.05,614031521.45,3511260141.88,2447016551.14,1585921741.83,728296119.17,4440021844.33,3292456720.19,2133632841.04,1164573878.95,4384700245.87,3151380843.58,1942144256.08,1005513272.86,4137005026.92,3123720767.01,1845112838.62,840688132.81,3986772584.49,2951469944.62,1597591383.66,629624896.94,3964388120.33,3204879149.65,2438124434.49,1426236476.69,5559574766.91,4492638958.08,2437648977.82,1146320954.98,5047580986.99,3348133694.47,1975368415.87,747905812.52,2733960721.96,1846204218.46,1224115762.17,563246399.36,1671102857.91,1157901336.01,705961478.63,330115518.15,1010798986.09,703274018.54,424247925.92,171632900.57,528177022.40,322371272.11,185531835.94,85092346.69,372738303.15,189912936.93,347058375.86,282755726.10,260165177.07,0.0
2,营业收入,2545255748.56,1848681551.65,1269647080.59,619079603.59,2690012210.01,3549634899.70,2401107521.54,955488173.75,4622844290.48,3417777475.16,2137811480.41,915352849.14,4076359733.71,2637952813.16,1484159988.25,590144251.92,4368755786.51,3240531278.10,2243716331.20,840644831.76,3759123602.57,2722871901.40,1583261350.05,614031521.45,3511260141.88,2447016551.14,1585921741.83,728296119.17,4440021844.33,3292456720.19,2133632841.04,1164573878.95,4384700245.87,3151380843.58,1942144256.08,1005513272.86,4137005026.92,3123720767.01,1845112838.62,840688132.81,3986772584.49,2951469944.62,1597591383.66,629624896.94,3964388120.33,3204879149.65,2438124434.49,1426236476.69,5559574766.91,4492638958.08,2437648977.82,1146320954.98,5047177035.73,3345268171.92,1974370947.61,747123239.40,2726050173.04,1842656994.70,1222364496.14,562545967.86,1667172600.01,1150610180.33,701479332.63,327803935.13,1001051947.44,695926461.09,419309074.41,169292850.94,521689819.02,317082610.46,183109189.89,84193307.98,372461360.30,189787825.97,347328400.42,282504512.41,260153764.56,0.0
3,二、营业总成本,2643503837.69,1906239181.11,1288202283.33,598306600.90,3232052667.02,3448329677.09,2322652121.77,945685470.44,4267192187.85,3060919468.82,1934833098.00,856744644.12,4198617894.84,2766488919.54,1588073752.46,700617626.06,4680677139.46,3447267540.04,2393759399.72,849621421.72,4100061318.89,2886285556.71,1686503001.21,674937973.51,3687199072.24,2556436849.18,1683962842.64,713624828.25,4960348907.76,3546001129.90,2327459673.87,1138526741.06,5006623984.40,3744662884.40,2261427662.48,973104056.41,4341518027.83,3437524964.27,2145358872.81,796146794.63,3678539946.36,2723630118.18,1493462685.71,628631133.05,4430660873.19,2791792918.22,2089594557.02,1196580997.73,4298109141.42,3149679854.04,1719654023.62,827196898.98,3641325158.23,2425620874.96,1438810056.94,582605832.10,2360764941.60,1545050964.55,999805018.14,476266868.72,1474303255.08,1034980952.17,644899482.33,325695077.56,949270812.29,674373859.87,412512022.51,172800406.71,490486014.97,300253201.33,171376768.81,80780943.85,340691990.26,167431861.68,290989871.11,224122058.71,197982882.65,0.0
4,营业成本,2302702802.73,1664441571.19,1119274121.20,532704559.38,2709925724.26,2870637175.10,1916779575.47,727457141.98,3471539384.99,2467083061.14,1530741586.24,652777868.24,3471916702.03,2251825093.90,1284015501.97,543279492.50,3841980925.69,2882851370.73,2027530256.37,708185972.76,3255181910.82,2309029768.14,1336260723.66,511786773.33,2891696912.72,1976336007.22,1316018537.22,540558115.35,3906830802.11,2831281009.80,1811897348.85,942491913.11,3668554552.06,2575997329.33,1559116754.84,780817574.89,3306837983.83,2605406060.31,1402400024.04,625201104.63,3105531019.41,2360360472.95,1294824836.27,538258807.25,3231043912.05,2273148180.53,1717115078.27,1019868188.39,3439792796.18,2673907998.19,1407487759.94,694789659.47,3050666374.09,2072669659.61,1217539646.62,483707029.57,1952512394.46,1274657952.19,817054614.53,388428451.84,1209545903.02,864553946.33,532025116.44,269346771.06,808327323.52,583247923.74,365474003.13,150557875.51,415469507.06,254377587.32,143045696.04,68618131.58,288684539.64,142266980.98,256377351.12,207765131.69,176053292.13,0.0
5,营业税金及附加,12885304.93,9133830.17,7515569.16,1382910.65,15305706.80,99583944.81,66458560.40,31360978.47,140960694.65,105032167.75,69741365.95,25162924.12,80385004.36,29282502.47,5882791.42,1254593.70,27330087.29,14722169.58,8395298.89,3920246.31,18592880.75,10916414.53,4823804.78,1031235.26,18704224.80,12985808.90,8328799.39,5583824.84,19620296.00,13067782.24,8301488.09,3233421.43,28347541.24,17210289.52,11883736.35,4556685.79,22289954.94,13617961.36,9223798.68,3804993.51,21072058.22,13546988.59,8129918.13,2349523.42,17658276.11,15329345.12,11341519.78,4571190.49,33851776.16,28627096.10,14017905.26,6131091.52,32174201.12,20504129.66,12093471.55,3511081.41,10895204.16,7108437.85,3950920.99,1725772.84,5648441.74,3684356.54,2059636.27,840549.41,2808407.98,1724770.73,700434.85,425145.73,712332.84,124752.38,45848.04,13467.74,1002810.82,424789.47,552402.10,373968.64,7592089.70,0.0
6,销售费用,70454702.06,45530696.45,32023234.04,15004621.23,69438361.60,66210944.03,45069691.17,22172046.72,99223499.85,74111018.29,50022359.55,29834128.51,105319878.88,73738729.27,49814250.31,25973347.00,119428871.91,90639303.89,63436641.62,25442901.52,138397666.44,95068541.84,56635122.22,22358988.36,119381280.59,84148214.97,50712545.75,25661595.10,145840737.07,101831562.84,68848196.36,29991744.37,164562496.76,125295733.10,84120365.35,34170348.54,151366814.93,105520005.97,68080675.26,30084440.20,146408349.66,102648809.02,63017613.40,29184343.53,121793495.28,77863468.56,59735185.35,31830909.95,123486398.26,97310851.20,59391364.43,26136065.29,116321668.98,80852735.21,47229502.86,26272580.82,107089784.41,74755938.04,51929791.31,24244795.76,70969047.84,48066782.37,29791224.70,15964274.29,49218457.32,34254492.96,20233773.45,9231128.86,28505413.41,17694107.09,9615706.26,4391918.64,17232857.42,7128099.89,9444604.33,6425904.35,2286502.98,0.0
7,管理费用,163042364.62,116733015.04,83220338.32,39565793.68,227998337.98,299958025.68,219592136.02,122308449.20,421118729.93,302535498.21,209386936.34,125759454.24,373881073.57,297475940.57,175468607.11,83535346.41,357889787.65,244264471.79,151402062.50,61797881.80,380594717.70,247807798.89,136859980.29,57983166.33,329612896.93,245970385.22,142452918.39,64645790.18,478716312.44,336950074.56,227712663.75,94062247.35,433173788.66,338684436.26,226665591.56,77343771.04,434740778.64,318883286.38,214018137.90,78802975.45,414236930.47,243217133.14,159732982.07,73645786.81,435861933.91,238639670.02,161964052.39,97803525.84,283186102.37,233538315.05,168551102.69,65713584.86,317505016.95,160560053.13,103740015.99,40617604.07,206805588.98,125290827.58,89923319.02,46849488.18,132479946.87,79916136.77,54666725.53,26997471.84,52400943.09,28713396.28,13403745.71,5757676.43,26517605.08,13305395.27,8211252.08,2580018.95,14608907.38,9254494.49,12829924.05,5484108.34,5253376.44,0.0
8,财务费用,94332047.52,69604645.92,46027142.80,9467376.24,40357137.69,97721712.17,66221828.04,42867181.05,122613184.78,112225723.98,75118506.21,30110530.46,168784262.13,131492324.60,91788774.90,47010723.20,189195983.04,146111727.21,95205071.64,50435456.95,303953605.76,236640640.16,155413240.34,75050493.47,312765940.97,235909595.80,160746421.55,74393812.21,369406800.92,277524924.07,187457223.69,93500727.39,331185069.30,257952353.20,161294202.57,67148520.81,260719339.47,202670747.00,118040016.21,57113287.50,242438003.33,156649640.22,111804580.13,43002720.62,227710314.67,152205130.57,104063410.65,42507183.06,151751359.94,110756197.56,71985971.32,34426497.84,124657897.09,91034297.35,58207419.92,28497536.23,83461969.59,63237808.89,36946372.29,15018360.10,55659915.61,38759730.16,26356779.39,12546010.96,36515680.38,26433276.16,12700065.37,6828580.18,19281156.58,14751359.27,10458266.39,5177406.94,19162875.00,8357496.85,11785589.51,4072945.69,6797621.40,0.0
