,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090630,20090331,20081231,20080630,20071231,20070630,20061231,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040630,20031231,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,投资收益,9849087197.03,5922367862.82,3172314191.20,2606878167.72,2411103639.10,2118898378.51,2184369094.99,1350111953.06,8909137285.47,3724950017.08,2502289945.91,921326549.66,4769805850.86,3576184250.97,1523294836.43,588602119.22,7893308235.22,5638540176.12,3179740350.49,1186998833.56,1821403489.68,1425931008.34,873620638.20,463379432.29,1546988257.20,1048791659.56,766993504.92,198822865.89,1167969213.54,982341607.18,746017426.39,189178377.27,357721302.31,145879458.32,192493710.42,154776808.52,731746442.81,310517372.04,67901656.98,178327953.10,618906592.52,264206826.21,56673150.50,625002064.38,960696644.14,3234061030.06,262221354.20,864162441.17,405006211.57,0,45310085.12,0,-58481471.10,0,55558053.09,-20978462.28,14101595.40,-18748846.65,-38254521.78,27834221.79,0.0
10,其中:对联营企业和合营企业的投资收益,2726449356.80,2148966267.34,1280144323.13,1167501518.72,959308678.92,1185475433.39,967353687.36,580299432.76,539978197.43,378251908.57,229290650.68,115594549.20,453986617.10,287218315.46,185634297.39,103648175.43,420076244.07,299024714.24,197503943.96,95148785.19,284990586.13,203323317.81,116572205.24,47144064.66,219169605.51,170613829.86,117846220.37,63597072.07,208715020.07,152514154.26,91597137.81,45881095.77,197332439.21,133924219.47,76022497.62,22058767.13,251250082.45,217545585.10,126055869.15,71540747.42,334696044.36,0,51119602.96,414380728.23,311593344.86,575173844.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动损益,2057306161.27,2179202076.50,1539230262.22,764789932.88,1797941989.76,1982239713.58,344809694.14,116669989.34,-341602534.89,135795483.21,-95811826.22,89592399.45,-339704069.13,145392291.10,247044292.96,1639396.97,-716033713.10,-1191544106.30,351472443.46,71415474.84,1142318797.24,345822239.85,399729072.71,79381403.92,-564344030.81,-166703778.61,45806123.30,83795096.20,-37011005.18,-53331570.26,166709878.34,157783765.95,75886290.02,-374996911.66,-10800032.17,-40886738.23,71044345.94,116908725.53,-110862731.90,48045629.18,123276908.25,33995754.13,85410836.61,-769333148.95,-966641000.93,548321552.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,汇兑损益,147877088.83,70574910.92,55070585.11,17028215.37,30504683.57,31896537.20,-3965020.38,6468708.02,-38040621.50,-4816371.86,-14468831.62,5570954.82,-14427460.06,-51418613.84,-23437370.86,-12627856.70,370028256.09,356520854.28,331388162.11,-8609326.10,2744825.85,2635137.36,1643341.86,36644.41,-7331530.85,-2076790.56,-2202772.13,82319.93,-130932.21,657387.62,562854.26,34940.67,-10941808.13,203675.74,-4840722.20,78666.53,-8011745.91,61196.42,59938.79,14126.35,-268088.96,0,-2216.14,-17300595.04,-3463050.00,-14922583.74,-507506.30,-4402788.57,0.01,0,-2836249.76,0,0,0,-6840.85,0,33570.61,0,542057.97,-17841.40,0.0
13,其他业务收入,1151555357.04,868041771.68,591773655.52,206214947.75,609178043.06,427083988.15,336458361.43,63408930.64,222437704.98,155227464.53,88475737.38,46169966.69,168633986.22,162276134.89,83237227.84,37438085.75,108330360.09,82827042.52,42321992.57,20381828.53,233748787.67,46540582.21,28409189.29,14693342.02,40403153.66,29956359.14,17032919.32,8432845.96,83575515.04,89796373.81,84313822.80,48294209.35,20348259.09,13821352.49,7824135.34,5404241.52,15120951.67,8192265.81,6857272.70,4641617.95,19797998.76,4818270.91,4379349.29,39594918.30,171272800.43,346591294.82,158277566.40,130407670.10,41816064.89,0,50551182.81,0,16403445.73,0,74128589.74,34422614.20,43832076.33,15499393.62,33575826.39,28251042.47,0.0
14,二、营业支出,13255077135.16,9300554523.46,5691637092.40,2595504589.30,9633160399.37,6698783872.25,4195996315.99,1887964740.80,10260265444.99,6461974694.94,4131881669.91,1976470163.44,8519068579.10,5767623939.64,3547004355.00,1714353953.68,11991865450.00,8382204362.10,5833875333.50,2214180675.50,6212783517.49,3675661746.81,2355548973.25,1127884245.43,4250842992.98,2980664629.44,1952478947.19,971213583.55,3766998399.30,2796546292.27,1995986784.29,943954487.43,3791431282.50,2543546407.58,1861913786.91,981069513.78,4400480189.41,2705722439.46,1808955628.43,860520191.93,4227852644.28,878044638.40,743164315.78,4581364592.37,1104694814.76,4859440247.13,1272993948.00,1335498947.22,193918033.14,0,267499846.35,0,87010763.43,0,417225061.67,228909526.23,372382226.07,180906538.81,356293016.55,459448612.10,0.0
15,营业税金及附加,151890239.79,114152591.62,77051407.44,39562402.45,139711246.60,107908573.89,72610645.13,34165880.79,152407623.70,106658621.10,67566748.85,27203587.41,450613162.36,383279790.70,343743698.03,231200456.32,1722544147.76,1355012918.10,921431417.06,330416356.93,660139802.02,397676404.58,238957477.60,124160730.82,429371085.98,303056738.75,188890011.50,89066934.97,300353521.95,223203513.78,157878384.18,69361194.23,314660014.83,228465072.88,178543964.93,97218922.60,444957525.79,272845997.67,179964455.41,93393602.32,468567115.31,122419198.60,86752295.53,325332313.06,119447410.82,616213727.37,182232599.90,115172343.35,35686865.18,0,16849222.30,0,6938418.88,0,22391631.45,14644409.98,17924870.22,9516579.26,24875821.98,45149228.79,0.0
16,管理费用,11367308599.49,7808558147.15,4922085562.36,2359476736.65,8167475230.04,6042837375.52,3803218439.75,1875419088.56,9749966098.17,6251135846.59,4014211923.18,1920760887.81,8012560486.98,5342202486.68,3164140665.94,1471649923.35,10121581563.54,6963244486.10,4878355706.15,1859228598.81,5288198219.65,3247696431.88,2092763697.83,994676914.23,3818477040.21,2672819325.35,1761968782.08,881178367.93,3439356778.78,2544033919.41,1810305436.26,871122223.30,3482130362.18,2318943752.02,1679287049.86,881597975.34,3980359056.77,2438052344.11,1627137752.30,766210137.81,3754848956.39,759716138.40,655783268.58,3314899105.94,938663366.51,3856937425.10,658825298.30,1066720222.85,167095428.44,0,312549302.97,0,156102672.36,0,339043777.73,210298977.81,347172013.66,168136114.67,327619712.61,410204266.81,0.0
17,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,资产减值损失,-2616912.52,0,0,0,0,143603.60,2033080.25,-52133322.44,259029956.43,16053488.12,5944963.22,-1676208.30,-36752756.91,-40380280.51,-5265130.74,-7436915.88,73259163.61,9905699.09,-2361942.69,1046786.38,17691195.52,-4084203.05,-344967.96,-293133.34,-24081954.80,-2455530.00,0,0,-3543045.99,0,0,0,-13068767.52,-9950996.02,-580107.75,-464613.12,-32539055.23,-7828463.62,0,0,-2886726.27,-6063660.00,-442248.50,919469609.41,0,237199756.66,89925924.01,107608430.20,-20728532.48,0,-75902712.50,0,-81435629.39,0,43880626.97,0,0,0,0,0,0.0
