,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,70911900243.97,38839189058.09,24361418794.28,6658154644.43,56367617007.72,30553720211.31,19387873870.21,6983914708.68,38704011453.44,21686708186.16,13415859451.03,5110061895.17,30622014467.85,18711303976.69,11388300066.97,4047649915.63,23431945877.73,14919205997.98,9152216167.43,3026566630.94,23118965572.22,15054215187.14,10170895379.26,3205953859.90,19170775359.91,12244011844.99,7624113277.75,2371796496.91,13415365897.65,8394533604.26,5541806411.08,1813826111.29,9501697850.13,6101082478.69,3987811781.73,1542048111.18,6527176271.09,4579071847.08,2858062856.48,1025891378.33,3289012366.16,2177983306.66,1411980654.15,568783640.14,2028796309.12,1372754283.21,1045561112.06,450289038.35,1744284442.01,533462374.45,430625064.60,80210719.25,1366422818.42,506661261.35,413966938.45,1194940363.44,735050975.49,0.0
2,营业收入,70911900243.97,38839189058.09,24361418794.28,6658154644.43,56367617007.72,30553720211.31,19387873870.21,6983914708.68,38704011453.44,21686708186.16,13415859451.03,5110061895.17,30622014467.85,18711303976.69,11388300066.97,4047649915.63,23431945877.73,14919205997.98,9152216167.43,3026566630.94,23118965572.22,15054215187.14,10170895379.26,3205953859.90,19170775359.91,12244011844.99,7624113277.75,2371796496.91,13415365897.65,8394533604.26,5541806411.08,1813826111.29,9501697850.13,6101082478.69,3987811781.73,1542048111.18,6527176271.09,4579071847.08,2858062856.48,1025891378.33,3289012366.16,2177983306.66,1411980654.15,568783640.14,2028796309.12,1372754283.21,1045561112.06,450289038.35,1744284442.01,533462374.45,430625064.60,80210719.25,1366422818.42,506661261.35,413966938.45,1194940363.44,735050975.49,0.0
3,二、营业总成本,57516023973.42,32255501471.38,20498550135.87,5979225140.41,45941127491.00,25297757893.90,16133917942.95,5968175772.98,31927424778.91,18587707242.39,11405663298.52,4372473433.83,24991481350.17,15678305064.15,9643656229.24,3575074645.28,20239956988.56,12623769941.00,7822517010.15,2617209094.72,18644201067.21,12242489010.65,8322273860.31,2678227552.84,15108393054.31,9692334654.54,6023233657.55,1962968982.16,10648999393.77,6696504108.59,4452449486.72,1514856411.41,7527438827.48,4839724494.10,3166782418.19,1312093946.18,5161665712.71,3722235834.84,2295137195.62,849844113.81,2493281103.63,1672993266.63,1079176932.39,446086655.97,1531096554.93,992302689.29,748184915.72,305689481.09,1309891239.08,435246341.21,352310225.11,70185490.23,1102895939.51,425522261.76,352741824.18,997672112.28,557861639.16,0.0
4,营业成本,49578236079.81,26678096806.85,16944841428.62,4410470927.48,38632013884.49,20700854663.84,13118105050.38,4567671206.16,27284443457.97,15503605268.36,9439599073.53,3511651121.89,21114385015.73,12984081404.18,7814025403.72,2808329052.19,16750038224.22,10319364103.58,6401324738.77,2054406236.74,15420036129.15,10119067027.10,6837136874.67,2109632890.84,12380302244.96,7863490978.36,4917323790.83,1506885168.11,8531663613.44,5329073595.44,3567189146.75,1139094355.64,5924654195.35,3790626011.75,2504246546.92,1035222710.41,4249026408.39,3144653655.81,1953579119.67,721928761.21,2120317918.69,1424355677.15,930616348.39,379808061.74,1239344046.82,831782899.23,643735913.30,263887844.54,1148636688.64,371815817.95,304337999.78,54287105.59,977143871.52,374545705.21,312046283.47,874652821.83,494121008.99,0.0
5,营业税金及附加,2506385632.71,1763721868.20,1190770842.89,394316107.63,2531896872.53,1423657097.82,968217096.45,367363562.13,1575311520.06,1153013424.31,776461602.75,306711135.76,1977566493.95,1363031380.98,936004291.56,331411953.34,1872458581.27,1204946062.64,718829054.12,234189785.82,1781497764.72,1156354566.05,783081766.94,250078068.63,1558663777.84,1018654386.18,590599214.62,188784224.80,1201772613.38,743106415.39,499897681.05,186748214.65,800186667.22,489072735.79,307893918.69,115762755.81,518143047.28,351858135.18,220356701.28,79131432.97,227392188.38,162774220.63,97712699.31,39670248.53,134948936.02,92023768.51,70099312.73,29777370.75,110463058.62,30937221.64,28526524.44,5392486.20,91291848.52,33456402.13,26174041.25,81141469.68,40962059.42,0.0
6,销售费用,2244760821.19,1471593929.09,875779877.23,424372723.62,1727464157.50,1160165525.67,715503161.32,366286937.31,1165473958.94,761445054.10,449964925.51,190932127.41,756556840.48,487847024.40,304143084.50,139988094.62,548156386.81,354011031.28,226328868.76,109512281.41,490704717.28,340357477.82,266396151.80,113269075.90,421589447.49,288749122.44,177223115.09,82963377.04,288717693.31,211058259.53,124111034.00,59023060.26,225096647.16,154543836.62,80420298.39,37728808.21,99826298.71,54025725.24,23747764.89,10598984.68,46866433.72,28439548.90,18305556.09,9621608.69,35753719.44,22325058.89,8513885.15,2562490.56,12317463.39,8978304.80,5420849.46,2818948.57,10682661.23,6878952.80,5887650.22,13915079.65,12442744.82,0.0
7,管理费用,2269931798.83,1655465161.92,1077627146.46,553499818.30,1950044725.23,1358261591.64,918614596.79,494777632.92,1406114812.71,982023009.09,632094574.75,328204966.68,988447370.43,738233685.68,486380306.86,237159898.92,842145851.28,582547360.39,383623398.06,190476828.20,714643359.64,526001544.21,379278090.79,178821699.75,631437077.99,461462512.12,314743381.21,153256328.70,499459643.37,337198353.20,214875165.80,105145348.04,396339874.37,292529891.20,193859935.82,97607709.44,226384683.63,130876338.75,68628648.88,31082685.45,85458641.39,56385041.05,32749930.26,17716168.93,63932437.21,46453195.88,25652557.26,8835487.01,45457733.61,26583647.66,14895389.92,6091232.21,21676309.10,13878720.94,10465967.56,24787865.56,13481919.02,0.0
8,财务费用,916709640.88,686623705.32,409530840.67,161476381.37,802406523.36,467803077.63,287310207.08,124278239.66,221575166.82,50398738.03,-9593016.07,346212.27,64385587.92,64110156.58,58108862.54,27873563.86,191076955.18,144316260.34,80290196.53,20453131.16,155864608.81,83765368.27,46884623.19,18179222.24,66463487.97,49498669.95,25608106.12,16718899.42,82029827.00,56606384.50,39364278.90,19221931.72,163994907.29,103584168.70,74691302.43,21702887.44,59704807.02,37350240.16,25323452.22,5369887.56,4319258.37,-524944.22,-949380.02,-283378.36,-1915726.58,-1102407.37,-986514.65,-187322.35,-4343527.96,-932865.25,-720414.90,-316202.74,-1602329.36,-753530.89,-370038.66,-794413.24,-283673.37,0.0
9,研发费用,0,0,0,10110653.07,0,20157377.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
