,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1551298762.27,1081495032.06,624524637.20,252485046.49,1184863256.32,836686217.33,509970313.36,212317673.32,1184088767.29,829643802.55,593249401.77,357270366.88,1326634032.04,914132474.94,612829674.92,285385255.33,1021209221.41,741439721.84,536805953.41,277728697.27,987255905.80,573685546.14,367887394.98,193106718.22,734360858.99,589175991.14,362801895.19,204739689.11,689879030.12,552566462.26,455834356.61,288537016.34,0.0
2,营业收入,1551298762.27,1081495032.06,624524637.20,252485046.49,1184863256.32,836686217.33,509970313.36,212317673.32,1184088767.29,829643802.55,593249401.77,357270366.88,1326634032.04,914132474.94,612829674.92,285385255.33,1021209221.41,741439721.84,536805953.41,277728697.27,987255905.80,573685546.14,367887394.98,193106718.22,734360858.99,589175991.14,362801895.19,204739689.11,689879030.12,552566462.26,455834356.61,288537016.34,0.0
3,二、营业总成本,1350301602.31,930441538.10,557322176.33,237542529.38,1108159734.21,801209945.38,498553209.59,214445557.85,1087405524.32,748711151.06,522763664.01,292057330.39,1118464208.31,761392027.64,493969038.86,230353715.61,892141361.08,644334324.97,470769981.39,239135523.72,844548415.66,496196268.72,316353094.03,158760541.81,618470722.01,474229370.42,293811900.34,154378317.22,590034068.07,477834938.20,396789424.66,242912734.50,0.0
4,营业成本,964279041.46,675629651.48,392524889.89,172337997.52,788372566.77,553174850.46,331714434.19,140248808.66,748997109.71,500052490.86,364112324.93,216036472.82,800437999.29,570427771.51,360146368.08,170915932.01,688715360.44,508335888.39,380094570.48,195661660.85,624751462.01,357470970.77,227066090.50,118253555.38,447760518.15,364150654.77,222751681.77,119536494.41,449866853.41,366733602.15,318299918.20,183981915.78,0.0
5,营业税金及附加,13215913.96,10699683.31,6606532.44,1598662.94,16999326.28,12340543.39,7144242.14,1817404.23,17766660.33,12293750.48,7752360.49,3202566.55,14368370.56,6545568.97,6528787.07,1173733.19,6255317.03,3307372.10,2338074.94,996540.95,4352748.76,2067753.80,1266039.18,480054.79,3421630.81,2466287.46,1955624.37,1166387.95,2956155.11,3026003.30,1364188.04,1652644.39,0.0
6,销售费用,45159722.43,29786294.80,20720332.38,7916555.41,29465320.97,18569119.67,10531308.44,3963705.34,20635774.99,12401964.83,8026378.83,3803683.84,16782428.40,12938884.67,7801256.99,3880157.70,13244225.02,10351349.11,6675178.97,3188705.93,15340022.55,8959479.24,5234035.77,3431204.51,12640080.72,10223643.74,6110394.53,2768742.02,11888215.89,11805261.88,6274571.75,3126448.16,0.0
7,管理费用,197970858.72,120694718.71,66324971.19,27542035.84,149987926.85,108421149.07,115482743.37,50268534.37,225534591.48,173472441.55,111461365.76,52192298.26,231534712.36,147627969.74,99994404.86,42255638.94,163664788.26,115375725.71,75998640.62,42546929.04,166274715.28,108260571.68,69069688.57,33338468.40,136093568.08,88004958.89,56349469.67,27969969.98,105293218.58,85508968.27,61485379.49,49168936.60,0.0
8,财务费用,7122414.03,3856548.51,8704273.11,12183413.56,35241431.19,32812675.41,26943331.13,18517691.60,66532329.05,53351864.52,38265850.06,18945921.14,24202290.74,23805586.74,14110140.22,10560663.75,20084968.52,12448073.22,9232306.94,3868190.92,13100461.63,8356144.46,5839100.81,1199301.86,12865376.17,8110922.46,6438021.09,1638153.57,12057125.54,5595331.27,5166736.44,7016967.92,0.0
9,研发费用,122553651.71,89774641.29,62441177.32,24756562.50,76195735.79,63941164.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-8792698.39,11897426.36,11950442.47,6737150.32,-370586.35,7939058.76,-2861361.18,-6854616.06,-2123612.22,31138406.96,46246.01,5388081.64,1567590.02,176701.81,-5484083.56,-3568790.56,-7126503.97,20729005.43,11081348.77,7878139.20,2057956.87,5689548.08,1272903.10,206708.91,1298569.29,7972499.54,5165771.33,4198630.74,-2034178.35,0.0
11,公允价值变动收益,18938.81,-202461.19,-205261.19,0,-858738.81,-1064000.00,-1537600.00,-611311.00,1064000.00,274500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,7825681.67,2487386.18,6618745.28,5527211.14,46340617.39,37604388.70,2312645.64,2574849.25,-252798.76,-254170.63,-168384.71,-79848.71,-575338.32,-246557.24,-147039.32,-69069.17,6133.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-681576.56,-5124322.05,-992962.95,-108601.71,8104.91,-268574.56,-172514.36,-58050.75,-252798.76,-254170.63,-168384.71,-79848.71,144137.34,-208791.48,-147039.32,-69069.17,6133.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,194689484.75,159903281.08,77576949.55,21520096.38,153961602.43,98722502.71,38455304.64,22536023.34,114563523.92,80952980.86,70317353.05,65133187.78,207594485.41,152493890.06,118713596.74,54962470.55,129073994.19,97105396.87,66035972.02,38593173.55,142707490.14,77489277.42,51534300.95,34346176.41,115890136.98,114946620.72,68989994.85,50361371.89,99844962.05,74731524.06,59044931.95,45624281.84,0.0
16,加:营业外收入,4387815.06,3844609.84,388355.02,150264.98,173138.52,303910.15,139524.88,6041.03,202322.80,3578464.72,2254178.38,1196794.04,9876580.43,3804128.98,859687.56,121525.56,10854492.84,4957141.97,1734103.77,501184.84,10272623.24,2891408.17,1614934.68,570541.68,8611002.05,7067857.05,2564553.39,2310753.85,3203077.72,4508450.44,2909815.86,1508096.46,0.0
17,减：营业外支出,5658082.34,3376823.07,1820004.30,108933.47,21268449.82,816898.31,297793.44,50000.00,30795.73,235442.20,129875.29,74250.83,12140724.99,4462457.84,4299538.48,2058465.96,8172041.99,150499.59,117690.24,112882.53,5131879.59,169241.49,5196.74,2363.14,4010547.91,1968363.36,1965336.36,2456708.66,2741662.35,189127.92,341975.84,20197.52,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,204796.47,99559.56,43992.04,12042648.86,4371767.31,4214831.77,2058249.56,7925399.92,0,0,0,5124348.90,162587.38,1228.73,0,3950372.11,1931733.41,1931733.41,2425038.01,2552514.24,175048.25,238761.14,2000.16,0.0
