,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,27421483.71,155246713.98,90740232.26,66702043.87,32718003.11,156597740.46,114543422.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,-6865438.21,464245768.31,-19199539.76,-21601765.04,-7380777.77,102750813.28,20187789.67,18888148.64,10067978.09,469373921.03,22751948.85,27571410.05,11180920.47,36993200.28,28382307.33,21666766.82,9908529.18,72115117.05,17167199.15,1473295.99,-8344166.53,36590458.34,41395458.33,42845575.06,13438029.92,55300885.16,54605530.64,35549707.33,8437438.36,-2076244.42,-15423836.51,-19788376.73,-14095381.57,18367268.47,-2632215.30,-8614887.11,-14484672.56,8327128.12,-1303727.36,-15272152.11,-4495136.22,32745717.90,12576292.84,5115501.90,-1897487.14,20022359.00,12113079.03,10651788.83,1379381.13,0,0,0,465602.60,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,193191.05,75336682.38,19155521.97,17706657.93,3196518.24,86001429.72,33182834.39,20756722.76,66457.18,168804188.33,85523614.77,81131246.85,49099603.41,147119468.71,120622486.32,120295747.22,58482652.85,112090045.32,111699337.28,71875598.79,50517530.21,44107046.82,2617100.69,3606747.47,583988.33,3700686.97,1925403.54,-2208183.34,-1187637.00,120239865.62,117690953.96,1382281.70,-215998.21,-860667.98,-417522.72,-330591.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2223822.25,-2048874.09,-1839266.83,-1711666.11,4487214.32,785079.22,-3249558.90,2108630.18,0.0
13,其中:对联营企业和合营企业的投资收益,164.86,2602711.37,1494127.32,122934.51,38077.73,4724943.83,699171.83,195961.72,14676.45,7642604.24,4621002.54,-962926.50,522763.43,-11330793.06,1338144.79,2192548.79,0,-4250434.03,-4641142.07,-2318065.65,0,0,0,0,0,275058.75,1925403.54,-2208183.34,-1187637.00,802622.45,-1700772.39,-894974.20,-215998.21,-860667.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,1068037.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-41219136.38,71724879.57,64058902.51,48381544.23,11960133.21,-365887712.37,69152818.57,53689163.91,11226054.16,65776162.44,31101896.51,30090204.08,-2125640.15,-781128799.57,-134349549.41,-63493705.37,-55117161.12,154118247.94,155919213.87,122020322.80,26263888.54,108592054.41,35927991.33,66361033.23,18847660.63,-38739949.67,3658628.60,38266802.44,21833345.34,137194608.28,85102348.06,37916862.56,20824125.75,521770532.69,297906477.44,205338550.45,61571335.02,360382631.20,219108239.58,141630941.35,41533558.72,261957187.25,161376208.08,110706803.63,42360207.59,183867522.20,146001585.58,111191153.20,35177257.28,121658894.67,88698460.06,56685777.12,28438642.35,101429903.66,68965303.69,44827707.55,17349367.44,79037253.03,50717560.91,69406338.31,54679875.62,0.0
16,加:营业外收入,870547.00,2941863.49,5616314.34,4903248.30,1241889.38,3324352.84,6026499.39,7694328.69,1735699.67,6345991.19,34852871.06,8988043.16,9226614.43,103877252.73,76141986.59,66974822.44,9693856.95,97256263.08,46815029.57,30530603.78,5679105.39,114006376.49,90996837.02,63156577.48,39753387.19,123933342.55,85996832.89,51471063.94,5370527.16,72348566.24,77453636.77,66424253.13,40991350.90,49743195.62,29498687.16,14647113.91,8921704.34,81068323.17,46237121.94,37644311.46,14795301.38,75515983.77,55518495.95,26087853.46,6919153.00,59713143.85,30559266.32,18241446.87,634311.08,33678186.92,22923646.57,12919253.88,0,278866.84,374854.52,140133.13,2324687.85,214701.16,160837.50,20069.31,114935.17,0.0
17,减：营业外支出,1181317.52,5743652.48,4191635.98,448503.76,318231.37,5437087.60,854139.50,357092.29,256848.03,5407460.62,6766960.93,4702226.92,750542.99,33101381.60,1248834.32,732469.56,195009.67,5211018.06,4908717.97,3252410.97,38320.30,8716151.95,3923816.42,7233615.73,403337.27,7493943.01,4312801.16,2652153.48,1578576.41,2590514.61,1956668.47,1666877.75,113731.52,9080515.91,5907159.70,2684951.18,464832.77,3510986.20,2160634.59,1680224.07,19842.12,4450268.26,4185021.25,3247136.69,36512.37,1703449.21,1125294.29,860522.01,8508.94,1971183.33,1647913.17,1549576.00,0,600274.06,589253.79,309691.28,44690.51,211917.26,5200.00,49083.00,89550.72,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,1580332.05,330339.50,125650.96,20484402.37,187839.40,87181.43,60865.85,1000044.24,4841216.29,4592315.10,14634.25,626712.80,339960.72,119787.94,2969.15,1866141.92,308268.35,86890.81,44153.20,0,498690.26,283628.91,105296.97,3590642.46,2166908.40,2102223.04,0,303954.70,61370.30,50574.64,7133.36,3760716.10,280443.88,23295.71,0,370147.02,80350.99,7222.99,7222.99,391947.70,69793.17,12156.00,0,0,0,0,0,0,0,0,0,0.0
