,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,120860000000.00,93400000000.00,58784000000.00,30053000000.00,114930000000.00,87878000000.00,54422000000.00,26753000000.00,101721000000.00,77505000000.00,48020000000.00,24536000000.00,98560000000.00,75408000000.00,46332000000.00,23534000000.00,93844000000.00,71963000000.00,44311000000.00,22393000000.00,89746000000.00,68735000000.00,42591000000.00,21798000000.00,88009236000.00,67112541000.00,41479254000.00,20659524000.00,85569250000.00,65528773000.00,40402780000.00,19324116000.00,83974505000.00,63233344000.00,38782154000.00,18157811000.00,74958108000.00,55465964000.00,33636173000.00,15568925000.00,39831331000.00,28900251000.00,17497784000.00,8946146000.00,41842361000.00,31638007000.00,20831169000.00,10609408000.00,43528561000.00,32120808784.27,19596192182.13,9249746203.43,37583475591.57,27237310862.13,16724122706.43,7644544105.00,26838693336.39,18817072819.38,10365604973.71,4959058744.94,20558007233.58,15502279189.95,9535159959.49,4503957328.49,14279247901.27,9463954115.38,5565665093.95,3483505863.99,13504083932.45,9936313079.58,6499309626.58,3045948834.17,12952634940.57,6168468500.49,12178776368.61,5805396149.79,10968799061.57,4986433711.18,8901881515.95,4331802298.33,9595779477.26,8105333188.74,7412912167.41,6673378684.49,0.0
2,营业收入,120860000000.00,93400000000.00,58784000000.00,30053000000.00,114930000000.00,87878000000.00,54422000000.00,26753000000.00,101721000000.00,77505000000.00,48020000000.00,24536000000.00,98560000000.00,75408000000.00,46332000000.00,23534000000.00,93844000000.00,71963000000.00,44311000000.00,22393000000.00,89746000000.00,68735000000.00,42591000000.00,21798000000.00,88009236000.00,67112541000.00,41479254000.00,20659524000.00,85569250000.00,65528773000.00,40402780000.00,19324116000.00,83974505000.00,63233344000.00,38782154000.00,18157811000.00,74958108000.00,55465964000.00,33636173000.00,15568925000.00,39831331000.00,28900251000.00,17497784000.00,8946146000.00,41842361000.00,31638007000.00,20831169000.00,10609408000.00,43528561000.00,32120808784.27,19596192182.13,9249746203.43,36805730862.32,26714519298.99,16373341392.52,7482342999.08,26225037620.40,18328833085.97,10040426647.01,4795191634.34,19893143628.59,15006200211.50,9170591569.79,4377000518.69,13869413132.15,9147860303.06,5335806012.70,3468700699.37,13390645825.33,9778760627.53,6270536993.16,3015283037.84,12411555064.01,6134341643.86,11821758147.00,5598045219.21,10668638900.43,4852436526.46,8645065951.26,4206171252.44,9365864351.37,7958161711.43,7124238596.05,6514245830.66,0.0
3,二、营业总成本,124131000000.00,92572000000.00,59749000000.00,28452000000.00,118420000000.00,86470000000.00,54754000000.00,25189000000.00,101196000000.00,73282000000.00,47544000000.00,23999000000.00,97958000000.00,70165000000.00,44695000000.00,21106000000.00,93871000000.00,68670000000.00,42328000000.00,21214000000.00,90299000000.00,69778000000.00,44945000000.00,22963000000.00,89136920000.00,65162862000.00,41928090000.00,21398555000.00,85000755000.00,63159264000.00,40498017000.00,19566510000.00,80591793000.00,58072148000.00,36801948000.00,17390315000.00,71028648000.00,50951116000.00,32219535000.00,15280665000.00,44533060000.00,31929099000.00,20303604000.00,10232342000.00,50393540000.00,34524763000.00,21595947000.00,10398969000.00,43708095000.00,31745474179.04,20148863338.62,9971306922.63,40209025690.68,28453948263.42,18318730832.23,8611390732.85,27145796725.60,18593090185.59,10766468633.79,4897296565.95,19969843034.63,14606014884.81,9051199647.89,4328687951.80,14915526994.40,10511177553.57,6905441614.61,3638963090.36,13320447556.01,9599979791.94,6198391030.30,2970336783.97,12832717710.90,6443842987.43,12046992896.34,5677007307.28,11122473501.87,5078134577.99,9294498128.80,4448888415.01,8526176241.93,7158705378.64,6325362330.66,5831813517.07,0.0
4,营业成本,107200000000.00,79769000000.00,52225000000.00,25819000000.00,102407000000.00,74419000000.00,47789000000.00,23563000000.00,90285000000.00,65643000000.00,42621000000.00,21484000000.00,82587000000.00,59870000000.00,37735000000.00,18528000000.00,77146000000.00,57365000000.00,36940000000.00,18396000000.00,79645000000.00,61305000000.00,39271000000.00,19955000000.00,80338644000.00,59110071000.00,38241626000.00,19190486000.00,74700310000.00,55149960000.00,35516663000.00,17247303000.00,70447837000.00,51301043000.00,32393808000.00,15265258000.00,60726601000.00,43845461000.00,27579443000.00,12962167000.00,37248315000.00,26858576000.00,16859235000.00,8423481000.00,43075888000.00,30810399000.00,19729700000.00,9664794000.00,37654536000.00,27261794740.22,17437282621.08,8596137950.25,34052720876.86,24126953029.01,15413026215.58,7249765444.60,22676968664.92,15645155214.73,8778673120.08,4010169517.05,16123577232.40,11926931747.72,7340189876.19,3555462418.44,11774988134.78,8384176646.35,5513480934.70,2944288060.06,10221015691.27,7313808641.95,4655981718.92,2252645406.64,9895680220.39,4993822093.73,9119344878.75,4301068557.32,8232968894.78,3915099715.69,6681896360.89,3333950238.51,6182631137.80,5100392235.50,4461296547.72,3784149079.64,0.0
5,营业税金及附加,307000000.00,232000000.00,156000000.00,57000000.00,347000000.00,275000000.00,162000000.00,62000000.00,263000000.00,197000000.00,135000000.00,65000000.00,237000000.00,107000000.00,72000000.00,31000000.00,178000000.00,135000000.00,80000000.00,22000000.00,107000000.00,85000000.00,51000000.00,26000000.00,306374000.00,279838000.00,204861000.00,106586000.00,670131000.00,557395000.00,339427000.00,156282000.00,1803091000.00,1330403000.00,776340000.00,366351000.00,1462770000.00,1096108000.00,661118000.00,376707000.00,1018791000.00,736648000.00,439044000.00,219091000.00,891064000.00,800527000.00,520427000.00,263690000.00,1092859000.00,804443857.23,489412165.75,229289162.12,932747924.79,699531896.85,431976549.28,201037001.49,643284601.99,438723646.27,226847534.31,111901355.07,521573837.03,393879984.07,243853053.30,114333626.91,167358463.22,156565388.37,119248311.36,82105617.86,304438089.97,226375211.87,148161175.51,72512700.47,296836879.42,146398126.91,271339202.01,136721641.78,257885533.21,119463105.25,211117732.18,103400592.20,228490110.71,201969815.70,146680647.44,147361843.52,0.0
6,销售费用,6348000000.00,4468000000.00,2977000000.00,1535000000.00,6058000000.00,4467000000.00,2867000000.00,1359000000.00,5753000000.00,4196000000.00,2661000000.00,1319000000.00,5693000000.00,4122000000.00,2772000000.00,1303000000.00,6136000000.00,4136000000.00,2770000000.00,1362000000.00,5788000000.00,4486000000.00,2856000000.00,1415000000.00,5909724000.00,4208311000.00,2625074000.00,1355886000.00,5443022000.00,4003998000.00,2471758000.00,1209900000.00,5406103000.00,4045580000.00,2546698000.00,1183796000.00,5324601000.00,3757806000.00,2301330000.00,1073718000.00,2969537000.00,1986877000.00,1273491000.00,595092000.00,2522136000.00,1769792000.00,1184982000.00,601194000.00,2766379000.00,1916981901.25,1141756429.12,554806184.27,2554295548.17,1753272178.12,1106140392.65,498633591.70,1951059122.09,1297883784.71,747708191.14,336756700.76,1449384291.23,1052195794.43,660669208.62,272951709.80,1104325666.15,744101398.43,419199509.92,236415230.97,1120541201.97,853155878.44,602424228.01,293525928.89,1297765706.82,651966567.83,1349875214.28,624371402.10,1052350666.23,428933869.44,1003515190.22,489760774.45,1038885844.28,826326090.30,772261205.64,701956781.24,0.0
7,管理费用,3784000000.00,2456000000.00,1562000000.00,794000000.00,3220000000.00,2209000000.00,1406000000.00,669000000.00,3143000000.00,2129000000.00,1339000000.00,624000000.00,3019000000.00,2103000000.00,1318000000.00,613000000.00,2914000000.00,1930000000.00,1229000000.00,637000000.00,2451000000.00,1972000000.00,1255000000.00,611000000.00,2838612000.00,1940344000.00,1256852000.00,605760000.00,2743290000.00,1861622000.00,1169810000.00,557176000.00,2576470000.00,1740259000.00,1125287000.00,541329000.00,2656326000.00,1644572000.00,963541000.00,470922000.00,1538857000.00,990519000.00,633972000.00,305333000.00,1524864000.00,1526035000.00,981802000.00,478334000.00,2075732000.00,1414650908.24,876326747.63,420253016.59,1907583147.84,1211068737.34,781613042.47,396746097.55,1303786537.41,934155862.78,585727406.64,244972331.69,1176830743.19,726811039.64,462521396.08,213001008.50,1083814024.61,649622135.39,464954830.83,168274857.84,829930976.83,559296947.06,321679768.23,152633635.00,642712900.35,285331462.52,533842545.83,211150386.91,428788153.18,178712527.19,315795230.71,132384043.19,301993556.19,240066170.06,235819377.30,164538359.58,0.0
8,财务费用,6332000000.00,5572000000.00,2781000000.00,213000000.00,5908000000.00,5032000000.00,2482000000.00,-465000000.00,1261000000.00,1101000000.00,779000000.00,507000000.00,6393000000.00,3960000000.00,2795000000.00,631000000.00,7269000000.00,4967000000.00,1173000000.00,798000000.00,2286000000.00,1925000000.00,1508000000.00,956000000.00,-440300000.00,-394984000.00,-419605000.00,139834000.00,1464341000.00,1607427000.00,1021378000.00,395881000.00,-441072000.00,-385063000.00,-75405000.00,33581000.00,431289000.00,526045000.00,637178000.00,388635000.00,1639336000.00,1311801000.00,1052147000.00,684458000.00,357410000.00,-410771000.00,-853403000.00,-642724000.00,-106125000.00,263928528.82,136911131.76,154820609.40,761678193.02,663122422.10,585974632.25,265208597.51,570697799.19,277171677.10,427512381.62,193496661.38,698476930.78,506196318.95,343966113.70,172939188.15,785040705.64,576711985.03,388558027.80,207879323.63,844521595.97,647343112.62,470144139.63,199019112.97,699722003.92,366324736.44,748378024.62,398170938.57,1103508233.57,415556886.99,1054138171.19,372064566.13,736587258.75,789951067.08,709304552.56,1033807453.09,0.0
