,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,2016256.26,297999.78,30470.02,1077333.38,1278188.57,428048.10,338902.62,658355.58,334021.34,279620.19,152403.62,4402079.04,2982939.89,2624145.55,332494.19,1252522.18,495973.10,202309.17,0.0
19,四、利润总额,693170770.20,572780026.98,367646428.02,161373134.36,596680386.21,475345636.96,317499885.46,134763357.31,501636849.08,387177679.84,244484249.14,105039804.86,400683465.84,311285339.31,213074063.28,89582921.50,302396675.80,231881693.55,164988904.49,59790949.33,283910695.98,220151990.74,151514069.85,56872738.10,242441639.65,199265301.34,153763498.04,0.0
20,减：所得税费用,127488806.42,128529811.50,76535513.52,32104124.58,113760750.53,92233170.44,64578875.93,26595518.46,93193684.85,70563447.29,41269264.19,19295614.23,71793497.43,55544686.22,39749166.57,17523285.11,51434217.31,38078867.03,28037141.34,10685643.42,57699763.20,44127432.75,31329244.85,12108100.29,49285711.63,41055937.48,33117713.60,0.0
21,五、净利润,565681963.78,444250215.48,291110914.50,129269009.78,482919635.68,383112466.52,252921009.53,108167838.85,408443164.23,316614232.55,203214984.95,85744190.63,328889968.41,255740653.09,173324896.71,72059636.39,250962458.49,193802826.52,136951763.15,49105305.91,226210932.78,176024557.99,120184825.00,44764637.81,193155928.02,158209363.86,120645784.44,0.0
22,归属于母公司所有者的净利润,525262640.01,414168764.86,269434543.20,118422202.02,444928508.71,355496482.49,231723946.63,100343817.54,374132214.88,298228432.76,192806844.99,80590754.83,312022756.67,245728107.12,164910059.21,68670785.83,251043594.61,193802826.52,136951763.15,49105305.91,226210932.78,176024557.99,120184825.00,44764637.81,193155928.02,158209363.86,120415498.59,0.0
23,少数股东损益,40419323.77,30081450.62,21676371.30,10846807.76,37991126.97,27615984.03,21197062.90,7824021.31,34310949.35,18385799.79,10408139.96,5153435.80,16867211.74,10012545.97,8414837.50,3388850.56,-81136.12,0,0,0,0,0,0,0,0,0,230285.85,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.949400,0.749900,0.488100,0.214500,0.803900,0.640000,0.420000,0.180000,0.670000,0.530000,0.350000,0.140000,0.560000,0.440000,0.300000,0.370000,1.470000,1.170000,0.880000,0.330000,1.520000,1.190000,0.810000,0.300000,1.300000,1.070000,0.810000,0.0
26,稀释每股收益(元/股),0.941800,0.749900,0.488100,0.214500,0.803900,0.640000,0.420000,0.180000,0.670000,0.530000,0.350000,0.140000,0.560000,0.440000,0.300000,0.370000,1.470000,1.170000,0.880000,0.330000,1.520000,1.190000,0.810000,0.300000,1.300000,1.070000,0.810000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,565681963.78,444250215.48,291110914.50,129269009.78,482919635.68,383112466.52,252921009.53,108167838.85,408443164.23,316614232.55,203214984.95,85744190.63,328889968.41,255740653.09,173324896.71,72059636.39,250962458.49,193802826.52,136951763.15,49105305.91,226210932.78,176024557.99,120184825.00,44764637.81,193155928.02,158209363.86,120645784.44,0.0
29,归属于母公司所有者的综合收益总额,525262640.01,414168764.86,269434543.20,118422202.02,444928508.71,355496482.49,231723946.63,100343817.54,374132214.88,298228432.76,192806844.99,80590754.83,312022756.67,245728107.12,164910059.21,68670785.83,251043594.61,193802826.52,136951763.15,49105305.91,226210932.78,176024557.99,120184825.00,44764637.81,193155928.02,158209363.86,120415498.59,0.0
30,归属于少数股东的综合收益总额,40419323.77,30081450.62,21676371.30,10846807.76,37991126.97,27615984.03,21197062.90,7824021.31,34310949.35,18385799.79,10408139.96,5153435.80,16867211.74,10012545.97,8414837.50,3388850.56,-81136.12,0,0,0,0,0,0,0,0,0,230285.85,0.0
