,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3208671548.36,1922001430.65,661194438.76,4306456708.28,3109470913.20,1905453560.84,654006595.24,4119558474.48,2951482189.17,1825023625.78,676333855.23,2677012260.84,1790422802.01,1060891939.64,390439169.93,1646807039.91,1143981455.30,683707812.53,247851830.30,1412002766.85,1020964349.49,613514842.52,219100994.05,1242869225.93,885136756.82,530845846.66,199942776.24,1120178810.36,806174610.62,493351633.36,183174678.36,1157765465.19,845647196.72,565235663.13,229155728.69,1080954630.28,778816058.45,496046451.96,185062123.35,884853008.14,626962867.11,369347448.30,134134423.59,947599410.93,739131940.05,449791878.60,163817209.33,1025565632.52,762857441.75,458017659.51,170491626.31,807832866.56,590300518.12,383073968.10,151681870.22,664183539.40,474262557.09,318905796.51,126358091.29,573096268.69,390718115.02,251350557.07,480764441.99,451788237.55,0.0
2,营业收入,3208671548.36,1922001430.65,661194438.76,4306456708.28,3109470913.20,1905453560.84,654006595.24,4119558474.48,2951482189.17,1825023625.78,676333855.23,2677012260.84,1790422802.01,1060891939.64,390439169.93,1646807039.91,1143981455.30,683707812.53,247851830.30,1412002766.85,1020964349.49,613514842.52,219100994.05,1242869225.93,885136756.82,530845846.66,199942776.24,1120178810.36,806174610.62,493351633.36,183174678.36,1157765465.19,845647196.72,565235663.13,229155728.69,1080954630.28,778816058.45,496046451.96,185062123.35,884853008.14,626962867.11,369347448.30,134134423.59,947599410.93,739131940.05,449791878.60,163817209.33,1025565632.52,762857441.75,458017659.51,170491626.31,804376978.33,588150368.45,381906713.72,151051415.90,660643217.13,471554175.71,317577202.28,126116657.34,569475614.25,385851268.39,248920764.89,478540963.39,446235665.39,0.0
3,二、营业总成本,2940995901.65,1768378277.90,633732205.41,4002961219.72,2862277866.54,1723482925.60,606390486.51,3740912582.54,2679069764.99,1661449505.81,632062175.76,2405221653.96,1600975921.91,954482085.56,369315172.29,1562037210.51,1089373624.97,659315103.79,244900725.58,1368680087.54,987178487.60,596598336.87,216945532.96,1217679074.99,862768545.31,522198778.10,200363121.66,1087273575.12,782726644.44,479290805.13,183614054.38,1135125380.01,814913781.09,545157152.96,224538926.87,1044926573.79,751368646.95,477794740.28,181379105.48,874278346.89,619439269.44,374175294.79,141602279.79,916926503.73,702484325.93,422525609.57,157851947.07,973737725.75,725034195.47,432171836.77,164936936.23,758415680.86,555241436.07,359593608.09,145754174.57,623961276.82,446596378.61,298783701.89,122031658.40,536984874.58,369648730.21,235538861.61,446601894.57,419915893.67,0.0
4,营业成本,2624655915.41,1558789140.23,538554630.49,3588019814.76,2569094173.42,1532654050.16,523452842.64,3408603652.69,2444931775.25,1515242181.00,563104091.31,2158428180.16,1434910787.53,848275013.54,318898001.77,1359559885.30,948526804.64,567767179.77,206285519.71,1183061927.77,855470303.25,513081720.98,182796785.13,1052279528.77,743959206.24,448799122.76,170331003.08,933450858.51,663619638.17,403790968.15,154739709.70,975119827.84,709681885.89,477558632.63,198159059.47,924183183.32,665636770.44,423770927.45,161080135.04,766721121.30,544449338.69,322809390.14,119928485.08,804816358.27,626794092.95,377479860.28,139010246.77,879950988.82,658895901.94,392099865.03,149028181.58,694742008.47,510762326.74,334630505.15,134335224.04,585553899.34,419149000.72,280645419.07,112276055.97,507567328.62,346677099.95,221732544.84,425500420.50,400221718.06,0.0
5,营业税金及附加,11246371.08,7465598.80,1844390.25,14689248.14,11339341.91,7579240.92,2049428.85,16147871.95,12578580.04,6835835.22,2786868.19,15499933.96,8892099.97,6051213.04,2629048.82,10535537.62,7259884.95,4424779.68,1539660.83,8833405.72,6017479.61,3706935.89,1207211.35,7342215.64,4889563.44,2803990.90,1091990.73,7994391.36,5601031.15,3554557.71,1301025.06,6069983.73,3581373.58,2098788.11,868531.08,2636946.00,1461983.14,787106.21,388914.00,1826923.80,1066669.90,701085.79,272420.98,1799131.71,1277748.43,669636.84,157886.97,1356697.26,953610.14,454855.31,106165.82,729165.22,514726.71,210258.28,76440.76,14852.80,0,0,0,0,0,0,-1364864.06,1379297.41,0.0
6,销售费用,144049673.60,91871467.15,36154186.12,177320032.83,129492870.76,82916453.32,34773489.21,156405303.83,110482075.13,69185124.29,32470378.24,111747821.52,66818556.57,41082278.42,17750738.30,85876910.13,53761370.97,31791967.58,14078167.08,77624685.58,51359732.09,30975108.28,11742179.90,72374343.62,53113172.89,32029621.36,12051413.78,71999037.72,55337550.45,31348914.61,11037308.54,73062571.81,46252763.90,30914413.08,10712666.67,49398743.86,35593166.07,20711020.69,8033291.34,38889719.95,29113456.36,18942838.41,6512394.50,40629407.54,25627292.69,14144273.13,6239432.51,40199624.01,28443954.23,16156427.73,4747150.96,24139231.51,11938430.13,6396794.90,1927060.99,13127983.56,8559183.27,6549505.50,2749415.46,9158033.92,5849743.63,3810071.06,6919914.99,4398005.98,0.0
7,管理费用,96270085.36,64448669.36,27867584.76,132276890.14,91924620.80,88899339.77,43479230.14,150611929.59,106028557.57,65738729.75,31835972.69,110284456.84,88689077.48,57267123.34,28935167.95,95289453.92,76091910.28,51015544.16,22171817.52,87897840.46,68833626.43,44453916.84,20571842.05,77822482.20,54683641.17,33958465.32,15048531.11,64557589.18,49663128.45,31819357.17,15142378.72,62954669.40,43258055.04,26010372.69,11244678.00,51472096.56,39474972.14,25168331.57,9182692.34,46566969.92,34732299.86,24737417.45,10393860.60,42705737.09,32197044.50,19777952.09,8970420.11,30599435.97,21045164.50,13197951.57,6089466.69,25318442.74,21123538.87,11844457.08,6714470.93,16092101.59,11604640.79,6661645.80,5229067.51,9041360.21,9257224.88,4765810.37,8214538.24,7448820.50,0.0
8,财务费用,27173950.69,19243313.14,12175616.94,29957956.85,14707840.60,6317526.25,1926262.32,2193513.21,1647455.04,1272003.06,719981.74,-1023123.23,-206612.31,-366958.85,249202.90,-886909.16,-677488.68,-148377.11,289570.39,-529061.11,-319753.76,-692512.74,71171.78,3049003.22,2180991.81,2047320.30,1639944.51,2828968.05,2239015.81,2774393.46,737726.69,14360815.85,12782352.96,8153716.26,3013366.25,11975230.38,8136293.83,6705430.51,2273879.03,13993945.76,10721581.80,6935583.68,4147879.83,21276115.14,16335924.74,10534057.46,3944357.34,17829453.58,14902570.73,9575700.16,4617178.57,13486832.92,10902413.62,6511592.68,2700977.85,9172439.53,7283553.83,4927131.52,1777119.46,11218151.83,7864661.75,5230435.34,7331884.90,6468051.72,0.0
