,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,657709337.23,511269510.64,404873162.78,215506050.35,990541946.83,729971980.86,552843958.49,318094284.44,1607092730.23,1267760784.39,858453922.34,373154991.46,1664832961.69,1138865561.23,705053135.99,357206556.31,1518473415.22,1147148876.91,674171619.80,325363108.81,1771780508.26,1492181663.80,732340949.50,457257874.42,2052231934.32,854022566.39,573760132.96,289140393.21,1519210168.37,841846476.96,566326522.83,276080868.77,1501264153.93,1220330238.89,720457197.76,302637705.35,1004140026.48,766105882.24,506397985.55,296353595.99,747379115.75,548666534.29,347899664.18,141940289.35,476763792.47,294573534.78,207468279.40,127255092.01,832254700.50,619303313.26,368924979.67,182765576.92,569793595.57,437025967.64,278100924.19,142824696.16,558929054.08,418360327.76,268605764.35,120433959.63,591891845.29,427567291.54,303469543.61,154147970.47,690944225.29,537648172.92,367724683.03,123704637.07,402518327.04,300831638.31,210727922.48,127601006.01,345800684.61,169010517.10,291732473.10,138184821.89,1249332716.53,1048909444.47,1902178587.91,954421746.61,2128090342.51,101708251.55,270979748.74,117079249.15,373215240.04,263663253.42,198889958.61,0.0
2,营业收入,657709337.23,511269510.64,404873162.78,215506050.35,990541946.83,729971980.86,552843958.49,318094284.44,1607092730.23,1267760784.39,858453922.34,373154991.46,1664832961.69,1138865561.23,705053135.99,357206556.31,1518473415.22,1147148876.91,674171619.80,325363108.81,1771780508.26,1492181663.80,732340949.50,457257874.42,2052231934.32,854022566.39,573760132.96,289140393.21,1519210168.37,841846476.96,566326522.83,276080868.77,1501264153.93,1220330238.89,720457197.76,302637705.35,1004140026.48,766105882.24,506397985.55,296353595.99,747379115.75,548666534.29,347899664.18,141940289.35,476763792.47,294573534.78,207468279.40,127255092.01,832254700.50,619303313.26,368924979.67,182765576.92,565536513.41,432892897.75,276693309.44,141365989.92,559396045.70,418695820.41,268940282.41,121307173.69,591468812.23,431498515.72,303318715.22,153229294.82,686861620.23,538762347.72,362628271.73,119751811.15,395527949.41,295551787.07,205976479.46,124396556.70,333278922.46,164192903.53,291519768.15,136688676.10,1247726534.69,1050463017.50,1903994574.12,954865245.76,2128648570.10,101555502.28,270759587.19,116532526.72,372735688.05,263663253.42,198889958.61,0.0
3,二、营业总成本,806840336.61,596490876.29,443770797.58,227010655.90,1124541656.51,812704064.06,602385944.46,336271616.89,1940465256.20,1220342067.00,824687928.72,348177036.24,1581161476.98,1082602705.97,683365586.47,347600019.08,1493654159.68,1113777662.07,668670278.76,325846363.97,1673666208.91,1455864029.82,712106725.79,460160932.53,1875325207.47,835299262.90,553252975.36,270098070.39,1433792360.59,837516104.53,584157561.89,299830992.58,1472770925.97,1255126538.83,740735651.69,307729494.83,1022259183.87,787604029.08,528193497.32,311114385.04,758581532.71,566163056.41,386648724.12,184181982.41,594508030.31,292038644.37,209691278.65,131256899.74,780282005.75,579289307.22,346956467.73,176859903.48,543661446.10,419233901.98,267317987.65,139445560.33,529051253.88,398713919.07,253407071.46,115635307.78,530903947.76,384382656.05,263748956.13,127931029.56,604708579.41,474410439.75,328584517.73,106291930.12,361890777.34,259389361.51,183784687.59,116687847.77,305620378.52,149833828.16,249095086.91,112920764.16,1186394010.99,1019504852.57,1850883297.82,935421395.20,2048034396.00,0,264434216.93,0,345925470.73,239104651.50,154307749.35,0.0
4,营业成本,634711093.43,460555795.87,357925304.68,191821535.17,901622146.62,672799948.86,514880296.33,302886656.38,1427714610.35,1115464192.33,756940821.16,309746867.39,1432272432.06,980415551.22,614622950.22,309598846.27,1312770741.86,984229767.78,583553484.03,291085789.78,1440379817.96,1295835992.69,627887371.67,404391306.93,1569989300.34,727362262.65,474896327.78,230880020.81,1217890740.15,721023002.74,491537367.79,252489502.22,1281430924.49,1111252786.06,656220209.17,274051939.31,895777322.51,697740869.09,450057156.76,272347490.87,640113724.28,470905895.94,321660800.67,147347004.37,474031576.09,272855877.13,197145093.11,116447133.31,653889800.30,488164423.97,288173920.66,155549842.35,473891702.71,372354637.30,240600683.19,130811021.57,462040411.65,349519988.80,221571847.79,100394043.71,474683497.86,346121641.00,236072321.43,115148677.10,540127116.65,425263941.10,295637539.33,93543053.02,320327153.47,231284053.50,165012208.99,105930609.17,276513067.30,136957850.14,220426278.62,98215000.54,1048919730.92,901259884.72,1635378948.19,826018057.48,1818249852.99,0,232468181.32,0,313514137.05,198109319.84,131736200.58,0.0
5,营业税金及附加,12955047.50,8726005.37,5200906.01,3525923.52,15876018.37,12201435.04,8080128.41,2598608.69,12421912.86,9330129.60,5772174.87,3217386.57,12569319.95,4329978.61,2189658.93,1286234.06,8416828.16,4071354.95,2977703.24,996970.59,61083061.03,59049758.34,15459868.04,15056105.42,104867806.14,4274045.18,3205300.90,1653094.05,58563951.96,4295827.89,2604699.38,919640.36,40216765.90,32490978.82,15401496.77,938599.87,2310613.59,1448043.27,1171867.92,744658.88,1815884.82,1162479.52,683158.00,150970.12,1095800.31,591820.65,477200.13,334718.80,2920454.99,2320231.60,1677592.85,854350.80,2848960.55,2292190.98,1487516.45,788360.08,3002067.23,2090292.62,1490531.83,469749.51,2411426.68,1611803.80,1293521.50,722670.32,4014318.38,3317474.26,2240612.30,885370.74,2348088.68,2000064.71,1261799.34,846020.59,5095468.22,2733363.69,3069007.17,1126500.64,5673259.90,4562860.05,8558888.70,4805818.44,8630217.43,0,1640253.74,0,1829551.26,1872608.14,882155.41,0.0
6,销售费用,6265746.44,4607126.14,3755853.13,1738443.54,7166928.32,5235059.90,4114089.19,2721256.70,14547099.79,11945803.95,8101104.86,3909013.66,15878724.68,10943761.79,7369524.61,3495352.03,16421708.09,12281247.60,6953381.60,2690861.05,14171705.40,11072748.24,8354075.27,4004253.87,20183477.25,9228176.34,9642203.12,4446566.39,8208222.31,7406714.21,5749432.83,2038473.61,6905124.39,10406371.95,5502894.26,2619940.56,8725841.09,6683600.95,4447640.38,1971112.39,8105696.65,6341851.03,4130883.45,1931316.74,3649076.51,1617451.05,1168558.83,790131.63,8250075.90,6364694.89,4222350.78,1770149.25,7755144.81,5938124.52,3843050.12,1867165.25,7031804.76,5170236.58,3466703.05,1599177.23,6871198.86,5024576.85,3440016.16,1302169.44,10553297.11,8573635.00,5517354.08,1373053.19,6812704.39,5161920.59,3495163.28,1626727.80,6649234.31,2375604.69,4059633.09,2213971.46,55760613.18,50216451.50,95581740.74,45169397.70,86345169.65,0,42946.20,0,33695.00,78847.96,84702.03,0.0
7,管理费用,149061665.45,120447621.80,75814225.72,29454564.81,172311740.82,124629018.29,76180170.85,26641979.61,146687177.11,78806490.43,50397949.85,28540632.84,124358317.23,85229774.69,57333968.78,32523075.48,126586975.75,101384917.85,60904298.56,26820843.07,121473485.38,66246160.40,46520935.83,28561937.72,101228626.59,65294668.87,42458800.90,21573728.52,80269280.74,57366753.81,40531844.08,22891755.80,86040399.52,62341935.60,39732164.04,20022978.68,66241795.78,47684264.73,33793833.59,14236902.94,64310051.09,44488723.85,29458330.69,17210069.38,28457190.46,9235687.64,6283019.77,6812207.02,70370971.33,52905746.39,36001272.05,9525433.15,39415320.45,30404240.86,19366059.39,8667527.49,39643957.62,29631158.12,19826924.34,9944351.77,39401762.88,26389965.22,18939300.38,8581744.52,43532333.62,32180862.09,21930014.72,8847866.39,27627171.27,19852256.35,13890164.21,8344189.15,17475901.93,7663865.03,22802403.38,11570527.62,68072305.68,50099343.82,95067398.05,51750043.44,103530230.57,0,24570920.09,0,24168539.63,27007338.11,18521767.24,0.0
8,财务费用,1079195.30,13369.87,140366.33,327970.52,-3929882.19,-4101734.16,-864325.45,1423115.51,5117845.36,4846782.90,3527210.19,2763135.78,-4102735.59,1810255.41,1976099.68,696511.24,10397885.90,11366651.43,13837688.88,4251899.48,35441656.28,24303205.32,14528310.15,8147328.59,50433179.45,28792712.56,22702945.36,11544660.62,71394936.65,47207159.52,43517571.45,21491620.59,54005759.09,38686587.14,23931008.19,10096036.41,49010382.60,33717156.91,38394488.80,21814219.96,58830183.10,43254432.44,30705877.68,17542621.80,71703479.48,7844621.13,4731920.04,6872708.98,44829185.69,29534210.37,16881331.39,9160127.93,19750317.58,8244708.32,2020678.50,-2688514.06,17333012.62,12302242.95,7051064.45,3227985.56,7536061.48,5234669.18,4003796.66,2175768.18,6481513.65,5074527.30,3258997.30,1642586.78,4775659.53,1091066.36,125351.77,-59698.94,-113293.24,103144.61,-1262235.35,-205236.10,7844501.31,13366312.48,16296322.14,7678078.14,31278925.36,0,5711915.58,0,6379547.79,12036537.45,3082924.09,0.0
