,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7536244937.55,5314628144.68,1673977540.30,12266918450.90,7160605610.25,5082415016.47,1535273540.64,11967458041.40,7294575318.14,4582320391.05,1529978939.39,10059891793.49,1180122724.27,615202654.63,234584546.74,2002281759.00,1057788741.08,840843326.82,335919383.13,2983640946.82,2275188174.74,1864281213.91,814769894.90,3203515565.72,2410487668.70,1727606920.93,774733114.70,3066716721.74,2185839334.72,1615036789.60,703340372.55,2957330128.80,2097724112.71,1554323021.38,689086936.52,2891399315.44,2190033070.06,1396842312.91,568043960.13,2403322811.71,1765890559.90,1152464201.17,474667739.57,2049303484.93,1247101399.71,803472717.58,375775315.69,1698125598.05,1209809808.04,813836298.54,316799530.51,1248757638.32,931233029.82,585925644.91,267584415.58,825977003.29,467310599.96,361462387.51,58115562.09,996857513.51,628698639.35,338608129.48,51324978.98,777174830.18,532786415.99,348718399.61,353206387.19,289748505.80,0.0
2,营业收入,7536244937.55,5314628144.68,1673977540.30,12266918450.90,7160605610.25,5082415016.47,1535273540.64,11967458041.40,7294575318.14,4582320391.05,1529978939.39,10059891793.49,1180122724.27,615202654.63,234584546.74,2002281759.00,1057788741.08,840843326.82,335919383.13,2983640946.82,2275188174.74,1864281213.91,814769894.90,3203515565.72,2410487668.70,1727606920.93,774733114.70,3066716721.74,2185839334.72,1615036789.60,703340372.55,2957330128.80,2097724112.71,1554323021.38,689086936.52,2891399315.44,2190033070.06,1396842312.91,568043960.13,2403322811.71,1765890559.90,1152464201.17,474667739.57,2049303484.93,1247101399.71,803472717.58,375775315.69,1698125598.05,1209809808.04,813836298.54,316799530.51,1248172814.50,930353947.03,585626722.25,267322644.85,823742199.73,466603522.19,361524300.37,58153160.76,995068399.55,628018053.89,337997721.86,51333476.41,774434097.46,532681121.22,348616211.20,352093173.87,288860890.75,0.0
3,二、营业总成本,7074349706.55,4942233812.01,1530095285.94,11696676801.34,6764622028.66,4752545633.78,1468062559.24,11438504718.90,6932281299.45,4366218269.89,1460841041.19,9576697779.18,1209270295.02,649755869.74,283500072.75,2068209543.92,1135039037.68,878403422.97,364533687.01,2758932388.94,2050255985.59,1612141604.20,718707088.20,2896521546.51,2160725504.65,1537803235.77,725623749.39,2883590389.84,2034771634.73,1516440305.63,663836384.63,2814347058.53,1993861057.66,1480945938.41,669469643.18,2811409690.54,2129139686.01,1360875566.39,554771201.19,2353130912.74,1727757148.16,1125237481.14,460951853.70,1990169912.38,1224003255.77,783464017.56,365799989.97,1677120290.17,1196695110.34,804416095.47,313992220.28,1240147014.82,923868981.46,579653672.97,264321575.32,837865635.37,477266031.50,353728735.80,69221053.32,975071218.86,611191892.36,325543946.78,64941434.34,744949423.31,510790221.93,325714591.31,324542268.25,269093425.54,0.0
4,营业成本,6799554717.02,4787643379.80,1497008451.80,10858408650.48,6376975740.11,4501208962.48,1355769941.83,10426762626.83,6426234399.82,4056800743.24,1306190849.14,8812542575.12,1059639078.28,564192386.81,250770835.22,1789306245.75,948006741.19,767107516.13,314421751.49,2477464571.42,1837026811.71,1456661394.11,641306509.66,2630296349.46,1946607445.14,1399265387.28,671082932.58,2543597677.09,1832719879.15,1363511636.35,596035915.75,2572305648.91,1812495227.83,1366982799.50,630403245.77,2597059433.69,1984622942.25,1279340965.51,530353879.45,2182654901.52,1622320125.84,1061429201.49,433103336.74,1837067073.39,1152228924.02,735159151.75,341200924.65,1564903391.28,1123959145.93,770486831.21,301666607.09,1154430329.05,870710440.13,549199850.33,245181881.89,770202083.84,437685957.28,329190301.65,58850608.78,917636387.53,575943188.81,306182802.86,53409342.50,692712324.96,480669768.72,307114667.27,300050199.26,252169013.99,0.0
5,营业税金及附加,10342670.58,9127785.12,1716727.56,23864648.74,12813504.75,9701632.29,635828.65,34727072.65,32497046.48,19666980.28,10135588.84,7281583.14,267826.36,73626.85,33932.48,1758658.51,1006189.58,676283.20,2947.58,6252699.68,6181527.87,6461004.22,1169195.20,6204744.10,5526008.54,4279580.31,2555770.21,8988978.34,7368322.94,7144875.59,3377105.42,8414686.96,7683242.39,5864810.38,3147852.41,7738145.21,3186234.43,2790759.87,104748.68,6539883.94,3208714.90,2756856.33,898861.07,2850185.13,913737.30,668543.40,4611.23,3091248.01,1696947.45,1313081.01,18064.20,1140563.29,507265.94,260224.74,0,2848538.14,550000.00,550000.00,0,2267296.47,1294022.11,31076.76,31076.76,2089478.06,1426159.12,1226159.12,837235.15,625799.83,0.0
6,销售费用,24874847.36,17980122.15,9488119.13,56777066.31,35964809.69,21817680.28,8147210.19,57134750.68,41092782.63,20081588.15,9670041.16,39023568.45,15654786.12,8543642.72,3343421.89,49451710.85,29177796.41,10602535.85,5175523.33,38864216.77,29813811.80,24162902.42,13695838.68,46055012.69,39251343.19,29843415.22,3950767.18,87109260.91,48869137.11,39441514.91,6086588.95,47557360.07,31366761.71,16184237.01,6777763.93,28024264.27,20501928.81,14393062.92,3864832.98,27479526.18,18969824.27,12722223.48,5081715.46,32321011.21,23866527.46,17178796.60,9344050.64,32396923.62,17420088.69,8829307.18,3087570.01,20118460.39,13224018.85,8160358.88,5139050.23,16946403.37,8417884.56,5830296.64,2297593.55,14982934.16,8507791.18,4931316.94,2564928.24,8891219.86,4321986.37,2683587.56,5950462.13,3369576.39,0.0
7,管理费用,263622784.71,168223109.51,78522817.62,439369623.99,291575514.15,279625199.12,128042646.48,905087095.42,460246064.87,262862450.04,117419775.43,796042385.03,133933278.60,84814234.24,34732623.89,222111325.12,142529459.84,95481765.80,38655400.75,261564046.74,175479319.62,112530172.78,46390939.30,245311321.84,176481422.43,116075714.90,48567607.36,231789725.38,143561398.62,99834949.76,57529865.56,192413040.96,143254473.63,91638028.38,28558658.48,168836009.54,115629833.58,57609466.61,19797649.89,121056434.41,73427075.12,41777652.86,18680638.33,113950830.31,52823849.00,31562896.54,15876706.13,64096487.09,42259460.41,20564426.37,9059057.66,52240925.18,31720829.54,17005884.51,11640553.61,43752912.98,27562002.77,16094296.21,7122474.45,33554805.56,20578772.08,10940330.43,6589796.50,36185341.70,21959367.20,13363095.50,14831350.23,10150206.46,0.0
8,财务费用,-185991339.41,-135862677.85,-94522946.56,-164004288.20,-136830135.28,-80303431.47,-37521884.57,-94256568.82,-71631730.05,-31257102.63,-4005544.40,-96332197.29,-13913090.44,-10042141.54,-3548193.96,-20646075.43,-14180979.45,-10045203.79,-2733716.35,-33408166.57,-15622285.84,-14906385.77,-3593308.29,-31689771.14,-16081588.43,-12847350.34,-1050820.11,-10908288.65,-7413286.35,-4218937.76,806908.95,190056.60,1756212.76,811856.89,197206.88,4726954.39,5675195.04,5432758.47,667024.36,7487314.90,7104277.98,5017960.54,2092533.60,9780320.37,-246353.00,3849224.71,1105748.22,10755393.98,5821735.43,4282800.82,1036263.60,12216736.91,7706427.00,5027354.51,2360089.59,4115697.04,3050186.89,2063841.30,950376.54,6629795.14,4868118.18,3458419.79,2346290.34,5071058.73,2412940.52,1327081.86,2873021.48,2778828.87,0.0
