,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,62630699276.39,64942356363.07,31194661894.39,10621092577.07,54787877349.62,37260423265.87,26018565442.16,14166316537.39,51041303382.75,38503620127.86,25771212658.28,10006172380.41,50198852619.86,37484346790.59,24822537267.56,9215884739.52,38572907703.82,32181695386.03,19684214670.86,8352138575.73,45794271725.90,34957389191.82,24686445516.72,10460106705.57,46167758765.54,37507445467.88,28033747577.19,13346625339.60,50228443182.06,39199470329.90,25355764341.18,12899659038.71,39414807405.32,31433375580.26,19831652336.62,7905777715.38,31514701788.92,24278110521.84,17471319039.21,5965289818.27,23360095222.38,15422362047.39,10458022572.07,5923040046.26,19873121265.35,16603386969.44,10927714500.71,6079806168.64,9929605172.63,5790341086.92,2984311672.14,1879992375.86,3573309855.65,2282386233.03,1518454779.29,835816266.76,3806367275.96,2859552846.16,2249753101.63,1102330052.22,1542216480.92,530925153.11,178807491.42,86567089.20,325368420.57,248990109.97,168462360.33,124049847.87,286046178.05,133104257.31,249815954.03,220036636.74,0.0
2,营业收入,62630699276.39,64828768040.84,31194661894.39,10621092577.07,54787877349.62,37260423265.87,26018565442.16,14166316537.39,51041303382.75,38503620127.86,25771212658.28,10006172380.41,50198852619.86,37484346790.59,24822537267.56,9215884739.52,38572907703.82,32181695386.03,19684214670.86,8352138575.73,45794271725.90,34957389191.82,24686445516.72,10460106705.57,46167758765.54,37507445467.88,28033747577.19,13346625339.60,50228443182.06,39199470329.90,25355764341.18,12899659038.71,39414807405.32,31433375580.26,19831652336.62,7905777715.38,31514701788.92,24278110521.84,17471319039.21,5965289818.27,23360095222.38,15422362047.39,10458022572.07,5923040046.26,19873121265.35,16603386969.44,10927714500.71,6079806168.64,9929605172.63,5790341086.92,2984311672.14,1879992375.86,3561942776.38,2278914858.13,1515754769.57,835437347.92,3803193345.78,2859190396.89,2249223896.64,1101739996.50,1541069900.89,530707845.76,178955018.85,86607993.83,323059312.78,248864786.11,168373889.50,124049847.87,283177907.09,133061838.90,249778253.12,220047578.81,0.0
3,二、营业总成本,60553356439.52,63588531701.85,30153876502.72,10109725146.17,53278768852.69,35760833647.69,24978304585.99,13628986651.71,49382276134.81,37253334782.67,24864603680.17,9561937591.30,48547579831.15,36237192871.61,23997493910.50,8834911465.02,37748687718.98,31767791362.74,19615110392.43,8464190393.01,44691851757.52,34172223912.23,24243059366.89,10320391656.50,44756950247.21,36019129105.74,26776489859.67,12597386941.36,47320112143.17,36705605519.72,23443740644.19,12109277230.52,36700345971.97,29092486678.20,18389033939.97,7303917610.15,29718938512.59,22924655214.72,16645425047.76,5583944776.50,22297379222.06,14502758400.51,9767774385.49,5681736253.86,19018223922.73,15787457355.57,10238566814.64,5770398025.08,9590906747.68,5533382587.52,2818591634.82,1793934695.35,3317799191.87,2114666550.29,1399343177.46,786680616.96,3650725502.53,2751273966.44,2189755731.83,1080738677.46,1452728269.99,465165848.95,130692994.32,67737499.28,265024250.57,199594282.27,132279907.62,-450888.61,242143781.84,113739297.28,208305038.10,179310281.33,0.0
4,营业成本,56585661364.16,60658356993.36,28511063188.37,9304431497.51,50016501879.37,33618153452.14,23580287946.65,12955909881.15,46412368965.80,35065883706.24,23483699931.01,8909536488.81,45799121725.06,34556047631.44,22855109808.31,8259431943.44,35592943645.26,30222552480.52,18588950428.54,7903926863.97,42495254950.71,32535240372.20,23100059473.61,9730154276.76,42599292163.94,34488484909.51,25742938332.77,12078688121.71,45226425455.92,35238910076.43,22521833885.80,11680284401.80,34994793776.17,28055209043.68,17729339861.59,6994347233.70,28485660323.44,22126998448.78,16115794488.06,5324663778.62,21299186823.50,13910082128.96,9411771997.58,5477381895.56,18136664380.20,15216786534.17,9865078744.13,5549196823.07,9266801908.03,5343173508.65,2685685648.89,1729627588.33,3090648213.51,1946449289.08,1287705445.37,734530308.20,3465366191.23,2620931628.41,2106945613.93,1043923366.52,1345874955.22,399172475.96,89289607.83,45282893.81,178453261.44,132622221.86,91542017.43,0,157468324.42,74582840.23,138796820.79,120879117.87,0.0
5,营业税金及附加,553263652.17,390299556.65,260575478.08,129304616.47,363620590.37,198525060.42,131913370.07,63744790.44,240658049.40,182709206.63,120784816.88,55032872.02,180603388.26,2665426.63,1402713.14,560573.70,5556027.99,3341650.15,2103160.25,1150697.66,8961006.15,5283251.47,4011350.40,1588770.44,6822462.61,4060694.09,2808198.83,913136.09,6624781.50,3920652.05,2586611.82,1179349.79,5292471.82,3586517.20,3085678.20,1113691.82,3733750.01,1922309.23,993902.12,390228.65,1693749.49,1027547.65,764647.93,325609.79,1710552.75,1228728.89,932536.53,363988.30,457163.72,167107.28,89538.01,24345.78,477582.77,367481.30,300218.34,113333.32,326147.64,180718.19,120783.47,69440.45,251377.77,160475.38,95020.12,43359.58,214467.35,168453.21,214088.71,0,379160.88,124337.80,168067.01,3791.94,0.0
6,销售费用,188119508.88,147439713.77,17501176.34,6754780.07,37227075.35,20444220.18,14352972.27,8268986.78,31152153.39,24273326.02,17843559.34,7427242.00,34440986.74,26377730.32,18198195.48,8137621.62,34768390.42,27432649.95,17763273.91,8918094.16,35669065.35,25793746.68,19832172.13,9616324.03,37034776.05,30177343.28,21671625.53,8648855.65,39016684.21,29609790.62,19294189.07,9587472.94,25209616.44,19675772.38,12426746.55,4954478.01,22251195.09,17006766.38,12745759.50,4755040.85,27780245.33,18274510.67,11689301.68,6648626.21,25435395.25,20235128.63,13258418.21,6455812.11,16332147.51,10234010.19,5589048.00,2883444.93,8997889.61,7477791.28,4946490.44,1513889.20,7846573.76,4767899.74,3936877.96,1968572.24,4635667.17,2823902.01,1833178.93,912071.06,4034837.12,3400064.53,1819047.29,0,3073337.83,1456208.92,800130.08,0,0.0
7,管理费用,2046232511.28,1487900658.38,913629867.16,454991622.58,1746739515.34,1232073451.49,897110827.62,437859305.79,2200984056.96,1628348656.37,1075754499.59,517847605.82,2205206495.82,1404516283.59,960289681.37,487876211.84,1740129575.98,1240739453.40,807765146.17,454543869.63,1753544702.60,1308487616.32,902282189.42,474588741.05,1814471952.42,1292645598.64,874157444.33,450700062.78,1739792050.69,1222463884.46,760195774.67,358796781.86,1489443596.97,876348128.03,554027821.51,259750139.02,1103398337.75,711073438.95,442568432.56,217513313.21,854260157.53,509750086.51,307244841.55,177623689.41,711774445.03,418554366.94,267514898.97,163101729.91,252478760.47,144845520.01,97208088.50,50079696.40,194488340.61,142504488.40,94720709.58,45994199.73,160029900.91,112413596.58,71284313.35,32448344.53,97104406.69,60662810.52,37845453.75,20812332.31,74249239.88,55835984.47,33553199.36,0,70497931.62,31655516.29,59246589.37,50421290.99,0.0
8,财务费用,847029400.13,654803813.71,303158898.60,176263753.90,791538210.20,541483841.38,356447485.69,164646288.23,499968089.25,350004389.76,165710907.83,69778573.10,324662624.79,249191599.32,164855110.41,76032905.26,356418332.15,268163795.66,192805085.27,91206339.68,393805123.49,294389415.00,214849990.66,102149041.29,283572617.84,196601606.48,128649203.70,58089781.81,275470808.63,203250130.58,135556993.52,55988171.99,181763780.10,135871409.91,88098673.05,41870161.73,109904490.08,79687857.81,54737461.84,24802230.07,80781648.95,55327787.72,32023120.36,18339057.88,74735421.84,57236350.34,35497113.01,19867358.07,19147574.28,12054875.76,7792320.55,4014361.88,23187165.37,17867500.23,11670313.73,4528886.51,17156688.99,12980123.52,7468143.12,2328953.72,4861863.14,2346185.08,1629733.69,686842.52,8072444.78,7567558.20,5151554.83,-450888.61,10725027.09,5920394.04,9293430.85,8006080.53,0.0
