,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4445544317.00,3296177035.00,1735802757.00,738801198.00,4041902113.00,2930824914.00,1668927250.00,882850908.00,4048817227.00,2535070161.00,1392695668.00,675464602.00,2568911745.00,1661643218.00,887244762.00,363422099.00,2231400561.00,1513635897.00,882676938.00,436843571.00,2015619983.00,1399575991.00,801238507.00,374057659.00,2021440900.00,1443252226.00,815997323.00,366202678.00,1817329180.00,1282234010.00,802387878.00,410892099.00,2154386408.00,1485278812.00,947391994.00,415463898.00,1757398055.00,1207632937.00,639079581.00,282867412.00,1042008015.00,713693994.00,385743114.00,158825856.00,984403428.00,690428212.00,382880707.00,157503888.00,839274676.00,584824934.17,332598128.21,161939180.00,854137881.00,552377282.00,352967123.00,166013984.00,482192498.00,313372103.00,200623111.00,88681376.00,374942990.00,260526482.00,152916228.00,319461713.00,344348187.00,0.0
2,营业收入,4445544317.00,3296177035.00,1735802757.00,738801198.00,4041902113.00,2930824914.00,1668927250.00,882850908.00,4048817227.00,2535070161.00,1392695668.00,675464602.00,2568911745.00,1661643218.00,887244762.00,363422099.00,2231400561.00,1513635897.00,882676938.00,436843571.00,2015619983.00,1399575991.00,801238507.00,374057659.00,2021440900.00,1443252226.00,815997323.00,366202678.00,1817329180.00,1282234010.00,802387878.00,410892099.00,2154386408.00,1485278812.00,947391994.00,415463898.00,1757398055.00,1207632937.00,639079581.00,282867412.00,1042008015.00,713693994.00,385743114.00,158825856.00,984403428.00,690428212.00,382880707.00,157503888.00,839274676.00,584824934.17,332598128.21,161939180.00,850102694.00,549578035.00,351223740.00,164947704.00,480961546.00,312487831.00,200384963.00,88508253.00,374560698.00,260490630.00,152903840.00,319382474.00,344232307.00,0.0
3,二、营业总成本,4201921102.00,3121874215.00,1728700537.00,767188804.00,4264478493.00,2967980430.00,1661908787.00,869326468.00,3938360677.00,2468013818.00,1364707960.00,661691886.00,2527081335.00,1641366870.00,884814109.00,362474087.00,2176133151.00,1486831362.00,880616246.00,432797689.00,1911430491.00,1339931193.00,771574106.00,365694978.00,1947076383.00,1396053021.00,789738984.00,353637142.00,2025283445.00,1432888148.00,950806071.00,397163615.00,2084706482.00,1410046170.00,904599187.00,404592408.00,1658539435.00,1117936144.00,572291573.00,243936243.00,923041417.00,638303070.00,350461356.00,143627755.00,894552032.00,628580373.00,357713819.00,149723129.00,765035901.00,528738457.30,304552341.83,147041506.00,781269041.00,501333960.00,321225882.00,153852013.00,426562595.00,268629209.00,168680673.00,78105254.00,323185849.00,224337042.00,127949655.00,266822284.00,286430355.00,0.0
4,营业成本,3684712393.00,2763551914.00,1484814520.00,647164968.00,3547871046.00,2522276242.00,1416179059.00,754095326.00,3414311376.00,2103068725.00,1150847888.00,558712328.00,2080588869.00,1347397273.00,704304337.00,280242246.00,1786904153.00,1219328999.00,717618622.00,351139814.00,1576323025.00,1087651326.00,617774482.00,294921799.00,1590536630.00,1147413055.00,645264630.00,290836095.00,1478259733.00,1038154225.00,640528830.00,331603797.00,1756382259.00,1198713705.00,774674866.00,344816525.00,1423560544.00,964528092.00,478669121.00,203443556.00,755375992.00,511514943.00,273018471.00,112389144.00,725710231.00,510621124.00,282695166.00,112139771.00,636050511.00,440587135.88,250537227.87,125821425.00,672271601.00,425122314.00,270054925.00,125026964.00,347858061.00,219861559.00,141866729.00,64954909.00,271464758.00,183232217.00,103366440.00,214486913.00,227602045.00,0.0
5,营业税金及附加,23554537.00,18110371.00,12536228.00,5699271.00,24048503.00,16974779.00,11559319.00,6845047.00,27474908.00,20092956.00,12516962.00,6608132.00,25735660.00,16130366.00,11306381.00,4131849.00,15053128.00,11373462.00,8704663.00,5857344.00,16240858.00,12734130.00,9034076.00,3515944.00,14819117.00,9558395.00,6417659.00,2824582.00,11919308.00,9383583.00,5675419.00,2540611.00,10916251.00,6363046.00,3182242.00,1343231.00,4717537.00,3700843.00,2203444.00,1071033.00,4794321.00,3839118.00,2321997.00,848500.00,3463939.00,2587374.00,1270850.00,34677.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,销售费用,93846899.00,66535605.00,41560153.00,19888794.00,110584568.00,75301945.00,47435431.00,26408149.00,121321081.00,82581092.00,46512686.00,23044120.00,99913500.00,66409481.00,43155662.00,19802154.00,93549336.00,61646812.00,39832703.00,18917951.00,82092140.00,55140622.00,35694025.00,18794086.00,88776890.00,60884989.00,38008270.00,15188753.00,79334460.00,55175387.00,34724770.00,13269329.00,73878796.00,52602411.00,34185428.00,15223549.00,58130985.00,45720120.00,27985162.00,12817650.00,36679614.00,27726052.00,16958352.00,6925920.00,39096079.00,27981458.00,17641984.00,8543342.00,27814420.00,22563096.06,14483320.08,9051838.00,40006844.00,28512643.00,20693054.00,11623624.00,34995474.00,21826325.00,13557014.00,6506787.00,24922747.00,18998359.00,12809878.00,23953151.00,20464515.00,0.0
7,管理费用,161107801.00,110686881.00,70511048.00,33827945.00,122866133.00,91950177.00,141433557.00,66461242.00,304133611.00,220673790.00,136733278.00,63343795.00,263350725.00,185213656.00,116623792.00,52829848.00,228020191.00,160738805.00,99840053.00,49417143.00,191134895.00,141238417.00,86769913.00,41755299.00,185837944.00,136339900.00,74297846.00,33219996.00,174776676.00,118693782.00,74640833.00,36885298.00,161040343.00,103822079.00,65375928.00,30203050.00,124728580.00,77277371.00,48830167.00,19871938.00,90577680.00,62180181.00,37619634.00,17609737.00,80053361.00,58815569.00,37459241.00,18612448.00,74949447.00,49829184.12,26686751.19,5758143.00,55205977.00,35475284.00,22555364.00,13625773.00,37548637.00,18717198.00,9725970.00,4912821.00,24567205.00,17976706.00,9377839.00,28158931.00,35204757.00,0.0
8,财务费用,48992448.00,35830156.00,33498712.00,17097471.00,106407937.00,87115622.00,42990298.00,14234365.00,38879662.00,29643276.00,14514118.00,7328555.00,5623529.00,14329459.00,8264315.00,4993657.00,20622081.00,19086927.00,8912491.00,5032877.00,27739990.00,21998773.00,13941101.00,5363289.00,37099472.00,30643300.00,20240199.00,9554148.00,47010268.00,35724074.00,22650498.00,12041525.00,56198679.00,41094208.00,25123575.00,12870706.00,41143188.00,26060603.00,14477629.00,6727175.00,26254724.00,19417334.00,13172509.00,5854454.00,31032221.00,26823849.00,17501711.00,10392891.00,35185711.00,22500234.94,15105877.60,6410100.00,13784619.00,12223719.00,7922539.00,3575652.00,6160423.00,8224127.00,3530960.00,1730737.00,2231139.00,4129760.00,2395498.00,223289.00,3159038.00,0.0
