,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930331,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,865676635.13,199924575.40,142680147.56,80382019.01,540039459.34,389562140.58,266214761.58,142112520.52,1040852829.06,736773550.27,565952919.25,165545105.69,682625574.58,487354253.76,325843641.35,149879580.99,1155040014.68,733328318.35,319260844.50,139167875.26,1947008902.56,1367463879.50,852204497.20,285969716.61,923686606.58,463883323.83,292552212.50,150633894.63,608252997.38,375521880.47,186198339.60,96667828.52,900451841.87,286284575.85,176407351.87,59424529.19,782142113.20,624312867.41,357220061.06,106693603.95,454073830.88,283403995.51,221032260.83,86777906.02,413377382.98,293417352.60,205719160.56,110564825.59,489539452.97,192451008.00,131382562.53,54928277.42,90593510.32,72623745.15,43607507.32,20703512.64,134438996.75,78695222.06,30090264.97,5987936.15,167965811.94,64022678.45,51394186.05,40497426.40,72150707.82,38061342.86,32677280.38,14928856.95,31707532.68,13215162.66,12520196.45,584031.11,45854424.47,25920152.80,45518434.99,23352622.06,54079691.31,27153499.83,130020340.12,9788255.30,88695073.98,42272108.45,52213459.72,16689882.17,42971549.88,28496930.69,83286729.96,73055825.03,71044995.02,15547770.00,57095516.62,35542961.66,26643339.39,0.0
2,营业收入,865676635.13,199924575.40,142680147.56,80382019.01,540039459.34,389562140.58,266214761.58,142112520.52,1040852829.06,736773550.27,565952919.25,165545105.69,682625574.58,487354253.76,325843641.35,149879580.99,1155040014.68,733328318.35,319260844.50,139167875.26,1947008902.56,1367463879.50,852204497.20,285969716.61,923686606.58,463883323.83,292552212.50,150633894.63,608252997.38,375521880.47,186198339.60,96667828.52,900451841.87,286284575.85,176407351.87,59424529.19,782142113.20,624312867.41,357220061.06,106693603.95,454073830.88,283403995.51,221032260.83,86777906.02,413377382.98,293417352.60,205719160.56,110564825.59,489539452.97,192451008.00,131382562.53,54928277.42,90553510.32,72575765.15,43599527.32,20703512.64,131117035.84,75261589.96,27505729.11,3517110.83,168890101.08,62424455.17,49781988.63,40402936.64,67331229.16,36212155.13,30954123.87,14786806.99,27955867.65,12708913.46,12152222.73,413490.88,44745474.96,25457507.69,43838040.12,22705227.24,52161690.90,26485388.92,128469464.93,8768384.91,86527717.30,41853851.67,47848652.87,16630474.23,42020220.53,28496930.69,82927732.37,72995889.18,71083501.84,15547770.00,57105855.72,35542961.66,26643339.39,0.0
3,二、营业总成本,602621271.96,215801987.25,145646966.25,65807034.61,517836283.56,371899405.66,252167551.21,135425223.31,916108014.20,670731151.57,522274860.66,145696116.42,775631377.62,498701922.26,356226956.93,169886596.16,1227394877.12,753626197.55,417001893.75,177840102.68,1814010166.70,1242973859.15,796725154.65,235525761.58,927227877.82,452747691.05,261000449.08,122845813.24,600865508.34,345683853.08,169572230.86,84711906.81,766522901.80,243651341.42,154798466.47,61917949.20,649912654.86,497413363.98,293724356.42,92870314.84,359943006.89,197457103.58,153783761.64,61816926.28,316482409.80,209007397.92,140159838.42,76607969.98,342988218.80,116043016.27,75676386.00,34472581.31,89310469.68,65998407.08,39958711.37,18866688.80,129032175.88,64086824.29,26210752.68,5310819.45,135167621.76,50212707.42,45617747.86,37826499.93,52685737.99,34159803.61,28964040.04,13756976.07,22841864.81,14434408.12,14394005.34,7557983.49,97377941.95,27263511.54,52985283.22,21629554.44,56111508.87,18683310.02,105511937.93,9669670.74,78926269.21,0,43576823.67,0,37815233.60,0,69846115.99,0,55714322.95,0,45937712.50,0,0,0.0
4,营业成本,496783758.14,130603487.87,92148308.76,46654654.20,411724418.70,295509394.58,202522394.35,108765066.95,787663541.43,558992939.14,440767487.15,112043651.30,443929361.00,293524202.80,237385816.08,109670950.48,886997355.37,570393483.54,295793863.50,123426439.76,1468663366.04,1024680195.58,666432289.15,195224593.54,686699779.27,340749039.89,198034757.48,93453562.62,339151893.76,200978824.37,83891755.30,42214713.12,492322610.49,135352965.99,83142850.00,29402465.11,537077540.06,407195496.96,241361700.75,73590991.03,266650196.34,135879505.13,108262679.36,42246418.67,211594009.40,139118485.29,102452102.64,56677720.13,260552313.31,66900415.24,42695231.00,8835040.78,57975665.51,43425102.72,31083548.55,14848743.13,93836000.31,51197602.92,19166946.33,1940601.88,138718879.45,36562150.98,35269720.87,32419151.16,46068099.02,27104069.18,23730515.40,12042203.58,21112269.75,7957962.06,7629682.29,2614043.91,35154202.90,16773128.19,26875060.82,11538670.87,34459389.03,10440730.78,83009798.67,3948418.83,62776875.03,0,31833779.48,0,25815494.50,0,59018607.84,0,42815475.65,0,41103011.86,0,0,0.0
5,营业税金及附加,-7805525.55,11675372.69,8516632.78,4363353.68,9152880.35,17704918.11,12288078.61,4178211.57,16286049.34,14430467.97,10481944.86,3417672.03,93099284.53,64808691.07,19936595.75,13241510.14,80229498.40,42109889.32,22792737.61,9216333.08,139539725.28,95268371.12,55272018.68,19226725.08,96094202.86,55178104.80,46705321.83,36980722.40,64808565.12,21978781.60,7753938.77,4234669.30,82529633.97,17522868.52,10705928.21,3356456.15,36411126.26,35459992.68,18714706.82,4502058.85,24165983.92,16518704.18,13087402.75,5086117.40,23275972.03,16905215.39,11239836.44,6304705.53,28770006.79,9866556.05,6693819.79,2719543.22,5033298.81,4259440.08,2765641.39,1307673.63,8456816.17,4113390.58,1461227.63,193070.01,6727004.32,3122797.36,2862464.36,2319684.37,3790726.97,1997633.97,1710612.22,788893.92,110600.93,97491.26,64514.50,22895.82,139479.69,77632.33,176103.48,79580.79,473706.80,411151.94,6984988.93,445339.79,3960053.24,0,2218997.21,0,1792753.73,0,3526316.95,0,2489421.00,0,2203051.73,0,0,0.0
6,销售费用,27112458.78,15801037.16,8280621.55,3581655.18,23761006.52,11643477.79,6282511.60,3808523.16,30578120.38,24020295.56,16678763.74,4443211.38,30943831.43,18974010.88,9816754.57,5358127.82,29026161.92,18250727.85,12334143.98,5983522.51,39201734.03,20665073.99,13585888.19,4805639.56,29458119.12,19243424.56,14644125.57,8403982.95,57977705.11,37154073.67,27664433.05,10294889.90,31652096.08,16872576.47,8916484.04,5278744.62,7285164.03,1804961.14,773814.78,459509.91,9732221.22,2776919.23,1694463.44,794426.00,7520846.41,4882637.98,1615489.36,893576.84,10977613.32,7588148.17,5346540.55,1718214.29,3804099.56,1610458.81,1435116.49,832296.47,3013423.99,2131147.56,1499878.53,754263.80,3956806.94,2826702.02,1738566.06,1166681.57,4000114.03,1247790.57,775652.99,396262.72,749019.06,293152.01,180798.80,52359.12,1885118.46,1181985.19,988212.01,303882.11,642538.97,448200.65,4085310.63,214939.87,747626.75,0,1332921.39,0,429359.46,0,325850.19,0,621173.02,0,83856.56,0,0,0.0
7,管理费用,48206330.43,24260686.45,14456111.40,6665801.45,35373325.32,21063543.06,14242585.51,5649369.48,36416732.32,26527130.28,19641353.37,9803724.76,58393769.89,43095501.53,33120981.08,13218005.07,72456484.88,53770461.40,34578474.70,15711810.61,64298748.66,44368553.27,33172831.53,12689627.52,60186558.22,38339428.70,29265360.73,12657880.82,86296814.05,56299990.35,34364427.17,14248400.04,43314701.11,28824873.78,20379748.95,9305007.80,33376757.84,15772209.33,10436551.20,4784181.59,20253249.19,14199816.03,9105316.60,5173579.15,27571399.85,18640299.50,11840553.05,5975902.41,18515536.51,14169502.00,9481562.53,14811363.48,11714692.18,11855818.12,5373983.91,2276550.95,23641378.56,7189926.91,4539857.38,2119136.00,-15932200.86,6504562.74,4332164.97,1842076.77,-1005476.32,3836569.95,2811343.95,551339.29,-5540209.90,-138496.22,1411242.04,1971136.23,46736721.32,3710328.58,14215008.95,4269349.21,10493035.68,4666135.84,7197446.62,3378283.81,5316254.15,0,4029374.23,0,4619713.54,0,4787345.23,0,6537314.35,0,1396362.70,0,0,0.0
8,财务费用,38324250.16,33461403.08,22245291.76,10542654.19,47851534.57,36679566.87,25222311.01,12549902.98,56481320.21,45262737.45,33051585.52,15909439.23,103636277.70,80899183.99,55746333.49,28439296.32,124867833.71,76567069.74,57692650.76,29475746.55,114007354.17,82370219.87,52654432.13,26020462.15,83347030.57,62745853.22,35839560.46,19717903.90,26035528.00,42630857.94,29256351.42,13719234.45,62873233.29,46737490.66,30588799.11,14575275.52,31940577.69,37580667.98,22837546.98,9533573.46,42074096.31,31449345.00,19897587.55,8516385.06,43214281.86,29324494.17,12875591.34,6756065.07,23499722.97,17518394.81,11459232.13,6388419.54,10782713.62,4847587.35,-699578.97,-398575.38,84556.85,-545243.68,-457157.19,303747.76,1697131.91,1196494.32,1414831.60,78906.06,-167725.71,-26260.06,-64084.52,-21723.44,6410184.97,6224299.01,5107767.71,2897548.41,13462419.58,5520437.25,10381301.91,5538475.41,9600258.10,2717090.81,4234393.08,1682688.44,6125460.04,0,4161751.36,0,5157912.37,0,2187995.78,0,3250938.93,0,1151429.65,0,0,0.0
