,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,827779609.99,612966248.20,312180455.18,1003914908.48,717121885.66,489800388.02,192102179.34,470086310.90,223450409.89,75659767.89,27809062.80,262956577.76,79378351.50,39603976.76,19343595.38,190171631.80,123384245.94,89301821.23,38821121.35,597004021.08,196782671.16,113682228.67,61350939.51,222414962.16,164566191.94,111260953.06,57488500.62,217860242.76,164138120.74,105842909.62,64712518.18,309236824.68,239486578.71,153739432.03,73384591.44,323376035.63,217120930.61,161455516.81,73347386.28,302575048.30,222048748.32,142199214.93,71751183.64,568835649.63,459379843.82,285569243.64,126820837.82,490784193.20,377256414.16,240550934.27,106834478.53,879858723.07,742318379.97,488181289.95,211777916.35,956042053.63,641049118.74,439325002.66,176397942.73,1586625056.86,1487191064.94,1123214709.28,631346538.39,1961019123.70,1422393177.92,846768143.26,392533033.15,988059462.02,669396751.34,355025670.60,86674253.46,321199476.12,215311438.62,159495554.42,186913102.93,75597705.29,187694668.94,103268453.74,210948991.47,113275996.39,169549233.35,62407474.55,122959683.91,57617323.40,131847768.86,59696200.00,104431000.00,51354667.27,113722460.45,48892024.73,69205106.18,33528650.45,50132130.76,21143451.39,49093112.98,0.0
2,营业收入,827779609.99,612966248.20,312180455.18,1003914908.48,717121885.66,489800388.02,192102179.34,470086310.90,223450409.89,75659767.89,27809062.80,262956577.76,79378351.50,39603976.76,19343595.38,190171631.80,123384245.94,89301821.23,38821121.35,597004021.08,196782671.16,113682228.67,61350939.51,222414962.16,164566191.94,111260953.06,57488500.62,217860242.76,164138120.74,105842909.62,64712518.18,309236824.68,239486578.71,153739432.03,73384591.44,323376035.63,217120930.61,161455516.81,73347386.28,302575048.30,222048748.32,142199214.93,71751183.64,568835649.63,459379843.82,285569243.64,126820837.82,490784193.20,377256414.16,240550934.27,106834478.53,874544594.93,738302249.66,485595231.88,210069147.43,944233524.32,637845709.24,436665979.79,173243653.19,1582283941.33,1484888912.41,1122067485.82,631171834.07,1955367129.85,1419256447.98,844640077.72,390147055.24,983015686.32,668046325.12,354107786.83,86704660.29,319629313.39,213394594.67,157987283.59,181173331.89,72301456.78,176875308.76,99766776.01,205596154.10,110474578.52,159972027.63,62250135.78,106350589.64,56963635.40,130815173.40,58969500.00,100640000.00,50958944.93,112494980.97,48769727.58,69134015.60,33549169.95,50576299.36,21143451.39,49045833.45,0.0
3,二、营业总成本,826673190.22,611965981.32,311458119.24,1006518822.92,719250103.38,491272183.79,193244966.58,535798562.63,248620435.89,89323882.58,34004146.60,293914536.19,103161379.55,56836021.69,28016110.25,213438994.48,141326662.70,101747737.20,45173159.96,624866650.10,216574753.64,125479976.84,66784096.46,248262768.41,185665009.95,127190131.97,64191225.00,263244078.72,197800316.62,127805610.80,73726835.72,368654054.56,280065620.17,184299381.70,88992195.75,383008887.27,222899144.06,182021672.23,81180752.51,429706201.05,285106331.51,196752736.40,89981295.01,637238116.74,487893603.39,302150500.22,140299566.46,465487817.72,324559524.85,149754063.15,4527223.50,1080053059.55,923243683.68,633846611.39,228847690.85,1224340209.58,670163863.95,435203874.18,173494841.40,1715595898.35,1463081821.16,1103805251.72,624920960.29,1922112825.71,1394538796.43,828331821.40,382710817.88,948083832.73,644151916.84,335037463.48,82558282.83,286824856.07,179319010.04,135143689.79,164005281.81,77066524.11,173786344.13,91636459.47,192624301.74,102710310.30,154752665.20,0,104507737.38,0,122538768.27,0,0,0,99332489.72,41443884.55,62775677.14,30157525.30,45486813.51,16789800.65,41344317.72,0.0
4,营业成本,818176952.70,606049843.24,308354901.62,994028038.80,710526665.43,485422976.70,190909284.16,468579587.66,220377431.38,73519058.57,26197089.89,257100306.70,78315992.66,40291136.95,19588642.91,175736199.76,116509633.21,85112553.67,36782492.16,578620115.94,185044045.27,105405344.51,56182897.30,184070798.30,144282564.72,96376275.24,49382086.34,183609484.82,138814700.65,90736526.68,55289790.34,234752355.39,191071154.88,123497242.04,64631372.08,237665591.94,159375375.74,120850255.72,52278211.74,214760312.31,181337396.21,121201993.49,58695346.14,502523336.06,403809244.11,246148636.90,113495363.02,421617457.22,0,202643468.35,95235784.74,848013146.38,705613691.68,453604183.54,199254496.12,900650066.21,579056019.58,385319931.25,150390924.32,1424732059.49,1344943987.39,1020789098.91,581475507.67,1725801668.84,1241552497.39,726018723.78,334342008.62,826919320.91,559920545.20,288789413.23,69374866.69,233650719.73,152466736.32,117742167.19,135821635.75,63858439.77,143988113.10,78186858.68,164998708.46,91434325.09,137997931.77,0,87705254.57,0,106888963.74,0,0,0,85531331.63,34473634.09,51911968.53,26327792.29,41139755.71,16789800.65,37506409.79,0.0
5,营业税金及附加,577639.98,400490.96,261981.39,720522.31,487629.57,382360.46,124586.28,1118194.74,726034.98,395627.78,263196.47,822582.94,182336.68,79846.95,24603.58,751045.70,419877.97,240108.95,102182.54,609703.83,502713.44,357372.65,173926.97,744302.35,541122.47,378150.07,222347.40,915873.92,700824.16,429238.14,241025.27,1054052.08,706649.13,425525.07,256923.25,1905011.30,230058.70,1712563.46,821823.25,4548350.57,3030915.93,2070232.81,1050876.79,5284776.90,2926103.34,1863495.83,846034.41,3939140.95,2520547.33,1804965.45,86784.57,706038.47,781080.56,632964.16,102651.58,508449.85,-121650.46,290728.07,143634.04,2065280.29,1349376.35,1283421.85,468370.17,2890049.27,2202626.22,2011607.70,1052576.83,2720299.16,1736145.23,1072449.85,395935.21,1829610.63,1331801.72,859782.65,1215028.44,387360.96,975076.00,681238.44,1386360.40,761392.49,556788.81,0,331628.17,0,487673.95,0,0,0,5314574.23,3881268.61,4889620.91,3012247.32,4347057.80,0,3837907.93,0.0
6,销售费用,533185.46,382834.61,204365.06,1172771.53,703757.82,483119.70,191877.54,8018116.10,6117157.40,3801449.74,1960419.13,8096179.50,5259366.44,3679031.58,2129438.68,8353808.24,5475042.30,3706810.89,1860799.32,11178718.92,6592428.23,4645876.14,2559851.86,11081064.63,6578701.25,5460578.24,2042751.47,12905122.57,9379108.88,6264250.06,3540091.69,16650512.67,10129229.81,6716569.83,3307618.28,17271538.27,8730283.20,9456975.09,3633818.40,13981030.19,9078931.69,5867825.49,3207014.83,23461434.92,14242622.81,9455693.32,4895743.12,21220568.68,14432853.52,9340878.32,4163783.14,21640532.06,17537021.69,10110832.85,5612529.54,27322016.31,17701302.24,10828414.73,4995374.64,94865080.42,43768893.99,31994057.75,21213373.05,101529784.61,85298038.28,54584079.24,23614078.08,44999894.85,25462396.61,9882722.56,1609648.26,3003776.79,1536975.65,1033390.98,1678129.15,783065.08,1731550.36,755116.45,1917062.37,969748.20,1710874.82,0,1398205.40,0,504150.76,0,0,0,992381.69,322181.40,182323.39,817485.69,0,0,0,0.0
7,管理费用,4617576.08,3231292.23,1715016.91,6565100.18,4527629.14,3010776.22,1075408.65,48028159.67,14223123.85,9002434.04,4600595.72,19136580.13,13960905.79,9240625.23,4499685.96,18868006.52,13161456.30,8596813.08,4247012.40,24401077.17,18012010.94,11001275.82,5405603.95,39747833.91,29379929.20,20474800.76,10957179.46,41456608.54,42054467.75,25813904.07,11801405.40,103256479.72,68819473.66,46506933.15,18786032.14,77815048.65,43761047.67,38408012.22,18318403.70,79901259.13,55298380.83,37073777.75,20732839.62,80707487.83,53465478.08,35351876.77,17053220.02,75363630.30,52613853.17,35790750.70,14362870.84,172796023.79,168892163.96,149729986.22,15838333.00,262980674.21,56398468.68,29982563.60,14546916.56,173948938.56,56436062.45,38969323.85,17257921.53,74251747.18,53062602.06,38340667.73,20110484.34,55891443.54,43278880.85,25620947.21,7232607.43,37729051.20,17410516.07,12058662.07,21873753.31,10542578.94,23777340.15,10676647.41,21648427.17,8191794.44,13045623.49,0,12512759.43,0,12733779.98,0,0,0,6724920.99,2429088.63,5211650.64,0,0,0,0,0.0
8,财务费用,2767836.00,1901520.28,920718.83,4042484.35,3012823.37,1981629.72,970015.51,4874557.41,3488990.29,2573208.59,1346568.21,6692609.10,5138290.34,3551922.85,1816761.44,7667455.77,5941307.25,4048525.24,2061708.68,9135820.22,6854653.22,4487991.55,2383632.26,8649117.72,6152716.34,3954726.72,1832863.95,7503614.19,6440989.07,4257693.65,2338507.55,12119413.67,9349772.76,7095455.96,3280173.56,17060583.98,9465051.77,10686080.63,5685705.28,50570566.36,38519811.81,32808283.97,6599252.70,24632407.59,18571704.60,12320440.34,6919874.99,36784425.68,29239584.56,19376200.47,9206804.41,36897318.85,30419725.79,19768644.62,8039680.61,32879003.00,17129723.91,8782236.53,3417991.84,19984539.59,16583500.98,10769349.36,4505787.87,17639575.81,12423032.48,7376742.95,3591670.01,17552874.27,13753948.95,9671930.63,3945225.24,10611697.72,6572980.28,3449686.90,3278385.20,1495079.36,2325522.00,1336598.49,2673743.34,1353050.08,1441446.31,0,2559889.81,0,1924199.84,0,0,0,769281.18,337711.82,580113.67,0,0,0,0,0.0
