,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,5349968937.10,3666191277.77,1732827274.62,7146148922.95,5107791454.43,3166983428.59,1550894203.38,5802474688.69,3652683010.62,2233963016.49,1088042170.72,8743919203.82,6494264218.05,4685536872.80,2215315846.53,7152350268.56,4444763018.67,2990121510.61,1490922959.34,6299646707.89,4478235621.39,2871234509.20,1444850372.41,9205828133.16,6046526468.43,4470397094.68,2086946341.47,13154688288.06,9161678604.69,6354612106.69,2981711049.91,10467656075.92,7553103217.48,5146727681.01,2519392920.90,7070069687.51,4469983111.21,2630437449.46,960709491.43,2751710831.13,2023763641.94,1353568352.31,706094307.78,2915652983.42,2146134744.49,1453567987.06,745170955.91,3770493441.61,2116207608.21,1371956390.31,607230492.81,2490794029.26,1881307366.78,1256211109.68,603505127.42,2328618144.60,1824976377.94,1201552382.38,526544510.48,2877754618.58,2281200148.88,1603664428.72,898217934.46,3291048800.10,2245507631.46,1297729438.20,577370127.35,3029612209.44,2552291372.53,1836527710.65,702425553.77,3891495582.35,1885269642.15,5540135874.30,3263953566.00,2431805175.50,217189831.01,105680829.93,52959994.60,215924594.56,122901365.02,209389351.07,97809150.59,154635401.97,69506300.00,120794000.00,66493424.54,121347287.56,38556519.91,32076103.45,9448523.53,13644653.82,4732595.59,8222420.48,3913109.41,0.0
2,营业收入,5349968937.10,3666191277.77,1732827274.62,7146148922.95,5107791454.43,3166983428.59,1550894203.38,5802474688.69,3652683010.62,2233963016.49,1088042170.72,8743919203.82,6494264218.05,4685536872.80,2215315846.53,7152350268.56,4444763018.67,2990121510.61,1490922959.34,6299646707.89,4478235621.39,2871234509.20,1444850372.41,9205828133.16,6046526468.43,4470397094.68,2086946341.47,13154688288.06,9161678604.69,6354612106.69,2981711049.91,10467656075.92,7553103217.48,5146727681.01,2519392920.90,7070069687.51,4469983111.21,2630437449.46,960709491.43,2751710831.13,2023763641.94,1353568352.31,706094307.78,2915652983.42,2146134744.49,1453567987.06,745170955.91,3770493441.61,2116207608.21,1371956390.31,607230492.81,2469392360.16,1856485683.95,1243103457.58,597179987.96,2308107615.52,1809826995.22,1192471944.72,522930293.89,2859144881.43,2266201324.41,1593972842.37,892404049.03,3277140425.20,2235392413.07,1290700560.25,573148239.06,3011914040.23,2535567559.24,1828509985.25,697923912.93,3850372273.77,1878212310.66,5511310733.23,3263653232.50,2431761131.04,217145786.55,105113753.75,52660470.54,214370362.45,120093017.63,202581409.13,94582410.75,145392263.14,66842100.00,120749000.00,66490477.53,121347287.56,38556519.91,32076103.45,9445813.53,15034353.82,4732595.59,8212801.91,3912870.41,0.0
3,二、营业总成本,5401588421.83,3690982042.77,1750320556.94,8056976355.84,5454059641.35,3383925944.32,1673000577.62,6447264880.41,3994798809.37,2452826808.08,1194922465.79,9179437540.01,6761924200.01,4847746693.95,2313362882.69,7508088531.22,4668810005.27,3168019240.28,1596767972.03,6524249375.61,4641510549.84,2957491261.17,1486171304.17,9451015035.94,6178307685.13,4534023852.80,2119517792.01,13593079759.99,9306215691.27,6387077717.57,2992895337.08,10491801554.77,7582015344.10,5144387799.11,2525858881.00,7102537188.57,4493231412.99,2612478942.95,967923974.75,2769270256.92,2066662209.80,1390437310.53,725895725.44,2980044316.34,2207535076.85,1489969297.97,769873925.45,3798673937.03,2153817260.20,1394071590.90,627463181.45,2571596356.15,1956370645.82,1307905966.62,631989106.65,2478951493.03,1886993782.69,1240436132.98,546998921.40,2890520267.20,2288762316.38,1609865815.52,901497137.20,3305253599.96,2157272162.06,1243649566.91,554723081.38,2965632963.79,2469476709.76,1780983842.76,693907270.85,3850760580.38,1860327237.55,5292400545.94,3166020049.22,2413850097.97,221602484.07,106201902.27,49726140.36,194285035.07,0,192973530.88,0,133359456.67,0,0,0,106725230.33,32231463.36,26611309.35,7978074.42,11130554.24,4352645.71,8003590.07,3526607.02,0.0
4,营业成本,4948271979.53,3396892919.04,1610274700.08,6848002196.62,4877170969.16,2999179197.31,1480551699.15,5755895497.45,3642950900.02,2225755619.77,1086109017.86,8648577806.28,6440193148.78,4633325799.55,2205999928.78,6977222112.28,4328772392.46,2923777884.82,1469469984.18,6070273210.55,4326014895.56,2753737629.22,1390375632.79,8945646738.80,5858619552.24,4331374291.05,2026812122.87,12799694094.03,8833027727.76,6076344984.08,2838903698.11,9947593911.25,7186024246.55,4878235500.54,2399100827.37,6629008517.48,4202176967.83,2426751960.73,879901089.71,2460143442.35,1839749365.37,1239508920.05,657002993.14,2679329257.32,2004776628.86,1354787184.57,705459966.04,3509963627.55,1967778282.95,1269308674.18,570434067.20,2293680219.93,1750361812.53,1166039208.75,564741226.89,2183294310.38,1720341228.73,1133725911.17,502809518.86,2678337863.18,2128122195.66,1496595619.53,846576226.92,2907621316.65,1978779337.04,1130332795.30,504288691.87,2638834925.05,2256257217.87,1636374758.97,633957865.30,3591306327.17,1760096449.28,5080436016.90,3063768563.09,2388396078.35,209612475.18,72336127.32,35035939.14,165402426.79,0,164015746.48,0,112384027.73,0,0,0,94618092.82,29793457.15,23319332.38,7704812.33,10749730.44,4269102.18,7220250.46,3430274.01,0.0
5,营业税金及附加,18265178.58,12696989.13,4935567.64,30358815.15,19299560.91,12599178.09,5536018.31,22061297.01,12278742.91,7672094.28,3017781.09,13866644.21,4754602.27,3429362.79,1766351.89,14494915.93,6437780.32,4623028.79,2216957.84,13030071.85,9450996.87,7332884.70,1785140.69,22310940.52,13430613.24,11680086.10,3249797.84,13695009.48,10546536.52,7216114.00,2893518.73,15440752.86,11372552.62,7871058.32,3394824.41,12747198.30,8348600.23,5899909.65,2203311.42,13240337.83,6723810.11,5062676.18,1836498.50,15275461.73,6892568.51,4974141.56,1908769.15,21347837.85,9050769.00,7019341.34,1098226.60,5661070.22,3043832.89,2001359.79,1138050.51,4005685.38,2730003.16,1623365.49,518668.72,3641154.39,1847652.79,1155295.90,691452.96,2641400.04,1726656.24,906649.88,444447.72,4796789.40,4452181.33,2730044.04,850251.94,4742693.24,2432812.20,7268954.79,2435246.11,1724930.75,764578.16,2746681.76,1402122.02,5163406.08,0,4444583.78,0,2938577.49,0,0,0,2679700.12,1388592.55,1194397.56,254578.62,380823.80,83543.53,185327.68,96333.01,0.0
6,销售费用,115265092.40,75334962.02,36255269.69,153411735.93,107891368.12,69615612.69,34083982.96,56561757.81,32477364.18,21172826.06,11262145.23,45253672.23,31126667.40,21303520.45,11378836.87,44996284.86,37812715.72,25000662.42,12764354.03,54362165.17,37918582.43,25778415.86,11528811.69,90944738.22,43657785.85,24455247.20,11064503.34,141753320.46,93474781.56,58264687.86,29483755.97,106073203.31,78492493.24,56005442.01,31655081.52,107683345.98,74184219.16,46503297.74,20801680.70,80231612.67,55653941.66,35762567.39,17102345.64,75607694.59,54969703.74,33757802.40,16722041.59,75717128.96,46679540.48,27750801.82,12500427.79,51925964.43,42376016.49,28965360.79,12178128.52,35335663.58,23109410.89,14298311.99,6037256.31,27287504.48,21721442.48,15370665.33,7770279.65,46053985.57,32696735.84,19274671.23,6706233.26,40409351.82,34536488.25,24192573.35,11870031.97,36420615.78,17421907.66,43451172.79,28820043.79,5174554.90,2472043.44,5840803.00,2777644.41,7192647.59,0,5848057.64,0,4434590.43,0,0,0,3495531.57,491266.58,1919285.16,18683.47,0,0,0,0,0.0
7,管理费用,202217335.46,135665603.40,67869991.19,342460386.67,230611830.03,163035937.31,85356486.51,246580727.75,144457401.56,92892276.06,46861598.51,216144371.72,138114771.78,89660732.23,46517848.77,224263847.16,145808065.23,99074922.03,56167434.69,189788289.54,132851127.28,85649035.65,44826077.96,203441207.27,132012341.53,86396363.32,42012695.67,343325503.23,216735038.15,146181260.86,75334748.37,272835995.73,199319707.66,131328963.52,56832583.54,241971262.40,136678357.30,88454033.73,45894837.18,165427521.51,127223746.70,85550537.56,38439495.83,142834610.20,107107465.56,73330189.07,33872371.26,131823832.92,97767397.65,63679085.60,33422492.16,158636474.20,112352827.17,78754607.52,37668455.99,201451303.20,100660579.48,64559541.07,23868295.41,136659756.67,101398228.50,73153213.65,35573641.62,279665767.94,87132640.39,54497972.08,29070344.80,192292224.00,105210420.58,66906799.71,24311479.30,145556686.30,48249042.44,104657344.14,51865566.48,18712594.18,8484986.36,25393804.05,10616706.08,16326915.32,0,15768172.22,0,13446609.81,0,0,0,5775746.33,644061.18,104878.97,0,0,0,0,0,0.0
8,财务费用,117557341.60,70380280.02,29061113.13,265932547.31,210582709.96,139193203.81,66944412.90,223969278.16,158092445.50,103571134.59,47668183.92,209667566.61,142446424.20,95564177.45,47675529.51,206108987.75,149054327.29,114837992.42,56312643.85,197867951.42,135153504.17,84793714.26,38155641.04,172023459.85,128129993.11,78243057.20,36453672.29,219665093.63,152446603.47,99085666.96,46174812.98,149508235.30,106468930.98,70609421.67,35075564.16,102876320.30,73017478.92,46043951.55,20373055.74,50762484.12,37867388.40,25108651.79,11514392.33,49673805.50,34911843.97,24224676.23,11910777.41,53956100.31,32210188.18,25982606.02,10007967.70,61692627.37,48236156.74,32145429.77,16263244.74,54864530.49,40152560.43,26229003.26,13765182.10,44593988.48,35672796.95,23591021.11,10885536.05,69271129.76,56936792.55,38637478.42,14213363.73,89299673.52,69020401.73,50779666.69,22917642.34,72734257.89,32127025.97,48103403.02,19130629.75,-158060.21,268400.93,-115513.86,-106271.29,199639.29,0,2896970.76,0,155651.21,0,0,0,156159.49,-85914.10,73415.28,0,0,0,0,0,0.0
