,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3228593752.37,2266372878.05,1413353804.42,626620610.30,3118942761.44,2374340838.19,1545379595.92,685688278.41,2965395044.78,2223576724.42,1522136662.88,736108326.86,2635386729.37,1820522270.78,1035101192.76,444650029.24,2225944449.83,1751117945.05,1163837480.26,555053607.72,4394470765.50,3764961934.73,2795638088.09,995068493.06,3280640507.40,2119137691.53,1366065590.59,647462798.05,3143955368.28,2416925751.08,1660409763.94,805875659.18,3334672348.63,2478982947.09,1573379941.23,690894767.98,3015087140.32,2338212258.69,1447518267.60,627743390.88,2889533102.15,2186487767.91,1373576559.09,645237087.34,2811139085.28,2130728441.80,1325089060.78,591330944.03,2172431825.06,1559212215.17,924157624.46,393920778.76,1622473312.28,1196406463.33,752472410.63,345978510.14,1567303250.20,1148100174.69,740405838.95,334286253.39,1426806942.10,1083361023.14,685256807.29,323296801.96,1027240001.01,707007578.87,468815895.33,217159056.45,860446215.77,632296322.97,419638007.02,169106951.84,862074259.38,388466808.82,669411497.23,246414862.96,601962530.83,355521823.83,651247797.38,215112555.11,630430885.96,334240928.25,618184189.99,264471748.60,48515508.72,265911630.66,63447183.40,29370116.71,64798453.19,27978356.62,57857310.04,54597105.73,10973280.00,0.0
2,营业收入,3228593752.37,2266372878.05,1413353804.42,626620610.30,3118942761.44,2374340838.19,1545379595.92,685688278.41,2965395044.78,2223576724.42,1522136662.88,736108326.86,2635386729.37,1820522270.78,1035101192.76,444650029.24,2225944449.83,1751117945.05,1163837480.26,555053607.72,4394470765.50,3764961934.73,2795638088.09,995068493.06,3280640507.40,2119137691.53,1366065590.59,647462798.05,3143955368.28,2416925751.08,1660409763.94,805875659.18,3334672348.63,2478982947.09,1573379941.23,690894767.98,3015087140.32,2338212258.69,1447518267.60,627743390.88,2889533102.15,2186487767.91,1373576559.09,645237087.34,2811139085.28,2130728441.80,1325089060.78,591330944.03,2172431825.06,1559212215.17,924157624.46,393920778.76,1609566622.59,1189634967.69,750252299.73,343910565.57,1558730348.73,1140350319.02,735221557.87,331831642.95,1420663063.24,1079667042.28,685384964.61,322068960.63,1026085274.06,707881436.55,469436192.01,217643686.94,860235572.40,633392077.25,420382747.23,168602462.30,860874303.81,388467782.73,668013045.47,245499726.16,601493275.07,355248104.03,642663130.45,207534752.33,618029589.30,334240928.25,618184189.99,264471748.60,48515508.72,265911630.66,56472909.53,29370116.71,60217589.00,27978356.62,57857310.04,54597105.73,10973280.00,0.0
3,二、营业总成本,2938459011.00,2069271304.20,1309498362.71,594680626.53,2971364860.45,2253297033.78,1484418095.37,677883961.97,2783267433.04,2062539246.97,1379594209.54,644213536.42,2158237628.33,1459161482.34,881482254.50,403369503.29,1878659915.11,1452165203.95,950518430.29,466600994.44,3551559877.12,2948746962.01,2200291414.04,842798075.93,2723125821.08,1777107534.07,1160620654.03,564544468.47,2821046543.37,2152795992.25,1489777041.38,722470358.18,3150085982.15,2329239139.78,1485958196.94,649012533.22,2697813528.09,2033870331.67,1242817929.36,561635958.04,2376112173.65,1784814484.16,1139253397.76,544196726.49,2890333635.07,2209429874.05,1292829980.78,570788705.69,1912234668.81,1366676539.59,864610322.69,302884108.17,1221683459.18,890680565.68,573917203.16,265687229.00,1215058363.08,879591658.98,565352198.86,258909460.35,1085070066.33,810160582.01,514516407.05,242724363.23,724761319.29,485674753.26,324412889.65,159682791.59,648851484.13,477815745.19,308743898.79,120405349.30,709158932.43,331733640.05,561725048.45,216244184.16,493292687.41,292622483.91,518364585.94,176559311.69,553486993.30,0,558482951.50,0,40028041.24,0,48198171.51,0,54250345.18,22709697.84,44886290.22,37610595.02,8685436.34,0.0
4,营业成本,2516598896.59,1805772693.27,1133428667.26,505094905.63,2551013505.24,1945379339.10,1285844628.08,585007273.12,2391718226.24,1774865181.18,1191953445.76,557667753.21,1774743854.14,1184585214.18,695463662.80,313088203.06,1515961511.60,1178995688.19,772916720.51,383011066.64,2961396284.28,2462485800.10,1851247444.66,720330428.78,2295622204.14,1494667805.97,984899940.36,474139051.15,2414056229.86,1854906773.81,1295572424.19,623323575.68,2806601053.66,2082957723.68,1331405922.34,575353862.51,2393850809.67,1809397175.89,1096403167.55,490242959.89,2047349640.44,1536848719.54,976257823.68,459511196.56,2564524364.81,1971723807.84,1148609241.87,509144718.21,1569464782.08,1081431112.58,633104578.07,275191533.96,1091621198.23,791225998.20,508178959.93,232987894.48,1099156631.08,793804186.19,508665752.15,228316271.23,969398190.61,727631417.70,459354811.49,216443184.68,630612043.94,417051201.22,279114372.36,138962551.80,580357250.41,435384973.90,282653470.05,104432893.72,640985648.71,298304167.19,490535160.58,183962710.46,401500828.53,249647421.84,437635893.01,146408360.91,496670691.43,0,495043055.04,0,36365474.51,0,49375592.76,0,49499176.15,20639765.11,40106693.03,32660259.24,7731381.06,0.0
5,营业税金及附加,51876775.73,18536452.45,12378075.05,7990811.87,54987098.83,37060771.01,19848987.46,9240956.33,54643448.68,38160765.78,33298274.35,13471057.24,59844071.10,31832519.31,15667862.69,6549827.97,52516588.87,33402770.16,22974200.41,12565349.09,244693961.43,231247945.70,186389126.35,44333589.46,68254360.79,21094942.97,11227645.19,7844795.29,25723194.10,18160910.26,12542648.54,7790962.80,25219800.74,17538839.02,11167743.54,5346408.49,18785141.09,14663659.53,9812300.89,4574120.01,23775554.09,18005393.01,11423944.15,5454487.83,21791037.26,15901617.83,10810354.37,4919287.72,21629924.41,16022015.42,9002489.79,3912938.87,15413093.63,11747603.43,7330677.55,3311931.22,13898620.28,10235992.60,6684757.04,3057280.12,13889588.46,10892821.72,7059865.13,3185873.78,11080686.08,7490553.63,5075696.91,2069849.51,7310111.52,4418681.09,2742217.51,654868.81,6863660.86,2502506.31,5171409.39,2094269.95,6029425.76,2569515.03,2882478.00,411902.24,2265378.72,0,893840.18,0,617454.74,0,530619.03,0,1758499.31,819687.29,1744690.53,1460904.25,293535.24,0.0
6,销售费用,24942235.22,13888449.80,9640885.48,3602388.58,21484418.79,15233412.12,9707731.55,4123652.46,17641051.09,12371405.76,8030787.24,2652865.62,13114729.55,8309674.17,4502562.15,260563.41,7155194.26,4485490.06,2318638.61,1062691.49,5598353.59,3768995.49,2535485.00,962526.26,15839521.03,11630568.98,5335483.52,2371458.61,23139887.54,16000791.56,7588332.84,3049830.94,4123164.09,2728923.75,1788975.38,653795.49,4130360.57,2963358.03,2037706.17,976782.32,3536394.02,2482122.21,1613638.19,682441.13,2050603.60,1372460.99,536272.27,205969.47,704312.30,648342.83,502173.36,205969.47,837810.52,777841.05,683341.05,535095.87,778189.29,579630.29,350095.33,197833.33,1076004.64,831504.64,610337.98,184500.00,3971507.76,3488520.88,2667292.41,1019003.72,3171389.66,2434482.91,1686439.94,290828.23,3036858.53,1088202.49,6494694.13,4943663.13,17472438.61,5448981.54,3010654.06,1027444.69,1618251.42,0,4461325.67,0,879041.95,0,664993.73,0,10000.00,10000.00,0,0,10000.00,0.0
7,管理费用,148236597.96,100411868.52,66701253.29,34089396.68,140874528.93,100960547.72,70564525.92,34985956.94,146731302.66,109362382.05,75013878.84,37443767.32,139716356.87,106520822.46,78279094.44,39113594.45,143352099.06,115692402.89,68556020.70,31395010.81,164926687.58,120215159.65,72652872.07,34669822.11,152421612.28,108184070.30,66208129.21,33424565.37,148181595.76,104935900.67,68380293.32,34877228.64,128761487.80,93729897.57,58753693.52,28090503.28,122517102.90,87025965.49,54604612.88,25884213.47,134434289.25,95071983.60,60484003.07,29081037.55,110011606.33,82114596.97,52123244.82,24551536.59,133795825.72,108167098.54,85500063.30,13018103.67,63602313.81,48721828.26,32782737.18,17014857.79,54115340.67,39783856.97,26748020.32,15088449.14,54138447.72,40199147.25,26892032.62,13831719.02,55063199.48,40796687.78,26496855.40,12140464.88,41254588.66,25098880.66,14356460.74,11339463.57,39615928.68,19580086.98,33482644.44,12315078.89,30285609.75,14098260.11,34925366.31,9134774.48,23509125.77,0,19408086.13,0,2820160.18,0,4008353.51,0,3293389.09,1363686.93,3104732.37,3597949.41,713129.07,0.0
8,财务费用,166662400.95,130661840.16,87349481.63,46015001.21,200050978.46,152136578.55,96615422.07,42991317.43,171742196.99,127139655.63,70859152.04,32687992.41,165182137.44,127331711.70,86811534.57,43721602.30,154357827.54,119463076.41,83540279.91,38458811.97,173954628.54,131006986.49,87432372.56,42479338.04,190650691.69,141505075.29,92919988.31,46706741.02,209776287.86,158654117.64,105639120.47,53353117.14,185248511.21,132238268.87,82814316.79,39425621.69,158354120.29,119621452.02,79828156.98,39971788.51,166799654.57,132360724.30,89428447.17,49467563.42,191916634.82,138256246.05,80689723.08,31967193.70,78933491.72,52720082.48,28813130.43,10555562.20,50209042.99,38207294.74,24941487.45,11837449.64,47109581.76,35187992.93,22903574.02,12249626.53,46567834.90,30605690.70,20599359.83,9079085.75,24033882.03,16847789.75,11058672.57,5490921.68,16758143.88,10478726.63,7305310.55,3687294.97,18656835.65,10258677.08,26041139.91,12928461.73,38004384.76,20858305.39,39910194.56,19576829.37,29423545.96,0,38676644.48,0,-654090.14,0,-6381387.52,0,-310719.37,-123441.49,-69825.71,-108517.88,-62609.03,0.0
