,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,389455832.81,248506405.93,111438633.47,437166918.31,319416926.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,18702856.18,54782873.85,18484289.40,32875959.08,19708883.13,48562432.83,14253904.81,19805416.44,6407000.84,74022714.21,26106101.31,26735702.88,9654695.64,13360990.35,7357313.46,16049114.90,7229220.04,21431395.38,10315994.99,22649156.83,10661222.06,10908644.87,4022733.53,17499252.66,6589903.57,24610120.65,12987627.57,16030183.55,6657771.61,-1858716.83,4276523.88,11965129.37,3543137.47,3143613.74,3257692.56,9480572.06,3960326.54,8672490.97,222199.15,-175672.92,299532.63,-8372517.73,61303.05,3824089.12,4306978.25,51312.40,-1852033.83,2832850.80,3134865.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-47253799.59,8436416.96,35135411.42,-21197302.49,-29483120.12,-26930651.88,-4024912.78,10278197.19,-4587773.42,3852789.53,-1527236.71,4480306.23,1624374.19,5756520.62,4733075.21,2694514.80,1582406.68,2124879.81,8685520.68,-9095916.57,-7722594.83,-5302598.04,-9432184.70,1860520.00,5226165.00,-6487070.00,-2039300.00,-6339741.00,-4817601.00,-10631868.40,-1141471.00,7449701.00,-23589755.00,-849380.00,-6902290.00,2114000.00,2847560.00,-5699275.00,2215975.00,4407670.00,1042560.00,3621000.00,16754625.00,3057205.00,-181250.00,-430125.00,0,-235250.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,31234590.68,30358255.34,16432366.79,48511445.87,33781087.90,47441002.57,22861508.07,37982678.53,30829874.08,10210183.01,9816392.72,33807620.97,17414157.55,-928308.41,-1676712.51,-7578088.07,-367681.33,-1140856.80,-16082020.93,14881890.60,45847666.14,-4627687.03,-4602766.71,-8915413.08,-8800225.57,-5794444.46,2252201.78,19428775.87,14917369.28,12090386.97,20828387.92,-25718379.96,5053772.76,6090710.29,5992354.38,10300717.23,6920919.73,8128595.34,4350807.60,20537914.23,22558714.85,16564750.04,-3622542.86,13215783.02,588324.89,1538699.89,0,1622601.41,0,0,0,-599252.53,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,713552.64,508944.08,-609763.87,1715072.15,1675144.87,1974032.36,864178.37,1603770.51,1950845.48,1457220.27,633287.42,1336046.20,1248029.83,644460.88,221068.20,504864.34,565514.59,278110.87,228700.92,-7797774.34,-7557415.93,-4031900.22,-1768751.48,-14277832.95,-8702191.05,-5199057.40,-1794298.98,-10831648.77,-7972235.68,-6099503.29,-2789783.75,-14043023.76,-8017526.61,-5801269.32,-1978721.52,-10929441.81,-8750506.14,-6336924.78,-3123032.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1271089553.46,829883079.33,312366156.09,1546323520.94,1240139981.44,816982472.63,296281151.87,1472293637.31,1164825175.48,617965541.93,201876601.99,925700778.62,773154137.59,471155773.94,156453055.17,687954254.31,573408893.56,312175286.69,116625331.52,585509964.36,493872899.17,314143827.13,125945537.44,355105317.55,320074176.64,229203691.30,99763685.21,321853760.75,321167197.22,245502508.24,121665065.61,504523993.16,429848791.59,301376103.80,140071830.25,448558796.93,355647385.70,244405046.85,108063430.79,331210959.75,217939994.12,132565020.83,50342572.26,321929837.55,79834971.78,64908036.57,24914727.97,80257254.50,61976558.76,44116423.61,16764422.69,67801227.92,53486451.24,39347590.58,18206531.95,60425899.44,49171850.11,42415099.68,17208971.56,51188407.39,43370922.29,30196519.13,33980107.71,23984177.13,0.0
16,加:营业外收入,3282928.85,2717783.94,2085656.50,1999582.98,8187022.88,3909468.09,864476.32,10969399.33,36381877.53,22141722.61,10183059.45,99336805.90,43047295.74,20534219.01,7493402.86,68351014.34,42242384.08,13979443.56,9298297.87,57830767.19,15552550.54,8169250.95,2776970.10,70864354.02,13345016.40,8331725.27,3352339.09,43986614.91,25385500.98,8849120.78,1356282.11,39987586.41,10046722.12,7962374.21,2410023.33,21475360.33,12502175.08,2617511.52,1316274.21,9976853.33,7496466.05,3552173.99,1835057.36,20872363.48,223738.00,220338.00,29698.00,1976360.97,403130.96,234256.00,876.00,631577.81,55761.00,53361.00,15618.00,3215.00,3215.00,1765.00,1100.00,23756.42,3306.42,3206.42,211615.63,6149.10,0.0
17,减：营业外支出,2756254.28,1257816.96,276703.25,9020353.78,4870705.26,3599486.74,1255985.05,6646305.33,6917344.62,3343297.58,1053831.82,6247751.55,8276406.34,6407297.70,2303746.17,27931135.89,13958851.90,6320916.33,3520044.50,32590742.37,13049942.49,9062230.06,2911486.86,24188712.17,8158297.50,4528901.19,2165164.12,10565881.26,7594749.66,4516782.96,2436295.38,10284262.96,6740570.27,3948614.25,1667979.75,10248545.59,9146218.40,7169514.83,3055916.43,4499855.40,3167449.77,1697404.27,641516.87,5090750.80,1835844.29,1541947.04,275091.16,4093835.64,3889091.42,3710898.77,535112.09,2114032.66,1512085.27,1262453.27,205057.52,1336773.33,424248.50,327674.87,144184.48,412403.41,323840.76,235416.44,216207.90,623218.36,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,6295127.78,3008863.00,675662.43,5259459.73,3039813.57,2707407.92,395112.67,17244045.20,5014096.89,1056396.91,628100.80,8413921.37,3533475.78,2987472.14,645968.84,13922109.09,2496111.69,878383.67,536002.60,3439775.84,2772930.61,1704997.97,1295865.98,4113856.45,1947340.78,800877.59,541492.94,6724543.97,6529298.91,5381327.66,2343443.18,2056010.73,602722.84,602722.84,0,1186385.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
