,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2095691193.90,1359382053.73,595239225.83,3016796457.07,2314728623.25,1668969326.58,770672830.23,3365333985.37,1939055885.69,1020862553.41,352960015.41,2984711704.46,2096174088.06,1321831936.51,572150256.29,892846984.41,587045469.64,403647452.96,169178554.92,793299115.59,621020786.65,423746042.89,183738631.98,855380275.72,640593760.61,401764443.28,143781578.35,646538719.07,483310600.78,304013929.85,156431316.28,732317852.29,573101638.75,386423100.96,141545676.29,525463592.24,341841358.30,197055261.56,79685613.44,320912528.89,234042339.22,142173086.72,58294820.91,413028560.81,339744913.00,216554187.69,81957508.60,344641960.41,249618249.26,154656553.36,58151507.46,275797531.01,172472910.05,236207997.89,173656536.25,0.0
2,营业收入,2095691193.90,1359382053.73,595239225.83,3016796457.07,2314728623.25,1668969326.58,770672830.23,3365333985.37,1939055885.69,1020862553.41,352960015.41,2984711704.46,2096174088.06,1321831936.51,572150256.29,892846984.41,587045469.64,403647452.96,169178554.92,793299115.59,621020786.65,423746042.89,183738631.98,855380275.72,640593760.61,401764443.28,143781578.35,646538719.07,483310600.78,304013929.85,156431316.28,732317852.29,573101638.75,386423100.96,141545676.29,525463592.24,341841358.30,197055261.56,79685613.44,320912528.89,234042339.22,142173086.72,58294820.91,413028560.81,339744913.00,216554187.69,81957508.60,344641960.41,249618249.26,154656553.36,58151507.46,275797531.01,172472910.05,236207997.89,173656536.25,0.0
3,二、营业总成本,2177208921.33,1352527279.64,639750607.52,4790122350.29,2105920348.26,1446055912.04,644122304.69,3083703684.96,1750342395.40,953908642.84,308495141.98,2767543657.59,1893151046.78,1201247511.39,528500351.05,955157062.56,546731435.25,373004003.90,153014662.41,753613786.76,569029435.89,388335860.08,170388090.68,798261203.80,582190225.35,371931635.83,136305232.42,610187351.52,447924091.91,287588852.10,144087620.32,670550863.95,532965131.68,358506366.63,130117738.17,496188553.91,326265893.23,186918856.62,78910160.41,316315174.84,226682146.76,140187424.60,59968608.36,389752525.59,307038416.65,196229738.58,76709990.52,303450043.68,219656538.60,135648940.94,53916605.44,239452816.99,145704224.95,207522296.15,162883069.50,0.0
4,营业成本,1729178394.38,1080141178.90,498708344.16,2451223738.72,1624394654.90,1138948674.68,512123555.94,2490985545.01,1408974720.93,770325042.24,260472359.17,2224554188.59,1476429840.48,943693199.21,412758379.51,666811877.94,431539871.01,296014467.17,126759076.05,595545255.86,458686189.82,317695565.18,137670033.33,644331578.64,478735251.17,304494266.88,110378809.00,487686398.09,364137926.47,236321595.90,119751615.60,557137480.64,443480484.37,305173774.57,109924296.19,412732410.67,272371680.44,153929966.87,63171443.55,249917727.76,178730924.81,110238007.74,46264647.80,324641496.82,261024527.71,168043852.95,63002961.86,258238142.97,186729284.70,112263248.97,43356955.35,198376351.74,119446078.10,172812690.31,131141967.06,0.0
5,营业税金及附加,31798891.27,21724265.48,10658795.62,38695019.43,30971373.49,19468527.42,6848485.47,40406037.34,28565069.97,19010427.52,8237299.06,35059324.77,19391841.20,13641031.23,6184078.42,6974159.46,4603861.60,3792765.16,1168366.18,4661849.18,3269395.39,1696804.06,804317.26,4759286.88,3389889.67,2061591.83,477900.40,5184197.20,3915240.80,2251853.62,1360455.94,2840761.86,1899975.31,1446048.46,595197.72,2406628.23,1283919.36,961739.27,365228.03,1825813.96,1413170.81,1027573.60,547580.85,910594.28,564641.18,371376.68,427605.63,1393867.84,1267519.67,885048.25,121773.35,1797764.51,1296461.07,1081867.56,782935.53,0.0
6,销售费用,96697910.08,59773454.96,26496614.09,176337001.82,93873185.65,52388455.75,24660341.91,175184026.45,89070067.60,57365883.76,22852938.75,156053926.05,97478756.79,56556918.75,27945619.30,48893923.72,31364297.55,19297661.80,8246873.41,45006596.00,30677566.05,17545676.39,8537360.73,45231422.91,31546198.71,19168456.49,8908995.89,40068591.65,29523617.05,18478469.91,8723035.96,48122342.17,41652414.58,24375980.89,9294291.13,37107952.92,25630273.54,14117616.61,7071357.17,26793501.03,20581915.79,10996919.22,4957857.56,29609430.61,22143074.18,13161407.75,5783964.07,22611349.48,15382302.32,10061108.30,4405965.95,18472393.22,12069585.76,17746719.49,15604738.24,0.0
7,管理费用,126031240.74,74325842.89,38203987.30,187693214.60,104890341.21,148236998.93,68182148.69,287918032.33,213939684.55,128860460.72,57537893.93,250950600.85,200200599.53,131043786.47,61211794.30,154566721.68,61469138.58,39156875.17,16133504.58,82454140.03,59015407.45,36747742.65,15788899.78,78169630.99,51774111.20,36273647.45,13524742.26,59825967.49,40190985.95,26420856.83,12821739.79,46751631.54,33150565.55,19719388.59,8477503.41,34901581.02,23225338.16,15342426.04,7455802.48,25762280.96,20951009.69,13899610.72,6529599.74,25558803.55,18833202.54,11893322.72,5807440.94,11942534.98,10637771.09,8277471.44,4770902.95,15311526.29,9761654.01,12915511.95,10690951.07,0.0
8,财务费用,96545287.59,55707698.29,35855898.10,179078964.65,99899446.92,58168953.89,25995260.30,70600893.40,48133771.07,29137654.00,12182527.98,60486231.56,37890118.03,25907690.93,14145025.71,16762050.09,4474899.51,-62416.64,109913.60,12995437.74,13749485.93,11854043.29,5552298.10,16951110.23,11685002.41,6873900.99,3014784.87,10712302.51,6410701.45,2870455.65,1430773.03,10236172.28,7694436.17,4392367.12,1826449.72,3945748.74,2149183.62,1368099.72,846329.18,3389490.38,3581923.79,2602111.45,1394317.69,4858366.99,4024318.25,2311125.69,1688018.02,6298137.40,4944976.15,3331013.41,1261007.84,4269933.76,3130446.01,2999228.33,3489121.53,0.0
