,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,5575629689.49,3454918882.53,1606823440.68,10362680477.31,7684475772.35,5235495344.16,2174931942.87,11231863421.91,6700893157.13,4540666707.92,2718126808.87,13789400375.21,10345020117.82,7252013623.15,3034795661.71,11887768830.69,5359275309.84,2680028475.13,1025287894.04,4686820559.02,3337254976.31,2254611352.46,1016554285.09,4208068450.83,2752136126.80,1726519037.82,822655050.92,3485692096.44,2315038088.38,1494292133.84,664942081.18,2611228925.25,0.00,0.00,0.00,630362179.39,479410485.36,293550984.53,116515271.45,547178084.04,406031899.26,281966878.48,107275903.28,990781737.27,780764679.03,527416139.25,228097349.01,1942375407.11,1823748879.51,1355756007.48,783041857.52,3487338835.85,2595288383.22,1632513744.46,680252065.04,3444091532.28,2720364321.26,1587467597.98,745901268.77,4014524447.74,2962169822.86,1613619942.08,755519600.74,2719173123.10,1853844101.86,1118389515.45,465347079.72,1912152363.58,1386860455.53,848426277.41,349350516.21,1848462189.82,852059477.87,1872200402.55,658476321.41,1483763534.09,629062978.95,1337536325.67,535006403.58,748961240.42,255092043.35,463477336.88,401824553.25,330027720.00,233546020.00,0.0
2,营业收入,5575629689.49,3454918882.53,1606823440.68,10362680477.31,7684475772.35,5235495344.16,2174931942.87,11231863421.91,6700893157.13,4540666707.92,2718126808.87,13789400375.21,10345020117.82,7252013623.15,3034795661.71,11887768830.69,5359275309.84,2680028475.13,1025287894.04,4686820559.02,3337254976.31,2254611352.46,1016554285.09,4208068450.83,2752136126.80,1726519037.82,822655050.92,3485692096.44,2315038088.38,1494292133.84,664942081.18,2611228925.25,0.00,0.00,0.00,630362179.39,479410485.36,293550984.53,116515271.45,547178084.04,406031899.26,281966878.48,107275903.28,990781737.27,780764679.03,527416139.25,228097349.01,1942375407.11,1823748879.51,1355756007.48,783041857.52,3487338835.85,2595288383.22,1632513744.46,680252065.04,3428222617.98,2707613577.21,1578492801.78,742344220.80,3984636480.88,2943145426.31,1599929255.82,747831581.92,2677328678.46,1822712263.83,1093631524.81,454773420.58,1860216118.24,1357897363.73,829356799.83,346084287.27,1793217109.21,821650564.59,1810843015.54,642096769.10,1460981939.70,620839998.11,1330993399.84,533183616.62,745383416.60,254026845.75,455793837.81,401263698.11,328940140.00,233352590.00,0.0
3,二、营业总成本,5027239249.68,3054630120.42,1433272652.78,9920975489.02,7269883265.49,4934895010.72,2034269334.44,10884390093.00,6369345490.50,4317620001.17,2604148186.56,13511398784.27,10065280017.38,7035320839.15,2912818343.24,11795479843.12,5194534901.53,2565639079.91,1001632867.81,4642541245.68,3213569079.44,2145278178.45,934680328.05,3944121344.29,2524665305.11,1541337534.49,729966080.32,3234972414.44,2102849364.69,1331547751.75,595934801.57,2374810868.10,427323.00,284882.00,0.00,1701438407.58,1152124400.40,843239920.68,177553934.70,1046459822.45,567937132.26,394439414.57,169021502.07,1698639939.51,1057629688.62,739776692.35,266392702.05,2517391790.39,2273114468.30,1723854481.48,936193667.24,4202668211.19,2832410831.86,1670657702.46,707652054.03,3774758946.11,2689618711.18,1569681683.55,736701379.46,3999197050.87,2920522046.84,1586607973.87,746838465.48,2653119743.17,1819609891.90,1097483488.98,460772047.44,1878696381.94,1348223601.32,824539641.49,346170176.23,1800481840.80,807880519.62,1764146564.00,627724645.27,1411292280.77,592344396.79,1285411880.61,512444969.38,697128843.75,0,398266212.41,366247894.65,294548060.00,210899310.00,0.0
4,营业成本,4076160569.50,2421871023.66,1114727112.57,8479337594.22,6359773338.23,4328322975.75,1748975967.90,9536090964.96,5503107507.20,3754471658.90,2330868177.25,12179177297.89,9205757619.99,6488402938.67,2655500603.65,10432957371.21,4323304193.59,2006758326.36,700363445.00,3364335313.10,2450676383.84,1652190066.65,704759379.32,2943743637.97,1880816541.68,1126116477.62,527809301.59,2356784055.20,1588954406.01,1000789618.94,430397207.30,1605271915.74,0.00,0.00,0.00,600492513.17,482338008.33,301808072.08,125923832.15,528473828.05,418031378.14,290921486.69,118223190.90,1018325874.76,770303688.37,515641005.81,224546582.41,1837872113.06,1698685055.94,1269894058.90,726416290.39,3233902071.74,2379427926.84,1493072885.08,628103866.37,3133388847.30,2448465189.74,1420118361.12,661219412.13,3622952526.34,2683665659.68,1445362033.62,680958556.29,2412183144.47,1658257360.51,988806081.13,407151944.84,1634729205.05,1218960514.57,732174785.36,299057896.65,1581631130.46,736384665.25,1604111442.99,570210655.05,1269091070.72,541809334.50,1188744048.15,468342390.35,640738350.29,0,366636677.52,324302550.91,273070710.00,179512080.00,0.0
5,营业税金及附加,17769851.53,12560447.74,6224291.74,27213775.15,17643479.79,11143306.00,5176209.06,30712326.46,13844340.31,13268789.11,2794653.24,33395024.35,10459055.70,8137836.77,3345962.26,17539873.84,10832502.28,7393648.19,2425228.91,20969255.07,11035886.25,9938565.65,3078170.09,27670683.60,12453874.40,9012730.31,3237718.72,24920946.15,13026074.74,8701364.36,2580943.77,24971081.42,0,0,0,5263014.53,3661241.52,2719542.93,637368.53,5006389.99,2142868.24,1524185.13,546294.29,8570903.11,7001761.66,4905321.22,1480028.41,8294016.61,5513712.88,4086811.09,1512519.67,10099620.73,6597994.09,4049117.33,1430524.80,12089773.39,6956735.75,3980394.97,2034387.86,11589892.04,6890656.81,3962756.23,1621343.41,4809115.89,3153577.22,1579794.65,678812.80,4556711.91,2172820.35,1164136.09,698271.22,3597702.72,1977097.75,3731240.45,1299955.15,4921831.06,1407408.65,2429178.15,334858.29,1288131.65,0,2483253.03,2297609.59,1217570.00,5125550.00,0.0
6,销售费用,446037417.95,285563615.88,128516358.56,543185793.99,355342227.09,240243976.41,111003753.16,504239806.07,338775024.89,218768808.28,106608585.52,520567861.13,350024115.76,229023740.89,105399743.88,551142871.78,345136055.47,210903152.05,98677440.29,504372599.91,314245025.13,198859201.45,86648424.10,375161619.60,232578386.45,155745051.61,70140478.82,309524294.66,188605661.81,117512789.78,57494620.20,279307356.82,0,0,0,10955660.25,7503764.58,4801331.65,1823542.90,10842699.56,7970527.24,5483230.72,2919083.05,14331784.35,10530496.21,6534422.31,2790002.87,37315238.91,35859578.37,28559816.26,17915476.23,62159432.46,41123528.57,23498431.27,10704992.07,68770437.54,49568558.43,29620198.02,12627103.36,75821777.60,44618828.66,29502444.16,11050314.80,52053180.39,37630044.49,24740032.24,12919965.81,51950880.67,30577370.35,22258718.79,8158904.56,43696254.88,13654760.60,45097946.61,10067498.43,30861186.46,8439135.72,15890889.10,6946827.80,10420687.98,0,6574724.20,10750017.25,0,0,0.0
7,管理费用,469156402.88,322829535.83,142576646.26,647236346.44,423279365.77,313010693.36,132235292.07,713531563.02,432009333.02,279041766.95,129704073.26,703549789.77,413635645.91,261424907.97,115503364.30,688525612.71,386952647.06,246761534.55,126058315.29,569671901.65,372015749.21,243262654.32,125928399.91,567771413.78,354561381.77,229053298.05,115596906.90,508754652.62,293469691.41,186853730.13,93925086.17,430844858.07,427323.00,284882.00,0,578053023.24,511800187.11,465268750.49,16450476.38,339302307.71,67546833.20,48164671.73,26023636.81,338447500.33,149657408.63,111982726.80,28553007.62,315536073.11,311219578.16,281901110.79,175413598.57,277304496.29,162313255.23,93246356.72,46193433.32,416962716.36,116505760.53,76075022.68,38516819.99,189004737.05,123569213.53,81251682.24,35932109.49,130721047.24,83566369.91,59267075.21,30032202.47,132420774.28,65714973.26,48418968.46,23036720.21,109655680.10,33460021.51,68289777.66,27201551.98,66254143.32,29405293.64,45537763.69,22874291.30,32551510.99,0,17947708.09,21924451.14,16420260.00,20122740.00,0.0
8,财务费用,-11863538.17,-6703376.55,-887366.21,3596867.57,3402881.05,864212.91,1354383.51,-1530180.06,-1706005.63,-135329.54,-261170.12,-947618.52,2127705.16,1203620.82,541070.32,-1574939.55,1051442.78,-854274.92,-963711.87,-3616275.25,-2977380.16,-5352034.57,-1109555.31,-5691468.09,-9696452.77,-4072829.78,-1920139.65,-11030713.64,-7453369.94,-2490791.46,-527861.31,220464.84,0,0,0,106792166.15,98369173.93,68211807.14,32718714.74,98799326.41,72370455.54,48470041.49,23490014.55,124037444.21,85472224.35,63852598.90,9023080.74,199167018.05,110694003.50,28270144.99,14935782.38,138316761.01,88248459.60,53618793.86,21219237.47,143547171.52,68122466.73,39887706.76,22303656.12,99828117.84,61777688.16,26529057.62,17276141.49,53353255.18,37002539.77,23090505.75,9989121.52,55038810.03,30797922.79,20523032.79,15218383.59,61901072.64,22403974.51,44387424.14,21146711.83,38792390.07,11283224.28,32810001.52,13946601.64,12130162.84,0,4623849.57,6973265.76,3839520.00,6138940.00,0.0
