,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3392132631.63,2381110645.70,1466065891.22,714457411.84,3248945549.35,2328601698.80,1423189761.17,685815000.96,2857419302.97,2004773798.14,1242265227.96,559554772.29,2219276356.96,1670433235.81,1071437185.43,539628614.21,2016422890.84,1387399000.62,892480007.70,394708216.03,1563222281.96,1124591462.19,724780653.11,326942657.88,1305636964.84,911273071.58,584816035.05,265090799.18,1033500559.99,734431648.09,463553018.97,219576524.95,840108788.63,614541743.03,392678544.17,175054362.92,728741321.74,558139499.90,375060775.03,173038044.39,701701015.18,530328415.66,339826773.10,160418025.28,633625752.00,453164782.71,454525371.39,254063044.07,0.0
2,营业收入,3392132631.63,2381110645.70,1466065891.22,714457411.84,3248945549.35,2328601698.80,1423189761.17,685815000.96,2857419302.97,2004773798.14,1242265227.96,559554772.29,2219276356.96,1670433235.81,1071437185.43,539628614.21,2016422890.84,1387399000.62,892480007.70,394708216.03,1563222281.96,1124591462.19,724780653.11,326942657.88,1305636964.84,911273071.58,584816035.05,265090799.18,1033500559.99,734431648.09,463553018.97,219576524.95,840108788.63,614541743.03,392678544.17,175054362.92,728741321.74,558139499.90,375060775.03,173038044.39,701701015.18,530328415.66,339826773.10,160418025.28,633625752.00,453164782.71,454525371.39,254063044.07,0.0
3,二、营业总成本,2946250346.44,2037310990.71,1285951855.44,620020755.81,2840561381.29,1990500582.54,1217093079.66,587737577.20,2466547450.01,1709454216.38,1070870237.16,499769666.10,2027320596.65,1420363567.43,938505293.62,495467361.47,1916887662.46,1171229379.39,722505685.33,324324501.13,1268079176.50,904331419.74,591995311.21,275090628.98,1099759189.34,767964677.96,496065056.68,230694430.82,904284368.28,650405155.59,411737114.02,197190474.30,733794727.77,486659479.32,311677537.56,148586012.85,562099404.47,419379333.57,286462586.60,141369128.35,550847321.21,418476332.75,270245630.70,127362429.35,511735648.51,368493497.20,377367172.76,214664317.25,0.0
4,营业成本,2304110212.24,1603371029.40,994318055.62,477410855.80,2196210059.84,1578288305.10,943678599.40,430394052.87,1871965806.93,1319115298.75,834851977.55,388230991.18,1565689641.62,1174461729.68,787531627.12,421350416.82,1480959732.89,955659433.80,595445811.58,258870118.07,1017806160.53,725017486.43,474687605.15,218682970.97,871569044.17,608795917.28,391367214.23,182780349.93,746952424.39,543687960.84,345965216.12,167259664.13,574487121.88,389781455.73,252212489.70,114320263.20,468931384.72,357594456.57,247049086.81,120155972.69,477079333.32,360976615.09,234708042.10,110516873.60,449208700.93,322899548.97,334219430.42,188898438.33,0.0
5,营业税金及附加,34388140.13,23664118.56,16083010.86,7866955.71,36415790.55,25853378.69,17036196.16,8944450.87,28900381.93,22660911.58,13058197.63,5406594.73,19601854.72,8622174.62,5169746.49,2468900.45,11582397.14,8147635.40,5929535.03,2867128.86,11342382.01,8263876.04,5005188.34,2363867.06,4606715.06,2751751.60,1690222.66,751195.48,3227734.42,2441309.17,1581833.90,748420.07,2111847.66,1318443.61,743036.55,245172.12,1598682.46,1178081.50,878887.41,379321.76,1786114.26,1371820.50,905031.35,461539.64,1604775.33,1132392.03,1138906.31,384794.68,0.0
6,销售费用,242189532.19,176356337.20,114415673.56,56353629.60,238380120.95,174470050.87,111564201.46,58368023.14,221410455.45,152748330.83,92485095.96,46320176.19,154595365.46,94399743.52,57552236.00,26587780.12,137648236.61,85129251.14,50812305.53,24590310.49,98966522.56,68749280.02,46944077.17,21618284.21,95760309.65,68102579.49,44265835.81,20827312.27,72094667.27,52064062.25,32641512.86,14942433.28,85672641.19,55110054.48,34161689.77,18385810.34,54756651.48,39112979.73,26280346.02,15392734.65,42124070.07,30982142.00,19070416.38,9335922.88,34252465.84,25746801.52,23091374.52,12107857.03,0.0
7,管理费用,211253807.49,146021563.93,96621299.15,44694634.26,204079870.59,146459901.70,145090574.39,69981103.60,321204115.79,220914594.00,137322297.06,64007754.84,234406346.93,161198913.63,102943784.15,46843317.84,222815077.95,151042699.43,86444912.44,40889891.18,152355838.94,111882060.35,72754810.29,34994053.05,123188243.55,85015669.03,54564419.32,26373137.75,92932256.52,66268412.10,43075313.55,20623161.87,87849885.43,53828796.60,32494866.77,19852430.08,49910669.37,28120789.10,17921944.54,10180731.89,31552155.88,23122355.26,14960874.11,7872557.61,25249838.50,17384033.62,16699743.68,12053869.00,0.0
8,财务费用,6917491.17,-4207721.84,6114635.83,14984368.70,-19246519.93,-15425398.19,61315.90,20049946.72,-2055215.49,-7679474.82,-8541886.31,-4195850.84,-37279044.69,-16677635.30,-13558219.70,-1783053.76,-38448499.75,-28238329.70,-15432536.11,-2892947.47,-13722875.26,-9666262.29,-7481315.39,-2568546.31,3044912.70,1080847.82,2456650.95,-37564.61,-13866369.79,-13761523.60,-11231333.80,-6383205.05,-18360410.28,-14283175.67,-8838973.55,-4217662.89,-13871757.89,-8475629.53,-7517831.81,-4739632.64,-4449313.89,-289925.20,-238947.92,-84676.37,-649099.03,-59597.29,-99333.57,105096.91,0.0
9,研发费用,147391163.22,92105663.46,58399180.42,28872457.39,127081637.14,81501669.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-10162145.65,57640422.15,-647325.26,-337807.65,0,25121905.40,1694556.04,1694555.27,0,90306432.61,-1641358.72,-1133880.44,0,102330717.62,-511310.68,-694343.14,0,1331147.72,84979.19,84945.65,0,1589964.21,2217912.74,1720713.71,0,2943655.47,-295065.17,-295428.61,0,2033641.89,903904.57,904428.32,0,773774.33,1848656.20,1850153.63,0,2754961.57,2313325.10,840214.68,-739788.01,2068966.94,1390318.35,2317051.40,1114261.30,0.0
11,公允价值变动收益,153583500.61,0,0,0,42352887.72,0,0,0,5094445.69,0,0,0,74946266.99,0,0,0,57147863.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,16010387.99,12622820.34,9831263.98,6593070.58,12908667.30,6098659.08,0,0,7798221.01,58000.00,0,0,-4410365.51,-1636804.43,-1019324.22,-33037.20,1504303.79,966768.06,445420.89,105634.33,875381.01,400353.33,56258.07,75269.43,626937.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,1328554.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,616732029.69,363400658.29,202721353.40,102595041.27,473998517.90,350924590.36,209942908.85,99782464.71,409187130.21,295633115.60,171632271.74,59785106.19,262491661.79,248432863.95,131912567.59,44128215.54,158187395.20,217136389.29,170419743.26,70489349.23,296018486.47,220660395.78,132841599.97,51927298.33,206504712.54,143308393.62,88750978.37,34396368.36,129216191.71,84026492.50,51815904.95,22386050.65,106314060.86,127882263.71,81001006.61,26468350.07,166641917.27,138760166.33,88598188.43,31668916.04,150853693.97,111852082.91,69581142.40,33055595.93,121890103.49,84671285.51,77158198.63,39398726.82,0.0
16,加:营业外收入,4539301.27,2885884.95,2445656.66,146604.30,748528.51,491424.39,400092.39,14212.82,1803176.59,4202441.15,3286922.49,1974898.51,12692621.88,6918623.78,4970710.05,1260967.68,94467428.90,8564658.96,5010028.26,3729155.23,17648358.08,14061721.87,11381276.62,4227982.37,13514017.60,7052709.61,3287619.33,1156240.95,2502674.69,530134.51,88295.14,510000.00,20170367.38,14828399.35,13187453.07,551658.07,1080496.65,87401.58,0,0,5045508.75,3684403.30,1767398.58,27600.00,2376598.00,20000.00,31931.81,2199.75,0.0
17,减：营业外支出,5393514.34,4954501.53,3820334.09,486064.43,6484189.09,2750104.98,2582289.36,2269815.29,3047182.89,2709883.19,1212986.22,357344.19,2622370.00,375081.13,277197.15,144223.40,1475966.27,468777.74,326874.18,134872.50,423730.96,258316.90,186297.82,65000.00,327336.25,180406.35,180183.46,125000.00,2286555.91,2170140.52,2123554.58,221463.22,597103.54,586856.18,191856.18,357.03,567079.37,300200.00,270200.00,110200.00,180840.00,180840.00,80840.00,30840.00,222913.66,222279.14,404077.24,49920.26,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,1030473.58,241582.53,0,254613.29,176943.32,31289.38,0,534958.50,46104.56,35871.54,0,0,0,0,0,0,0,0,0,2087742.77,2071327.38,2024741.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
