,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,177763083.68,1038244480.48,745817734.15,533091369.80,363042193.13,1016859661.35,681356216.80,510374924.31,240595786.93,712453698.30,523459064.31,336120888.39,175667848.67,593146428.82,387118803.65,287276163.64,160644273.86,763366812.33,547051427.51,295595994.95,136765282.71,907086751.96,662589361.64,453926872.42,213473617.55,982091228.11,667317062.50,407107154.54,185791850.73,780371077.75,553983669.60,367203241.43,188037336.47,921309937.68,605002408.14,402607255.87,172062147.16,776457092.00,514048446.97,348084674.93,148566852.57,755181323.29,578740151.81,423308939.33,190497795.69,858743849.41,614721231.92,421572572.38,189395318.34,796227184.91,574544295.91,359112652.72,177257280.91,779124595.04,533381517.74,398197117.20,200960115.70,718589070.95,544941020.85,405690644.48,198155882.34,843521036.40,585859296.88,346746474.29,148064969.37,751366285.00,559077011.53,385142845.43,204785638.00,710143035.23,526943847.43,351555716.57,186895075.08,746781921.79,362449147.31,837204982.79,405998392.37,908982329.31,433225884.77,808157966.89,318769077.53,665549959.43,598030116.28,628611672.78,0.0
2,营业收入,177763083.68,1038244480.48,745817734.15,533091369.80,363042193.13,1016859661.35,681356216.80,510374924.31,240595786.93,712453698.30,523459064.31,336120888.39,175667848.67,593146428.82,387118803.65,287276163.64,160644273.86,763366812.33,547051427.51,295595994.95,136765282.71,907086751.96,662589361.64,453926872.42,213473617.55,982091228.11,667317062.50,407107154.54,185791850.73,780371077.75,553983669.60,367203241.43,188037336.47,921309937.68,605002408.14,402607255.87,172062147.16,776457092.00,514048446.97,348084674.93,148566852.57,755181323.29,578740151.81,423308939.33,190497795.69,858743849.41,614721231.92,421572572.38,189395318.34,796227184.91,574544295.91,359112652.72,177257280.91,774560818.28,530449120.99,396513381.60,200379595.65,712456831.98,540407020.68,402093784.38,196120160.08,841358472.40,584465509.27,345801614.96,147619135.09,749543043.59,557341366.26,384090829.08,204175787.20,707227525.96,524783843.25,350512283.37,186855884.86,744256503.71,361313383.83,830612964.97,403214902.93,902546451.82,429676612.82,803830193.99,316050743.83,661083491.97,590198449.28,619411031.94,0.0
3,二、营业总成本,193157552.03,1087785687.35,780916131.45,555827883.11,376689483.92,1109229099.85,734141239.93,550762535.44,262151810.95,853626964.46,586713884.02,380259149.99,195629971.72,705613539.16,439158897.52,328838242.66,177297863.97,818780542.17,570065433.35,310430401.09,148742813.98,955220210.80,682980957.50,469222076.88,228970769.01,1113066071.52,700603453.70,431092484.11,195672078.32,816683506.57,570133175.34,375494004.78,192456846.68,943067507.48,618763450.53,411442972.66,173960905.09,789108151.54,524212009.36,349226413.17,149652153.65,771185529.41,582309483.08,424279375.18,190383484.27,887698677.87,615025026.94,418466973.03,190852358.99,797110772.39,572796324.79,356022062.44,178709299.99,788234859.72,530491747.18,393677918.24,197358480.21,711579409.11,540505798.03,401529066.37,193582055.15,836395043.59,591530775.98,355061421.89,157959020.93,921068584.06,594604818.94,393142232.13,208488731.62,837879588.97,519495139.41,339260469.25,179869214.08,700864631.32,337916987.03,788390737.65,373102937.05,809970063.76,392628666.28,715179403.47,288962079.59,583435254.19,476422406.51,479992356.49,0.0
4,营业成本,163380661.25,990178742.11,716126836.55,510709977.45,355168217.75,964962300.92,664500922.05,500220634.20,238664402.41,712630168.20,516416053.26,335330894.97,175143070.58,567598445.43,373198340.87,278397999.34,154332230.49,701912930.55,513219004.67,272372651.57,123845434.13,832386202.12,618000444.45,422036077.03,201541338.83,916755681.91,612007008.42,376136363.02,169116700.99,739966155.64,531316347.36,346663578.16,178074186.20,845298796.85,554491048.40,371613404.55,159746496.83,726857455.00,481424804.40,324821623.91,137610946.48,707964365.63,540815826.35,396533834.88,179161731.38,785296656.08,572056468.14,391849239.20,172863943.01,725855848.10,524492041.08,326971821.51,163015244.70,733118451.28,501023117.04,374882461.58,188733618.00,675195269.38,518014820.25,385207707.16,185371207.02,789791377.38,543450828.74,322736951.35,140491926.78,790320191.90,529536619.94,355358194.26,188244697.26,665295360.41,473981446.20,308430148.05,165668988.26,633163787.35,302666009.60,719749937.32,343354255.33,749610300.29,364739558.31,652579265.22,249877843.31,508973291.73,427229774.60,420809647.48,0.0
5,营业税金及附加,2390610.53,9955136.55,7119214.37,4707743.46,2316073.84,7569182.35,5334196.15,5565317.16,2297221.20,5895614.75,5798654.84,4272955.04,2122343.35,10022157.93,3281472.00,3089441.03,685145.16,3067084.08,2312782.67,1778113.12,1161435.28,2744069.71,2301712.68,1489944.47,802894.41,3603508.94,2794284.79,1711973.25,696682.28,2160889.24,1207725.13,840360.74,254663.41,6179878.47,864989.93,691350.85,253514.61,1690313.70,697969.91,486721.81,38441.66,1447823.42,535482.85,341584.17,58939.88,1469343.11,753967.45,624777.78,367155.20,1337257.85,872265.19,700661.54,364396.89,470036.74,342245.72,277750.15,180884.49,220370.21,151203.10,110079.95,95166.86,705926.17,705924.17,507988.24,192972.77,1640051.33,1002678.89,888299.72,411062.44,1713461.14,1523369.93,1009510.39,602675.53,2597604.92,1181150.73,2659159.58,1361821.18,2086555.93,466741.68,2662348.89,1191870.47,2458797.98,2025766.62,1736478.86,0.0
6,销售费用,3744564.34,26496381.27,15755337.12,10510687.02,3940703.90,25997442.29,16692207.10,10610026.99,4629914.27,28914248.15,17883154.02,11902782.13,5782767.42,29883122.11,17443224.49,11378761.03,5962421.81,32284267.75,22215793.15,14518223.25,7264124.36,34591811.10,23345303.72,15384631.37,8223662.65,47749225.17,32902360.61,20497634.69,8202174.10,26125725.52,18361812.14,12375454.28,6448612.86,29199704.10,20750928.91,14375140.83,6189694.88,22934419.98,18427889.78,11272430.57,5964865.60,27345135.80,19409136.83,13499145.38,5281561.08,31211713.27,19701637.73,13262106.97,4919586.08,27797316.00,17486463.83,10302451.93,5234221.22,19574707.00,10019276.89,6427692.18,3524889.99,13479308.93,7976619.60,5458733.10,2092907.20,15541903.35,15130416.33,9554592.53,4008312.78,26881726.57,17066591.00,11388710.15,6610319.16,20404261.28,14473528.93,9915409.87,5406077.42,17587705.68,6977521.12,16284440.69,6724646.88,32184898.25,8116443.34,20390110.10,15475120.58,23751457.86,0,0,0.0
7,管理费用,18148750.66,51023245.27,36298520.57,24971641.86,12350896.74,55904883.96,39253380.09,28960865.77,14965220.04,58819102.99,38004923.36,25866435.73,11474809.00,57216424.62,44236679.18,33693927.74,16034809.30,59263017.02,33618354.41,22155882.59,14587437.76,73386607.65,51376971.18,34237715.33,17713450.09,80500660.34,45445352.84,27347472.76,15356180.31,41570337.94,23742118.08,15742546.33,7125398.57,44712295.26,31014630.64,19902083.53,7011337.72,35173712.32,22465448.78,13382213.97,5804100.70,28838105.35,20721475.91,13450773.30,5641261.58,33860988.96,24159917.15,15909947.19,7949030.55,26135001.31,23872268.42,14308133.55,7486725.38,26447206.11,13954996.79,8751368.68,4118520.91,17750449.66,12100927.99,8281341.71,4610640.18,18662488.43,21890570.23,14986028.07,8291071.66,78153522.90,32442119.37,16880921.88,7823701.42,137443523.79,22067166.12,15462293.89,6740944.08,36286538.39,20330421.69,38492655.82,16951801.48,21259620.88,12554665.59,22177506.39,10003606.40,31025954.92,27693880.86,42667125.67,0.0
8,财务费用,4106467.89,2047497.36,-400464.03,451965.66,1121051.06,2547636.80,4389342.29,5223530.74,1673881.49,-2718873.38,7858531.41,2423645.99,1106491.37,-2374680.19,-419103.09,946502.83,283257.21,-8333761.54,859060.39,1765092.50,1884382.45,-5376862.10,-2314100.39,-629312.49,689423.03,11961689.86,8940373.48,6125893.03,2300340.64,3167877.23,1416292.04,1083615.05,516073.26,12949796.20,11307567.49,4583326.53,701212.74,3516157.81,2832899.87,593036.28,177322.45,261158.21,200887.97,286778.88,292572.39,25462293.66,2160953.03,1268176.33,4683919.56,11154827.55,6130401.71,3744182.00,2554566.32,8624458.59,5152110.74,3338645.65,800566.82,4934010.93,2262227.09,2471204.45,1412133.89,11693348.26,10353036.51,7275861.70,4974736.94,24073091.36,14556809.74,8626106.12,5398951.34,13022982.35,7449628.23,4443107.05,1450528.79,11228994.98,6761883.89,9008830.79,2952218.27,15283203.20,6751257.36,17370172.87,10313638.83,17225751.70,19472984.43,14779104.48,0.0
