,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业收入,627268000000.00,474981000000.00,323179000000.00,173031000000.00,598588000000.00,457448000000.00,306302000000.00,155865000000.00,537041000000.00,408390000000.00,276953000000.00,148388000000.00,506016000000.00,386154000000.00,260385000000.00,138046000000.00,536168000000.00,407276000000.00,274147000000.00,139443000000.00,520858000000.00,393966000000.00,266635000000.00,136100000000.00,462625000000.00,351341000000.00,234958000000.00,119331000000.00,421964000000.00,316224000000.00,209733000000.00,106967000000.00,377731000000.00,279176000000.00,184158000000.00,89556000000.00,290418000000.00,209489000000.00,135680000000.00,66172000000.00,222274000000.00,157620000000.00,104009000000.00,211189000000.00,179237000000.00,87154000000.00,55495000000.00,63755000000.00,56294000000.00,48254000000.00,43681000000.00,0.0
2,利息净收入,486871000000.00,360473000000.00,237632000000.00,119113000000.00,477760000000.00,355415000000.00,233833000000.00,117481000000.00,441930000000.00,324260000000.00,211323000000.00,103206000000.00,398104000000.00,298121000000.00,198957000000.00,101704000000.00,436140000000.00,328740000000.00,219493000000.00,109442000000.00,429891000000.00,317793000000.00,209438000000.00,103142000000.00,376202000000.00,275624000000.00,180002000000.00,89288000000.00,341879000000.00,253233000000.00,167685000000.00,85835000000.00,307199000000.00,223364000000.00,144730000000.00,70529000000.00,242152000000.00,174023000000.00,111708000000.00,53548000000.00,181639000000.00,127878000000.00,83896000000.00,193845000000.00,157465000000.00,72060000000.00,43731000000.00,55113000000.00,51335000000.00,45223000000.00,41591000000.00,0.0
3,其中：利息收入,859141000000.00,639304000000.00,421570000000.00,208463000000.00,784724000000.00,578899000000.00,378294000000.00,187947000000.00,713699000000.00,526108000000.00,344600000000.00,169091000000.00,657190000000.00,492163000000.00,329760000000.00,168647000000.00,725793000000.00,548190000000.00,363830000000.00,180140000000.00,699289000000.00,517369000000.00,337832000000.00,165356000000.00,613384000000.00,452145000000.00,296463000000.00,145914000000.00,566063000000.00,420488000000.00,278257000000.00,137183000000.00,472921000000.00,340068000000.00,216952000000.00,103180000000.00,357660000000.00,260256000000.00,168280000000.00,81220000000.00,296147000000.00,216634000000.00,142243000000.00,315697000000.00,243317000000.00,150906000000.00,105133000000.00,101865000000.00,92932000000.00,84808000000.00,83081000000.00,0.0
4,减：利息支出,372270000000.00,278831000000.00,183938000000.00,89350000000.00,306964000000.00,223484000000.00,144461000000.00,70466000000.00,271769000000.00,201848000000.00,133277000000.00,65885000000.00,259086000000.00,194042000000.00,130803000000.00,66943000000.00,289653000000.00,219450000000.00,144337000000.00,70698000000.00,269398000000.00,199576000000.00,128394000000.00,62214000000.00,237182000000.00,176521000000.00,116461000000.00,56626000000.00,224184000000.00,167255000000.00,110572000000.00,51348000000.00,165722000000.00,116704000000.00,72222000000.00,32651000000.00,115508000000.00,86233000000.00,56572000000.00,27672000000.00,114508000000.00,88756000000.00,58347000000.00,121852000000.00,85852000000.00,78846000000.00,61402000000.00,46752000000.00,41597000000.00,39585000000.00,41490000000.00,0.0
5,手续费及佣金净收入,86926000000.00,69857000000.00,50899000000.00,29218000000.00,78141000000.00,62362000000.00,43637000000.00,23386000000.00,72903000000.00,58137000000.00,42465000000.00,25471000000.00,90935000000.00,73141000000.00,51108000000.00,28918000000.00,82549000000.00,66612000000.00,47643000000.00,26978000000.00,80123000000.00,65920000000.00,47848000000.00,26887000000.00,83171000000.00,67270000000.00,47597000000.00,25991000000.00,74844000000.00,58110000000.00,38929000000.00,21270000000.00,68750000000.00,54824000000.00,37136000000.00,17749000000.00,46128000000.00,34032000000.00,22459000000.00,10857000000.00,35640000000.00,25597000000.00,17017000000.00,23798000000.00,22995000000.00,13398000000.00,9146000000.00,6805000000.00,3110000000.00,1993000000.00,1452000000.00,0.0
6,其中:手续费及佣金收入,103011000000.00,80701000000.00,57296000000.00,32350000000.00,91525000000.00,70183000000.00,48496000000.00,25652000000.00,85257000000.00,66513000000.00,47262000000.00,27606000000.00,100819000000.00,78537000000.00,54446000000.00,30327000000.00,90494000000.00,70728000000.00,50160000000.00,27985000000.00,87883000000.00,70253000000.00,50441000000.00,27993000000.00,89697000000.00,71126000000.00,49721000000.00,26649000000.00,78573000000.00,60271000000.00,40146000000.00,21898000000.00,71524000000.00,56505000000.00,38176000000.00,18325000000.00,48144000000.00,35203000000.00,23176000000.00,0,37285000000.00,26476000000.00,17528000000.00,24794000000.00,23921000000.00,13947000000.00,9613000000.00,7172000000.00,3510000000.00,2339000000.00,1820000000.00,0.0
7,减：手续费及佣金支出,16085000000.00,10844000000.00,6397000000.00,3132000000.00,13384000000.00,7821000000.00,4859000000.00,2266000000.00,12354000000.00,8376000000.00,4797000000.00,2135000000.00,9884000000.00,5396000000.00,3338000000.00,1409000000.00,7945000000.00,4116000000.00,2517000000.00,1007000000.00,7760000000.00,4333000000.00,2593000000.00,1106000000.00,6526000000.00,3856000000.00,2124000000.00,658000000.00,3729000000.00,2161000000.00,1217000000.00,628000000.00,2774000000.00,1681000000.00,1040000000.00,576000000.00,2016000000.00,1171000000.00,717000000.00,0,1645000000.00,879000000.00,511000000.00,996000000.00,926000000.00,549000000.00,467000000.00,367000000.00,400000000.00,346000000.00,368000000.00,0.0
8,汇兑收益,2229000000.00,-481000000.00,653000000.00,1685000000.00,761000000.00,-1281000000.00,1991000000.00,3743000000.00,11021000000.00,8318000000.00,4298000000.00,251000000.00,-98000000.00,1163000000.00,655000000.00,2249000000.00,2842000000.00,2880000000.00,-5000000.00,141000000.00,2915000000.00,1990000000.00,737000000.00,99000000.00,312000000.00,-431000000.00,255000000.00,-191000000.00,1483000000.00,1882000000.00,984000000.00,640000000.00,2686000000.00,1991000000.00,1363000000.00,396000000.00,1722000000.00,529000000.00,783000000.00,0,1877000000.00,1563000000.00,899000000.00,-2913000000.00,-3786000000.00,0,0,0,0,0,0,0.0
