,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,22116248265.36,16614888225.65,10736583689.21,4266937532.23,21233742463.09,15909823128.30,10308432863.28,3981658165.36,19471146411.05,14693527606.42,9613219456.07,3794547830.43,18938551893.71,14218450906.10,9271315229.15,3775359862.36,19295534666.82,14753293830.16,9829497798.77,4151295665.30,20778933220.52,15575183289.37,10136316637.43,4133240256.20,19907077075.11,14618769623.62,9381540032.26,3883863244.56,17743250879.58,13454135360.23,7196076462.48,3198850932.66,14502379031.75,11431577726.11,7366026241.62,3228286800.91,13259978831.02,9744452405.02,6310896504.95,2739090225.46,10986235317.82,8066224111.63,5180700037.86,2344474929.90,10447383090.46,7918918582.45,5191719881.50,2316491412.34,9186192504.12,6667310641.75,4210749706.72,1893486265.34,7320231691.26,5267808344.06,3436760967.72,1565250469.42,6862759168.26,5083625856.76,3372574348.60,1538316693.90,6590388687.01,4823804231.55,3315008125.47,1605545778.14,5552422445.64,4090488924.16,2677769870.98,1258205557.53,4475659918.77,3426653697.65,2289833659.50,1068391795.14,3857977486.40,1895795757.64,3636493097.70,1765141891.22,3510059294.45,1642695043.82,444399064.31,213570809.87,918221399.27,393349759.07,1350938321.28,953254408.08,1925366523.18,1099700000.00,1434362000.00,765920060.38,587340000.00,778590000.00,635150000.00,544300000.00,0.0
2,营业收入,22116248265.36,16614888225.65,10736583689.21,4266937532.23,21233742463.09,15909823128.30,10308432863.28,3981658165.36,19471146411.05,14693527606.42,9613219456.07,3794547830.43,18938551893.71,14218450906.10,9271315229.15,3775359862.36,19295534666.82,14753293830.16,9829497798.77,4151295665.30,20778933220.52,15575183289.37,10136316637.43,4133240256.20,19907077075.11,14618769623.62,9381540032.26,3883863244.56,17743250879.58,13454135360.23,7196076462.48,3198850932.66,14502379031.75,11431577726.11,7366026241.62,3228286800.91,13259978831.02,9744452405.02,6310896504.95,2739090225.46,10986235317.82,8066224111.63,5180700037.86,2344474929.90,10447383090.46,7918918582.45,5191719881.50,2316491412.34,9186192504.12,6667310641.75,4210749706.72,1893486265.34,7286223314.42,5245909976.17,3422503680.20,1557384662.42,6831533255.19,5059322816.50,3356863760.23,1530956087.85,6555276828.12,4802388106.78,3300403591.21,1599628295.23,5559734783.47,4073338384.87,2665555632.97,1253183034.15,4468336934.68,3419871820.30,2289548356.93,1062734559.69,3844769510.00,1888676871.00,3624435206.89,1759872948.42,3503166528.14,1640969270.56,444323044.92,202091770.88,918888298.01,393462052.20,1350796162.82,953095812.62,1924570651.91,1099680000.00,1434156000.00,767120945.70,585220000.00,773370000.00,630840000.00,542050000.00,0.0
3,二、营业总成本,20471382786.17,15204009489.04,9818184170.86,3937639196.85,19195348068.70,14146089219.60,9206812522.09,3583107031.31,17215905300.81,12939335816.48,8589286940.50,3414258723.12,16870242172.34,12562744109.69,8301174377.34,3403322803.06,17749178134.87,13459516051.62,9111139487.76,3894644025.30,19153435367.64,14263461475.10,9347286430.60,3881361140.76,18423804681.86,13409305831.96,8707702784.89,3723017023.80,16680775137.35,12725243384.10,6616342870.25,2976207917.42,13569149897.76,10524481010.64,6794747507.94,2999155135.16,12491140513.10,9073192446.70,5853963369.76,2532059426.19,10373164219.20,7426665798.80,4738012930.09,2143012149.72,9763368850.96,7268045157.88,4752368020.68,2115086900.56,8444064926.82,6059954400.76,3835697572.30,1742601152.93,6682354911.77,4846141621.80,3181468511.81,1436983795.14,6274948197.97,4553059655.47,3001685493.80,1372433277.60,5851811530.54,4281129002.07,2922823712.90,1421405385.62,4808764407.19,3516361360.08,2328974017.09,1108311179.79,3821317541.15,2923710380.28,1976900964.59,932094002.76,3297506070.03,1611520019.81,3175862035.76,1517199089.64,3059893443.01,1383200729.56,486954938.42,224700016.57,874566359.05,0,1345686129.46,0,1747435229.16,0,0,0,528580000.00,693920000.00,563700000.00,473000000.00,0.0
4,营业成本,18466294761.60,13866460931.27,8944277105.80,3538129773.00,17178505650.29,12769312772.20,8246400053.15,3170883561.72,15226925132.92,11628814912.92,7633692655.87,2976584444.52,14780967899.44,11180763428.89,7291362019.01,2979672630.20,15117878402.59,11642318913.57,7801959717.00,3312008819.99,16242127953.23,12274014787.58,8038090291.47,3269606314.16,15670770649.25,11611711540.88,7542876267.82,3154730635.73,14295199209.41,10906926142.75,5793795568.41,2541452950.05,11654694217.54,9194752912.60,5952172825.33,2595919278.01,10700275731.11,7867784014.79,5088515339.80,2199896810.44,8888158950.18,6534738603.12,4183817454.49,1873897756.19,8489100178.83,6394198410.49,4175419382.91,1861863686.07,7277254140.21,5289137929.52,3333026643.59,1538991169.55,5756865497.54,4211090083.77,2765887880.89,1249190096.82,5403366370.78,3924222586.18,2567321061.18,1175375812.94,4942282576.90,3660508261.89,2517586186.95,1226508689.25,4011958308.43,2944267467.00,1952850787.50,915105404.87,2881983316.85,2314903460.30,1596717736.35,773737089.95,2554268178.51,1304874733.93,2483197627.26,1254158982.94,2461372469.10,1156607381.01,405519122.70,157687789.38,738657178.74,0,1121670089.03,0,1522442725.41,0,0,0,482620000.00,622550000.00,511020000.00,438350000.00,0.0
5,营业税金及附加,71299358.58,56418440.57,34687747.44,18755953.60,88238202.74,72077164.10,53440398.83,24680489.94,118281818.69,85319248.39,65982482.20,29384721.87,148289534.95,103667800.89,82012392.04,42992139.28,151298695.35,121435065.36,77594340.98,37283240.60,154535099.59,129833994.85,84670343.25,40893605.85,137698423.00,108324837.53,71322030.21,30607092.65,151094119.47,108281857.07,66375802.16,24932592.22,94762721.61,81594878.36,50935124.37,14073529.74,47049591.96,36252827.31,23807994.21,12045757.27,36433124.13,27332568.32,18394534.01,8894401.18,30051094.94,21453805.74,14258088.62,6704249.05,29132541.03,21674399.34,14030629.80,6026209.23,23752289.66,19284640.84,11539457.87,5355209.19,18167645.33,13000135.69,8146628.94,3962995.23,16086266.32,11113213.24,7490047.04,3860914.82,13609027.49,14003668.35,6332369.08,3138194.45,13058660.06,9502722.40,7358392.95,3574226.91,8993988.46,4245879.20,8228819.03,4186741.08,7988472.26,3979167.01,4178453.65,706418.24,9634697.47,0,2962011.87,0,5920842.52,0,0,0,45960000.00,71370000.00,52680000.00,34650000.00,0.0
6,销售费用,717403518.03,517957347.46,315448623.90,139764266.43,724492171.12,491311861.50,339030182.24,172332071.95,706517294.05,529202614.25,373089927.09,213695958.05,689775545.35,495531408.83,347131879.60,145371900.64,772143600.41,616311011.04,438084366.19,208163069.54,983815921.95,759160445.75,514231780.66,247375429.67,938233144.65,705962389.58,447350690.71,192717975.55,858629127.98,626435048.36,311434096.91,174620991.75,648436356.85,507216885.31,339288086.79,199457623.34,572442492.41,433458555.19,284133934.61,123275317.18,520564229.84,393129860.59,257251654.05,127798549.45,450800611.78,375411125.96,213375019.44,131402491.89,492053156.49,355914981.87,228683868.51,94632357.79,360255683.32,267027956.16,170509771.09,85898121.19,345423417.47,253245321.01,162518431.43,79442511.94,321429749.67,229591779.19,133740621.19,65436244.53,323599708.75,239973112.85,157358942.07,82777207.96,317593510.41,228508007.62,148225737.93,72043847.86,290137966.11,134119448.56,245249626.66,127462441.63,214680939.51,98544459.20,5778042.52,14938744.03,24044238.50,0,50761337.53,0,26810633.80,0,0,0,0,0,0,0,0.0
7,管理费用,714341655.33,500485219.49,331863863.00,146453661.43,648676921.64,490305615.77,711397610.65,256091440.58,1297812456.32,897288688.38,651720570.57,246324752.13,1348474399.55,953494349.96,663893559.30,288924674.20,1782457942.68,1246319073.75,916950550.40,382675273.57,1876778470.83,1311561912.96,887189511.44,384622815.71,1839728726.00,1166382034.47,776169353.78,359530187.45,1482340908.65,1173732261.54,534231845.31,235862570.51,1217841360.00,853202817.30,521332474.60,238303364.31,1077062088.37,775436485.41,478880324.41,217513666.13,899709500.06,554972324.38,340190388.22,163726144.58,759141352.01,528160805.46,342386795.98,144957146.95,638911611.91,434563880.16,280669108.04,123108354.90,564132285.63,362108855.77,241592698.00,100067356.54,516323877.29,363413451.38,265771022.94,117285447.89,584589106.21,387049001.74,266947677.38,128116416.59,450852411.87,303466718.39,196504881.39,100897170.67,601321222.14,362501878.05,219744265.62,74400649.65,438597820.00,164511244.80,434314834.52,131075063.07,377039988.45,118137266.47,67592013.68,33930334.38,79345908.53,0,120362071.26,0,168183396.70,0,0,0,0,0,0,0,0.0
8,财务费用,-228573757.68,-202920816.02,-150574275.64,-42499619.74,-266190477.20,-223003401.37,-139387543.87,-30022098.69,-218525078.50,-185063057.89,-126181120.72,-47618347.41,-283499786.54,-235356508.59,-158272204.98,-69286065.95,-318083164.19,-232714382.28,-138132029.40,-58736729.45,-227863780.55,-190844994.93,-119308104.13,-54076508.65,-258834817.98,-194751671.67,-111189186.41,-13005963.01,-159518248.33,-147003306.55,-103599118.69,-7717898.08,-139850915.75,-86436407.41,-60403988.41,-17185715.28,-87600537.70,-52935929.31,-28857004.61,-7999584.46,-86387668.63,-63976100.18,-31004034.36,-10473263.51,-81025713.32,-50001404.32,-29987967.29,-9773908.95,-36694705.93,-22649401.35,-8345207.46,-6288958.19,-22650844.38,-13369914.74,-8061296.04,-3526988.60,-8333112.90,-821838.79,-2071650.69,-3633490.40,-12576168.56,-7133253.99,-2940819.66,-2516879.57,8744950.65,14650393.49,15927037.05,6393201.84,7360831.69,8294311.91,4854831.74,8338188.39,5508116.95,3768713.32,3410802.03,-87429.70,-6568664.41,5932455.87,868607.39,17436730.54,22884335.81,0,49930619.77,0,24077630.73,0,0,0,0,0,0,0,0.0
