,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19891231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,1255003.73,46546365.02,25109529.03,9817775.13,696400.00,632975.18,4808187.43,4625001.89,1111643.28,2073730.19,-56751.89,-75837.21,-18102.82,198772001.82,-384206.68,360202.62,-229701.46,-4276662.01,-4716221.76,-5226213.75,-4274617.04,-18137551.71,19014.31,14575.08,-5502.82,-4408.35,-5907.51,-1100.00,-1100.00,-417.64,4457.15,-37.29,641.54,-699.60,-4786240.68,32197.71,-1276.96,-1866628.83,-1899498.53,-1899498.53,549.89,12759183.64,9759586.23,9759586.23,0,88485048.46,73722733.14,66819655.90,411160.53,-48637000.14,-731378.79,-608737.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013430.03,0,834337.06,199333.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-81962689.59,-12665564.77,-12665564.77,0,-55137224.87,-9868058.71,-9868058.71,-284513.41,-70555545.48,-24838101.10,-24838101.10,477560.71,-17902070.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,26777920.50,21501204.47,12595994.90,2591391.41,22139901.22,2773428.24,-5064686.20,8133490.52,20531468.35,7070961.10,6868215.34,6698887.34,9624310.80,-88459.77,-89038.10,-174963.74,-866156.41,-700286.65,-597377.38,-288322.31,0,0,0,0,0,0,0,0,4800000.00,4800000.00,4800000.00,0,0,0,0,0,22900000.00,17900000.00,17100000.00,0,0,0,0,0,-165091.78,-170091.78,-170091.78,0,4971274.25,4971274.25,3406827.22,8237.20,4118.60,-8095881.40,4118.60,4118.60,-5393663.70,6336.30,6336.30,6336.30,5403085.30,5426376.77,5252597.03,5385564.97,2611282.98,2590738.98,22056.20,6533.00,3600.00,3600.00,0,3600.00,-1575218.00,3027392.00,4957234.77,30363.51,538457.83,278313.96,8446726.22,4869236.44,3875589.20,1715800.00,12297779.51,6553019.41,0,3247900.00,2860100.00,2789999.32,3637.60,870922.50,5915659.36,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,6496446.46,5260785.00,1619272.24,501781.70,1363907.23,-16761723.14,-18934704.48,0,0,0,0,0,0,0,0,0,0,0,0,-288322.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17900000.00,0,0,0,0,0,0,0,0,0,0,4971274.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1059781177.03,354592738.36,260143486.76,148593718.97,749518876.58,388454411.62,277621048.10,138716762.49,458946630.33,185624641.92,140685136.95,78002411.69,282203027.81,-33436873.21,-20748154.25,-11358747.13,-233225554.91,-10319441.94,-10903132.31,-8548519.40,-17566756.08,-5036045.91,-1259796.66,-2904509.62,11524465.46,-9449856.79,-5828837.82,-2900106.60,-6438687.59,-3243487.41,-677057.83,-2935902.44,-9013474.79,-6330471.31,-4380574.12,-2756188.80,5951720.29,10554995.63,9416435.99,-4227711.95,-7173202.45,-4467512.71,-2779959.06,-2401168.23,-17700780.08,-15121334.67,-13491712.64,-3274224.02,-89654366.91,-73684408.71,-65008525.09,251891.41,36824421.12,-17979912.93,-6014552.98,-4452433.30,2134343.88,-3639756.39,12676973.75,-2938262.73,-91688764.35,-85696788.25,-23243012.64,4438176.80,332219050.02,-16491009.94,-13459141.38,-6250055.33,-372533485.70,-28323277.63,-21556670.60,-6544705.31,-360273373.43,4444750.23,6135022.90,9211455.46,33111987.96,15998882.38,42938173.16,16446912.46,40917685.14,13442222.30,33426200.53,12691271.13,25203845.31,15580200.00,25185500.00,11545567.39,16016049.80,8341803.14,7676101.16,389169.88,3474174.61,408310.19,745478.84,-41183.41,0.0
16,加:营业外收入,3731853.88,2042432.01,1482175.75,219400.59,1234400.24,818391.72,509741.31,163388.16,3988587.74,3640307.68,425473.67,193775.02,814540.26,239219.04,238507.14,249033.33,2585802.82,0,0,0,0,0,0,0,6234049.73,3234030.94,3201663.01,0,10334565.83,5334565.83,0,0,0,0,0,0,1257075.00,1257075.00,1257075.00,14050.00,10412671.14,14016042.94,14016042.94,12000000.00,47653734.57,266850.00,0,5270914.74,170962510.33,4083150.86,0,0,3824043.52,78510.80,78510.80,300.00,0,39719500.00,12689500.00,12689500.00,97297252.41,120171742.67,37387968.10,8829.35,14933.36,14933.36,0,0,143510.82,703115.44,10568.40,548.40,134778.70,8403.83,53476.62,1.30,8399.01,180.00,10750.00,4950.00,7713.39,0,0,0,0,0,0,0,14320.00,0,1729855.29,6540504.89,560720.82,0,171977.02,0,0.0
17,减：营业外支出,1552118.32,1755662.46,175308.27,27296.84,4898937.27,4737759.45,4604005.04,2298969.64,8831179.48,6843053.80,4673042.74,2143268.06,4150817.22,2430277.11,2430188.87,402800.00,1354991.66,2000.00,0,0,6878779.31,-2287000.40,-2320415.36,250655.80,-108756935.12,3013127.30,1387153.40,1625973.90,-13748787.25,7886284.20,5246797.80,2607311.40,12295395.60,9071546.70,6147697.80,3111348.90,12448220.77,10862421.66,5610311.63,3073848.90,81328.77,3688978.29,3688978.29,3125779.35,27440.13,-49000101.99,-19503573.59,500.00,49564.75,-160294856.43,-67926720.69,-1494413.27,35937884.51,-22611533.37,-8605971.70,6830402.85,195667.14,29281291.33,21797308.65,8571662.89,1104867.61,30528733.53,11891727.36,3361122.00,329636251.85,7915.00,7575.00,310.00,282037722.26,4858285.01,4856514.01,2765617.51,20816.79,299.40,564315.39,17776.05,21645.71,11668.83,1213.00,393.00,77482.54,0,310155.00,0,1120.00,0,0,0,7747.60,4928.80,3864.40,500.00,16698.20,0,12600.00,0,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,129324.57,0,0,0,0,0,0,0,2762.09,2762.09,0,0,147.66,0,0,0,1479.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26340.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,1061960912.59,354879507.91,261450354.24,148785822.72,745854339.55,384535043.89,273526784.37,136581181.01,454104038.59,182421895.80,136437567.88,76052918.65,278866750.85,-35627931.28,-22939835.98,-11512513.80,-231994743.75,-10321441.94,-10903132.31,-8548519.40,-24445535.39,-2749045.51,1060618.70,-3155165.42,126515450.31,-9228953.15,-4014328.21,-4526080.50,17644665.49,-5795205.78,-5923855.63,-5543213.84,-21308870.39,-15402018.01,-10528271.92,-5867537.70,-5239425.48,949648.97,5063199.36,-7287510.85,3158139.92,5859551.94,7547105.59,6473052.42,29925514.36,34145617.32,6011860.95,1996190.72,81258578.67,90693598.58,2918195.60,1746304.68,4710580.13,4710131.24,2669929.52,-11282536.15,1938676.74,6798452.28,3569165.10,1179574.38,4503620.45,3946220.89,2253228.10,1085884.15,2597731.53,-16483991.58,-13466716.38,-6250365.33,-654427697.14,-32478447.20,-26402616.21,-9309774.42,-360159411.52,4452854.66,5624184.13,9193680.71,33098741.26,15987393.55,42947710.16,16451469.46,40847915.99,13442222.30,33116045.53,12691271.13,25202725.31,15580200.00,25185500.00,11545567.39,16022622.20,8336874.34,9402092.05,6929174.77,4018197.23,408310.19,904855.86,-41183.41,0.0
20,减：所得税费用,247533499.76,73314814.44,58129950.19,34295822.08,188409108.35,104526798.54,72968012.94,33231837.01,95962367.37,35316530.57,24544736.67,13624987.61,31995639.46,0,0,0,448130.99,0,0,0,407803.08,176951.64,281948.74,0,2514097.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603328.88,603328.88,0,51026.05,34276.69,13500.00,0,0,25242.20,25242.20,0,-2629.89,0,0,0,0,2629.89,46294.72,0,26425.27,0,0,0,21610.62,5749.66,5749.66,0,73535.10,464163.09,1727620.07,1397463.29,5906801.07,2438658.24,5337747.24,2501998.24,3958919.18,1794727.01,4889517.64,1337392.44,3373938.16,2267100.00,3725800.00,1700726.62,2403393.33,1117000.00,1410313.81,2286627.67,0,0,0,0,0.0
21,五、净利润,814427412.83,281564693.47,203320404.05,114490000.64,557445231.20,280008245.35,200558771.43,103349344.00,358141671.22,147105365.23,111892831.21,62427931.04,246871111.39,-35627931.28,-22939835.98,-11512513.80,-232442874.74,-10321441.94,-10903132.31,-8548519.40,-24853338.47,-2925997.15,778669.96,-3155165.42,124001353.22,-9228953.15,-4014328.21,-4526080.50,17644665.49,-5795205.78,-5923855.63,-5543213.84,-21308870.39,-15402018.01,-10528271.92,-5867537.70,-5239425.48,949648.97,5063199.36,-7287510.85,3158139.92,5859551.94,7547105.59,6473052.42,29925514.36,33542288.44,5408532.07,1996190.72,81207552.62,90659321.89,2904695.60,1746304.68,4710580.13,4684889.04,2644687.32,-11282536.15,1941306.63,6798452.28,3569165.10,1179574.38,4503620.45,3943591.00,2206933.38,1085884.15,2571306.26,-16483991.58,-13466716.38,-6250365.33,-654449307.76,-32484196.86,-26408365.87,-9309774.42,-360232946.62,3988691.57,3896564.06,7796217.42,27191940.19,13548735.31,37609962.92,13949471.22,36888996.81,11647495.29,28226527.89,11353878.69,21828787.15,13313100.00,21459700.00,9844840.77,13619200.00,7220000.00,7991778.24,4642547.10,4064037.23,408310.19,1231255.86,100154.71,0.0
22,归属于母公司所有者的净利润,818608623.33,283357701.30,203512473.70,114684200.86,550779991.12,265618124.17,189947565.31,99156602.33,348567272.08,151894223.10,111892831.21,62427931.04,246871111.39,-33458712.60,-21550265.44,-10826680.40,-194715903.16,-9920145.90,-9939077.85,-7670936.65,-23600842.53,-2691187.89,644929.18,-2533319.91,123111178.43,-9228953.15,-4014328.21,-4526080.50,17644665.49,-5795205.78,-5923855.63,-5543213.84,-21308870.39,-15402018.01,-10528271.92,-5867537.70,-5239425.48,949648.97,5063199.36,-7287510.85,3158139.92,5859551.94,7547105.59,6473052.42,29925514.36,33365138.44,5231382.07,1996190.72,81201747.84,90651173.96,2908610.43,1750277.45,4688066.38,4686562.37,2639562.39,-11271759.54,1928207.11,6788160.16,3563975.50,1179266.74,4590179.72,3945631.91,2205735.32,1085647.71,2569423.12,-16479786.30,-13465258.32,-6247842.96,-654402085.65,-32469886.19,-26395747.47,-9302050.36,-360257085.70,3989568.70,4035603.26,7809631.95,27127028.12,13581031.31,37618686.46,13960499.26,36887791.31,11646207.51,28216723.15,11353878.69,21828787.15,13313100.00,21459700.00,9844840.77,13619200.00,7220000.00,7991778.24,4642547.10,4064037.23,408310.19,1231255.86,100154.71,0.0
23,少数股东损益,-4181210.50,-1793007.83,-192069.65,-194200.22,6665240.08,14390121.18,10611206.12,4192741.67,9574399.14,-4788857.87,0,0,0,-2169218.68,-1389570.54,-685833.40,-37726971.58,-401296.04,-964054.46,-877582.75,-1252495.94,-234809.26,133740.78,-621845.51,890174.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177150.00,177150.00,0,5804.78,8147.93,-3914.83,-3972.77,22513.75,-1673.33,5124.93,-10776.61,13099.52,10292.12,5189.60,307.64,-86559.27,-2040.91,1198.06,236.44,1883.14,-4205.28,-1458.06,-2522.37,-47222.11,-14310.67,-12618.40,-7724.06,24139.08,-877.13,-139039.20,-13414.53,64912.07,-32296.00,-8723.54,-11028.04,1205.50,1287.78,9804.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.660000,0.230000,0.160000,0.090000,0.440000,0.210000,0.150000,0.110000,0.410000,0.190000,0.200000,0.120000,0.710000,-0.171900,-0.110700,-0.056000,-1.000000,-0.051000,-0.051100,-0.039400,-0.121000,-0.010000,0.003000,-0.013000,0.633000,-0.047400,-0.020600,-0.020000,0.090000,-0.029800,-0.030400,-0.030000,-0.110000,-0.079100,-0.054100,-0.030000,-0.030000,0.004900,0.026000,-0.040000,0.020000,0.030100,0.038800,0.030000,0.150000,0.171400,0.026900,0.010000,0.420000,0.465700,0.010000,0.010000,0.020000,0.024100,0.014000,-0.060000,0,0,0,0,0.023600,0,0,0,0.013200,0,0,0,0,0,0,0,-1.850000,0.020500,0.020000,0.048000,0.172000,0,0.278000,0,0.310000,0,0,0,0,0.201300,0,0,0.480600,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.660000,0.230000,0.160000,0.090000,0.440000,0.210000,0.150000,0.110000,0.410000,0.190000,0.200000,0.120000,0.710000,-0.171900,-0.110700,-0.056000,-1.000000,-0.051000,-0.051100,-0.039400,-0.121000,-0.010000,0.003000,-0.013000,0.633000,-0.047400,-0.020600,-0.020000,0.090000,-0.029800,-0.030400,-0.030000,-0.110000,-0.079100,-0.054100,-0.030000,-0.030000,0.004900,0.026000,-0.040000,0.020000,0.030100,0.038800,0.030000,0.150000,0.171400,0.026900,0.010000,0.420000,0.465700,0.010000,0.010000,0.020000,0.024100,0.014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,814427412.83,281564693.47,203320404.05,114490000.64,557445231.20,280008245.35,200558771.43,103349344.00,358141671.22,147105365.23,111892831.21,62427931.04,246871111.39,-35627931.28,-22939835.98,-11512513.80,-232442874.74,-10321441.94,-10903132.31,0,-24853338.47,-2925997.15,778669.96,-3155165.42,124001353.22,-9228953.15,0,-4526080.50,17644665.49,-5795205.78,0,-5543213.84,-21308870.39,0,0,0,-5239425.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,818608623.33,283357701.30,203512473.70,114684200.86,550779991.12,265618124.17,189947565.31,99156602.33,348567272.08,151894223.10,111892831.21,62427931.04,0,-33458712.60,-21550265.44,0,-194715903.16,-9920145.90,-9939077.85,0,-23600842.53,-2691187.89,0,-2533319.91,123111178.43,-9228953.15,0,-4526080.50,0,-5795205.78,0,-5543213.84,0,0,0,0,-5239425.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-4181210.50,-1793007.83,-192069.65,-194200.22,6665240.08,14390121.18,10611206.12,4192741.67,9574399.14,-4788857.87,0,0,0,-2169218.68,-1389570.54,0,-37726971.58,-401296.04,-964054.46,0,-1252495.94,-234809.26,0,-621845.51,890174.79,0,0,0,17644665.49,0,0,0,-21308870.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
