,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,810933956.51,748151826.57,101240531.64,1015582097.95,531579897.12,434580256.12,320897987.77,743146075.80,474315005.13,179145522.87,96300480.86,762230941.33,485721111.18,402944584.20,62147122.00,829720901.98,447969770.00,271270343.00,75714582.00,1892328338.20,1261865278.00,781139211.00,360811079.00,1473119248.20,482398037.00,291870464.00,92459458.00,1078363437.30,543455589.27,380266361.17,194050311.00,1822870012.50,897444253.24,674260826.24,220673252.24,1064191984.52,39653055.57,38543464.45,293334.37,190265430.78,28596477.50,14179774.18,0.00,491861769.87,458695042.64,38294971.35,25493923.35,1400499138.95,489346278.46,288171084.19,43124785.80,406676495.15,179396361.00,144980264.66,45224222.00,293072052.35,86236185.23,70761278.96,30075741.98,217543768.81,122494187.58,85774640.58,25283688.27,265799308.81,193693634.95,143995691.34,62807997.98,351741234.71,146240374.61,115193408.14,28332437.98,306222711.34,32705736.89,64046501.71,64880092.10,199116693.05,108692800.97,352152701.17,164953818.12,239922069.65,101731569.36,151073987.49,136382397.59,121976500.00,139087780.00,0.0
2,营业收入,810933956.51,748151826.57,101240531.64,1015582097.95,531579897.12,434580256.12,320897987.77,743146075.80,474315005.13,179145522.87,96300480.86,762230941.33,485721111.18,402944584.20,62147122.00,829720901.98,447969770.00,271270343.00,75714582.00,1892328338.20,1261865278.00,781139211.00,360811079.00,1473119248.20,482398037.00,291870464.00,92459458.00,1078363437.30,543455589.27,380266361.17,194050311.00,1822870012.50,897444253.24,674260826.24,220673252.24,1064191984.52,39653055.57,38543464.45,293334.37,190265430.78,28596477.50,14179774.18,0.00,491861769.87,458695042.64,38294971.35,25493923.35,1400499138.95,489346278.46,288171084.19,43124785.80,406676495.15,172330123.07,138682368.47,40610732.00,290724595.10,85921457.30,70556533.30,29935963.30,215528435.31,122270598.00,85551051.00,25177325.00,263208715.00,193588122.77,143890179.16,62802091.00,349004811.28,137038424.20,106070095.42,28324803.87,305409390.30,30907600.52,57967949.60,60092252.83,197943413.76,108509006.99,350089482.26,163312421.14,237372447.15,101056415.00,149885629.84,136067510.31,121851820.00,139059000.00,0.0
3,二、营业总成本,751909337.03,685116477.12,88364293.27,1023645276.94,523523251.31,416157141.54,312514061.71,755334630.61,379336199.47,178182461.33,82581335.59,634309260.66,418504089.45,320133751.83,59147766.25,666488096.19,369167901.39,232745841.52,81030339.06,1535944408.06,992296115.81,590332010.13,277068950.79,1071760302.22,351610131.89,190363231.92,58233755.73,708275658.13,367197299.04,257713739.81,126580816.20,1416177512.25,726025947.30,547754221.80,153222739.29,759434400.11,56966936.76,36205941.24,14159980.69,169483583.39,58832306.91,29764470.07,12597411.14,409153360.69,340181013.28,49530458.98,25224118.44,1156697838.05,427583808.27,250347314.15,38918372.63,343756314.63,149980839.28,118231447.35,39876518.87,250508502.38,68403378.01,53204823.17,22739056.23,159446336.00,91876851.01,60897989.39,20120603.89,187240898.57,144376850.44,100916171.91,41681047.84,257578304.63,124585304.05,94640953.53,26349843.13,292284534.23,39086869.45,115585192.65,65937409.81,209627368.44,109457485.67,338252819.33,154536604.15,219088268.00,0,140334337.87,127718560.59,95505910.00,119486100.00,0.0
4,营业成本,609080612.09,585205145.37,65933463.04,804068096.64,432122315.74,363465924.53,288113974.69,411780401.83,174058644.62,109555606.86,42763470.59,363260961.47,241818020.46,184213758.70,27574203.62,402288076.86,243659692.45,147066948.63,29027225.70,913344621.64,613571420.66,296081170.90,133928298.17,683641111.91,273202584.42,133694826.84,36119156.60,479767009.85,242885114.61,176802464.95,85896345.05,1135030024.82,615996737.45,456040495.90,105838087.72,502467336.55,8073356.13,8073356.13,333200.55,73254836.38,21054155.66,6092144.07,-362610.57,261556154.20,245957977.12,19704110.62,12593664.88,950526456.94,356855691.52,203355970.45,28911046.99,272502769.53,109569912.66,90775708.62,28255095.96,192190499.97,48712833.95,40014557.86,15608589.68,112509255.65,67858906.00,46508389.77,14191762.88,153815537.47,89545826.87,71331369.00,35053779.00,209276526.85,107284738.61,83347725.35,23396233.18,245045021.51,24304972.53,59297219.89,50510578.24,172770080.11,96032425.03,301790050.55,135096673.41,188632629.64,0,120382163.53,106938029.32,94411720.00,114912590.00,0.0
5,营业税金及附加,37631234.89,34214558.10,3368150.02,59571666.41,23305169.18,9577825.64,5137157.73,139761273.65,133471061.71,22322462.73,18692674.48,151154696.26,104539475.94,98329055.44,18769000.02,166349336.32,60006671.51,37086810.80,19267931.51,468417895.61,251409097.54,185053799.48,89949354.18,307145762.24,47816561.92,37117593.83,15282473.92,188169964.79,103089711.37,67793713.75,35861181.38,215977874.98,78231733.38,67223267.18,37346887.01,173169930.20,-4335470.04,-4360486.30,14483.39,15864598.69,1515291.31,740879.21,0,49244566.28,45986130.01,2085362.12,1389746.07,123768443.19,27354716.98,16321098.76,2369255.74,22134237.64,9504068.53,7653442.04,2233590.26,15975223.93,4725680.15,3880609.33,1646477.97,11854063.95,6724882.89,4705307.81,1384752.88,14471572.68,10647286.75,7913899.85,3450313.83,19153619.33,7529562.05,5832889.10,1557516.60,16278039.48,608766.20,1290784.49,654054.82,1336922.39,563299.28,3204803.15,2521243.27,2831026.41,0,866600.39,1023231.77,1094190.00,4573510.00,0.0
6,销售费用,13450357.78,7481756.81,2453123.69,36619572.83,17174097.79,8184947.06,3668263.01,40314382.69,21430830.35,17186532.74,8428300.26,53468648.37,29074280.52,13290946.25,5388363.21,27279158.99,15470834.33,10773467.96,4358705.72,24963513.61,11688998.64,6935168.96,3532321.10,32504139.41,12143034.41,7390192.85,2510300.60,14057180.30,8314511.57,4727404.69,2973392.55,28067020.39,12364971.33,8811668.35,3378838.93,35097871.40,17851116.36,6513157.65,2514012.70,6431743.43,2516019.96,1931443.86,1238584.76,19088507.18,8382862.94,3523219.11,3278101.12,30909677.74,15706188.51,11906370.92,1898126.94,21046278.62,14574227.99,9795103.95,5321415.39,15659889.85,6826482.21,3926481.87,2213553.87,7448742.98,2569296.74,1299965.89,124051.80,3207466.67,32848805.15,14725854.87,607525.39,8194079.40,2582311.61,1291701.91,67938.30,11560238.93,4816842.00,21769728.35,7942529.98,14938000.31,3388115.02,14641461.58,7286574.82,13641734.46,0,8403607.08,8685124.82,0,0,0.0
7,管理费用,43493127.17,28831441.98,12749145.59,59050600.29,35970905.97,23959579.63,12511616.84,64362123.05,43505686.06,22982637.41,9992639.45,53426658.85,34866941.28,20239335.10,8284255.77,51425346.55,30437658.95,19049445.71,10221575.32,53096243.32,24619826.00,15955919.62,6895602.64,18951466.69,13959555.64,8237420.90,3585120.76,19260467.47,10196816.15,6590162.92,2096685.92,20249835.22,10480097.55,5739308.94,1302693.78,21984350.87,12252058.52,6924268.16,5256049.57,31289884.45,14225580.77,8371912.84,5217397.02,33902655.54,15487111.17,11213225.51,5547014.37,32149488.06,14388248.20,8994396.04,1712526.32,15494922.85,8638126.41,4897243.86,1981807.53,8766891.53,3612913.20,2516292.63,1954419.84,19618811.07,10389820.06,6315457.15,3364038.46,12480156.41,9374636.55,6423741.08,2923564.63,18026454.45,6051694.71,3547797.97,1387601.55,16374516.02,7967893.01,25936594.02,6390994.29,17425345.16,7117118.25,14461145.79,7558939.61,9260898.88,0,6770321.84,7304982.53,0,0,0.0
8,财务费用,48254005.10,29383574.86,5730010.93,31046454.36,14950762.63,10968864.68,3083049.44,7697717.05,6869976.73,6135221.59,2704250.81,12028433.97,8205456.75,4060741.84,-868056.37,18213597.60,19593044.15,18769168.42,18154900.81,76905251.78,91006772.97,86305951.17,42763374.70,31382205.42,4488395.50,3923197.50,736703.85,5538726.01,2711145.34,1799993.50,-246788.70,8057020.75,8952407.59,9939481.43,5356231.85,26173501.39,23125875.79,19055645.60,6042234.48,42640826.96,19836379.21,12943210.09,6504039.93,39456728.58,24384603.66,13022213.24,2415592.00,24911118.37,15178963.06,9769477.98,4027416.64,12578105.99,7694503.69,5109948.88,2084609.73,17915997.10,4525468.50,2866881.48,1316014.87,8015462.35,4333945.32,2068868.77,1055997.87,3266165.34,1960295.12,521307.11,-354135.01,2927624.60,1136997.07,620839.20,-59446.50,3026718.29,1388395.71,2196810.37,424372.17,2858478.47,2356528.09,4155358.26,2073173.04,4721978.61,0,3911645.03,3767192.15,0,0,0.0
