,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,12894548623.48,7907888694.55,2685746786.10,14045708250.74,9300607976.43,5613003955.89,1904587600.65,10292965441.05,6970547930.56,4310590753.64,1497788431.98,7000232779.37,4798119843.96,2921088840.98,1026509869.90,5303990441.76,3632523554.20,2196039683.29,816160021.65,5005923672.60,3625794467.25,2360563362.86,823541692.90,3902626865.51,2783481883.60,1633495732.13,524744838.32,2978570323.20,2101266643.13,1245111962.50,434799953.33,2473653535.66,1745193929.04,1031699861.00,353366308.61,1981660167.96,1381163129.45,883699168.05,253329202.73,829305917.03,513725850.59,291708000.23,90737371.47,712317615.39,472318088.60,282190641.19,66985827.23,484498281.09,280663820.93,290689923.54,174547181.69,0.0
2,营业收入,12894548623.48,7907888694.55,2685746786.10,14045708250.74,9300607976.43,5613003955.89,1904587600.65,10292965441.05,6970547930.56,4310590753.64,1497788431.98,7000232779.37,4798119843.96,2921088840.98,1026509869.90,5303990441.76,3632523554.20,2196039683.29,816160021.65,5005923672.60,3625794467.25,2360563362.86,823541692.90,3902626865.51,2783481883.60,1633495732.13,524744838.32,2978570323.20,2101266643.13,1245111962.50,434799953.33,2473653535.66,1745193929.04,1031699861.00,353366308.61,1981660167.96,1381163129.45,883699168.05,253329202.73,829305917.03,513725850.59,291708000.23,90737371.47,712317615.39,472318088.60,282190641.19,66985827.23,484498281.09,280663820.93,290689923.54,174547181.69,0.0
3,二、营业总成本,11072458404.90,6958654513.09,2563874057.68,12447754917.34,8188699713.46,5018677379.38,1811857057.35,8971809251.70,6016478919.37,3779802254.55,1420265852.92,5926830473.97,3980702189.20,2512192528.18,962675138.60,4576525477.54,3167015256.22,1937819800.35,759136037.73,4386084869.94,3166174150.53,2105717201.64,778607142.37,3490503719.11,2530741283.23,1537005303.78,531539391.96,2786823346.86,1989339159.27,1196057582.08,461536678.99,2389549093.94,1697127781.29,1008638140.12,380838364.96,1866149349.88,1292488980.79,840917448.61,256075026.11,747925873.91,455029717.19,260181114.50,88716490.76,663395950.34,435512112.14,262725498.37,64879782.62,426703075.69,247951855.01,252319484.24,152073111.92,0.0
4,营业成本,8192808243.95,5014957638.69,1759833281.83,9187089970.45,5899206382.12,3540984885.03,1219978616.54,6409441578.99,4192829276.75,2568481655.42,894572607.40,4015769842.35,2661620473.84,1665864390.02,600507391.68,3141970716.14,2131590263.22,1301637551.17,519968321.79,3221923407.42,2297628993.57,1494372134.07,534943556.10,2583621674.12,1855254207.80,1102916408.70,369375990.23,2101664395.67,1473122876.88,882565598.59,306805034.43,1791461739.01,1284392763.94,751911345.29,255681452.90,1411253034.55,1028717733.12,668186794.16,191101842.46,532232281.03,308787440.42,170996641.36,54707306.70,509990836.96,335859994.79,202782350.14,46101129.04,352726867.89,201139259.97,208752066.72,124960500.61,0.0
5,营业税金及附加,98366965.60,61577568.09,29459689.41,121642432.49,85731774.08,59058692.37,22303722.19,99183796.67,63111036.11,39374448.56,17099830.01,81265521.16,49020139.33,39099999.96,23740635.33,90795489.36,74342873.36,46887717.00,17647935.09,72690210.40,44022008.69,30349496.26,9481753.02,55475925.52,36692007.09,20760584.79,7971063.47,36301615.21,23660037.96,13987724.12,4890895.07,28384282.86,16394459.39,9126192.75,2893798.22,14993055.39,10205643.81,6688931.89,1911936.40,6674716.46,3922553.11,1797242.45,707526.20,6946951.66,3823243.52,3210667.28,79537.08,6922205.54,3262078.48,4357102.65,2391247.13,0.0
6,销售费用,1537431481.70,1050307186.65,439080644.12,1698642436.32,1122654972.03,704416884.43,308171639.54,1180488799.80,873795534.09,587439336.71,269522446.14,840323959.75,618586216.10,401969972.54,175691411.69,653017076.53,492386950.64,296983480.05,121425455.73,477400112.63,375420761.83,241321504.40,111805439.91,399346646.81,314183614.07,198640185.76,75411243.92,307996067.36,245526256.05,138417877.95,65379101.50,264981605.15,195296609.85,121633824.70,59971622.03,205600480.37,124477746.31,82522279.77,34151166.54,105943917.59,72304654.97,45674993.23,21234321.03,72248434.85,48653017.46,25188936.06,9912091.31,29935126.39,19213967.04,17757675.32,9534253.83,0.0
7,管理费用,733646463.95,511591482.96,216262910.37,916977431.33,692920827.25,541386225.01,249196923.74,1047574368.20,722073550.99,508924516.19,238536750.37,824614520.22,512664413.09,338292938.29,154894071.81,595133261.00,405222992.26,260050728.25,117066969.02,512668942.23,339519980.75,245976956.66,107899306.61,355177230.41,247909822.01,151214256.85,63920272.53,243558552.51,182144257.80,125510014.10,64439316.72,229665292.88,159089116.77,99166650.53,50250855.66,186868443.09,98048126.99,59932989.46,25256675.06,86483468.39,60866991.66,37481539.50,11912671.67,55498792.14,33930341.06,21768796.49,8753388.44,26472837.27,18565205.46,18625029.95,11743854.09,0.0
8,财务费用,312377585.71,183840732.91,59185029.65,192787414.18,126195019.88,63052866.43,12494148.21,103345953.52,66977877.43,30943279.00,11252158.12,46363984.98,44397558.63,24633368.23,12257111.89,27065993.72,23241768.46,14035728.01,5875800.46,56841939.14,48567372.08,32682076.64,15643351.27,64104603.87,49288114.02,32281712.10,16306063.53,66748239.41,43693169.98,36455921.74,16722241.45,55517194.81,37554615.49,23948937.33,11750544.17,30226700.41,20136174.07,10560651.45,3653405.65,11259705.71,5759199.46,2794563.82,545769.75,7608853.27,6440178.98,3706872.90,1287124.69,5807388.04,3916182.16,2946748.68,2798093.56,0.0
