,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,8371976599.05,6881743933.34,5028646460.06,2057411064.82,6670960235.45,4272451600.96,2585757711.56,1280575096.61,5326388718.81,4618610146.95,2934391610.55,1491316720.92,5741144000.92,3702248869.09,1968680997.92,694592987.33,2804290571.16,2025014617.57,1401917516.42,757255634.45,3362620919.51,2452332278.79,1705575773.87,919580228.54,4092054944.48,2911389301.08,2130787999.92,1154189082.09,4460539248.89,3123735600.39,2140866637.99,1158598492.04,4458474213.42,3082786696.24,2128662743.84,1213493513.37,3585740168.52,2464957392.34,1690920862.75,951129145.43,2959195170.80,2050593922.06,1388873887.34,774176543.90,2619755422.73,1902207942.08,1305930393.59,771540334.59,2291022404.48,1600933042.20,1075137702.08,615404899.45,1860896677.66,1309306333.81,904809179.86,529799473.76,1606170899.83,1150755759.41,772363205.16,448494866.09,1221772760.52,875779807.02,606442254.54,343389718.37,1044702404.46,723093086.87,495686087.57,281214154.57,919853484.37,663556166.53,458690840.08,266690416.31,993716606.09,534101359.79,956245332.31,476578790.81,788987797.45,837423118.89,927246899.28,0.0
2,营业收入,8371976599.05,6881743933.34,5028646460.06,2057411064.82,6670960235.45,4272451600.96,2585757711.56,1280575096.61,5326388718.81,2006419894.71,1287081966.42,690269778.20,2805428122.35,2017959981.65,1299954196.06,694592987.33,2804290571.16,2025014617.57,1401917516.42,757255634.45,3362620919.51,2452332278.79,1705575773.87,919580228.54,4092054944.48,2911389301.08,2130787999.92,1154189082.09,4460539248.89,3123735600.39,2140866637.99,1158598492.04,4458474213.42,3082786696.24,2128662743.84,1213493513.37,3585740168.52,2464957392.34,1690920862.75,951129145.43,2959195170.80,2050593922.06,1388873887.34,774176543.90,2619755422.73,1902207942.08,1305930393.59,771540334.59,2291022404.48,1600933042.20,1075137702.08,615404899.45,1762669914.13,1245927449.47,865094902.15,506293698.67,1543040457.33,1103318181.82,740143760.87,430015891.59,1175025822.18,837107870.57,579922534.46,330747599.34,1006051725.29,695296715.44,476041735.52,270689066.51,904450521.66,653926324.56,452336804.09,263287477.24,979522348.20,527189913.60,945743251.97,470528924.28,778304830.51,820479426.87,917851484.18,0.0
3,二、营业总成本,6029885830.42,4506882539.36,3014132412.92,1519003028.92,5967328222.39,3757597686.12,2257574902.72,1067377299.51,4275833745.18,4508201878.46,2842005096.26,1459438159.62,4992251848.17,3229378473.08,1671692955.14,621711875.77,2562862964.26,1840852298.09,1250801967.96,674679105.61,3075409511.78,2232394344.20,1535820972.00,821457996.57,3719305131.23,2636365806.28,1911596158.67,1019311029.87,3992684489.58,2806464996.88,1892849510.93,1018584961.67,3980371625.83,2739092786.70,1866533740.76,1058075391.03,3150288725.12,2157064266.05,1459688466.90,826030178.87,2582284425.72,1797489095.18,1200106246.19,668043391.42,2285828205.34,1672459152.93,1136285641.89,668459865.80,2009160972.76,1409193077.73,939200340.04,533455461.25,1647664113.41,1163261373.63,804692983.25,469458354.21,1472939976.10,1042057126.90,696335001.65,400991665.40,1133343606.54,826454731.70,567679919.26,322178395.58,985053215.41,686954319.01,465826804.34,263886269.69,866938922.07,628560280.01,430087248.48,250270478.11,941805962.29,504724920.27,912871054.42,451832628.66,759614078.46,786587362.06,873852464.38,0.0
4,营业成本,6029885830.42,4506882539.36,3014132412.92,1519003028.92,5967328222.39,3757597686.12,2257574902.72,1067377299.51,4275833745.18,1452511105.82,918231549.54,494634204.59,2057427079.93,1466934002.92,940617348.34,517480798.32,2100958198.47,1511338235.83,1044215950.54,569535071.49,2557938702.56,1861391292.50,1296729550.13,701098562.10,3191623945.35,2259257874.79,1667163628.89,901957996.48,3455519680.17,2407971680.08,1633986437.24,885936544.27,3495566377.04,2396502913.42,1645775360.82,943344139.66,2802708998.71,1910624231.16,1301055277.85,740473881.40,2289710822.49,1568266696.63,1057938554.37,590214967.57,1989516909.27,1441188053.72,984492390.60,585597078.80,1737435587.91,1208787159.24,807683290.51,469892361.79,1423438506.78,996988492.76,691083002.35,403680865.44,1240016505.80,885050795.20,591782074.41,343118867.79,946175581.54,672335908.41,463674833.97,264903171.31,817680895.05,556188647.75,379069406.49,214976367.55,707089830.47,507998017.04,349148534.88,204584129.00,778158374.18,420391723.91,771149929.91,380648604.87,621670902.68,654331003.90,730020962.86,0.0
5,营业税金及附加,48556257.57,41568281.46,21803708.28,11320458.51,61942057.87,40876138.48,25992558.45,11516071.25,53810321.64,38919608.03,21979138.39,10841394.97,68092545.93,34690519.59,21780822.90,8493519.98,45299988.94,31242582.95,20925266.88,10682733.55,49002896.40,33513338.44,21565846.68,10589896.87,54482210.27,36865685.68,26212303.69,10418143.28,54155709.15,35902323.10,22976654.43,11291174.66,56102883.05,35300611.23,22808258.77,11099118.64,45986195.55,30970138.57,21585851.71,10563024.10,38491168.59,30166865.80,14857129.42,8808758.91,32959868.21,21799382.80,13191428.02,6816110.67,27326052.90,19102933.83,12346094.55,7106379.48,7456243.00,4625950.80,2877328.61,1517189.12,6825209.05,4485352.48,2741198.77,1718493.32,5520170.79,3626807.29,2232098.02,1371860.78,4091690.49,2425497.08,1452752.72,806605.23,4508748.46,2890624.27,1836432.59,1398945.19,4603205.11,2466162.01,3617022.62,1738664.00,3273245.48,3819104.62,4287659.26,0.0
6,销售费用,0,0,0,0,0,0,0,0,0,250904413.89,167573005.89,81358052.59,354676254.92,265627423.77,179211792.93,90984435.70,391629999.23,282263256.66,178592698.58,90242950.19,449463512.19,342301939.91,222588095.83,111874909.41,471998630.23,349562528.02,226961750.43,112303231.92,415259642.06,308924651.63,207106696.32,101414450.85,346931619.50,249253161.16,161654870.85,85206289.52,234093342.53,163309388.12,102328151.93,58060796.34,192032080.15,147642275.32,94739242.32,50678710.02,191761989.49,146260853.00,96126355.48,51407934.55,154965897.98,110398570.30,69538815.87,25337929.96,136361634.71,99966439.80,68679030.18,38184277.49,133080058.18,82135755.02,55581964.93,31533949.93,91565481.58,102536319.76,52682646.51,30255006.53,70744397.16,53308086.17,34741852.93,19533460.10,49071504.70,45653201.85,35512536.16,20971053.46,67162225.11,40968277.88,57307373.56,30124935.83,60925230.26,59491264.09,58871947.30,0.0
7,管理费用,0,0,0,0,0,0,0,0,0,1213595124.92,783477946.64,418535225.87,1279167944.82,757043195.69,281143545.73,10810555.90,50937497.64,35495623.74,19857855.36,10352283.82,57682256.16,33293495.72,20772648.52,10019513.99,50583232.15,28602508.04,17113225.96,7967324.81,109511278.49,76121368.91,50252783.82,24766982.76,120829846.20,72637729.22,46966799.55,22412900.72,94574019.21,61578652.47,41354888.47,19849273.53,94390975.85,62063347.23,40538563.08,21242638.94,100466536.22,73358871.61,49903357.34,27793801.79,110539481.48,78473503.34,54705752.70,33534233.54,97374402.34,70919261.58,48205581.96,27988424.37,99321564.47,73908040.15,48748855.44,24761469.32,95047153.66,51311287.83,51678308.84,26655731.06,96863048.79,77984221.78,52553373.91,29346873.94,109236656.45,74089735.43,44909759.26,23878898.80,94567081.91,42024896.81,80011357.59,37533599.20,70724510.67,66297887.73,78301603.04,0.0
8,财务费用,0,0,0,0,0,0,0,0,0,-8523979.10,-7451605.20,-3935881.88,-25445661.23,35701067.76,10580699.90,-5776133.93,-27077691.86,-19799595.31,-13280107.62,-6133933.44,-39848979.18,-37986927.96,-25716374.75,-12124885.80,-49345837.93,-37997647.75,-25929607.80,-13335666.62,-41985933.01,-22316728.47,-21334762.51,-4809696.15,-39286023.35,-14687294.54,-10757215.44,-3987057.51,-28047028.32,-9956177.47,-7176653.09,-2916796.50,-26455165.89,-10645671.48,-7962824.68,-2898832.77,-32795484.64,-10339607.72,-7619489.07,-3152208.76,-22117691.81,-7569088.98,-4640826.99,-2415443.52,-16966673.42,-9238771.31,-6151959.85,-1912402.21,-6303361.40,-3522815.95,-2519091.90,-141114.96,-4964781.03,-3355591.59,-2587968.08,-1007374.10,-4326816.08,-2952133.77,-1990581.71,-777037.13,-2967818.01,-2071298.58,-1320014.41,-562548.34,-2684924.02,-1126140.34,785370.74,1786824.76,3020189.37,2648101.72,2370291.92,0.0
