,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,15633674294.00,10287362662.00,4933498402.00,20224985720.00,15122436925.00,10085174554.00,4747842101.00,18715608755.00,13399533416.00,8713962625.00,4197598309.00,16621336273.00,11590552414.00,7584424956.00,3567039473.00,13573495055.00,9695288530.00,6591325462.00,3223767646.00,12928181657.00,9358415273.00,6181149124.00,2902869314.00,11501209769.00,8440581401.00,5545483373.00,2600275465.00,10247391495.00,7545999235.00,4874089645.00,2257348904.00,9689410198.00,7101029788.00,4657317896.00,2230670059.00,8508037837.00,6079472798.00,3888003668.00,1752584873.00,6079369191.00,4143864789.00,2546568229.00,1059125359.00,5716965598.00,4427934194.00,2897743260.00,1336644425.00,5165724714.00,3665545191.00,2272838790.00,1104766688.00,3918345236.00,2779206043.00,1722066943.00,767802633.00,2933780858.00,2123590569.00,1255558295.00,506638962.00,2358110817.00,1750230862.00,1087522549.00,437067879.00,1740841561.00,1233193018.00,754510931.00,314799485.00,1129012476.00,754145026.00,467329226.00,200966166.35,941377805.00,443501991.00,756863264.00,334703920.67,620275792.00,306937277.00,499247781.00,232309443.27,441339337.00,212552532.70,300686035.00,169481285.79,267469930.53,120336900.00,228150860.00,123651991.27,168851285.12,93868771.33,0.0
2,营业收入,15633674294.00,10287362662.00,4933498402.00,20224985720.00,15122436925.00,10085174554.00,4747842101.00,18715608755.00,13399533416.00,8713962625.00,4197598309.00,16621336273.00,11590552414.00,7584424956.00,3567039473.00,13573495055.00,9695288530.00,6591325462.00,3223767646.00,12928181657.00,9358415273.00,6181149124.00,2902869314.00,11501209769.00,8440581401.00,5545483373.00,2600275465.00,10247391495.00,7545999235.00,4874089645.00,2257348904.00,9689410198.00,7101029788.00,4657317896.00,2230670059.00,8508037837.00,6079472798.00,3888003668.00,1752584873.00,6079369191.00,4143864789.00,2546568229.00,1059125359.00,5716965598.00,4427934194.00,2897743260.00,1336644425.00,5165724714.00,3665545191.00,2272838790.00,1104766688.00,3883986261.00,2746753565.00,1703267239.00,759437725.00,2911163405.00,2107321067.00,1245837476.00,502010712.00,2345227988.00,1737167420.00,1080591761.00,433113226.00,1733482708.00,1227220542.00,749874333.00,312440298.00,1124389888.00,751192256.00,465435686.00,200030522.80,938287622.00,441055308.00,753812693.00,333753454.79,608741151.00,304931305.00,497525273.00,230556816.07,439666650.00,210668724.30,299162578.00,169272042.26,267296286.78,120353400.00,228149080.00,123650208.36,168840491.02,93860794.83,0.0
3,二、营业总成本,13002433154.00,8685706165.00,4295430576.00,16164433000.00,11791139110.00,7981377710.00,4031412374.00,15211853543.00,10899089015.00,7064997917.00,3343866027.00,12826209019.00,9011000142.00,5826106622.00,2860666862.00,10543228087.00,7598602764.00,5277384036.00,2625812104.00,10376072640.00,7491322523.00,4925931119.00,2328347144.00,9262065115.00,6829710801.00,4485731391.00,2121805490.00,8458637877.00,6169642053.00,3976111887.00,1832836478.00,7995616874.00,5811567161.00,3770841871.00,1796876644.00,6532175575.00,4608899602.00,2908538345.00,1278770093.00,4626879284.00,3452981753.00,2295694508.00,942756164.00,5446214632.00,3786976494.00,2430605210.00,1122626321.00,4219511030.00,2973119038.00,1837150496.00,931859971.00,3256151319.00,2281804365.00,1399740353.00,658350210.00,2535387483.00,1803441501.00,1054919536.00,429054044.00,1943879388.00,1425839395.00,881463790.00,353207933.00,1389318814.00,973254163.00,601082086.00,258266648.00,917955973.00,610840195.00,374774593.00,170068181.79,768363053.00,353320847.00,597860652.00,276709893.34,541584471.00,266830965.00,522886036.00,233469636.22,426912388.00,0,295325103.00,0,216442341.18,0,0,92888531.15,122473563.25,66925787.65,0.0
4,营业成本,9782174624.00,6426671717.00,3005623307.00,11603054947.00,8667506489.00,5853457211.00,2757766700.00,10712611816.00,7662875073.00,4968612177.00,2344169420.00,9463313931.00,6606873612.00,4306529720.00,1991303838.00,7814343237.00,5613713565.00,3782275860.00,1857513610.00,7456555171.00,5408432500.00,3585679830.00,1669092218.00,6739506330.00,5038349425.00,3314287306.00,1577020346.00,6337915953.00,4645356393.00,2983084313.00,1373334509.00,6146669406.00,4499134140.00,2930643922.00,1395458481.00,5068869982.00,3634773417.00,2277677513.00,983738872.00,3522853470.00,2439133504.00,1564708738.00,699905208.00,3926338923.00,2976554821.00,1917842176.00,896215951.00,3296528210.00,2339079040.00,1416249072.00,714493840.00,2550845682.00,1808368278.00,1100301362.00,521605418.00,2022901578.00,1458137840.00,831383115.00,335365447.00,1555918770.00,1153682302.00,704929404.00,271940700.00,1061480628.00,753990236.00,460124313.00,187835711.00,703359398.00,458382625.00,279541212.00,127850274.66,582126649.00,269449301.00,459499556.00,213148824.31,408791176.00,201475863.00,348478864.00,158955228.10,268342415.00,0,180835858.00,0,162928765.41,0,0,79399239.36,88259144.22,48799829.72,0.0
5,营业税金及附加,144167570.00,97875892.00,51825161.00,203072222.00,151324856.00,99084664.00,44195128.00,200263617.00,144640541.00,95722841.00,47680613.00,174265074.00,97520649.00,68541873.00,32750204.00,112453855.00,78198119.00,51623318.00,26882667.00,98136348.00,69190095.00,43562746.00,24308786.00,86169090.00,64668857.00,41076242.00,20876186.00,67787191.00,49209208.00,31333128.00,13522347.00,56865963.00,38285145.00,21376597.00,9673912.00,6726681.00,2715827.00,1925389.00,881707.00,2507512.00,1670304.00,1028121.00,299821.00,3125621.00,2362151.00,1607324.00,902462.00,2690928.00,1134803.00,229081.00,120077.00,183830.00,0,0,0,197911.00,0,0,0,128965.00,0,0,0,0,0,0,0,0,0,0,0,0,0,396207.00,86522.24,168339.00,147575.00,1287373.00,161864.00,0,0,0,0,0,0,0,0,7216199.24,4160790.58,0.0
6,销售费用,1068667853.00,692452849.00,348205496.00,1467671276.00,1031491867.00,672244767.00,323477728.00,1274308845.00,900916965.00,611652140.00,314753365.00,1184740033.00,851557177.00,561681499.00,285242655.00,1020584621.00,731209380.00,494712812.00,247421385.00,982164821.00,724632138.00,474651858.00,231613679.00,876776071.00,639801424.00,420595140.00,206440684.00,778540137.00,568289501.00,368477702.00,176879445.00,743523855.00,537193555.00,350608676.00,173066160.00,621634518.00,425437694.00,278589989.00,129534978.00,410988218.00,288638645.00,179442581.00,76992873.00,420215230.00,310128371.00,205755797.00,92647874.00,353703415.00,246553262.00,160705947.00,77531622.00,288786743.00,195394677.00,121942886.00,53156120.00,199535674.00,121577338.00,78941925.00,35664114.00,173915975.00,134933784.00,83290946.00,38502221.00,159838584.00,110959008.00,68903353.00,32339297.00,93856967.00,64514362.00,38427416.00,16464383.35,76930101.00,35228998.00,59334927.00,33867321.76,55107506.00,31260935.00,61426029.00,40352442.76,52370176.00,0,35019341.00,0,25552669.71,0,0,8471370.15,17252081.71,7803384.57,0.0
7,管理费用,1520623950.00,998998908.00,495423504.00,2063072209.00,1442253510.00,1351273070.00,641696296.00,2600820616.00,1873057882.00,1228118775.00,609978100.00,2392097806.00,1593582055.00,1036446989.00,500257443.00,1873364984.00,1330392836.00,848771482.00,417754637.00,1538930152.00,1092814438.00,717971250.00,331142799.00,1294180997.00,880427634.00,573616201.00,254703773.00,995163549.00,706959660.00,448932132.00,211454864.00,802632567.00,577104578.00,379689666.00,182637717.00,661674141.00,416923326.00,256512207.00,120333359.00,483483172.00,347370079.00,221995548.00,97671056.00,376653614.00,271873536.00,169941520.00,76143304.00,347921552.00,224357500.00,153235869.00,87410452.00,208753759.00,125567467.00,76714375.00,34903948.00,143061234.00,101247827.00,68963604.00,23109950.00,111322656.00,66737747.00,50216334.00,20957970.00,108999562.00,59526328.00,39363206.00,21099504.00,62964542.00,44342488.00,29525003.00,12379385.45,55412954.00,25863194.00,36427845.00,9737723.29,39377045.00,11977638.00,65223173.00,8015669.14,56062203.00,0,40896172.00,0,22682933.03,0,0,-220331.22,5951647.18,3076443.51,0.0
8,财务费用,-103982694.00,72511867.00,185375915.00,-110626746.00,-157010495.00,6460809.00,265408254.00,418737949.00,313515459.00,158486677.00,26025477.00,-399432422.00,-143616133.00,-152324439.00,49545355.00,-289059545.00,-164926253.00,95151820.00,74015796.00,285435283.00,185292304.00,97130793.00,66395613.00,243803451.00,188944673.00,136156502.00,62764501.00,245042513.00,179262821.00,123742250.00,57645313.00,235598649.00,159849743.00,88523010.00,36040374.00,172637044.00,129093793.00,94064932.00,44281177.00,206335291.00,161163102.00,113527456.00,67887206.00,300577211.00,226346329.00,135756657.00,56725130.00,221894107.00,161947053.00,106563889.00,52430047.00,207581305.00,152473943.00,100781730.00,48684724.00,169691086.00,122478496.00,75630892.00,34914533.00,102593022.00,70485562.00,43027106.00,21807042.00,59000040.00,48778591.00,32691214.00,16992136.00,57775066.00,43600720.00,27280962.00,13374138.33,53893349.00,22779354.00,42202117.00,19869501.74,38354317.00,21373204.00,50321864.00,25984432.22,50137594.00,0,38573732.00,0,5277973.03,0,0,5238252.86,3794490.90,3085339.27,0.0
9,研发费用,590781851.00,397194932.00,190949792.00,887721987.00,656189277.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,212781.00,22335530.00,-616394.00,-1142811.00,-1131732.00,5110700.00,4083095.00,2405307.00,1259052.00,11224597.00,5082782.00,5230980.00,1567367.00,11540935.00,10015117.00,4848744.00,2224009.00,14850865.00,10961048.00,6934642.00,5794049.00,21629176.00,17518788.00,0,0,34188534.00,20564470.00,20542362.00,0,10326434.00,0,0,0,633209.00,-44455.00,-231685.00,0,711621.00,215006119.00,214992064.00,0,419304033.00,-288714.00,-298264.00,-8400.00,-3227182.00,47380.00,166638.00,-126067.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-213912.00,595750.00,-3851267.00,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-33610583.00,8152198.00,500450.00,63893463.00,67260476.00,17697044.00,-33513676.00,-19118332.00,-7201698.00,-28985211.00,-3576480.00,2776702.00,403685.00,-201057.00,-1676009.00,-2808871.00,-4309659.00,4486483.00,21273891.00,8462776.00,12115533.00,-3208720.00,-4521481.00,-6820040.00,1261900.00,-340700.00,-340700.00,1046869.00,706169.00,706169.00,706169.00,-706169.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,44486919.00,13795868.00,-264675.00,703300958.00,477354274.00,1164147.00,-214858.00,23390958.00,28943238.00,-246104.00,-168647.00,41956332.00,43976478.00,2065883.00,1089746.00,23781843.00,22705384.00,21106038.00,10322770.00,31028937.00,19877571.00,15056339.00,7613986.00,25747772.00,18327304.00,14581113.00,7083571.00,21538576.00,15130789.00,8035539.00,3705484.00,16017053.00,10861753.00,7720055.00,4440900.00,16430220.00,12862398.00,9359450.00,4963083.00,20940242.00,13016151.00,6558688.00,1853532.00,10283599.00,8313297.00,5068717.00,1951628.00,15855197.00,10991121.00,6352349.00,2055056.00,900771.00,926493.00,-57577.00,-673668.00,-1950916.00,-1381357.00,-968615.00,-331210.00,-2616390.00,-2056788.00,-2316256.00,-1551567.00,-6206290.00,-4654701.00,-3103134.00,-1551567.00,-6246001.00,-4502703.00,-3137261.00,-1568595.33,-7859991.00,-3319268.00,-6089551.00,-1010944.96,-1275081.00,0,12751.00,12750.00,0,0,0,0,228271.03,194500.00,20564400.00,18089450.00,20234854.50,0,0.0
13,其中:对联营企业和合营企业的投资收益,-5106852.00,-1892421.00,-264675.00,3743957.00,3869727.00,1164147.00,-214858.00,-6016466.00,-464186.00,-246104.00,-168647.00,-112916.00,1907232.00,1882088.00,1089746.00,5559310.00,22705384.00,21106038.00,10322770.00,31028937.00,19877571.00,15056339.00,7613986.00,25747772.00,18327304.00,14581113.00,7083571.00,21538576.00,15130789.00,8035539.00,3705484.00,16017053.00,10861753.00,7720055.00,4086112.00,16430220.00,12983082.00,9359450.00,4963083.00,20940242.00,13016151.00,6558688.00,1853532.00,10283599.00,8313297.00,5068717.00,1951628.00,15855197.00,10991121.00,0,2055056.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,2752427408.00,1686856062.00,669890620.00,4973218158.00,3952575554.00,2169273334.00,697228947.00,3669926656.00,2610133486.00,1680622879.00,849987155.00,3839860288.00,2623932435.00,1760183160.00,705786348.00,3051239940.00,2115081491.00,1339533947.00,629552203.00,2591600730.00,1899085854.00,1267065624.00,577614675.00,2258072386.00,1630459804.00,1073992395.00,485212846.00,1811339063.00,1392194140.00,906719466.00,428924079.00,1709104208.00,1300324380.00,894196080.00,438234315.00,1992292482.00,1483435594.00,988824773.00,478777863.00,1473430149.00,703899187.00,257432409.00,118222727.00,281034565.00,649270997.00,472206767.00,215969732.00,962068881.00,703417274.00,442040643.00,174961773.00,663094688.00,498328171.00,322269013.00,108778755.00,396442459.00,318767711.00,199670144.00,77253708.00,411615039.00,322334679.00,203742503.00,82308379.00,345316457.00,255284154.00,150325711.00,54981270.00,204810502.00,138802128.00,89417372.00,29329389.23,165654761.00,86861876.00,153250161.00,56412094.28,78005060.00,44597103.00,-22125504.00,-1801303.37,14426949.00,18529271.81,-6400117.00,20577327.85,51255860.38,30491400.00,87596830.00,48852910.12,66612576.37,26942983.68,0.0
