,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,15932952.17,15420606.76,15105177.26,990055.23,20396701.82,17450746.05,16221165.02,14806579.12,23686746.76,20799582.56,17225911.59,13958780.36,75600127.30,36719647.61,29333921.43,16514970.00,99897742.90,80952770.32,64991394.90,35031197.98,128168156.65,94057679.77,65147853.28,33338857.70,252915803.83,175788240.02,130559726.55,57412616.94,250765717.91,190953900.52,153557511.23,67858709.84,202870697.32,164496426.25,129992527.88,65421171.98,326762897.89,257419233.94,190904483.34,104699061.89,586118563.39,85622873.75,68672676.98,42360638.52,151889435.58,66079229.78,43010086.64,22612565.73,75372026.77,47422136.51,26037339.40,13778712.44,68704452.03,50081822.02,31464590.34,13688399.54,50299963.42,31515537.80,21860134.39,11493602.03,58653512.52,46960573.02,38099223.20,16664841.71,37444192.80,22357800.11,13558791.90,7322261.25,35325107.05,29494356.46,17840711.31,8224093.17,27671081.92,21289517.75,14265867.82,27490664.65,206766928.89,515996715.92,265195191.07,31706942.96,105576994.50,55683190.76,42356695.50,62225051.99,32216384.90,69844368.17,33675100.00,56725000.00,27205951.61,20647751.30,8394439.35,0.0
2,营业收入,15932952.17,15420606.76,15105177.26,990055.23,20396701.82,17450746.05,16221165.02,14806579.12,23686746.76,20799582.56,17225911.59,13958780.36,75600127.30,36719647.61,29333921.43,16514970.00,99897742.90,80952770.32,64991394.90,35031197.98,128168156.65,94057679.77,65147853.28,33338857.70,252915803.83,175788240.02,130559726.55,57412616.94,250765717.91,190953900.52,153557511.23,67858709.84,202870697.32,164496426.25,129992527.88,65421171.98,326762897.89,257419233.94,190904483.34,104699061.89,586118563.39,85622873.75,68672676.98,42360638.52,151889435.58,66079229.78,43010086.64,22612565.73,75372026.77,47422136.51,26037339.40,13778712.44,66015128.01,48073788.83,30131517.26,13008682.71,47129784.89,29035785.60,20070758.92,10427698.72,56453922.10,45866604.17,37303515.95,16019134.46,36665176.30,21907800.11,13258791.90,7172261.25,34728485.55,28972023.46,17717661.31,8224093.17,27002148.35,21285268.74,13938948.56,27489164.65,206766928.89,515995215.92,265195191.07,31706942.96,105575883.39,54200812.70,40404946.31,60710850.61,31267996.86,65521383.83,32523500.00,56283000.00,27205951.61,20647617.35,8394305.40,0.0
3,二、营业总成本,34054146.88,23740941.12,20739595.02,2954001.01,30221869.58,21520484.25,17106621.73,11823242.48,42044783.05,32065145.85,25265720.54,18590578.13,72461945.60,42006174.67,31696166.09,17675576.11,120623028.98,95110287.63,78537118.46,32542412.23,160476693.61,127856538.20,98554195.87,38191973.02,194874170.06,139343092.07,101657968.93,46767461.99,194633261.65,144811973.61,113944874.70,44776879.42,154108454.35,123692422.51,91741089.48,41855365.27,248928882.61,190842669.39,145079311.34,79825000.41,399261613.10,81698732.03,63037432.48,39496389.51,142642890.96,64300597.45,42120145.86,22520212.76,88414944.63,56337047.03,34505649.86,13088743.65,68813585.39,49253563.71,31139097.98,13460731.45,51956437.78,30356670.39,20829313.36,10763949.96,55221533.63,47688990.41,38923085.58,16692644.74,42505982.93,26568020.61,16881610.79,8721781.39,44826182.53,32924213.52,20472167.10,9860663.34,33191065.37,26531919.10,17480056.91,37523167.68,198208989.04,493679679.75,252546384.99,40347646.70,104653843.51,59098854.75,0,58157042.73,0,60455867.47,0,0,0,19706175.01,7667255.56,0.0
4,营业成本,14235400.86,14051815.91,13860230.68,325362.60,8647267.08,6789707.12,5940002.49,5002002.41,12244892.03,10055010.13,7154439.91,4771017.16,39874853.15,28521493.32,23010630.52,13177437.35,68816296.26,53911213.78,41907571.11,26865970.07,99484491.44,73441558.80,52008552.72,24672421.88,135453729.29,96612093.62,70309055.19,30837432.94,126122955.80,96304861.49,75849919.05,29870842.88,94582645.78,73864115.84,52522926.59,26733702.74,148610406.72,115436980.22,85834028.49,47767888.96,258050863.17,52499872.02,39885542.50,23999094.79,98362710.38,53014670.44,34974285.26,18808326.72,64051146.36,39088928.96,20176601.91,9691765.21,55702567.79,40416767.46,25067431.23,10358439.86,36967702.80,21504820.72,14926684.13,7891739.80,44340406.66,39687591.82,33135530.15,14025918.33,29451521.81,16832629.88,10239024.80,5286912.90,26483432.48,22836874.89,13714280.00,6334271.61,19581937.18,15632377.21,10210471.08,19922667.47,178666347.94,433979845.61,227341668.05,16130983.96,85677182.51,32878691.92,0,37986870.89,0,46980952.27,0,0,0,15154741.33,5983613.23,0.0
5,营业税金及附加,863863.66,271392.81,194263.63,107917.87,2727871.82,2576040.34,2468270.36,2346929.47,10369443.84,10178710.88,10060564.19,9880605.03,20188111.60,562253.72,446694.81,294908.87,8858945.29,9869834.78,9661576.31,229040.66,24560797.79,24301953.44,24154741.03,542609.52,23298133.69,17605918.04,14428965.53,4944696.73,31189509.35,26291845.47,23142022.48,9233391.13,24805665.49,20388563.29,18488296.31,8889274.22,51974130.20,41281308.17,31343677.31,17115723.80,101724560.93,10713782.51,9488020.28,6341331.74,16396759.95,664971.60,367279.59,162098.72,309131.92,198044.53,159870.69,111200.71,237431.84,179196.45,124375.92,63726.78,645313.39,519947.21,338190.39,178249.93,742292.74,398551.25,255973.80,117442.99,448622.96,328693.09,209585.61,142114.51,554020.39,415436.02,243192.59,118310.95,448576.41,338864.48,226952.79,505905.49,234076.43,2101870.90,1305244.63,1042523.72,543074.41,1346938.41,0,1464216.63,0,1162702.87,0,0,0,534851.77,201337.95,0.0
6,销售费用,421940.27,361947.96,245144.71,117736.10,3157521.72,2289552.70,1812754.74,904136.38,3706109.15,2947284.59,1858244.20,954956.12,5914476.56,5749172.37,4067250.89,1393086.62,14348997.97,11681394.69,9225346.31,4961234.13,14281177.66,12542993.29,8742668.66,4566376.22,13934547.86,9497299.52,5220169.27,2986162.46,12394674.72,6689248.78,3525616.28,2238397.71,9371069.84,8458731.78,5368065.43,2924658.52,12706922.36,10006483.35,8087373.32,6084589.68,14207387.89,6876084.29,5104130.53,5012901.15,10448260.05,5048527.71,2983578.49,1524865.65,5649461.52,6131722.71,4358739.33,1641001.56,4053091.71,3195339.84,1980025.15,1120183.41,5168572.81,3454754.77,2373868.58,1060831.47,4219439.95,3367972.95,2388613.67,1351418.34,3248839.08,2429955.59,1602408.95,888763.69,3391221.49,2520523.76,1660029.42,884237.68,3333815.06,2481602.62,1728953.38,3297885.30,1552243.02,3437650.04,2638683.07,6448230.10,3235133.90,8385715.71,0,7497681.03,0,5887199.43,0,0,0,2755674.19,1449436.22,0.0
7,管理费用,20003824.36,10199195.19,7189301.19,2734354.57,15114536.52,10101388.20,6814673.37,3323801.60,15576972.90,10053817.19,7016150.24,3348018.09,14371269.17,14720415.86,11378684.65,2736604.11,26861716.91,20082990.15,16444790.69,3799369.12,20562231.41,15854588.94,12448467.71,8035068.04,20891836.93,14921480.35,11303080.85,7739619.42,19618276.80,14924528.28,10753344.79,3185104.31,20459612.16,16918733.00,12066872.68,2670860.21,22661798.08,18605866.62,15497622.00,7039075.05,12859045.14,7867849.20,5653477.73,2568768.44,8441981.08,5038357.67,3347476.49,1608746.59,11497799.56,10497484.96,9387601.88,1644772.57,9543482.46,5304681.81,3972997.26,1686393.57,9215359.10,4907013.57,3216083.10,1645597.53,6595016.73,4895569.86,3799782.70,1845714.23,5828990.29,4157102.56,2973152.56,1499456.80,10713516.27,4192809.46,2631727.85,1381345.99,5178767.01,4610680.79,3040425.55,6957551.93,8327547.06,34749987.00,11398768.69,13359067.07,12823080.52,13170606.72,0,7358811.55,0,5335187.06,0,0,0,1332995.07,84228.04,0.0
8,财务费用,-1470882.27,-1143410.75,-749345.19,-329385.81,-1539199.38,-1134578.05,-756143.40,-338586.30,-1548334.14,-1169975.47,-811512.73,-345547.05,-878208.53,-493881.46,-161401.56,73539.16,-4403325.26,-2171274.72,-438294.91,368647.61,-62452.96,1373792.26,858078.53,378284.29,1155370.18,719261.70,409659.25,259550.44,601495.22,602051.08,673972.10,249143.39,3164016.20,2329419.68,1561909.83,636869.58,5589772.33,4325834.94,3130414.13,1816832.81,7646745.65,4464693.69,3620966.05,2174293.39,7128401.75,534070.03,447526.03,416175.08,6270404.05,20865.87,22836.05,3.60,-722988.41,157578.15,-5731.58,231987.83,-40510.32,-29865.88,-25512.84,-12468.77,-675622.45,-660695.47,-656814.74,-647849.15,3528008.79,2819639.49,1857438.87,904533.49,3683991.90,2958569.39,2222937.24,1142497.11,4647969.71,3468394.00,2273254.11,6839157.49,9428774.59,19410326.20,9862020.55,3366841.85,2375372.17,3316901.99,0,3849462.63,0,1089825.84,0,0,0,-72087.35,-51359.88,0.0
