,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
15,三、营业利润,260444892.90,916926739.16,698774928.57,445621471.44,223777176.04,785486671.08,588474098.85,370160461.67,174595435.49,504243039.88,368942128.20,231378827.98,98999892.72,342380534.72,266525885.63,166834620.56,75853147.78,109962357.83,86704845.76,54213040.81,26185710.92,112430954.71,80987637.25,46114748.89,21992630.53,78706045.92,56702288.70,37445504.52,15946181.35,65411713.42,49366235.87,26614993.91,48428419.99,36554629.23,26691533.20,0.0
16,加:营业外收入,161732.58,3289284.12,245522.98,104501.05,66144.91,3844396.41,625395.72,471220.98,423000.11,6396606.93,6066647.18,5846300.61,48000.61,50124082.16,269584.22,126685.99,48000.05,21959000.00,204000.00,96000.00,48000.00,198480.00,144000.00,96000.00,48000.00,264185.00,0,152635.00,48735.00,207800.21,0,96000.00,1101758.56,1700000.00,0,0.0
17,减：营业外支出,0,1416930.46,528087.99,0,0,1195019.65,242996.69,124869.62,114220.45,188679.08,1042936.71,976253.10,814203.10,1292149.03,1268859.40,1268859.40,957081.50,298011.09,297927.09,297918.93,94.53,140687.00,36989.88,0,0,1716.11,0,257.69,257.69,138792.89,0,28247.07,2545.04,68336.82,11101.55,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,868425.31,814203.10,814203.10,957081.50,957081.50,957081.50,957081.50,186.69,102.69,94.53,94.53,138941.29,0,0,0,1716.11,0,257.69,257.69,38692.89,0,28247.07,2545.04,67894.28,0,0.0
19,四、利润总额,260606625.48,918799092.82,698492363.56,445725972.49,223843320.95,788136047.84,588856497.88,370506813.03,174904215.15,510450967.73,373965838.67,236248875.49,98233690.23,391212467.85,265526610.45,165692447.15,74944066.33,131623346.74,86610918.67,54011121.88,26233616.39,112488747.71,81094647.37,46210748.89,22040630.53,78968514.81,56915216.01,37597881.83,15994658.66,65480720.74,49377193.19,26682746.84,49527633.51,38186292.41,26680431.65,0.0
20,减：所得税费用,43433027.71,122547609.43,109546721.54,67978667.94,35709396.95,104165108.61,89064820.72,53765395.28,27480112.11,66172659.97,48814129.82,27079932.28,14716076.39,59999043.51,51768201.11,32729108.20,14678209.25,17444744.49,12045215.19,7380381.48,4156356.26,17302763.63,13239073.83,7432618.29,3513614.90,11705171.97,0,5565892.89,2318565.97,10098720.80,0,4089994.86,7457476.11,5868320.80,4352177.49,0.0
21,五、净利润,217173597.77,796251483.39,588945642.02,377747304.55,188133924.00,683970939.23,499791677.16,316741417.75,147424103.04,444278307.76,325151708.85,209168943.21,83517613.84,331213424.34,213758409.34,132963338.95,60265857.08,114178602.25,74565703.48,46630740.40,22077260.13,95185984.08,67855573.54,38778130.60,18527015.63,67263342.84,48348144.33,32031988.94,13676092.69,55381999.94,42199014.53,22592751.98,42070157.40,32317971.61,22328254.16,0.0
22,归属于母公司所有者的净利润,220860218.40,824590767.43,611290016.00,391904769.08,195161517.82,667452385.34,475155777.15,291898752.56,138007832.44,435862060.15,325135118.26,209598484.23,85824287.10,335159778.67,212176659.66,132349822.66,60086159.17,113588409.62,74565321.01,46630351.38,22077047.87,95184364.67,67854381.99,38777383.89,18526594.26,67264610.13,48348144.33,32031988.94,13676092.69,55381999.94,42199014.53,22592751.98,42070157.40,32317971.61,22328254.16,0.0
23,少数股东损益,-3686620.63,-28339284.04,-22344373.98,-14157464.53,-7027593.82,16518553.89,24635900.01,24842665.19,9416270.60,8416247.61,16590.59,-429541.02,-2306673.26,-3946354.33,1581749.68,613516.29,179697.91,590192.63,382.47,389.02,212.26,1619.41,1191.55,746.71,421.37,-1267.29,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.140000,0.540000,0.400000,0.250000,0.130000,0.460000,0.330000,0.200000,0.100000,0.300000,0.220000,0.140000,0.120000,0.500000,0.330000,0.210000,0.110000,0.210000,0.270000,0.170000,0.200000,0.880000,0.630000,0.360000,0.360000,1.470000,0,0.700000,0.300000,1.210000,0,0.490000,0.920000,0.790000,0.700000,0.0
26,稀释每股收益(元/股),0.140000,0.540000,0.400000,0.250000,0.130000,0.460000,0.330000,0.200000,0.100000,0.300000,0.220000,0.140000,0.120000,0.500000,0.330000,0.210000,0.110000,0.210000,0.270000,0.170000,0.200000,0.880000,0.630000,0.360000,0.360000,1.470000,0,0.700000,0.300000,1.210000,0,0.490000,0.920000,0.790000,0.700000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997321.60,0.0
28,八、综合收益总额,217173597.77,796251483.39,588945642.02,377747304.55,188133924.00,683970939.23,499791677.16,316741417.75,147424103.04,444278307.76,325151708.85,209168943.21,83517613.84,331213424.34,213758409.34,132963338.95,60265857.08,114178602.25,74565703.48,46630740.40,22077260.13,95185984.08,67855573.54,38778130.60,18527015.63,67263342.84,0,32031988.94,13676092.69,55381999.94,0,22592751.98,42070157.40,32317971.61,23325575.76,0.0
29,归属于母公司所有者的综合收益总额,220860218.40,824590767.43,611290016.00,391904769.08,195161517.82,667452385.34,475155777.15,291898752.56,138007832.44,435862060.15,325135118.26,209598484.23,85824287.10,335159778.67,212176659.66,132349822.66,60086159.17,113588409.62,74565321.01,46630351.38,22077047.87,95184364.67,67854381.99,38777383.89,18526594.26,67264610.13,0,32031988.94,13676092.69,55381999.94,0,22592751.98,42070157.40,32317971.61,23325575.76,0.0
30,归属于少数股东的综合收益总额,-3686620.63,-28339284.04,-22344373.98,-14157464.53,-7027593.82,16518553.89,24635900.01,24842665.19,9416270.60,8416247.61,16590.59,-429541.02,-2306673.26,-3946354.33,1581749.68,613516.29,179697.91,590192.63,382.47,389.02,212.26,1619.41,1191.55,746.71,421.37,-1267.29,0,0,0,0,0,0,0,0,0,0.0
