,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,502558182.73,353123043.80,174704083.18,766790403.50,577998336.60,427285376.21,221357648.15,904138828.42,660320227.07,464713236.95,240376161.70,525960703.50,366327920.26,264449018.48,140018438.89,459782819.87,360473607.15,256879829.08,134022323.09,467843995.71,347342522.72,240735114.84,110547403.70,367433113.36,270738456.03,192907567.60,93321547.31,340228869.44,255998427.94,191009432.68,89981119.49,383162484.03,280969678.79,191903960.44,101011312.38,520960271.71,369048294.13,258216470.85,126004092.01,438003458.34,312678652.55,199290281.61,82681781.18,428904059.78,328610957.05,223517907.05,95288091.65,412881866.62,275998598.82,189186251.28,295366073.02,197604413.27,0.0
2,营业收入,502558182.73,353123043.80,174704083.18,766790403.50,577998336.60,427285376.21,221357648.15,904138828.42,660320227.07,464713236.95,240376161.70,525960703.50,366327920.26,264449018.48,140018438.89,459782819.87,360473607.15,256879829.08,134022323.09,467843995.71,347342522.72,240735114.84,110547403.70,367433113.36,270738456.03,192907567.60,93321547.31,340228869.44,255998427.94,191009432.68,89981119.49,383162484.03,280969678.79,191903960.44,101011312.38,520960271.71,369048294.13,258216470.85,126004092.01,438003458.34,312678652.55,199290281.61,82681781.18,428904059.78,328610957.05,223517907.05,95288091.65,412881866.62,275998598.82,189186251.28,295366073.02,197604413.27,0.0
3,二、营业总成本,536641972.20,365043558.66,180118412.85,851294575.35,584871826.76,426185918.33,219536714.30,896202363.62,640150661.44,449975542.63,229683267.63,526294572.24,368430966.52,266617824.64,142847178.48,500558681.75,383065340.81,271818012.31,142394170.43,457534496.66,348402466.51,240545042.00,110730137.76,396882362.73,288666140.26,204162417.15,102521944.96,397599235.11,293417948.85,214416730.05,99604850.66,406615997.47,303223478.66,208423783.68,107774879.14,527321448.74,377338934.74,265748733.95,130442902.81,439527347.94,311344305.24,194281357.85,82097904.55,418700095.55,322110880.13,219531065.49,94159210.82,387873165.98,262148515.22,175591902.36,264459615.05,181935954.32,0.0
4,营业成本,442787905.59,306515217.66,151044785.20,649777698.74,476188723.56,348295730.23,181725558.50,738250273.99,530999544.55,377050461.18,193782237.93,455274614.52,321257571.90,236660996.61,129906892.32,429273470.09,335679834.16,239583534.54,125789634.83,397263810.15,301976970.61,209530364.00,96332936.06,335529460.61,247200352.15,176432935.88,86897918.48,329345018.98,244493184.67,182289638.94,82833267.75,343689877.30,257141216.36,177660726.48,92665091.83,462768973.13,329886820.59,233657147.00,114716124.55,385087593.75,274768737.56,170387813.40,70421458.26,361345682.27,272903063.62,186784504.20,77517075.45,329520801.25,219176766.47,146993152.91,222948356.98,142971216.66,0.0
5,营业税金及附加,2693923.71,1920660.64,873167.50,5524440.04,4283382.50,3302579.09,2400733.13,7359703.86,5603785.06,3958728.86,2411581.71,3143482.56,2114335.72,1604320.81,941928.93,1586125.88,1211945.76,1020680.65,616828.12,1970899.29,1450122.88,1027684.98,571870.59,1534603.61,1112196.98,865024.82,519199.96,1670341.69,987239.22,671557.15,353754.21,1460931.25,925457.35,774273.18,452209.36,1638585.01,907784.20,705066.71,305603.87,998306.66,588233.75,382851.55,65203.34,1207789.86,518061.40,506380.10,110273.40,1252059.44,807268.73,694709.40,1172270.52,898634.21,0.0
6,销售费用,13923658.50,9368513.52,4248693.66,20151909.90,14310586.87,9634181.72,4129414.39,19498791.59,12762934.79,9007631.46,5105792.40,12192910.19,8412525.46,5382593.90,1952821.27,14322115.52,10026615.81,7071674.54,3240245.12,11907023.36,9143444.98,6211167.16,2411969.63,9427713.63,7227112.52,4448657.45,2583344.97,12180311.05,8957698.93,6034086.18,3220424.80,11810404.80,8733966.32,5856621.03,2762087.73,14465464.51,11656145.56,8516674.20,3647449.64,10123787.86,6889423.74,4276266.10,1710123.49,11612654.93,8423097.16,5877663.30,2465458.73,9382845.31,6826077.90,4463380.39,5813034.43,3826841.70,0.0
7,管理费用,56260991.45,35051753.25,19159285.84,113990214.15,88511470.69,63576761.86,30736924.08,117110803.33,87052773.46,57832466.48,27258023.34,51331673.89,35841991.23,21763179.02,9524430.17,42874949.41,32439768.21,21974912.26,11707018.75,40093904.95,32104575.88,21389039.40,10050803.97,40550180.12,28178219.09,19131616.92,10969150.00,43429168.28,34757489.66,22633976.71,11733742.23,44187065.27,33915767.44,22544682.47,11240714.61,44686532.04,33092484.64,21875629.22,11647316.58,40521401.03,28774329.03,19271763.14,9020013.76,38137319.30,36127319.74,23834020.99,12535272.69,43741285.48,33107850.01,20529457.99,31137344.46,32062011.16,0.0
8,财务费用,5863320.23,3861009.03,1620591.74,3281468.93,1718924.89,1519316.92,686735.72,4750529.02,3731623.58,2126254.65,1125632.25,2612265.87,1950766.33,1271397.60,521105.79,3921338.27,3129418.89,2167210.32,1040443.61,4412987.91,3727352.16,2386786.46,1362557.51,6939657.46,4948259.52,3284182.08,1552331.55,5635725.91,4222336.37,2787471.07,1463661.67,3679782.34,2507071.19,1587480.52,654775.61,2575362.88,1781579.38,980096.45,126408.17,2756934.82,196933.16,-163984.34,881105.70,5141349.83,4139338.21,2528496.90,1531130.55,3732698.57,2230552.11,1615556.86,2291710.83,1728425.35,0.0
