,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,510854322.09,3019284993.64,1915715101.91,1315326599.85,473054828.18,2498745791.82,1592074099.04,1103964046.19,338085235.86,2305884461.37,1471087518.49,1045814670.15,553151561.91,2067498212.51,1484192318.42,1040258905.08,510093445.48,1927158649.39,1512902688.25,1049453215.59,486019828.84,1876176087.23,1410387070.78,941206714.07,456845849.14,1845764677.75,1278406446.37,836864415.65,404921974.81,1569326008.29,1053707840.29,704622552.75,354018123.84,1387751949.72,996315721.86,647841322.85,282610201.05,1236563041.16,815659793.22,544653393.49,252155406.50,1087794430.59,719427638.74,484214187.69,223416297.67,165146331.46,108411543.43,60559114.41,45596987.86,189975973.22,115767904.38,63371177.37,49146869.62,289679510.22,160039596.87,85945561.87,49928808.95,302068441.28,198947687.89,93077437.58,48145453.88,319768666.60,360075993.39,229926143.23,100698318.34,412518955.66,375450456.95,233324793.42,98213079.26,449532313.61,411305416.16,236050213.77,118979277.64,508278711.87,247931107.05,703596195.52,420667327.41,892303739.74,411758573.34,880638039.58,362113348.40,875975029.99,358990023.06,966899398.22,408105077.87,936403083.93,744793700.00,725326695.92,674184000.00,821528226.24,406278026.00,248725970.00,241691344.00,0.0
2,营业收入,510854322.09,3019284993.64,1915715101.91,1315326599.85,473054828.18,2498745791.82,1592074099.04,1103964046.19,338085235.86,2305884461.37,1471087518.49,1045814670.15,553151561.91,2067498212.51,1484192318.42,1040258905.08,510093445.48,1927158649.39,1512902688.25,1049453215.59,486019828.84,1876176087.23,1410387070.78,941206714.07,456845849.14,1845764677.75,1278406446.37,836864415.65,404921974.81,1569326008.29,1053707840.29,704622552.75,354018123.84,1387751949.72,996315721.86,647841322.85,282610201.05,1236563041.16,815659793.22,544653393.49,252155406.50,1087794430.59,719427638.74,484214187.69,223416297.67,165146331.46,108411543.43,60559114.41,45596987.86,189975973.22,115767904.38,63371177.37,49146869.62,289679510.22,160039596.87,85945561.87,49928808.95,307188686.73,202395311.52,95408689.07,48502383.31,332008699.42,366618530.77,233082686.67,101843446.78,424443635.24,382428187.00,237145857.62,99467111.71,457512259.93,415860709.20,236898335.23,119513546.71,508008002.77,247916503.87,704060791.37,420524934.22,892403863.60,411848475.08,880410994.00,362381187.77,876063868.33,359174455.92,966899398.22,408105077.87,936403083.93,744625400.00,721172964.27,662873200.00,818439843.57,405198189.00,247779402.00,240439632.00,0.0
3,二、营业总成本,466891480.28,2691529757.68,1722995375.95,1202149187.96,437125232.45,2270735325.59,1454315649.47,1017803214.19,317923348.86,2167911565.99,1379262884.77,988581924.01,525613028.65,1935354874.61,1377497783.03,973145607.71,483312908.10,1851534438.12,1432092357.17,1002571794.61,462370088.52,1803070544.23,1343153089.48,899475683.64,437634158.00,1774901872.47,1220086714.56,798942722.40,385144026.35,1517858416.04,1007168296.24,670870578.42,338064009.81,1326599019.85,934462849.87,609653924.38,269182699.32,1193578542.26,775240088.44,520415474.39,243932958.21,1040363843.31,680874217.45,460926777.37,209892233.91,291398626.10,175907675.93,105913672.04,66487644.48,282641551.54,169976071.49,97678170.97,64030429.03,286596010.36,261208568.36,152261734.76,78946082.73,525370723.93,307684913.56,168395929.99,86366050.18,571965163.89,358898486.65,228761163.68,99821152.40,669705536.55,427958709.76,228773617.86,97483750.04,1160190186.81,406905727.33,233655875.60,123843940.17,832026819.28,243458861.40,671511824.07,475238547.68,1167341400.60,364451482.07,839824667.68,300555707.84,696020726.56,0,775937969.06,313800127.61,767703326.61,0,566513291.61,0,684924626.76,336910889.00,199054434.00,198532090.00,0.0
4,营业成本,359620574.81,2310737165.81,1477588857.73,1026214427.64,384101006.98,1958044102.78,1247921441.59,858345729.84,277193476.99,1998512544.59,1255548627.84,896903420.39,474328807.33,1779865111.38,1265356336.69,886594098.74,439675241.38,1694450513.33,1338350759.90,925413065.60,424558016.24,1663595974.19,1233184592.88,821675459.82,403512604.55,1606156223.69,1093646031.23,702140142.43,338531167.33,1369057452.54,900730883.26,591527871.06,284030543.42,1187539590.05,836814144.41,542522524.15,237358648.00,1059306215.26,705735432.71,479133291.81,224864052.78,926077997.38,601227276.66,403927645.21,173171552.56,163855344.55,105098530.87,55984723.86,41430942.92,173178035.87,100999014.49,52227770.37,40436301.12,237499259.66,146938340.91,77234247.17,42930331.83,311664081.19,200941973.71,99161280.59,49622971.92,311000077.06,294617247.12,194088979.07,82316818.64,482619133.49,364823718.25,202873976.47,78592670.10,539951307.53,321880199.09,178139478.68,98258161.14,519201286.50,195541374.04,553558364.34,387069246.76,893509763.39,300400908.86,716487559.39,250341968.26,567728542.28,0,668133926.28,276895444.61,687114110.15,0,539550372.85,0,492708857.31,274503890.00,150651194.00,154209448.00,0.0
5,营业税金及附加,1058917.68,5726156.80,3127730.34,1585431.66,651884.56,5134320.62,3664647.91,2917703.50,479764.88,2895285.80,1847696.40,852491.02,167963.10,5356058.49,3645715.87,2109446.17,1035306.02,4845190.80,3573436.24,2168349.45,1166866.00,9741802.85,9120407.67,7855657.93,3202981.16,12338309.62,9748765.68,6865088.44,3205510.05,10177691.67,8014396.44,5854399.12,3577404.31,9562630.44,7243107.53,4923942.09,2133317.75,8894013.82,6136176.33,3622819.80,1363399.84,11149816.24,5061292.50,3190603.32,2028518.83,283203.93,283203.93,283203.93,283203.93,254953.38,122415.30,122415.30,122415.30,1754307.25,1040805.20,726850.78,386428.55,2255763.84,1494690.95,978310.29,505453.28,2160518.92,1266729.85,660120.77,176817.68,2183828.58,1652108.09,963364.17,521335.57,2187519.94,1612590.21,1045408.75,542375.10,2927562.89,1336362.37,3536375.25,1963383.38,9851418.93,4780682.46,9954584.49,4240290.68,7145131.84,0,5820170.53,1634460.44,5253327.31,0,2029213.28,0,165641789.93,62406999.00,48403240.00,44322642.00,0.0
6,销售费用,26979139.55,211841377.43,128912782.50,101332867.78,30516495.85,204579804.66,126450826.84,96427426.67,26605512.63,89750535.95,55877533.13,42434634.45,28432396.29,78591126.22,50057678.71,39626784.61,21605670.52,78474440.03,52671133.71,43585321.08,21090528.43,75817387.26,60682682.04,40783140.13,15434525.66,79215966.48,62592116.71,50336835.34,22062554.10,72738332.96,52319266.48,41543283.09,30425953.98,67713768.75,44287534.65,33326213.37,11487631.17,66688394.77,38107251.66,23399162.96,10025673.64,55199142.31,41722774.37,31188173.04,23374330.05,2890632.84,2611370.87,1864424.92,1200962.31,10764278.28,7398727.55,5235832.39,3969260.31,18540297.50,12452636.84,7522489.13,4426294.96,21514261.19,11351478.00,6945091.31,3788644.50,12262512.71,4941544.31,2566940.92,1255109.93,5892419.72,4325774.90,3519785.89,1525948.96,16251707.05,6377858.84,4173317.70,2424555.71,9490149.99,4565622.69,10773688.60,6075410.34,14041526.78,7644519.25,11102573.29,4928236.23,8324005.64,0,24661387.97,2373567.95,6037337.62,0,4046928.02,0,4094696.19,0,0,0,0.0
7,管理费用,89518458.96,202638619.37,143466416.99,95048111.01,32852049.53,143652536.98,112994688.68,78382355.04,31410692.91,85045595.44,74498483.11,52200229.55,23694336.23,78515445.67,64057242.78,47894934.47,23702959.84,67457521.90,45432562.17,33277533.02,16623086.59,62869871.71,44079006.75,30103411.78,14935743.38,81003643.93,55297592.20,39041709.99,20665980.05,73631369.03,49714566.04,33374601.55,18031081.56,67541240.53,47725918.95,29919224.21,15378870.91,61279915.23,36822269.54,21637009.02,11196179.53,49595599.44,32349786.82,20008778.30,10428417.32,44148357.27,18640408.02,12597813.48,6461626.77,27606875.36,16872347.93,10074892.31,5509602.60,48164652.00,35864871.04,24303457.77,10542628.29,118138162.40,44298549.33,28460775.82,13815365.61,180942377.79,25748510.74,11010689.86,5972012.84,123036104.39,16168180.40,-1706224.77,6192528.02,541977884.42,36288249.63,23679375.01,9702041.71,246071279.78,22828518.71,64276717.02,56509022.85,157325278.42,32098428.86,64283580.62,25883574.91,87173971.96,0,64458436.67,34662674.46,66846270.11,0,33015081.91,0,38804373.75,0,0,0,0.0
8,财务费用,-10285610.72,-39413561.73,-30100411.61,-22031650.13,-13523994.04,-41515366.38,-36446119.09,-19547487.38,-15626886.49,-14331721.17,-9098208.36,-3387144.90,-375641.92,-6928459.84,-5018173.68,-2638320.49,-1779494.94,-14104534.77,-9279957.42,-2892711.59,-1193182.95,-9934769.56,-3099835.58,-902395.09,-700814.40,-4185588.01,-2943739.72,-1165040.68,-798151.06,-8168052.10,-5692048.36,-3413825.46,-942996.47,-5544444.82,-3126941.43,-1170468.43,-525491.95,-3248049.00,-11755041.45,-8042765.45,-3516347.58,-3436187.89,-898948.34,2578.75,889415.15,61056110.82,50310212.30,33827280.26,17110908.55,61439762.53,44583566.22,29130579.10,13992849.70,65512342.32,64911914.37,42474689.91,20660399.10,71798455.31,49598221.57,32850471.98,18633614.87,65599677.41,32324454.63,20434433.06,10100393.31,55974050.37,40988928.12,23122716.10,10651267.39,59821767.87,40746829.56,26618295.46,12916806.51,54336540.12,19186983.59,61163499.27,32895217.14,73770566.08,19526942.64,37996369.89,15161637.76,25649074.84,0,12864047.61,-1766019.85,2452281.42,0,-12128304.45,0,-16325090.42,0,0,0,0.0
