,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,149320743.35,80490693.51,39614246.68,219223271.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,27976.55,-556859.17,-845937.09,-665389.84,-325689.52,10390794.07,526584.88,530973.49,-612999.84,1460799.35,-881368.30,-939439.66,-6689.24,10186638.22,854101.34,905980.07,606237.43,15158653.98,-308972.75,-150397.73,-145725.88,3605565.58,468632.01,360825.43,156004.39,1631001.50,397753.52,456007.17,99996.56,1660071.91,249998.42,241522.16,60176.34,627682.61,-494002.23,-434323.14,130000.33,5010427.19,3213489.88,5034281.87,-42.20,-9768.15,2241760.17,7962167.36,0.0
11,公允价值变动收益,0.00,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,137675168.37,132459225.45,5196454.91,124654509.78,122736883.43,118896915.62,4104013.78,118138471.83,110816350.25,108659212.99,-1720376.30,133191474.70,133900256.45,125677465.55,2296868.28,150775449.37,157472773.80,141448676.03,-1738254.13,135058187.07,125582086.81,115068620.54,-2396045.26,102191286.19,104611409.16,102824156.92,-507575.36,129420259.25,126981784.06,102083258.34,-357335.54,110955237.52,100920446.18,101124175.90,-28756.40,119484372.29,119009114.15,88837086.03,376112.62,55821611.85,66246285.28,65066806.27,1081011.91,29818915.83,-1626771.12,-5941535.60,0.0
13,其中:对联营企业和合营企业的投资收益,-4196348.53,-3765681.41,-1833588.93,-3662331.42,-5284634.48,-5652052.77,-1061817.14,1754277.87,-3458498.51,-2958909.81,-1720376.30,402732.91,5821581.78,3830686.14,2296868.28,-12266706.53,-4279475.79,-3213507.10,-1738254.13,-10483671.64,-7374838.01,-5776586.27,-2546045.26,-8047284.25,-3724058.56,-1877200.66,-582575.36,-8753523.07,-603487.69,-825088.01,-357335.54,-611142.98,-277385.51,-73655.79,-28756.40,23521904.82,22101222.67,2361191.55,246112.62,-8609394.43,3130095.50,785799.99,1081011.91,1414950.58,-1025831.33,-299178.10,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1128659159.33,718621107.88,294566707.85,1273493107.83,1132282700.37,841627993.27,343756864.15,1150841661.25,1044648357.69,741040188.15,297699553.66,997916579.16,966135754.19,695101658.60,284496561.97,829245239.99,633208622.58,468621544.40,159219019.95,911908678.61,735672919.81,555242064.09,195315749.75,803804256.89,650256240.92,521473459.13,180710237.36,667776076.07,595287567.66,450265326.38,196204690.49,506783381.56,424805798.59,344713211.02,156319545.27,393156171.96,319671305.24,239078252.82,115043846.23,328347141.71,256213302.33,186602047.73,96876820.08,244156279.42,210364930.34,177221064.74,0.0
16,加:营业外收入,21867030.38,17097123.10,14942130.65,9326243.82,9850792.73,6925260.91,3077130.13,29263949.70,12372681.55,8317142.15,5759170.71,33398042.71,28702089.32,15820340.40,7049703.04,38034222.49,15318967.44,9847153.10,3464470.81,26440544.07,7832039.71,4207301.76,1361161.95,138981742.69,134719535.26,133118231.77,124223720.22,30148794.47,20854734.80,14042492.44,5710752.75,14112109.57,7267460.79,5541426.30,1753424.48,9787072.35,6877515.82,3910200.97,1765927.10,8198130.35,4501147.51,3418140.69,450709.41,11962468.93,24742607.96,7529120.39,0.0
17,减：营业外支出,13515717.55,7102106.51,2677093.89,13365138.88,8673089.11,5790839.30,1882231.26,10744010.16,8114021.63,4026949.43,2396799.98,13019272.10,5458646.63,4513616.80,893852.69,4936300.09,2135254.91,1479510.49,422776.28,9465811.24,2757152.94,1403811.68,371351.53,6537764.64,4321493.58,3312517.66,2017442.97,6308905.26,3410123.48,1679800.19,967298.98,5791567.72,3134719.28,1292218.62,565956.98,4444007.67,2870080.64,2192679.75,1010132.88,3452911.46,1868680.31,726371.79,190211.16,1755556.05,3287336.91,2455092.40,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,6176659.47,2913222.70,1668449.46,5064011.15,4670467.73,4198312.71,682180.94,1886140.53,339336.63,251294.49,126470.69,1567438.24,272656.31,153308.42,85672.75,1779634.75,1428938.23,795953.09,287232.18,2009746.76,1104066.71,854186.15,361361.26,2464051.63,1729900.35,1222709.97,522086.98,2880569.39,1623120.03,1010803.97,181403.44,2363383.02,1356005.62,624770.61,159702.25,775267.98,1554647.25,1259401.38,0.0
