,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2946420820.29,2229778209.20,1467501106.08,749910855.39,2966948529.24,2249092572.34,1467508868.01,728444474.11,2861411105.06,2147434965.93,1398190644.16,716672820.56,2499135630.47,1877328858.82,1250002931.80,677295596.36,2427004934.21,1825917401.54,1201948179.40,629514950.60,2339569536.60,1760886246.01,1164873900.31,611254745.19,2330104247.29,1722129467.60,1125690386.64,566328194.21,2222507036.21,1694990367.61,1123156155.83,581998238.62,2216354505.11,1670606022.74,1138885582.51,591215418.16,2109565320.05,1526560321.09,1024697283.52,506703999.75,1771562284.70,1303016739.73,856715162.30,449903888.82,1689557091.15,1273170854.92,845564640.24,396165407.58,1688879091.29,1244797719.52,832777287.25,422500150.51,1646590705.75,1233686254.02,828362499.63,410677461.09,1546979767.26,1148011252.19,769944288.78,393327563.69,1256637145.07,856280979.80,568450662.19,309178134.37,909984957.46,631296963.85,413550140.09,218593688.87,756564341.86,362608723.87,616662132.69,409427144.93,349643922.39,0.0
2,营业收入,2946420820.29,2229778209.20,1467501106.08,749910855.39,2966948529.24,2249092572.34,1467508868.01,728444474.11,2861411105.06,2147434965.93,1398190644.16,716672820.56,2499135630.47,1877328858.82,1250002931.80,677295596.36,2427004934.21,1825917401.54,1201948179.40,629514950.60,2339569536.60,1760886246.01,1164873900.31,611254745.19,2330104247.29,1722129467.60,1125690386.64,566328194.21,2222507036.21,1694990367.61,1123156155.83,581998238.62,2216354505.11,1670606022.74,1138885582.51,591215418.16,2109565320.05,1526560321.09,1024697283.52,506703999.75,1771562284.70,1303016739.73,856715162.30,449903888.82,1689557091.15,1273170854.92,845564640.24,396165407.58,1688879091.29,1244797719.52,832777287.25,422500150.51,1617898018.13,1211402014.99,809355170.39,408817759.66,1538017107.78,1143321890.36,766857179.18,391772121.29,1242898870.45,850426782.56,564751611.08,306862181.87,896554000.96,625924658.39,410162215.26,216303451.85,751627487.66,360684668.23,611449942.44,408766443.51,349435608.66,0.0
3,二、营业总成本,1446022868.17,1079516588.77,722965252.88,351223678.84,1447662652.18,1086273894.90,713101731.22,360330981.88,1348186335.61,991094822.12,662668794.20,312189806.31,1302353470.85,974262823.30,646574793.75,331009442.47,1238671932.20,930073592.64,628201523.19,315921330.16,1296478719.23,973940673.72,656500046.88,342541306.15,1212957331.37,868192393.16,551666259.87,279167092.84,1119113573.11,824202403.76,541087235.54,271717074.61,982833982.77,754871763.21,497733934.41,249359609.75,986777068.92,736077392.64,509945802.34,252941390.58,816197972.51,560758625.22,350428827.66,188003595.87,742608548.43,561754848.15,367638740.00,190205565.89,587361698.64,494757402.37,333950050.01,180228464.14,680283847.13,578740646.21,417341643.64,183887018.28,674445384.20,593155055.81,421944246.53,202257263.30,728298551.46,495593559.28,335539023.65,181242870.28,542233796.06,374912221.97,256549317.35,127070035.85,431527708.61,204599756.85,359246550.61,207764517.67,192381153.92,0.0
4,营业成本,1272488308.82,957202851.63,640586269.08,313430109.86,1282803758.59,964185262.80,634300406.56,323636916.30,1184758823.87,892374921.55,596069354.52,286688037.77,1062488940.53,784870355.91,512618843.06,257134665.74,970673106.94,730117634.05,490454872.17,236746268.31,929091302.91,691507976.18,459490912.43,233763806.00,897749898.29,643242663.74,407328559.42,206688046.15,829255573.05,606363794.53,384971088.22,196045591.01,727259668.14,557381380.32,356875592.28,181654047.09,619916718.45,462201730.70,321474971.32,158663635.81,548134678.37,380359078.28,238899361.92,123576547.02,499312683.73,385334186.44,253163181.40,128356124.76,438829245.62,341851187.49,230975052.15,120649130.48,452020619.18,396498093.36,284296692.16,122998596.54,472846880.40,427377894.77,299013978.36,138868389.93,525912225.03,372814354.68,253616342.34,136297151.05,405561520.52,271255293.46,190749922.13,92224064.26,315359423.21,149682855.21,278086365.56,162648948.56,145524850.68,0.0
5,营业税金及附加,23820226.64,15371458.85,11802773.07,2794161.48,24648018.42,16059690.82,12859728.66,3179056.08,25169997.81,15289383.30,12182460.98,3144753.63,48471884.29,37053084.16,33102508.76,24393026.82,87180979.94,66380216.40,44464947.40,22201839.71,84101105.84,63075100.42,42353644.35,21978033.51,82920446.74,61346333.68,40093083.20,19062596.72,77159554.91,56674590.76,38048181.64,19681744.31,75207296.10,55829937.06,38236079.67,19623407.41,71774073.45,51249238.61,34291996.99,17624367.72,57878340.97,42335215.50,27779326.53,16331077.94,53431180.34,40235676.11,26537151.20,12305255.71,54690666.31,40600495.28,27206021.25,12977859.08,50677992.62,38015949.70,25529157.17,12987243.09,62599971.34,49931429.15,38044180.04,20552776.38,63565692.10,42051386.25,27320495.80,14592626.38,45772606.58,32777466.51,21238165.49,11608121.79,38278833.63,17119918.36,28865993.53,20445174.72,17736994.55,0.0
6,销售费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012723.54,1012723.54,612448.57,226198.03,976946.63,662928.22,416328.21,185679.81,746410.73,343963.99,594829.42,0,0,0.0
7,管理费用,98015239.43,68805034.16,45862494.68,21936381.71,84383089.78,64426780.97,40041314.49,18727963.09,82803658.82,65374583.62,40536786.20,15392438.89,84138186.72,66940974.34,41871542.84,21576050.02,89115528.90,67802295.43,49864490.25,25568860.95,91001236.54,70569390.00,49457140.18,23823907.85,88397564.80,61259095.28,38774861.80,20138345.99,78853434.10,61705398.81,52698835.61,23250856.08,65483854.99,54009022.36,42182571.33,19963939.08,161409469.32,118418665.02,82996501.08,40538602.76,141806721.93,100685051.39,63430266.26,37333837.16,128515400.61,88739413.59,56742633.29,32912530.99,94581911.71,75728146.70,49369121.15,33681158.13,122620227.87,102793656.41,79649855.46,34224535.48,128103791.27,105511814.93,77133313.73,38209254.19,115853656.40,76755104.84,51966843.04,28861906.34,90109429.58,71947609.32,45464488.67,23680266.11,80189296.49,39056249.63,57078164.83,32743933.73,31898023.07,0.0
8,财务费用,51699093.28,38137244.13,24713716.05,13250908.79,53115973.85,42341505.85,25760768.07,14727046.41,29581720.45,25205599.82,20385985.17,14138582.95,91265080.32,78295780.89,56215271.09,26556185.09,64008911.05,46661449.16,25457876.13,23541843.99,134270556.74,104941207.12,71308349.92,36195558.79,132640921.54,95399800.46,62109255.45,32757603.98,132065511.05,99458619.66,65369130.07,32738883.21,114883163.54,87651423.47,60439691.13,28118216.17,133676807.70,104207758.31,71182332.95,36114784.29,68378231.24,37379280.05,20319872.95,10762133.75,61349283.75,47445572.01,31195774.11,16631654.43,-740125.00,36577572.90,26399855.46,12920316.45,54965007.46,41432946.74,27865938.85,13676643.17,10894741.19,10333916.96,7752774.40,4626842.80,21954254.39,2959989.97,2022893.90,1264988.48,-186707.25,-1731075.54,-1319587.15,-628096.12,-3046255.45,-1603230.34,-5378802.73,-8073539.34,-2778714.38,0.0
