,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,66682612.95,235067580.63,109481703.26,57065669.03,21639681.62,152120542.51,66150644.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,0,13626563.08,23064564.67,25529929.67,12362477.42,16558630.74,32016152.32,37004650.36,23674145.31,9221339.04,23378240.18,19374679.98,19850433.10,4215041.45,20834887.07,21424165.33,12196852.51,13448194.77,19259052.23,16770586.38,11446225.14,6283752.44,10578068.00,7763939.19,7682862.74,6670517.38,10357144.23,10012290.70,4583285.49,1796377.28,3252173.72,5232950.27,3518448.73,4120939.51,5536445.07,5631297.32,4004402.77,3310661.16,4495962.85,3764827.15,2257292.10,428219.18,1250727.99,1159823.46,1093800.51,1312949.35,940105.26,748506.38,1004889.53,410796.19,1328553.18,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000.00,56000.00,56000.00,56000.00,-56000.00,212000.00,-442750.00,-80250.00,-178500.00,-178500.00,-159000.00,-270000.00,-1025250.00,-911800.00,-1660800.00,-1050750.00,1146750.00,158650.00,193750.00,112500.00,57000.00,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,4911744.36,23657170.55,15397563.59,11697158.62,3243486.86,35643034.58,26078329.36,19467391.52,6993976.85,48982459.15,30782899.23,21813249.00,11340675.94,22865827.64,9086482.65,8910751.51,337232.98,2291553.14,-333517.83,-598267.26,0,485017.17,-70670.32,-6005.69,-58524.24,-240311.17,-291365.01,-296919.07,-300551.42,1364174.14,-388106.06,53430.59,32343.61,968672.26,509840.28,335341.02,63865.85,1830057.71,1185446.09,847423.77,434416.13,1222775.19,526535.54,60670.73,83375.11,11237.63,-277307.35,-192626.24,-162764.04,663951.30,596047.94,643099.96,187002.42,-278811.82,-49015.83,0.0
13,其中:对联营企业和合营企业的投资收益,0,4957051.81,0,0,0,4861183.02,0,0,0,12957924.60,0,0,0,-485758.74,0,0,0,-716559.33,0,-598267.26,0,-17101.81,0,0,0,2888.83,0,-53719.07,-57351.42,23586.25,31943.94,54930.59,0,704422.26,0,0,0,880940.98,0,0,0,236575.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,441366202.87,849886433.81,822770216.79,619444770.41,281677785.42,776195758.71,748446579.66,560565627.82,254023457.41,682977619.46,635728301.66,464292482.08,214635403.33,540643079.44,465443476.46,355549066.79,162058272.42,375406221.25,342089078.56,258477613.16,117908954.20,284865049.12,269343786.48,199451638.81,96315318.99,252602382.91,221343226.29,164577305.58,77301992.83,260550008.95,201931984.93,145453910.37,71343766.85,218496852.09,159782067.83,130835421.62,64377192.60,171053208.88,121768110.63,86313228.24,40316305.61,113904971.74,86625745.66,54032856.82,24705746.01,74970012.76,58043638.53,38697685.56,15288413.28,50474254.13,40298376.49,22470411.38,9649602.50,41452246.21,37742943.05,0.0
16,加:营业外收入,14274894.76,17636325.77,27045806.52,19889251.69,8299510.20,73385842.49,17845449.42,12599518.88,7090956.00,39956907.73,22455432.11,17130124.27,9048137.37,34363251.00,47565317.46,37724770.56,4411267.80,36556542.54,48620429.12,35547755.00,8641280.53,50109735.56,24311029.69,18274932.07,10545486.79,47035572.59,20429349.47,15808471.03,8700098.97,18826978.85,10947817.47,8170294.14,3954892.90,42241861.52,37901076.01,4704451.16,4343410.14,13337359.67,11625449.33,10048796.19,3005665.48,5137658.85,1240221.20,545397.13,545217.13,28464.35,16345.33,2089.14,1668.45,7365115.46,7362717.70,6559862.83,9408329.06,13003363.24,67193278.04,0.0
17,减：营业外支出,2704260.99,3178162.44,1850594.58,1529843.56,328646.27,3693767.04,1588183.36,1156686.34,857526.39,2732288.36,594519.58,429744.22,116564.08,2493840.85,350288.93,269254.83,165040.72,4162232.90,684799.92,674428.63,78524.84,1281519.41,2069205.01,644767.07,230956.40,1490438.03,1194823.04,666990.62,556011.76,384147.89,358895.80,143388.74,71330.67,281477.43,225671.22,329445.96,98546.00,3769929.33,2182316.77,1189486.09,351888.73,932871.15,853126.28,28113.26,20213.93,1329102.44,1244683.89,1193559.96,486965.37,370537.19,335119.27,279138.25,3039496.10,981338.34,2272516.60,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,535728.56,0,0,0,853057.47,0,51665.41,0,1183757.84,0,0,0,1293099.07,0,568026.35,521026.35,75395.48,-57847.79,57847.79,0,28736.25,0,0,0,1064306.20,0,0,0,19475.07,0,0,0,0,0,0,0,0,0,0,0,232627.76,0,0.0
