,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1722670232.33,1132714983.14,574941812.75,2069391203.78,1622404281.50,994000341.53,426307467.47,1728148686.40,1248527407.55,820547088.08,385643470.02,1534154237.70,1034361006.15,651280698.16,303253642.77,1620089248.09,1227026740.44,798867063.56,350629541.71,2052186512.31,1519534074.26,985371407.38,483730469.86,2005537957.85,1378377674.91,935366753.03,436804109.92,2172665058.77,1649679188.64,1077535394.02,486620259.56,2587148106.76,1939848537.52,1253660711.74,566559103.13,2702559769.99,2089979866.75,1333867056.29,642363411.63,2283951397.50,1438771204.25,880470562.17,366251802.72,2018134061.75,1731995189.99,1179685277.08,633432039.09,2209450834.76,1589352849.78,1017801034.44,508364835.90,2526314205.14,1850978383.85,1230952966.16,608930878.85,2305795459.85,1656161620.61,1086006159.05,551620251.89,1977436111.70,1339211247.10,880922990.97,467379409.74,1471742378.53,939696911.33,563470483.25,266768593.59,946835465.27,654927183.57,426813954.19,216159340.19,641703068.62,270345264.08,504640211.65,219103904.78,345128283.00,159655372.53,322905218.99,235845367.38,486558725.41,286189573.33,486841184.63,246419791.89,419198587.02,206498516.14,325759579.60,158343810.03,205985218.86,77790000.00,79100268.61,59352016.01,41888194.25,0.0
2,营业收入,1722670232.33,1132714983.14,574941812.75,2069391203.78,1622404281.50,994000341.53,426307467.47,1728148686.40,1248527407.55,820547088.08,385643470.02,1534154237.70,1034361006.15,651280698.16,303253642.77,1620089248.09,1227026740.44,798867063.56,350629541.71,2052186512.31,1519534074.26,985371407.38,483730469.86,2005537957.85,1378377674.91,935366753.03,436804109.92,2172665058.77,1649679188.64,1077535394.02,486620259.56,2587148106.76,1939848537.52,1253660711.74,566559103.13,2702559769.99,2089979866.75,1333867056.29,642363411.63,2283951397.50,1438771204.25,880470562.17,366251802.72,2018134061.75,1731995189.99,1179685277.08,633432039.09,2209450834.76,1589352849.78,1017801034.44,508364835.90,2522727007.39,1849095468.74,1229990980.77,609338074.34,2298440353.34,1651146369.70,1080915153.19,548359031.02,1971411229.60,1335580055.16,878242974.93,467641245.48,1473560404.21,938926543.82,561488865.19,265814466.27,941090202.57,652528460.59,425342958.05,214749082.42,633962961.20,269528459.51,503345774.24,218501445.97,344301100.21,159354669.80,321904218.66,235382271.51,485593902.84,285865347.45,486382370.99,246261453.33,418762803.04,206178483.86,324947167.41,158047140.26,205553241.02,77790000.00,78818642.66,59099113.42,41713433.28,0.0
3,二、营业总成本,1667302526.14,1082614689.69,545072690.28,1968744102.62,1537095787.04,919762617.54,403167967.90,1675098660.72,1221202269.84,796422472.30,363272461.47,1485543112.25,1020340679.76,651451513.53,310244642.97,1773221828.21,1339228521.28,892807508.68,422233101.38,2236179122.06,1609856956.51,1045752419.79,517435872.22,2217254331.29,1501511048.15,1027093246.85,502692427.44,2365191051.30,1752220820.61,1168756365.01,550452266.20,2720239035.96,1973675206.07,1272169491.76,583922791.53,2686628625.38,2063361228.42,1312764893.73,632812058.52,2294665084.36,1489450935.61,937808412.00,411434108.63,2076370594.89,1723069840.51,1205486818.81,608483236.20,2094481797.25,1479828272.44,954592093.19,481568529.80,2401279226.80,1753432504.59,1176809487.85,591011827.65,2201319775.81,1564143576.12,1028590243.23,516360856.62,1832942151.18,1217151242.83,800296216.47,424312341.69,1345073144.02,838212198.27,499374703.35,229112889.23,839998500.94,581102498.28,374837851.61,193945587.04,564572024.25,232268811.83,419753782.72,205786956.27,347321477.52,173032938.79,436502267.09,235044711.75,433799143.38,0,419576338.81,0,370515803.45,0,289512296.69,0,187774466.45,0,72743698.60,54522066.69,36527964.06,0.0
4,营业成本,1493442717.25,976609216.53,498505287.03,1719828179.65,1369876301.49,819618694.83,357355118.24,1432245819.70,1054582607.88,695465611.22,314574842.73,1272585289.51,882223501.40,566778494.35,271646344.66,1530486926.06,1170701234.03,781789137.40,374393068.56,1979282936.89,1463973085.64,956625841.10,479844800.59,2002439482.54,1372076611.69,942588282.18,457130586.46,2133094689.48,1620674824.32,1086059046.71,511366176.46,2505495856.33,1829242995.92,1174863288.13,533866546.00,2438311502.46,1881340124.23,1195965921.60,573091063.82,2078201229.90,1345532767.94,844492215.20,366746917.23,1838798287.27,1534106616.02,1059910907.65,557032593.93,1867415823.17,1295567979.20,840452651.72,421667064.78,2024497653.63,1471963135.32,994504650.85,496072957.99,1837586175.87,1305543718.28,875094442.08,441470972.32,1484548922.62,999780876.28,656394773.79,343031453.97,1055628724.91,654050231.68,390650695.44,178458278.67,650260877.73,463676186.69,298231039.05,158792465.31,483752030.43,201189174.81,364565806.35,171189578.84,299473578.84,146478566.78,323616763.61,215123914.26,395033235.20,0,380027898.63,0,336837948.96,0,261064171.30,0,147630359.39,0,55971071.92,40117552.24,25358597.35,0.0
5,营业税金及附加,9019324.24,6453514.72,3598932.25,17218173.88,13168944.51,8197049.14,3668481.88,16190460.10,12180281.02,7742175.32,3212236.76,15284947.19,4265095.94,2219585.78,398744.21,4757962.64,3195731.07,1769313.38,331838.31,4815530.19,2430711.15,1286889.51,310397.53,6892551.37,5166997.49,3137164.40,2157776.69,5722428.23,3715429.64,2620363.83,731652.53,10888954.03,10130435.78,7628080.11,4520514.84,28675127.24,24099205.90,9927637.36,5353357.58,27250842.82,10424437.99,5527404.40,2058085.06,10327061.83,8715523.23,5282927.97,3264928.96,17241541.11,13579758.89,9558817.57,5153927.32,78973792.49,56889880.62,41476001.44,22459896.10,67285341.49,42522434.38,26148876.99,14399159.31,60512651.85,37701383.22,23815265.06,15239671.85,48200771.44,26256208.05,14985250.54,6777683.74,42160975.20,28881156.03,21105283.04,12850604.68,18711986.78,2128005.82,4383311.57,1813569.81,2274252.81,739440.64,1271661.60,603789.09,1562666.47,0,2005254.89,0,2125028.97,0,731812.29,0,12972798.62,0,8740134.64,7125103.19,5187090.44,0.0
6,销售费用,22111207.98,13757120.09,5499411.29,32449541.52,11240576.02,6587595.95,6084932.54,49961704.73,39782755.85,29698971.90,14200324.98,47537229.77,33947422.35,22234701.55,11825564.11,63246739.37,47014553.06,31014045.16,13147836.40,33590411.91,24069026.42,15331143.85,6809667.22,28722752.73,21144735.70,15126859.89,7627590.54,29894525.18,21451825.82,11959030.92,5940948.65,29878985.37,22688543.11,14378093.48,7816180.71,32983413.74,26146823.72,16677102.44,9436044.77,42589864.36,29066302.75,17701760.46,8588556.77,35973989.63,29941634.75,24292675.23,10377829.05,40109520.10,29543270.84,19327357.23,11111932.60,94472477.46,68795649.89,47497937.75,25611663.94,85020647.33,57471032.71,33442837.42,14762598.20,82364306.38,47007261.39,31363607.90,22023721.21,70533204.29,44332417.21,23549817.71,12936179.62,33683047.60,23797589.72,13553748.04,6945157.06,14251549.12,5839930.47,8711843.84,4206274.12,8158669.09,3564314.86,6821484.02,4473037.88,8196219.73,0,6806189.69,0,5539610.59,0,4124979.31,0,3907531.31,0,1166306.79,1579968.30,909174.66,0.0
7,管理费用,129483709.36,77501111.11,33474620.05,169400833.49,123420058.64,72185021.33,31212167.26,160358042.64,103108175.16,55443727.97,28272603.70,129477282.50,84876101.97,49591057.66,23197741.18,127941984.12,83758753.49,56450690.60,25462145.85,132832068.62,86112593.49,52253932.67,22500775.41,137662360.91,73280784.69,46891574.97,25251759.08,122358923.18,70525585.59,46535832.81,21806672.23,113876421.11,72526093.99,50207040.11,25735371.83,124730449.81,91621498.64,61287619.59,33341999.79,86194564.51,61885897.66,41663974.29,19587299.52,98745846.67,76534787.44,63396342.91,23415572.10,69836471.26,61666300.81,41487028.01,26121259.85,123597163.31,94690284.72,56179712.89,27111370.59,126292778.00,87955620.97,54374681.62,27952246.79,141941588.96,84720841.20,60281405.04,30541290.18,115217944.71,72754644.85,45929014.48,21752869.72,65273400.74,43244316.57,29981015.59,11966004.72,36157641.55,17395699.90,31911132.49,17954722.26,27442166.67,13847587.14,83818054.22,10377712.16,19383610.45,0,22575435.92,0,19348598.42,0,17103505.81,0,16469689.45,0,4786312.15,4439852.26,3593592.37,0.0
8,财务费用,10263299.46,7388155.84,3484863.02,18270072.95,15522463.52,10829515.14,4847717.98,11165550.29,10170961.92,6694128.38,3012453.30,18984472.01,14685458.33,10284574.42,4296248.81,38415146.21,32811596.38,20035661.74,8898212.26,43655232.88,32125909.48,19056730.85,8535882.62,41389101.07,32055266.34,21562713.17,10609587.99,55300665.67,35798549.23,21477484.73,10606816.33,52198895.34,26669303.19,22675155.85,11984178.15,56702889.70,40856503.81,27793515.15,11589592.56,60109755.90,43572519.67,28662219.94,14453250.05,78695692.28,58463729.78,37360919.02,14392312.16,50497156.38,30839182.37,21495662.33,17523939.68,79738139.91,61093554.04,37151184.92,19755939.03,85134833.12,70650769.78,39529405.12,17775880.00,63574681.37,47940880.74,28441164.68,13476204.48,55492498.67,40818696.48,24259925.18,9187877.48,48620199.67,21503249.27,11966765.89,3391355.27,11698816.37,5716000.83,11031773.97,10279212.59,10032085.90,8403029.37,20974303.64,4466258.36,9623411.53,0,8161559.68,0,6664616.51,0,6487827.98,0,6794087.68,0,2079873.10,1259590.70,1479509.24,0.0
