,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,143526756.64,1511223113.12,986625094.26,691111664.43,320703218.66,1991684418.94,1241852955.61,876607670.07,439694317.45,3033531402.98,1954973233.00,1277534180.70,623603272.49,2877833342.57,1699980275.04,1087439635.63,514275338.02,3807592035.26,1941301442.74,676023623.40,384169723.10,1715241927.09,1007797724.26,622450583.75,318050505.11,1445348131.00,832604108.30,514006811.27,274115717.75,1105531033.07,624380247.62,379940795.46,200859440.19,753703565.80,429820218.80,249331750.23,115924715.63,434057101.30,254685042.77,154014301.79,67809552.45,293553869.66,179169767.07,114811214.69,51765036.98,212016616.88,131510027.26,119168546.30,72648065.14,0.0
2,营业收入,143526756.64,1511223113.12,986625094.26,691111664.43,320703218.66,1991684418.94,1241852955.61,876607670.07,439694317.45,3033531402.98,1954973233.00,1277534180.70,623603272.49,2877833342.57,1699980275.04,1087439635.63,514275338.02,3807592035.26,1941301442.74,676023623.40,384169723.10,1715241927.09,1007797724.26,622450583.75,318050505.11,1445348131.00,832604108.30,514006811.27,274115717.75,1105531033.07,624380247.62,379940795.46,200859440.19,753703565.80,429820218.80,249331750.23,115924715.63,434057101.30,254685042.77,154014301.79,67809552.45,293553869.66,179169767.07,114811214.69,51765036.98,212016616.88,131510027.26,119168546.30,72648065.14,0.0
3,二、营业总成本,150852160.68,1437220747.78,919818596.03,635490786.21,285886843.39,2229166078.89,1236980720.76,875006674.49,416864366.65,3245143041.60,1918029419.58,1230370698.25,569743689.45,2779829369.25,1623953775.58,1007669534.97,441833101.21,3533144166.95,1758791478.72,511988775.26,271729454.40,1393775017.21,814041674.11,491418288.63,231125959.82,1177886282.99,676729796.54,404512734.98,206138287.46,912579034.48,509389618.00,295719530.04,152010575.12,630225409.53,365218549.15,197875321.39,92369348.83,369045263.73,220513315.92,126407793.56,56090710.78,247259771.64,148151474.29,90712042.40,40588803.25,178668249.68,107112509.78,102376014.83,67544346.93,0.0
4,营业成本,77411913.52,948111715.33,597163964.46,434079240.19,189694400.08,1415104420.54,865301049.20,611588102.53,319771319.76,2353491337.78,1541683156.17,983259098.67,460278023.84,2035896138.40,1194838512.48,728746206.44,325091065.01,2901090185.24,1410120149.16,329228279.97,188400236.69,877509997.38,509727634.49,314649429.95,159406853.69,722380341.69,424546370.98,263356787.90,136613171.45,542369141.14,313271072.17,186913414.83,95096703.74,395477123.00,220333954.74,125046144.37,58331451.52,221154284.24,132642581.56,79971180.12,34851993.66,152969298.25,97763622.92,62545436.53,28528084.19,116258323.95,69333210.17,76911692.60,51679674.25,0.0
5,营业税金及附加,789102.87,8319907.58,5693176.48,4325271.09,2043193.17,10851184.44,4359748.31,3568539.64,1425418.69,13266470.97,6887047.65,5806869.95,1533947.95,19441696.42,7177386.58,5507027.98,3773167.93,15178788.06,7358991.20,4016846.24,2542767.05,12062129.85,4506192.84,2771935.07,993386.23,10274696.66,3151991.27,2875441.10,1776257.23,8279536.84,3521293.35,3014272.75,1137700.15,3547894.44,1156363.89,933668.49,293228.68,2313958.34,1080955.55,714572.51,84477.18,1777200.08,1005459.55,716281.21,259611.07,1054204.86,1530994.91,340176.34,259553.81,0.0
6,销售费用,44430802.01,325723224.52,210974999.51,129437378.31,54074076.30,344143065.04,203311309.43,130033080.09,55181482.07,404246603.40,238093091.61,166097176.09,62453423.40,384869670.91,244956303.11,162721436.48,62036446.24,344723192.40,225093835.36,113296658.00,55545242.49,287124851.49,176176448.24,104018683.29,46600964.99,253288879.14,154700431.33,87101089.37,43352332.48,204939199.00,127839829.04,71478755.83,34349983.01,118044388.38,84928029.78,42208953.77,21136954.67,92289433.18,60019114.54,29793117.61,14543486.61,56702508.11,30670635.39,14964971.40,6830867.95,36738148.32,24134171.37,19087890.00,11090342.25,0.0
7,管理费用,27664087.27,135058752.07,97404917.04,69971322.28,34819027.02,172544281.63,109394137.28,92102172.48,45454625.06,236831749.06,163094517.73,105341666.87,50400330.18,286820228.40,178255595.08,108147336.67,48610192.73,218332933.39,109942209.59,58049744.25,27217116.87,174522007.05,110905700.57,55391972.29,26951532.07,156621750.32,102135156.33,56180784.02,26454189.26,135659158.35,75338976.66,43701079.67,22187407.96,91414145.42,53512196.09,31693822.54,13722746.62,53763715.78,28689047.23,17535274.63,7569083.06,32155422.45,18312265.82,11960383.91,4745329.44,23804588.43,12115792.60,5460587.74,3340571.96,0.0
8,财务费用,-6590671.14,-26560115.24,-19015424.18,-16460585.87,-1113256.68,-30131960.20,-19594410.38,-9704410.32,-4968478.93,-12976730.13,-10534911.18,-7966396.27,-3990002.12,-5042199.00,578014.77,4398085.01,2329883.96,-3352626.08,-5721613.05,-4561222.36,-1975908.70,-10802776.13,-7559427.07,-5698857.01,-2826777.16,-9622359.70,-7195560.52,-4392774.56,-2057662.96,-4539758.46,-3048605.32,-1855045.13,-761219.74,-3767474.57,-3007828.04,-2059869.60,-1115032.66,-3726815.29,-1994778.77,-1682747.12,-958329.73,-432424.83,243293.78,368772.52,176907.64,89243.43,-1659.27,887939.32,811621.59,0.0
