,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3785746925.36,2561180847.39,1384796109.76,5637638394.82,4181882481.59,2861614315.15,1604038274.83,5879400451.48,4232400516.62,2816738594.40,1501619339.50,6111495996.20,4287240860.01,2948861464.80,1620074545.46,6538699118.98,4851964334.41,3133709431.95,1647649231.25,8276540557.12,5619675237.22,3904434054.98,1811565985.69,9601863391.76,6973090605.45,5061300503.22,1829747740.57,7909721865.67,4440703477.54,2253254497.47,1219002853.95,3860191466.55,2598213560.96,1723683607.41,925743974.19,2916533088.79,1977371420.38,1333108727.19,687366733.28,2000047441.47,1347321748.38,965502258.87,535471788.47,1569585059.83,1055928366.49,702180496.63,429932986.65,1431055229.09,990288365.71,672595262.94,411969489.79,1343627879.04,794281455.23,547163326.68,305372833.51,1587049072.57,797906613.37,555601559.02,306840638.77,1215911563.09,905414670.90,621294654.85,313210809.79,1077465385.22,779572139.49,469323859.23,238227686.33,1110488963.62,768767573.43,514306328.77,286210730.58,1085163320.22,531757512.04,1001185940.89,510192340.61,928447030.61,412555670.19,768603505.56,346115346.76,363424332.04,187392212.88,381758374.33,180027458.30,368572779.29,335994762.11,359828952.52,0.0
2,营业收入,3785746925.36,2561180847.39,1384796109.76,5633311194.60,4181882481.59,2861614315.15,1604038274.83,5879400451.48,4232400516.62,2816738594.40,1501619339.50,6111495996.20,4287240860.01,2948861464.80,1620074545.46,6538699118.98,4851964334.41,3133709431.95,1647649231.25,8276540557.12,5619675237.22,3904434054.98,1811565985.69,9601863391.76,6973090605.45,5061300503.22,1829747740.57,7909721865.67,4440703477.54,2253254497.47,1219002853.95,3860191466.55,2598213560.96,1723683607.41,925743974.19,2916533088.79,1977371420.38,1333108727.19,687366733.28,2000047441.47,1347321748.38,965502258.87,535471788.47,1569585059.83,1055928366.49,702180496.63,429932986.65,1431055229.09,990288365.71,672595262.94,411969489.79,1318317795.62,769392473.46,531701588.24,297819530.05,1567992697.17,779820939.97,543706295.92,300841588.04,1197899489.83,887959104.40,611253269.35,307378387.91,1051521650.43,758705199.64,456555412.70,237067903.04,1094697169.85,761762156.03,512192755.58,284764638.69,1068834192.63,524230435.50,982893671.44,503587722.86,914409178.96,409891925.63,756885737.52,344609504.14,354764104.94,186116654.59,374803523.58,177429514.05,366213425.83,335958499.11,359751473.45,0.0
3,二、营业总成本,3714184673.48,2487624080.69,1350852490.58,5557377330.94,4101455438.45,2801189536.52,1566630937.93,6348849305.82,4493376132.02,3015383692.41,1515242415.88,6553405000.08,4487268813.39,3054227628.98,1625103326.45,6774418784.95,4976553886.98,3258258380.47,1676513271.62,7975196687.15,5437241391.02,3773164909.60,1743635891.73,8741659036.12,6206446813.66,4452431762.86,1737364384.86,7062456818.99,4137048672.86,2196288946.54,1167007073.88,3732616548.72,2516948962.14,1661160884.76,881379778.23,2804590059.44,1913404340.35,1280535669.44,657058448.90,1961929713.62,1335220067.04,954983285.60,527972020.56,1513825253.18,1029122119.80,685640393.99,423880126.07,1410019929.40,967347121.04,657100412.19,402891924.46,1305902609.39,778927823.13,533739524.68,296280556.12,1579613578.40,791355956.07,548157214.36,302471499.08,1192617350.97,894134954.10,613192398.93,308938555.03,1047090461.80,769575028.43,460358724.67,235738574.63,1051475422.88,751105010.89,507424017.77,284878808.74,1064073005.10,528241448.15,978061212.53,488748109.10,864177524.83,396782651.83,725447987.76,333812520.38,347343958.04,0,356582239.87,166915531.29,343580327.07,305658263.54,338942107.86,0.0
4,营业成本,2817359617.02,1898789774.16,1033989702.27,4267119679.87,3164859961.36,2171674739.13,1229318463.30,4609614660.11,3278666608.30,2181485593.91,1159282352.50,4774180087.24,3337810216.17,2291536478.92,1251879112.84,5039708212.81,3710168419.95,2434305877.56,1297125216.85,6169151813.01,4235479232.49,2953740868.46,1374580852.12,6827846673.83,4881205909.85,3530505290.09,1419624786.60,5660449908.52,3361785769.85,1805154268.16,972524472.90,3053753811.36,2065418261.40,1365883516.02,730041684.43,2293701486.37,1551744540.15,1042327967.22,538643205.72,1587069808.32,1086211194.29,776262366.79,433348364.82,1226905837.72,841784738.88,558180699.91,353755505.29,1126408819.31,790271193.95,535193655.20,334080697.72,1096179440.04,624346135.70,428774547.13,234831683.46,1368314454.56,646235476.92,450146080.28,248104521.54,981479649.26,741470307.65,508732898.90,254808738.42,839340352.95,622904432.26,364828733.30,189474617.00,864387835.28,608844615.35,413654950.36,238413059.05,858206539.90,435870427.92,824482043.09,420757755.99,754853450.86,342920333.81,629389251.41,289559355.65,301846331.10,0,307318202.90,142480859.22,295330552.74,265616154.17,305449835.77,0.0
5,营业税金及附加,57422652.95,37115097.48,20507202.33,89803395.11,62033022.95,43477137.85,21433649.89,94913858.14,62196732.60,40979431.06,16776248.40,156511779.86,65527267.99,31656226.40,20429548.35,158133995.63,135422410.74,86443372.53,30282962.93,320655083.52,226805464.21,179836088.99,61403882.73,449730703.71,339644892.78,254417663.67,41448873.06,258910482.12,119130128.27,29020175.82,15383591.41,60313648.67,40205095.84,21973916.72,13308326.59,48634642.16,35383502.85,22221399.99,9787777.68,26801272.63,17671449.92,11345982.73,5109790.09,20763434.23,13143607.66,8067025.58,4198911.32,20000143.46,13055017.47,10592436.93,8030897.53,9480059.22,9597878.09,5017296.58,2871803.79,8327591.21,5831346.64,3765102.94,2330136.36,9711329.78,7680328.94,5479126.43,2910439.54,9735991.46,6563128.46,3588764.31,1647790.99,11307559.42,6308461.41,3874982.12,2021010.00,7650708.24,1935228.62,4248074.86,2859651.55,5931044.45,2004864.41,5394058.64,1930477.07,1805365.20,0,1997068.40,878644.10,1183974.83,944460.76,1322144.90,0.0
6,销售费用,234463661.40,153221028.59,78961507.20,341382598.88,244718031.08,160241097.97,84447100.81,397518507.14,271439894.52,179669041.42,93045259.28,442310418.06,295295693.46,200067284.03,106436277.97,485600871.15,344986240.23,215483342.80,104394475.52,565982383.30,341928727.35,220842647.10,94132218.71,644997661.28,437249270.27,307729269.09,100049427.36,511883928.61,254706815.98,104998788.97,55856887.82,220239626.76,129640449.31,83969413.59,43705269.53,139990079.89,94638446.16,63435866.85,37002392.76,104820162.72,65366443.90,45550651.95,29979146.60,75027851.85,55806173.60,41280333.07,25482789.21,61209808.98,46745280.81,34746005.95,24651556.53,49175256.06,37681475.12,25335013.47,12944391.96,48545919.34,37470051.85,24643443.49,11991335.47,54589674.53,40361399.22,25916271.48,13710866.00,48674732.78,34902133.70,23234922.94,11859306.89,53763438.28,39714891.68,25667280.75,14652310.62,55644721.08,24125537.26,43939522.82,18841199.97,39305869.34,19805395.82,42316126.72,17905447.00,16875012.85,0,24471741.77,11662942.47,27560584.98,23278413.82,22853141.03,0.0
7,管理费用,534060941.22,351518884.75,194038003.28,755008771.90,559487635.48,380054223.43,205778859.07,1096904399.82,772881936.98,542705847.26,212341015.40,977722302.86,683121743.53,457695241.79,208258246.92,932986594.49,669591815.10,438197348.23,202901453.99,794381591.28,551157075.43,362894949.05,180739631.32,720372459.64,473762684.33,308769086.76,149260252.80,566544341.61,361918423.96,235156530.57,112913139.73,372741136.73,263110565.12,175969455.47,87912013.47,295734972.61,217481587.42,145237981.01,69084217.71,221582037.43,152433537.79,111826353.63,54226449.47,158759672.21,98695601.31,65706784.60,35261967.91,124760552.45,93884231.65,60994621.13,29917954.08,122171722.63,81687048.76,58459650.69,35729542.43,135026854.21,77779024.32,55512518.10,32456294.19,120685579.63,79062547.50,55402223.14,29927793.15,128604314.15,82157939.36,54731658.53,26139726.69,104446461.96,84071692.85,56322073.60,24931590.51,117100815.63,48663124.59,87996840.38,39255352.89,70103825.84,32526777.56,51611271.30,23236118.49,21832853.92,0,20616013.97,8292252.48,16662992.30,15638780.18,8177933.10,0.0
8,财务费用,70877800.89,46979295.71,23356075.50,95413002.30,70788934.73,46174485.29,25652864.86,139286462.05,107999808.10,70352550.41,34578252.50,151713144.51,102446903.33,70154139.85,38100140.37,154310378.72,112547604.78,79991839.12,41809162.33,113268031.77,77639602.79,51638488.45,32779306.85,95831973.98,73555495.80,49981892.62,26981045.04,62242516.41,40347541.80,22799190.02,10328982.02,26289121.38,18573911.80,13363904.29,6412484.21,15496238.68,14153437.95,7309628.55,2539839.03,17192112.54,13537441.14,9997930.50,5308269.58,27592111.05,19691998.35,12405550.83,5180952.34,26767168.83,23391397.16,15573692.98,6210818.60,28896131.44,25615285.46,16153016.81,9903134.48,19398759.08,24040056.34,14090069.55,7589211.52,26151117.77,25560370.79,17661878.98,7580717.92,20735070.46,23047394.65,13974645.59,6617133.06,17570127.94,12165349.60,7904730.94,4860838.56,25470220.25,17647129.76,12232052.32,5719910.27,-6350657.02,-474719.77,-3262720.31,1181122.17,4984394.97,0,2179212.83,3600833.02,2842222.22,180454.61,1139053.06,0.0
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,4331506.14,-432147.15,-432147.15,0,10611418.56,191151.52,191228.35,-780712.20,50967267.55,3066988.91,3118257.99,0,3678732.15,3837396.18,3836600.23,0,11757784.27,4231288.75,4211867.55,0,2879563.68,1028560.63,1028560.63,0,2425641.72,-840007.00,-840007.00,0,-720796.18,678.67,678.67,0,11032639.73,2825.82,2825.82,1016.00,4464319.98,0,0,0,4776346.12,0,0,0,50873436.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5162679.06,1314238.43,333991.36,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-3332531.61,-1289230.95,3381291.41,-2025985.83,-2734385.13,-2761551.67,-2029225.63,-195294.38,807085.44,2521837.22,2521837.22,-1565565.84,-4400238.31,-4932574.53,-3185523.66,-3324914.83,1795191.23,3717187.18,304314.51,43965.00,3566462.48,1586481.67,1091603.61,43270.88,-367590.42,-427875.95,1802849.46,-957816.63,-2433927.02,-1077590.10,-273134.26,-3230106.51,-2638897.02,440651.90,728380.62,-5570846.09,811166.32,-2638060.23,-680221.07,8364241.45,6161273.27,6467380.49,2050705.30,-5417851.84,-9086881.89,-5486882.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,4068833.65,-519834.81,5071510.05,18317782.93,11385254.40,6928806.33,4490732.88,39446393.66,16276802.77,11468732.81,5870949.34,22065294.36,17941710.73,11832216.82,8063054.21,228551509.99,220697171.32,211769950.13,61764572.07,67661960.03,30061382.52,18977451.32,25694.20,61214411.21,61201169.49,42336137.39,0,40249034.03,9160532.81,9016271.96,0,34774093.93,12550167.12,12377366.12,0,20397170.50,1099091.94,611265.39,471666.98,17132784.79,-324113.90,-373739.85,1057232.86,9921073.40,1579520.26,2059834.72,940969.46,36454081.16,39631863.16,124774.69,-109822.12,-21858007.38,699711.66,742617.09,0,-1944377.56,933807.36,934174.70,0,9076056.68,5140482.76,5251682.76,111587.25,19161590.17,9836001.32,2390971.59,4057330.01,5339371.11,5462386.18,5442200.83,4891935.00,13681216.74,6323653.48,6022005.91,2264574.40,1341451.01,7126.36,13757447.32,502896.79,3019699.90,2882172.60,135398.90,124404.90,44757.10,11015.00,0,0.0
13,其中:对联营企业和合营企业的投资收益,1325241.94,-1011194.65,4722270.62,15129801.46,9080560.35,6282339.26,3998238.31,32443880.88,12375378.31,8134774.78,3570997.93,10357156.46,10097064.75,7292796.55,4253644.35,18238297.40,16022508.56,11619057.86,6784025.46,27902830.58,22857315.72,0,0,0,0,0,0,781850.48,0,0,0,773208.11,0,0,0,799020.70,0,0,0,831075.40,0,0,0,0,0,0,0,0,45792548.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,150619546.91,37426422.13,45038977.12,100380404.94,91142091.43,66656212.31,41932851.00,-426716028.47,-243761903.63,-184567978.94,-5230289.82,-421409275.36,-186486480.96,-98466521.89,-151250.44,-10493070.81,97902809.98,90938188.79,33204846.21,369049795.00,216061691.20,151833078.37,69047391.77,921462037.73,827477370.86,650777001.80,94186205.17,886556264.08,310381410.47,64904232.79,51722645.81,159118905.25,91175868.92,75340740.67,45092576.58,126769353.76,65877338.29,50546262.91,30099730.29,63614754.09,17938840.71,16612613.91,10607706.07,60263028.21,19298885.06,13113054.75,6993830.04,57489380.85,62573107.83,15619625.44,8967743.21,16152262.27,16156571.76,14250647.09,9092277.39,13279364.29,11994196.13,12652435.35,7984686.47,42631098.09,18203958.98,14684505.71,4850023.01,56071184.65,26312783.44,17637777.21,6828112.77,79587478.85,30534405.69,19824511.83,6223856.84,49929237.46,17339717.37,34309413.33,23708805.91,65617565.87,15783942.67,56912965.12,12805723.17,34681755.27,13588444.92,29311533.36,13255936.60,25169363.24,30347513.57,20886844.66,0.0
16,加:营业外收入,4230238.44,3208629.39,1207308.52,8940855.90,4326196.61,3954621.85,3198927.41,7982647.08,9512923.07,7575871.21,2492149.53,15057570.51,10700820.20,5790292.32,3998819.14,205184559.20,13861884.10,8247923.79,7278722.83,23417603.90,14647782.67,8863109.39,6102755.19,75260797.08,9978232.41,6139718.49,2124024.14,26914610.00,13896998.93,11261280.11,9528967.87,12459342.30,1577887.90,762534.70,487570.52,3407850.01,1835612.67,1460342.51,551663.75,11414856.27,11888175.91,8210660.72,1504065.03,2561799.35,9619275.08,5207728.43,3850278.93,11918000.35,731581.20,556006.40,427700.89,1867995.55,1930540.27,1489793.07,130427.78,5525027.81,1822733.32,1604430.54,475362.67,1342787.04,565496.90,399960.65,199540.45,3794236.77,1878066.15,120990.95,32721.36,1116300.10,564542.81,515997.65,195441.99,476206.16,1928678.84,1010956.16,519061.15,1853138.98,234804.24,2864359.38,106395.77,786002.46,0,75101.57,0,170036.24,1430555.98,117387.81,0.0
