,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,18659127.90,99997967.21,75180009.89,43457854.00,19324493.84,125504440.29,10053799.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,936267.73,79761445.14,56819551.77,51597733.71,-445060.44,65575512.20,29317797.83,26957049.12,-89647.65,48551810.39,11019699.98,6649353.46,85801.17,31301733.23,8445470.39,3336644.17,0,16020971.09,6427163.01,2690680.83,-3177958.92,11326349.44,7270320.96,2314149.34,-3118573.26,7773704.88,1176562.18,1176562.18,-1424905.41,6385375.54,-1478775.53,1288432.13,1743020.67,11604270.25,3376746.29,2759387.69,1105608.63,-348833.67,2011126.59,527836.24,2092025.91,6621635.07,2127303.25,1747683.12,-2139051.24,0.0
11,公允价值变动收益,0,350437.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,344125.38,18126109.49,28551037.77,20775984.62,10640900.36,100245371.45,95242273.63,28971556.49,10478204.37,46344509.02,27243457.18,27737580.16,775003.99,30518868.78,20610189.93,14837689.36,10351456.13,54802146.34,32745457.40,18458085.66,1034260.27,17154949.39,12541798.70,8266763.30,1817612.22,5457633.14,4203934.51,3280088.85,1638355.54,929555.19,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,3020.54,3020.54,10356.16,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,175200.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,85977877.06,601895018.48,401529944.16,237464636.04,174048789.07,594190583.09,439778157.27,261376883.84,184938804.90,526408625.70,410304796.99,219837332.96,147139567.35,391023301.87,321192465.08,194363871.21,136627686.30,481819451.63,359794635.84,205694012.12,138236438.47,432099652.84,304611631.86,177919730.33,111892681.07,373138406.72,256416810.90,151466454.55,105173345.72,419597075.34,273748075.93,146761416.67,128777615.95,417242603.87,304853832.14,164761693.93,108839621.42,272405046.70,204951301.63,104029438.73,69245465.17,189486661.01,128311629.90,62304205.78,40218115.27,137581741.81,106422192.22,111497005.22,52446498.66,0.0
16,加:营业外收入,5993654.49,83034510.93,60372799.35,31149125.72,6602050.54,53241875.10,39929318.54,23790936.76,17736596.47,28741647.74,16434561.65,2835337.11,1357217.05,31515785.46,15293382.17,10253156.76,1711428.02,31200038.58,21022194.91,12411077.71,1262648.01,27679898.23,15925152.66,5979681.01,5396342.35,23036917.63,20315275.60,12402328.41,1236909.16,25725825.12,22572257.73,12541591.51,736991.53,28791959.94,23673545.81,23195170.88,9335826.35,11502189.32,11081732.95,10506330.81,306738.97,8216882.41,5622129.38,5011250.08,4726096.46,2143208.62,1094137.28,1305351.04,1464492.06,0.0
17,减：营业外支出,2528629.04,6726695.56,3992647.15,2146531.66,1202235.26,6840480.77,3022696.12,1350430.70,355095.52,11267737.03,4310011.52,3057133.68,1396838.08,3016145.22,2984350.44,1908565.68,1375277.48,1318449.70,1176236.16,817793.88,35695.55,7973745.25,3519236.48,1197350.04,837081.26,4159297.35,1612090.29,1509843.43,1135977.08,1285680.17,953092.61,538791.31,181978.50,1476315.36,433577.68,239452.44,50942.70,715739.19,1753115.35,1131050.35,12505.05,774457.16,91949.52,22292.07,16277.21,2531709.37,2594789.69,1639750.96,339356.86,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,880670.30,567133.53,165784.81,450121.14,165784.81,282765.87,34584.79,391153.17,0,0,0,1056232.54,0,0,0,246659.68,0,0,0,0,0,355433.64,0,376627.38,0,0,0,102312.77,0,0,0,196954.43,0,14468.98,0,169368.56,0,1516529.05,205485.15,0.0
19,四、利润总额,89442902.51,678202833.85,457910096.36,266467230.10,179448604.35,640591977.42,476684779.69,283817389.90,202320305.85,543882536.41,422429347.12,219615536.39,147099946.32,419522942.11,333501496.81,202708462.29,136963836.84,511701040.51,379640594.59,217287295.95,139463390.93,451805805.82,317017548.04,182702061.30,116451942.16,392016027.00,275119996.21,162358939.53,105274277.80,444037220.29,295367241.05,158764216.87,129332628.98,444558248.45,328093800.27,187717412.37,118124505.07,283191496.83,214279919.23,113404719.19,69539699.09,196929086.26,133841809.76,67293163.79,44927934.52,137193241.06,104921539.81,111162605.30,53571633.86,0.0
