,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,6552462.68,4687060.85,2769903.81,1121491.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,1315336.53,2836322.28,-828045.07,46985.15,2536711.49,-392839.19,-495214.02,13886.08,138196.81,51951.25,8332.95,0,139979.13,1236.74,1236.74,0,-65418.10,-101431.96,9472.07,0,75465.25,-5430.06,-5430.06,0,-107343.22,-141294.14,-4078.96,0,884940.17,-31165.99,-31165.99,0,1046733.84,142670.96,142670.96,0,11933448.80,-401.66,-401.66,2052.80,1939669.88,-3376.31,-3376.31,0,388522.83,-1664.54,-3380.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15007.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,394046.00,469113.00,300305.00,-289812.00,-57747.00,-247947.00,-64108.00,316014.00,451441.00,321645.00,51296.00,-31897.00,-87971.00,-106781.00,-118437.00,-82017.00,-200797.00,113079.00,5749.00,441726.00,-2045.00,-30486.00,-41056.00,-105660.00,-108614.00,-111517.00,-35703.00,58536.00,-21792.00,29096.00,30753.00,-152692.00,-180832.00,-22540.00,-1980.00,-202550.00,-244150.00,-273080.00,-100730.00,475310.00,356660.00,438050.00,151010.00,-1338670.00,-1168880.00,-953070.00,-763670.00,911930.00,1052675.01,168620.00,77520.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,22081409.88,21389306.29,-10483.36,66841235.14,39531708.45,30297408.52,-41865.32,40083810.62,24410423.96,10121732.89,3254982.46,9596727.44,7943915.93,5871928.64,69152.96,10427571.17,6586660.20,6513559.41,63771.92,8424232.43,6639180.38,5777174.44,320548.35,6228879.37,4829810.82,3529503.91,438082.19,2986726.17,2498383.37,1925113.91,0,933512.40,931889.50,907835.50,0,1885209.64,1746732.37,1714621.26,0,1753838.64,1604210.95,1600799.95,0,25569735.66,1975111.34,1952882.73,32499.19,3373605.47,2172380.39,446907.69,228134.43,707212.66,3314863.85,1211947.05,114678.50,760193.39,214631.88,251685.22,-637728.65,-224413.41,66203.44,185711.69,1134364.51,-4306237.09,-891600.98,-612472.71,87051.99,-1206591.95,-407865.82,-82262.82,0,-9725051.70,-91689.27,4698905.65,4752446.95,3249288.27,178574.42,-1587798.48,3264395.63,7277960.55,2262199.84,1813202.92,790360.64,634734.78,848199.00,962742.36,336890.00,0,0.0
13,其中:对联营企业和合营企业的投资收益,64163.22,29449.50,-20929.64,283458.62,250802.27,-74148.52,-83727.57,-52951.07,-47697.78,102529.43,14640.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1991.07,0,0,0,-34179.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,350523193.15,260179779.22,163183240.83,290860874.56,228159006.38,138990644.93,53815117.40,247179453.24,194760841.69,108111622.46,47165847.20,35424322.96,34124352.65,23446100.82,8334138.35,47009957.19,35935163.92,28148460.56,9542726.06,47734279.57,30384629.55,15998347.36,5479907.34,45079555.93,32697506.97,22326427.95,10746837.18,40818342.28,32305263.60,22016172.42,11175796.12,30424648.45,19510114.32,13263316.18,6142519.30,11528101.42,1867066.49,1205803.63,-1158392.61,-64101280.21,-36872922.43,-23429577.19,-14710392.61,5883483.19,-14458411.98,2764069.54,-7635385.11,34453710.05,8557835.31,21102271.20,-8976857.23,32617367.18,10449335.74,19282251.87,-7277473.58,37180646.78,2530431.48,12946633.53,-7826364.26,35200324.36,4863636.86,10702597.19,-10562408.27,-36637816.00,-47518686.39,-25432463.91,-20162180.90,8790626.75,3954848.87,6966048.25,1121231.91,-78533113.14,12887438.30,25542620.92,18828269.78,28561281.32,15618647.62,52788442.18,32009038.52,80865515.72,37575622.19,36324135.39,21324743.59,70613196.38,37892687.00,68157301.12,39380576.00,50533712.91,0.0
16,加:营业外收入,1156569.21,746220.85,332665.39,2938294.01,434901.23,207039.68,123276.42,595672.97,3530914.96,3215994.89,643667.10,5556995.83,4257364.99,2788182.58,564571.87,666152.47,596098.34,206020.42,166245.80,837788.74,689918.92,396418.06,15111.50,1031869.89,565258.60,464054.69,340964.24,827955.44,748361.96,600577.76,24341.33,901621.34,141408.45,86136.32,7963.13,5153644.80,2537140.24,1752598.35,5755.55,967743.90,931474.95,82193.38,5487.21,949350.79,579545.45,431968.26,5023.15,1556421.48,881792.15,254990.13,92316.92,1885851.40,554886.62,150981.89,50558.36,980468.61,191820.50,117241.72,166024.16,249214.03,98267.78,50858.63,6930.52,673837.79,567737.21,308921.55,54399.98,319843.60,132772.06,47284.81,12532.98,297104.83,69630.99,220807.62,37700.50,304519.16,31210.17,792572.94,108731.91,3421239.44,0,28183257.18,0,727536.92,0,745941.20,0,1892260.09,0.0
17,减：营业外支出,1270005.37,956670.89,580275.76,2035480.65,834307.95,623222.33,302517.63,1396280.06,2590434.87,1152312.70,415070.19,879741.35,376704.61,160170.03,12516.76,384846.46,337244.26,29890.38,7109.38,487910.51,285417.02,10795.17,5596.89,295189.93,52345.99,40086.31,22058.06,284070.18,240110.15,81013.94,46588.40,3788730.31,337312.17,244868.78,153389.44,6695409.64,271727.32,89204.40,50587.88,7285389.51,343869.41,263844.64,194948.21,1255105.20,1661557.81,832069.85,465175.92,291467.57,815852.02,774770.33,132615.00,6931575.39,6335269.40,5166271.70,73954.36,869575.56,857211.87,428887.13,234005.00,1175260.29,763716.09,407417.73,82056.85,54989715.91,2675037.19,579763.09,302748.98,1422325.96,681077.57,562323.12,64082.21,14310325.56,333031.36,759601.74,326686.91,597727.36,264193.18,1477826.79,884922.93,2305366.20,0,1576633.40,0,4679202.36,0,3584577.84,0,2049795.58,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,1286232.54,426718.97,66073.34,251509.44,170737.26,152905.85,12156.72,124146.46,81844.26,29890.38,7109.38,225657.21,29163.72,8747.19,4548.91,140029.93,0,38536.31,21508.06,97920.18,0,50713.94,0,3297375.23,0,0,0,296052.85,0,0,0,7013539.58,0,0,0,678984.91,0,0,0,65266.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
