,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,6993881697.60,5177476235.18,3533717572.19,1753428846.52,6358622318.61,4688805155.48,3112247334.47,1615166992.07,5689242496.07,4293569475.25,2987439168.62,1464308530.15,6178821796.04,4741439058.51,3246472308.93,1643856604.14,7080552238.18,5025011031.27,3361680928.38,1620811725.01,7086879278.76,5085716710.01,3334959752.93,1551834892.58,6010136728.32,4474694005.27,3078453491.32,1449035696.10,5129925987.36,3855275655.64,2580212472.25,1233571947.91,4391889147.87,3198340636.58,2087753912.12,1025364214.70,3473471266.20,2535523230.29,1619604901.50,741031442.89,2880863260.31,2060072000.00,1350356000.00,678088000.00,2365338000.00,1779966000.00,1212361000.00,632451000.00,2258436000.00,1683099000.00,1194910000.00,593331000.00,2159315000.00,1645796000.00,1146847000.00,506047347.00,2526841000.00,1648104000.00,1085840000.00,536847206.00,2122595000.00,1586510339.00,1054389671.00,513644524.00,2071192000.00,1495262490.00,1077886776.00,492425950.00,1847720000.00,1188673433.00,840459928.00,396421563.00,1529555000.00,792738846.00,826790000.00,415489000.00,287801000.00,0.0
2,营业收入,6993881697.60,5177476235.18,3533717572.19,1753428846.52,6358622318.61,4688805155.48,3112247334.47,1615166992.07,5689242496.07,4293569475.25,2987439168.62,1464308530.15,6178821796.04,4741439058.51,3246472308.93,1643856604.14,7080552238.18,5025011031.27,3361680928.38,1620811725.01,7086879278.76,5085716710.01,3334959752.93,1551834892.58,6010136728.32,4474694005.27,3078453491.32,1449035696.10,5129925987.36,3855275655.64,2580212472.25,1233571947.91,4391889147.87,3198340636.58,2087753912.12,1025364214.70,3473471266.20,2535523230.29,1619604901.50,741031442.89,2880863260.31,2060072000.00,1350356000.00,678088000.00,2365338000.00,1764718000.00,1212361000.00,632451000.00,2258436000.00,1683099000.00,1185753000.00,593331000.00,2149968000.00,1638820000.00,1141891000.00,504134930.00,2517141000.00,1641393000.00,1081533000.00,535840572.00,2115756000.00,1583057151.00,1051723488.00,512367152.00,2064247000.00,1490177278.00,1073949088.00,490878825.00,1839259000.00,1182494245.00,835879609.00,393907872.00,1521939000.00,788564914.00,822646000.00,412366000.00,286069000.00,0.0
3,二、营业总成本,6433490190.97,4784006315.63,3252191066.46,1599476990.72,5901878297.55,4347482362.88,2871146225.70,1478383050.83,5373389227.19,4042241565.07,2805031004.19,1367575390.48,5938860614.03,4513957969.08,3069447519.06,1560515984.60,6714906915.64,4760067006.78,3133851907.64,1518876295.16,6757203636.88,4821594989.21,3119559505.67,1443619215.30,5710663370.63,4236150317.85,2882524062.68,1330099292.34,4906928369.07,3626954327.09,2390625117.77,1125775509.46,4164445906.18,2992641638.76,1916846724.52,921501404.84,3273863103.75,2350341328.54,1459302173.90,661270766.02,2759833409.76,1945750000.00,1249846000.00,615032000.00,2341075000.00,1089546000.00,1155409000.00,393897000.00,2520820000.00,1722637000.00,774550000.00,597829000.00,2568378000.00,1656100000.00,1143300000.00,523430763.00,2528685000.00,1639696000.00,1074939000.00,540332957.00,2092598000.00,1552124372.00,1016873260.00,494685361.00,2014394000.00,1437109680.00,1023370201.00,467775476.00,1801241000.00,1133988959.00,811714412.00,380949430.00,1474498000.00,746219235.00,784127000.00,358884000.00,233938000.00,0.0
4,营业成本,4046928479.31,2946165677.05,2000925100.43,979592361.28,3722833751.98,2691511998.42,1744853771.04,894575988.62,3480047412.73,2680007656.69,1888254400.50,900010076.96,4177748342.16,3250806833.46,2239176424.42,1111179020.50,4990034010.04,3432799878.96,2215297862.83,1051994945.67,4936187171.51,3508656224.07,2236356694.46,1025039676.24,4094026652.17,3027745107.96,2042143858.15,906401131.07,3339109021.62,2423340635.32,1557427139.96,720036256.30,2825671814.54,2022527254.95,1268988252.40,584922626.17,2136562111.94,1527600197.59,918572973.72,382853493.57,1778130570.63,1243981000.00,769072000.00,373448000.00,1474368000.00,1078807000.00,732367000.00,393897000.00,1467144000.00,1102130000.00,773088000.00,397991000.00,1387573000.00,969072000.00,636284000.00,292384480.00,1426306000.00,894680000.00,567502000.00,308425369.00,1144755000.00,893964740.00,570508194.00,292130289.00,1188224000.00,862954918.00,624480458.00,305961079.00,1148912000.00,696062230.00,506297175.00,244134558.00,940509000.00,505337100.00,464581000.00,197511000.00,138578000.00,0.0
5,营业税金及附加,65459801.15,48850213.49,37208040.16,18476912.30,71208540.79,52062386.42,36914799.21,19416687.78,65360101.73,46368800.99,33808690.23,16152280.32,57411953.39,35484787.28,25301325.28,13498555.45,46821623.68,36689034.09,25645369.77,12960497.96,49071894.92,38006784.54,26503104.58,13198152.35,43312156.13,34362036.99,24416700.41,13435652.84,40578276.13,32581217.55,23452719.81,12047761.01,35639872.40,27007471.76,18061037.24,9734664.09,25049810.74,19551891.30,13442356.48,7104553.87,21156550.86,15510000.00,11016000.00,6178000.00,17534000.00,13400000.00,9281000.00,5373000.00,17137000.00,11700000.00,7917000.00,3558000.00,13877000.00,11643000.00,8796000.00,3165223.00,18892000.00,12571000.00,8420000.00,3601848.00,16145000.00,11254998.00,8061738.00,3260290.00,14092000.00,9991486.00,7119705.00,3108426.00,12912000.00,9214792.00,6644354.00,2909041.00,11345000.00,5967725.00,7193000.00,4134000.00,2930000.00,0.0
6,销售费用,1829059537.67,1458742353.98,994307979.32,504583700.78,1699293283.12,1370737885.06,932110217.28,496626529.93,1426958622.13,1075151187.28,722224894.18,377849630.46,1266434928.44,944729486.65,625279021.74,347211278.59,1262993319.02,1014817805.77,696693831.86,354681285.80,1363483970.35,1000558333.22,676794485.98,316307951.17,1203394464.53,888656002.05,627757065.18,311648887.66,1106139629.40,865063992.34,604057413.52,290479922.92,900663940.05,669120073.16,448440804.07,239575759.84,749218554.19,559120590.13,360300274.65,187141917.28,623428599.13,448290000.00,308687000.00,158053000.00,519393000.00,383191000.00,259127000.00,124678000.00,521964000.00,366810000.00,258294000.00,122608000.00,634602000.00,392864000.00,296475000.00,125506057.00,655353000.00,427471000.00,291024000.00,133125680.00,582130000.00,392457124.00,272281278.00,125936754.00,495683000.00,354957676.00,247519683.00,96118814.00,355268000.00,236982421.00,166190263.00,69432433.00,309158000.00,133670251.00,186041000.00,95514000.00,57882000.00,0.0
7,管理费用,364857157.78,253905260.71,167881076.12,78347454.96,299633380.36,193781844.15,126782781.65,82609720.21,367723395.61,235856553.21,159744903.40,71865220.85,364006801.03,256429861.63,162028208.25,80962893.11,349123683.94,244211879.24,170112158.71,84603012.72,351217010.89,239872017.18,155158671.05,77618288.20,329761620.13,246508189.53,160561854.58,85012886.49,352944260.47,260952980.90,175751307.12,87520924.68,334901934.01,235243874.86,158192488.37,73361926.30,320043952.22,212262737.48,144244566.45,73296181.59,291449455.81,201412000.00,136042000.00,63997000.00,259920000.00,174034000.00,121205000.00,60721000.00,328650000.00,180236000.00,119760000.00,58653000.00,480846000.00,245558000.00,172953000.00,85490200.00,374321000.00,250436000.00,171129000.00,77371518.00,305887000.00,221965907.00,150168739.00,71080294.00,299588000.00,201646718.00,134710303.00,59674319.00,271429000.00,181088602.00,123732146.00,60259114.00,209955000.00,99659071.00,131841000.00,75724000.00,54555000.00,0.0
8,财务费用,-6175491.78,-3981719.74,-2481403.20,-1693024.71,5473560.68,2482245.67,1414556.49,58408.44,5614261.55,3332010.60,3472027.26,2977416.98,20147052.88,18953267.36,13236506.67,7496413.21,33087205.44,26069143.58,21929203.00,11495729.23,50961484.44,34707164.79,24769634.07,11495012.09,52932338.42,39149741.41,27800934.05,13740259.53,54429545.14,45367155.15,30288191.53,15690644.55,51657325.46,37339034.43,23164142.44,13906428.44,41224362.17,32189916.96,22342837.06,10875911.07,49366444.03,37081000.00,25649000.00,13659000.00,74237000.00,55281000.00,36821000.00,18485000.00,77619000.00,61603000.00,41234000.00,15019000.00,51480000.00,36963000.00,28792000.00,16884803.00,53813000.00,54538000.00,36864000.00,17808542.00,43681000.00,32481603.00,15853311.00,2277734.00,16807000.00,7558882.00,9540052.00,2912838.00,12720000.00,10640914.00,8850474.00,4214284.00,3531000.00,1585088.00,-5529000.00,-15999000.00,-22307000.00,0.0
