,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,2864597.96,7140588.76,1297089.79,3212785.37,730543.56,-537944.98,-6898592.58,-3096750.09,-2282955.71,3753215.56,1087233.45,1448779.39,95394.15,2679383.87,494097.82,-1026914.26,-1119437.42,5036947.75,337410.08,267447.66,-46814.40,-2424248.64,-314605.63,-283778.65,-25599.25,967951.07,396852.00,396852.00,0,1201946.20,-1050355.06,-1050355.06,0,10024740.08,11109731.28,0,0,-1144949.82,-1583702.85,0,0,-437680.61,0,0,0,-1020389.13,1473934.08,1599584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-119107493.56,-75815118.37,-52937355.45,42935532.04,-6171083.62,0,0,0,24149469.08,0,0,0,15993777.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,94191426.20,64151620.89,34979218.44,4191439.29,194841657.59,45527969.20,23388038.22,18283978.39,108933733.73,49825384.13,40529769.42,13285349.80,79928226.75,45969232.68,6249003.61,-387615.82,9696106.35,191671.88,32043.35,-30962.37,30962.37,0,0,0,-206823.79,-206823.79,-167380.49,0,53821.92,-35770.59,-1957.31,0,100281.17,-48397.35,-48397.35,0,2916126.92,3393413.26,0,0,5694.19,0,0,0,-732325.76,0,0,0,-531424.45,-531424.45,-531424.45,0,12003709.58,0,0,0,-3513574.70,0,0,0,-80000.00,0,0,0,-939000.00,31000.00,31000.00,31000.00,189000.00,0,0,0,189000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-17761765.01,-14804772.50,-2334918.70,-6220594.20,-29562838.69,-23160496.39,-17241277.63,-2438480.01,3776970.38,-6879733.95,-6103517.34,-1664260.07,1401046.21,-9044093.16,-2605683.61,-200491.86,6284185.40,191671.88,32043.35,-30962.37,30962.37,0,0,0,-206823.79,-206823.79,0,0,53821.92,0,0,0,100281.17,0,-48397.35,0,6733.21,0,0,0,5694.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,999693356.16,253855840.12,241422211.09,245553168.43,375422976.87,180878755.00,106602987.10,56518541.50,384827563.72,160301467.06,148832219.06,62278521.77,715852727.04,317346128.69,192555085.35,37003250.11,194229870.71,39369506.92,36604217.58,7525066.54,104666365.13,54517694.77,27878825.23,7727870.59,34986967.68,13785743.52,8089913.78,2408628.82,15159275.35,2906254.47,2139160.30,1113498.90,9315080.60,21066070.87,1838436.67,283745.05,2661507.14,-10997036.76,2140994.78,1030986.27,14443810.21,538797.81,507136.92,250940.37,88110993.88,46897210.36,47340317.75,36942469.50,184663000.14,148821180.18,98545245.91,47012521.03,120948798.68,-4517260.55,-782441.65,1297725.14,4433348.05,4014105.27,4521890.58,11519571.44,168392219.40,195630606.85,20928393.63,-21225902.17,-376292374.43,-53864926.51,-33424267.55,-10945484.02,-275098831.89,-28352752.85,-19586986.41,-6093544.66,-298309865.42,29967478.12,50605824.76,19382843.69,53793205.62,16853414.37,50805225.49,20306235.34,40148589.10,19742892.50,45157137.00,30897835.00,8993651.00,0.0
16,加:营业外收入,23726.97,231963.97,209213.39,208206.00,1171363.39,1151533.16,27933.99,15702.01,144640.15,1088335.52,1082745.63,920814.97,19471854.81,5481437.44,2524020.53,1511551.73,137207674.61,170820.83,64463.33,24900.00,780962.35,14500.19,14500.00,0,947569.17,8389.28,6024.28,18.28,2088814.44,12300.00,1000.00,0,12421245.29,39976.32,30776.32,28176.32,14563876.44,3.45,3.39,1.08,500012.73,500000.02,500000.01,500000.01,110269342.44,5146146.78,1435000.16,1410.00,7265418.20,4375234.59,4292228.69,4350736.05,255844.36,212787.39,212787.39,4019.61,0,0,0,0,5436.00,5436.00,0,0,38000.00,8000.00,8000.00,0,300.00,300.00,0,13943.69,0,0,9421602.40,3064256.40,7512349.16,4582586.96,137529.67,327309.05,4370363.58,3811133.07,0,0,0,0.0
17,减：营业外支出,1590567.30,1516645.50,12.07,12.07,6077423.44,66808.00,45477.27,3669.20,1513421.00,1534747.24,503114.61,0,4292350.63,1656264.29,928653.34,928111.78,1306475.40,571532.12,308564.11,95158.47,1039949.06,530578.58,225859.50,130433.62,1251471.61,1003957.32,316124.52,91756.66,779798.25,389144.78,169144.78,34011.54,903583.26,356527.44,148499.46,48326.00,10114490.46,205419514.45,205340815.73,205327796.73,193390.22,67058.00,61778.00,0,4855597.52,1737455.00,1671115.00,624400.00,1126323.91,374793.33,356803.33,352531.33,13229461.62,15604461.62,15600141.62,8.04,-776190.26,43498.49,38498.49,13398.49,63358455.30,26814013.90,231988.03,1883.55,81765466.54,-1443775.00,-617375.00,152625.00,57401053.52,196650.38,128321.98,49194.52,935365.31,426412.95,6313249.83,386657.11,725644.82,288927.69,227850.04,90085.34,101518.24,923.49,344952.00,0,0,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,23358.29,3110.52,0,93405.02,93405.02,9798.31,9256.75,56315.93,51842.19,31625.46,0,48940.89,48940.89,46230.44,45808.44,21222.57,21547.57,18222.57,0,525.27,0,0,0,59238.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
