,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,258301702.99,154350097.49,77534427.47,13261225.13,35052923.19,37001350.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-2518724.53,612439510.02,351158037.47,12008328.67,-4480578.60,353041174.54,34564952.76,-33227536.59,-4610153.27,361760725.60,-1870724.12,1637701.38,0,190378331.15,6063074.71,6102737.71,0,71833119.95,-500253.98,-737309.33,0,162956413.72,-15338.27,-15338.27,0,254827677.23,-904129.83,-604455.62,0,124529908.22,-22783501.61,-19879357.99,-3166132.96,120115206.66,2579941.00,14425159.00,2014512.00,26042377.00,-88729661.00,-77178913.00,-76680672.00,316525099.00,1381983.00,207143.00,7143.00,510516.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29694403.00,0,10003238.00,0,4328000.00,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,-690060.00,-8511570.00,2529150.00,1099690.00,919880.00,1570545.00,1496735.00,1037010.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201104.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,518656071.95,421033482.83,268321075.93,106169576.31,329835923.27,199043081.22,78880585.47,52451799.40,28599576.54,186933791.08,32041387.71,9578859.78,12407501.16,-4808631.76,-23151001.37,2142989.99,64598285.25,22514011.11,24255663.74,13902947.25,107356248.09,97408031.10,77293732.55,48979305.48,193182168.41,148690146.10,108391936.57,60369604.98,131015886.83,63203867.69,36740528.67,19225773.91,33971286.53,28813611.04,24714641.97,14789174.31,141012655.56,37117376.00,26874205.00,17455024.00,6164308.00,20365722.00,8609387.00,0,16089015.00,55827491.00,29497536.00,13450586.00,126326766.00,10257252.00,6986221.00,-186413.00,-22614670.00,3496787.00,5709789.00,952381.00,12008713.00,8536085.00,-156058.00,-704900.00,-2076664.00,7618751.00,6055570.00,-597768.00,16506320.00,7678427.00,129850.00,0,2057319.00,195053.00,-80409.00,0,-4878334.00,0,2102.00,-7898.00,608337.00,869000.00,3881000.00,3536000.00,140000.00,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,515274662.46,413523274.60,260810867.70,99050567.19,324691537.29,205683354.86,75388368.02,57818745.87,89218261.57,78081057.01,53710298.96,8586009.10,11307561.65,-3655144.47,-21997514.08,2142989.99,29589840.82,21718013.99,23459666.62,13902947.25,105450290.24,76033031.10,55918732.55,27604305.48,157747607.03,128740146.10,108391936.57,60369604.98,105104462.65,49223867.69,36440528.67,0,36263196.67,29223745.01,25147595.21,0,3139526.16,37088584.00,26845413.00,0,8855358.00,0,0,0,33131506.00,0,0,0,126485217.00,0,0,-186413.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1987151180.86,1409134289.76,862419985.06,380971078.28,2044027140.67,1306398297.12,786125601.86,500362802.25,1493460250.06,1027082487.85,550019151.03,261555719.11,662832085.34,492910643.69,249055047.01,132026990.44,329556351.23,515748537.59,310909248.20,213368965.03,787139909.72,550180332.28,351135914.09,251801902.50,1071350302.25,830936700.98,522271146.45,245991037.40,933398576.18,670362021.66,498144704.37,233334156.62,1688186426.93,1411960454.61,955220082.52,459956351.23,1531973973.59,934190251.00,615596118.00,271727719.00,516746029.00,175259228.00,59537592.00,38658602.00,793781351.00,1152470392.00,699763312.00,237287252.00,820714628.00,402361327.00,226873041.00,109934564.00,345119711.00,150758973.00,102169932.00,88730065.00,261642035.00,115024723.00,97689606.00,87059741.00,243823224.00,123910780.00,113191611.00,85590309.00,253861973.00,122235343.00,90832666.00,84291823.00,216895420.00,99192777.00,100798159.00,87763385.00,315980287.00,146600589.00,323139127.00,102811640.00,177001663.00,79080000.00,160376000.00,62285000.00,152480000.00,80992787.00,212835245.00,81636485.25,173380319.00,113240867.56,40053845.04,0.0
16,加:营业外收入,21713544.88,9702287.26,6641875.58,1680955.36,67555740.86,51047336.64,6402105.72,3165955.24,16834189.73,31372740.28,17830624.99,17084335.67,260275260.68,185665016.62,166545306.49,64611373.16,368017248.09,151382297.49,128391055.29,23068881.07,297916013.54,199378126.29,175547430.18,29383002.28,355452445.85,18010783.78,7230631.34,2821134.03,263100929.87,186258820.13,143141810.61,3044903.63,184052871.82,16270488.33,14527779.55,7223429.45,110721077.77,27215883.00,22108824.00,3397451.00,233376262.00,54301063.00,7156716.00,3169703.00,61591967.00,16201399.00,14476921.00,6763471.00,27808369.00,3693095.00,2777261.00,217738.00,10661811.00,4642481.00,3923647.00,733600.00,7200698.00,1111561.00,1073417.00,391002.00,8950990.00,3038559.00,1501956.00,378491.00,5524711.00,2282284.00,1129079.00,72416.00,4677542.00,4386011.00,3615371.00,210325.00,17927097.00,1685199.00,6075905.00,2542885.00,5631204.00,284000.00,4259000.00,3483000.00,3146000.00,0,0,0,0,174245.56,1696226.93,0.0
17,减：营业外支出,84977135.61,12812655.42,7882828.52,304966.52,100120130.54,84958155.24,19563672.34,2728654.50,98516670.99,26440809.80,6180387.12,4679329.39,46237426.84,21465819.43,9480128.05,3550652.70,24588798.34,18728659.53,12779019.05,4870167.79,15666901.82,10140283.88,7169684.71,2022976.19,25661028.06,17603267.17,4588671.33,2133698.82,11426746.52,7589308.90,3318751.88,868837.02,18501855.09,13032153.81,5601788.58,2362783.39,23925210.20,11348645.00,5370667.00,786257.00,8674848.00,6207883.00,3660715.00,1068193.00,20847636.00,6375910.00,4940641.00,1244379.00,8195598.00,6133628.00,1579644.00,631008.00,6730385.00,3893911.00,2449675.00,2185509.00,3669994.00,5220279.00,4264258.00,3123704.00,8974912.00,3899778.00,2381972.00,337126.00,9346895.00,5612863.00,3045858.00,994354.00,3962331.00,2352478.00,1832346.00,1216147.00,15087622.00,6316132.00,8923853.00,2770202.00,2105686.00,1784000.00,1117000.00,1601000.00,3725000.00,0,0,0,0,9715300.06,7280093.09,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,2240317.09,1407972.09,250477.94,11977661.41,7717624.24,3185421.83,452049.22,15532391.66,10636543.86,9939642.67,3206149.62,1417988.08,1833429.56,1112650.18,673829.61,9078843.92,4623222.14,307395.03,56665.63,2513187.82,1097446.26,557358.74,0,2290795.41,1197094.97,878119.65,0,8268727.96,0,0,0,2113587.00,0,0,0,1941102.00,0,0,0,3651338.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
