,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,633629142.42,399074541.89,180014755.03,720920717.25,523527769.15,317354505.53,140025740.20,591659441.43,431765060.06,279989829.80,122483069.74,504252434.02,381524572.89,242071002.51,454173938.82,427262668.70,386547834.83,0.0
2,营业收入,633629142.42,399074541.89,180014755.03,720920717.25,523527769.15,317354505.53,140025740.20,591659441.43,431765060.06,279989829.80,122483069.74,504252434.02,381524572.89,242071002.51,454173938.82,427262668.70,386547834.83,0.0
3,二、营业总成本,557002101.76,355320876.34,161747531.99,653169325.84,473074872.46,293840317.50,134466878.33,526520656.76,374309579.94,239390612.31,107588946.46,430112385.46,320556949.66,203771827.68,388027709.68,372880001.49,347520896.57,0.0
4,营业成本,485852030.91,307900365.72,138302492.42,562042471.99,412838998.81,253313411.67,112939432.59,439631096.15,314714469.92,201474807.65,90347066.33,355655979.91,268940080.35,168900908.48,329715301.92,318085092.44,292789118.31,0.0
5,营业税金及附加,4582811.78,3224175.85,1321341.55,4923682.45,3177473.01,1703349.29,584212.34,4724736.28,3553338.20,2387017.07,1152979.25,4975148.83,3259243.32,2599583.03,4651272.68,3191738.73,2129537.05,0.0
6,销售费用,24869899.20,15774372.11,7585319.46,32063815.02,22350199.24,14167766.69,6031532.34,27656132.96,18706244.44,12408115.91,5279597.45,24429687.04,16701820.00,11350863.60,22796844.99,22373486.94,18756504.37,0.0
7,管理费用,21534077.60,13831132.67,5595209.64,22056274.42,15194015.33,22921202.81,10671236.51,43792189.00,29600492.88,18013337.79,8964242.18,40952566.32,28191624.04,18082516.87,31481241.74,25244759.19,23901593.41,0.0
8,财务费用,-3563739.46,-50158.44,2365317.35,-2660408.73,-3522277.75,-678630.28,3687318.21,7223027.69,4643035.08,2998068.82,1483223.35,11640.60,1017721.47,504062.26,-3326368.48,2687141.32,5619523.60,0.0
9,研发费用,23727021.73,14640988.43,6601201.62,29899428.78,19370037.32,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,-23350.05,4844061.91,3666426.50,2413217.32,553146.34,3493474.68,3091999.42,2109265.07,361837.90,4087362.76,2446460.48,2333893.44,2709416.83,1297782.87,4324619.83,0.0
11,公允价值变动收益,-1237411.12,952863.89,3293646.64,-2176922.16,-3263688.82,-2176922.16,-2176922.16,2176922.16,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,5662718.03,5363412.25,3217704.03,8680309.87,6244415.50,7280333.72,5689495.35,2339914.00,0,0,0,-9984.30,-9984.30,-9984.30,1233391.48,291353.85,-324245.30,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
