,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,102956555.54,73446791.13,41670518.19,14010902.76,84937958.90,59346879.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,9764316.71,-7380007.54,29306673.16,27213120.71,8412673.55,-18796776.39,28725591.07,19296034.27,7406021.60,139169891.37,36728300.38,16701910.22,12073179.03,56196601.84,53761679.66,52805767.14,18762806.56,109626561.41,41776412.54,21707431.87,11351989.71,29585412.51,34331645.10,16740080.82,13252794.50,118215485.75,32671246.21,14460844.13,3953716.64,20124920.04,19572097.97,13462141.84,6488711.36,16542480.99,12517240.24,24997670.89,1360321.49,6282631.38,798673.32,-5997247.19,-21784188.16,35038313.03,16534910.32,7465842.20,1719518.28,3997441.83,4799326.22,2012236.34,244606.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,11760880.60,-2440800.00,-289499.40,-746400.00,3129020.00,-3496095.00,2389335.00,-10384670.00,513940.00,-330140.00,1792675.00,-699070.00,-1347975.00,638780.00,3743545.00,4395435.00,4683425.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,10549426.52,20300124.04,21340919.73,15783313.80,-2763122.30,17216348.29,1698144.39,4086538.03,24380129.87,4449757.58,1185150.05,3201659.83,49056027.14,19625034.60,14979554.75,-537774.88,151545165.53,15727434.39,-3441825.39,-701852.18,-5567294.63,-2027055.99,-2134120.74,-879244.15,-2861446.78,-1957535.49,-1202304.67,-602140.07,289394.81,1758265.91,1401225.26,-706572.76,318939.62,-374451.54,-132062.54,584059.15,-2298155.47,-2145305.02,-1740161.18,-663519.52,-2597829.07,-2033741.76,-1895209.18,-533089.26,-2081747.54,-1548084.06,-1014994.81,-533089.26,7543185.24,7577605.44,3416025.52,627963.33,1881494.44,-1656745.15,-1066184.36,-533095.10,-1792250.23,-1608534.10,-1066256.62,-533167.38,-1795188.92,-1242653.54,-710087.75,-177521.94,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,1604355.90,-780919.05,-103435.01,-510442.08,-4373890.44,2190189.10,2695737.51,960744.92,-2832821.11,-1511649.88,-1036192.39,-504054.41,-2413105.51,-918076.22,-1083152.82,-387109.13,-5176398.63,-1823463.08,-2375646.88,-168762.92,-3200280.07,-427988.22,-1067942.22,-346154.89,-729089.75,-358467.70,-136126.15,0,-410924.25,0,-385984.41,0,-795851.76,107667.82,-183032.43,0,-165798.44,0,-673982.66,0,-860028.71,-829030.66,-829030.66,0,50609.49,51183.71,51183.71,0,9675542.27,7577605.44,3416025.52,627963.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,233890761.58,135533995.92,68808750.17,-2587334.83,295751911.93,178560880.23,66696695.34,-23921051.31,90537834.17,27732268.55,15535965.53,-14207960.95,149909642.54,148694347.45,63675340.99,41531350.55,327949029.45,173245590.03,163049020.58,-5096824.46,231015492.41,231255500.25,159165808.76,64111399.15,567512914.74,351421971.12,122684514.99,-1353486.00,137270041.13,172102407.89,64407666.44,36264129.48,200534577.00,149054686.86,85924772.48,52307883.11,287218103.70,127146616.93,122045095.36,80862482.63,465171661.70,399486490.91,203561510.27,3794406.87,124118668.18,147712617.38,125266785.42,9616418.60,193339982.79,156095927.57,70891064.37,8693902.32,146652298.72,49205681.12,33469378.58,8537133.57,43167857.93,36086822.23,34000259.26,11861248.86,115680180.32,106769322.55,66111867.32,20103109.36,121129660.44,109529889.01,58219321.21,19223365.78,95795586.85,79306203.75,42090103.78,81586327.66,75296743.14,0.0
16,加:营业外收入,19432984.91,18905849.18,18738270.96,16857196.77,20122262.10,9611986.15,460566.10,592954.34,32106498.09,6282752.72,4181625.16,1135715.99,51330630.09,8795566.52,7970025.93,997466.14,81585592.57,74766168.63,71752508.55,73685522.24,157439722.56,68319929.05,13921169.58,3953686.16,163178119.20,71591620.52,63161093.06,45570235.26,139788150.72,2147420.79,623033.89,577880.00,3144129.32,391267.02,362244.75,31781.47,5302603.58,4998243.58,2761161.10,8156.40,1038820.50,1016485.58,998453.88,60668.85,1525933.34,1509795.62,1146475.77,21957.20,310375.23,223995.00,116390.00,26270.00,63220.10,96004.10,66572.50,3760.00,68417.82,361931.62,339184.00,500.00,34313.60,497313.60,482570.00,466742.00,286522.15,267364.55,219804.14,215091.14,551460.18,37031.18,21523.80,595328.81,696164.06,0.0
17,减：营业外支出,1338860.21,1334689.58,898985.16,4917.61,1744359.09,20000.00,20000.00,20000.00,6690755.66,1327269.07,718303.37,502618.55,7117803.86,7690380.02,6184412.48,450181.38,10950893.95,8671706.95,8369983.56,4622031.79,8069009.76,5399343.33,2971305.91,1609952.95,5368143.34,2648616.17,1872434.36,1998426.76,8576907.30,4142898.37,3512021.95,1637936.00,11794618.62,8113379.07,5629942.09,949797.35,2484486.65,3984989.83,2947186.30,292579.75,6706126.67,3995626.38,2157791.13,725582.69,7060034.13,8657715.55,4982205.40,1680053.21,4970281.34,3958271.58,2450709.79,347360.51,3755844.62,1816365.36,1361164.00,820253.85,734794.72,1210432.27,914871.85,262822.05,2641902.30,1785626.96,1226066.08,400371.26,1344918.40,1025695.21,689645.12,241294.72,2755051.88,906114.75,640172.49,1039492.13,781162.11,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,508362.54,279347.76,172498.87,216327.41,127539.70,64921.89,64426.24,3192083.94,1177009.35,1177009.35,4081.03,108708.59,84981.40,67950.32,0,369361.66,63914.34,51078.81,0,909977.31,0,118985.75,414755.37,3594280.66,2467301.32,2387722.85,0,505636.45,0,38980.18,0,2236005.49,0,208323.88,1022529.44,5365326.73,4997813.50,2556678.79,1022529.44,717989.25,0,266387.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
