,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,207471745.72,134352581.05,59816496.93,239391302.26,158026524.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,5975117.62,377088035.41,78174128.11,48805456.63,3740139.01,144571244.09,78577920.08,53528216.45,11837682.03,185841367.86,70414435.65,50063111.63,13352822.30,209061328.40,54817125.95,51148804.97,10695335.02,144022654.07,43763926.66,32065146.48,12110457.35,139702829.68,32112657.24,23869230.10,8765790.05,111276601.06,21010388.63,9761555.29,9000000.00,49616441.81,1553094.32,-2490910.63,1109089.37,59398056.43,32905532.84,959325.96,0,12244704.11,3850573.20,3850573.20,0,14387172.52,-565498.23,-565498.23,0,5083717.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-342353.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-1682012.64,-541797.71,662934.00,25859.00,52900.00,0,0,-38500.00,-140950.00,-157150.00,-59400.00,-3141352.52,-3155702.52,-3171752.52,-3185552.52,3548524.84,149092.78,1182563.56,331592.78,-281007.23,-149962.30,66115.09,51450.00,-1916940.91,-1109548.28,-1719575.82,-4957450.00,1583069.63,-279550320.00,-60475870.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-8149543.90,-5552161.26,378542.07,7159515.66,6791547.16,6611378.88,1977429.59,26153646.30,24093975.03,20915239.67,10909896.83,-3343586.13,2230290.88,1317924.15,93412.64,135331037.38,49431698.79,49625592.69,49186747.39,10727524.29,5791682.01,3434676.77,2976584.68,19510705.27,-6473961.41,-6759564.04,3024258.03,-409863698.73,-92736368.17,-51795774.64,0,-7845.68,0,0,0,377037.12,-37620.91,-19344.47,0,15731.65,0,0,0,537004.72,950.00,0,0,6644884.13,13456.31,13456.31,0,-4315141.03,-808191.35,-588389.06,-323542.80,-2151811.81,-912052.39,-647085.62,0,-1579779.50,628.00,628.00,13534.40,67577.56,628.00,628.00,-608.16,-4358667.75,0,0,275.29,1304384.85,133139.11,1882928.31,-1039551.16,1116792.23,-12617.21,-2078825.99,70067.67,7952226.17,4524407.23,25017580.29,12359204.93,32003841.00,9702335.72,4768820.00,289798.00,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-6379238.27,-6324273.24,-224021.74,-4366190.37,-789714.23,-693149.46,-229833.38,-309064.64,-362919.57,-492780.81,0,-1479573.71,-658413.82,-710937.45,0,-1061306.38,-1095.63,-738.49,0,-1507.18,0,0,0,-1710.50,0,0,0,-12.61,0,0,0,-7845.68,0,0,0,-30973.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,426450829.51,262650223.58,102863762.55,258502656.46,417967509.62,314454427.40,91231939.14,53937824.82,183955356.97,125478517.09,504001.15,260558119.48,297705216.77,224052349.64,91587281.61,443678628.32,288755074.66,176781921.54,86558433.50,149173498.92,184198993.41,93768614.01,25979977.06,119380940.75,179690809.37,95529856.06,18600514.54,-174951965.28,-135732636.57,55289035.14,67643933.02,353702825.98,372137411.28,243907707.98,60386667.96,303612622.60,237972946.83,2484771.15,1396877.74,-25786115.66,-18039587.81,-14044106.28,-3370534.55,-31852885.27,12848154.53,9635951.10,1627122.48,7062508.40,5271018.67,3868449.95,1820789.55,5570886.07,8313887.53,4347499.34,1463781.54,9172566.28,7668345.44,3548761.08,3027767.36,20380655.13,-13377749.63,-9990512.86,417267.79,-7323744.07,-3386825.08,-5174077.08,-3977179.35,-77328124.03,-19140913.96,-16737683.44,-3658870.09,-351727.34,3044904.07,12139555.23,-3793985.44,6523863.47,2206876.08,-2368010.56,1254638.52,6460475.35,15365534.02,30166187.99,15897809.85,38339603.23,11868702.52,10298300.00,4832210.00,4594497.00,3538189.00,0.0
16,加:营业外收入,2617238.64,1180107.31,183264.55,23912651.09,21215856.93,19131219.78,17130628.88,35994040.20,30402622.55,24936097.25,20644013.87,129869273.63,66876178.59,43641237.85,15797398.83,124487587.84,46806364.86,29964711.80,18565915.27,99443559.37,53508616.55,31935334.68,12835229.85,244397913.63,35978063.08,27102181.59,12120885.18,63880904.62,52622791.26,39740828.04,30574298.04,54493487.23,39005385.70,29939920.60,20372089.55,79351528.10,67292550.28,29518534.84,4610.00,39639422.93,468040.67,150397.00,119173.55,4963993.75,256503.11,97415.23,87218.56,501822.87,482872.20,443232.65,410977.71,391914.14,195296.51,114102.32,24884.60,186713.97,289811.12,236890.54,33144.79,664764.56,178161.44,230944.03,45516.27,242037.33,179715.06,90093.01,10409.04,66025.52,40969.87,25859.23,23823.73,400693.31,80602.91,91607.09,387.39,127885.40,9315.38,535506.97,1008.55,18506.81,0,74693.36,0,224339.82,0,0,77775.00,30937.00,115590.00,0.0
17,减：营业外支出,4513444.04,3015967.06,386010.62,10577190.07,3176937.48,2225829.47,1101657.88,11563242.86,7730667.26,6794382.65,1948968.29,33441416.13,3348548.70,3057420.67,1540408.45,19417656.10,10439265.18,1604586.49,796423.29,9419904.81,6751062.29,5918051.60,1923630.39,8236554.13,5642965.20,3482841.87,155845.31,8472242.67,4194319.33,2617574.06,1802674.29,6373330.20,2077327.59,1285086.87,274676.12,14442199.44,11511371.95,970210.04,1.60,1647562.18,-19577.17,10713.48,0,29200373.59,21634981.97,21144870.52,11927.51,1008.45,3054.50,3054.50,0,192040.72,171798.72,156880.75,13900.25,932597.98,256339.35,243981.55,93990.48,258688.88,226184.61,184188.10,228823.21,221945.46,95917.62,82456.50,5235.60,3879301.23,-39418.68,-42323.91,-42333.86,123681.11,50842.16,927977.45,15724.07,720967.31,393839.11,727552.16,102468.17,328230.41,0,414571.69,0,58782.50,0,0,639019.00,744164.00,598323.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,3965946.58,3839889.75,902422.90,2457411.05,2111141.55,2123223.37,1442481.99,11789136.85,4900434.80,1204015.61,0,5988391.74,668456.05,7197.63,0,2476523.98,1056057.98,211135.17,147636.61,4646913.41,0,923831.61,0,5038787.32,0,0,0,1742278.43,0,0,0,14361.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
