,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,36924855.39,26998029.78,20046913.80,9200816.29,37198889.19,27491093.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-10609.76,8460599.63,749497.80,749497.80,0,7277482.87,381092.47,381092.47,-78.50,2715555.73,2893128.00,203722.35,-1955.30,9244236.64,1808034.90,1816531.94,0,1899799.04,293034.27,293034.27,0,-900458.72,113986.76,113986.76,-898.90,999947.87,995838.45,995838.45,0,1765028.07,188092.75,188092.75,0,464103.18,-3250.00,0,0,178065.98,0,0,0,106046.91,0,0,0,-95807.38,0,0,0,587064.58,0,0,577660.27,152044.58,0.0
11,公允价值变动收益,16821831.84,19567629.26,16600880.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-1734024.82,230745.52,-907659.64,7717142.13,20176434.84,16446843.39,9855842.28,8720114.20,37497633.37,26905858.93,25916483.08,3379950.87,10400864.51,9900341.12,7135087.67,4046967.53,24359995.99,21981252.76,15237172.08,8598203.59,10900217.61,6250027.99,844021.11,1861836.83,2553565.65,2391133.71,1438279.31,194485.49,3980350.96,2880826.92,1240111.82,499337.57,7388336.73,5082852.24,3401604.53,2163805.19,4823490.85,5183571.72,2753990.02,1090352.59,3698421.64,908274.87,635292.92,53021.46,-204927.71,-171888.92,-150211.37,-88499.53,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-7110689.15,-943441.13,-1565969.64,-115065.51,-11354405.76,-2445111.79,-2082619.74,-1978662.62,320990.72,20816398.83,0,48443.53,6345161.68,5778164.04,0,1687515.48,6529386.30,5271377.04,0,-1532033.78,7742189.14,4713800.25,-200989.78,1360138.01,225391.41,552061.72,48632.53,-218158.45,1708883.89,1376977.34,0,0,3996134.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,377032.56,230608.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-26243687.79,7177759.96,7874756.62,5027336.50,37332117.73,40727660.05,30149139.72,17917001.95,160736917.73,143959552.76,101351611.82,35138331.23,87862078.14,51998441.73,23873766.14,1799000.13,-28164630.61,-9410245.57,-9973229.02,2750951.63,13867908.19,26258717.94,19198169.04,13495614.33,64676745.67,49868668.02,29836758.38,11798786.86,42778876.75,30372618.31,18278982.84,7860387.09,16661708.48,12726568.07,9465737.73,5028049.03,53046013.40,35130101.83,23387689.67,10274796.70,36105532.56,27410052.38,19559409.02,8897798.10,37898848.76,26388234.01,19742352.47,7775505.60,35214593.24,23079745.77,16606603.32,6007117.11,33278046.99,29266083.37,19822594.09,30812346.98,28105860.96,0.0
16,加:营业外收入,653105.14,350059.22,100000.00,0,3823881.20,971656.08,1396425.37,29.13,364711.55,100.00,0,0,958805.01,92727.19,70802.18,77795.89,5624007.31,5071090.29,5057958.07,5057957.93,1638103.05,504300.00,500000.00,0,2462917.70,40486.90,25170.00,0,6319132.00,116200.00,101200.00,101200.00,460.00,360.00,0,0,60620.91,23191.91,0,0,2660680.83,257034.69,0,0,163166.19,52905.85,1900.00,0,2187000.00,0,0,0,0,0,0,325284.40,141.00,0.0
17,减：营业外支出,258532.67,33311.21,12503.05,8649.71,97331.16,45331.16,45331.16,45431.16,460561.81,454926.96,454876.96,187576.90,64539.63,66537.27,29299.74,11926.78,226430.64,75267.76,24682.76,10215.25,630409.67,141212.38,56966.38,39271.41,90157.54,11081.54,5825.95,3006.26,139205.47,100336.36,25498.96,7899.21,74326.66,55286.09,38906.37,21650.49,240919.26,230179.66,39558.22,500.00,203482.28,151140.10,0,0,255067.95,196782.79,95220.04,920.04,142736.20,29861.58,15984.06,184.06,203888.32,539341.52,122839.32,269049.39,79914.34,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,44115.15,44115.15,42437.54,8412.03,11075.00,7087.47,5121.54,13712.95,74267.76,24682.76,10215.25,66294.15,44956.55,44956.55,27271.41,13028.82,11081.54,5825.95,3006.26,83588.97,55616.50,19882.46,0,26241.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10049.00,0,0,139973.39,18504.76,0.0
