,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,850884283000.00,571870720000.00,361886577000.00,160262870000.00,740436285000.00,495768108000.00,316103516000.00,148430331000.00,693366507000.00,472289336000.00,300278347000.00,134794785000.00,643357318000.00,444286428000.00,273584122000.00,128090225000.00,624104144000.00,432152756000.00,274781887000.00,126287461000.00,612559148000.00,431667605000.00,277321537000.00,118091116000.00,560444171000.00,384039208000.00,247651775000.00,97504387000.00,483991750000.00,319557129000.00,198314337000.00,78568173000.00,460720225000.00,335787695000.00,222895053000.00,97112539000.00,473662652000.00,294763482000.00,192722272000.00,85085346000.00,346367958000.00,241378768000.00,147920265000.00,60105836000.00,234619283000.00,153915661000.00,95213794000.00,34943024524.81,180506820000.00,75678003000.00,32436723396.29,159518471000.00,115797793000.00,90530566000.00,0.0
2,营业收入,848440346000.00,570180531000.00,360820997000.00,159734111000.00,737713851000.00,493425418000.00,314497727000.00,147572329000.00,689944860000.00,470276759000.00,298750784000.00,133992358000.00,639406523000.00,441755675000.00,271722117000.00,127336899000.00,621088314000.00,430183900000.00,273373455000.00,125667524000.00,610328055000.00,429532563000.00,276224172000.00,117685702000.00,558798663000.00,381987954000.00,246790436000.00,97017806000.00,482688400000.00,318610734000.00,197604425000.00,78294328000.00,459701343000.00,335787695000.00,222528505000.00,97112539000.00,473122221000.00,294763482000.00,192461887000.00,84932934000.00,345973619000.00,241378768000.00,147920265000.00,60105836000.00,234619283000.00,153915661000.00,95213794000.00,34943024524.81,180506820000.00,75678003000.00,32436723396.29,159518471000.00,115797793000.00,90530566000.00,0.0
3,二、营业总成本,820552469000.00,551145865000.00,347768853000.00,154989320000.00,723524192000.00,480577007000.00,305544813000.00,144006446000.00,676012388000.00,457671028000.00,290347940000.00,131125937000.00,628277566000.00,431686253000.00,266361065000.00,125163987000.00,609386166000.00,422120604000.00,268724618000.00,123484998000.00,598213675000.00,421966543000.00,271346922000.00,115567389000.00,549106863000.00,376506811000.00,243350870000.00,95457871000.00,475110531000.00,314159095000.00,194925238000.00,77276824000.00,451646079000.00,330944410000.00,219585944000.00,95266557000.00,464394508000.00,287934318000.00,188500045000.00,83169503000.00,338655387000.00,235461196000.00,144158119000.00,58866573000.00,233114051000.00,151993846000.00,93246633000.00,34454326972.92,177619363000.00,73807604000.00,32104683265.70,156954989000.00,114760350000.00,90015015000.00,0.0
4,营业成本,765575580000.00,514253412000.00,325286737000.00,144085826000.00,664681111000.00,445035946000.00,283090209000.00,134311696000.00,625258020000.00,427378996000.00,271125363000.00,122053559000.00,584495432000.00,401913174000.00,247592726000.00,113967628000.00,554481540000.00,384477158000.00,244228655000.00,112600019000.00,544017469000.00,385584690000.00,248441366000.00,105364622000.00,501843047000.00,345661243000.00,223194547000.00,86661621000.00,431753561000.00,286750872000.00,177762687000.00,70251675000.00,412033049000.00,304894918000.00,202542975000.00,88327279000.00,431171824000.00,267358506000.00,174587916000.00,77318505000.00,314547284000.00,219014338000.00,134094825000.00,53826237000.00,209997465000.00,136983197000.00,84677987000.00,30778037899.29,161856591000.00,67220818000.00,28847919939.60,142424774000.00,102901451000.00,80254242000.00,0.0
5,营业税金及附加,5374596000.00,3408168000.00,2155678000.00,1241548000.00,5739929000.00,3182475000.00,2006078000.00,1130280000.00,4643313000.00,3015015000.00,1874897000.00,1330950000.00,8001856000.00,5390767000.00,3884870000.00,4073294000.00,20001318000.00,13121658000.00,8437668000.00,3994101000.00,19594512000.00,13424404000.00,8564484000.00,3716230000.00,18289947000.00,11753628000.00,7463090000.00,2992988000.00,15198135000.00,9707520000.00,5964833000.00,2371538000.00,14947741000.00,10376329000.00,7053119000.00,2972966000.00,14815129000.00,9495030000.00,6072183000.00,2434494000.00,11009220000.00,7712069000.00,4568105000.00,1787684000.00,7373753000.00,4541381000.00,2807121000.00,1027742231.69,5453897000.00,2401139000.00,929950830.46,4854716000.00,3399418000.00,2463705000.00,0.0
6,销售费用,4605686000.00,2910560000.00,1836699000.00,811654000.00,3537258000.00,2226531000.00,1503215000.00,740184000.00,2853840000.00,1966604000.00,1300982000.00,719618000.00,2560460000.00,1803832000.00,1141268000.00,589909000.00,2342463000.00,1503780000.00,970588000.00,533005000.00,2334029000.00,1756935000.00,1148532000.00,554840000.00,2326938000.00,1653426000.00,1010242000.00,472084000.00,2031075000.00,1228644000.00,679848000.00,316539000.00,1812955000.00,1192846000.00,793889000.00,305090000.00,1443478000.00,946026000.00,622850000.00,281771000.00,1150083000.00,760840000.00,495063000.00,196863000.00,933258000.00,610627000.00,496395000.00,225372537.36,850179000.00,389357000.00,192571224.35,731827000.00,634417000.00,415937000.00,0.0
7,管理费用,22133828000.00,15850382000.00,10092181000.00,5154372000.00,20664214000.00,15062755000.00,9647744000.00,6010995000.00,29973772000.00,20172899000.00,12456748000.00,5417712000.00,27078205000.00,18441163000.00,11136152000.00,5153480000.00,26621294000.00,17134479000.00,10913794000.00,5007742000.00,25834031000.00,16597415000.00,10185844000.00,4478683000.00,22248321000.00,13821477000.00,9407342000.00,4225815000.00,20920452000.00,12931014000.00,8274387000.00,3342565000.00,19126083000.00,11933785000.00,7537958000.00,3157095000.00,15024579000.00,9024661000.00,6229880000.00,2751373000.00,10914005000.00,7631441000.00,4710029000.00,2463389000.00,9192754000.00,6732494000.00,4086497000.00,1612160120.16,7663188000.00,2871130000.00,1952549354.74,7835606000.00,6855043000.00,5878842000.00,0.0
8,财务费用,5868305000.00,3758774000.00,2615120000.00,1547602000.00,6953242000.00,3888927000.00,2605668000.00,1199657000.00,3537923000.00,2509474000.00,1444248000.00,1185464000.00,2143941000.00,2455278000.00,1205498000.00,1247470000.00,2397222000.00,3453350000.00,2245125000.00,1342129000.00,3751834000.00,4100805000.00,2682774000.00,1371587000.00,3709900000.00,3406745000.00,2110670000.00,1102888000.00,4610712000.00,3466162000.00,2169677000.00,999807000.00,3036963000.00,2236069000.00,1341143000.00,417686000.00,1275150000.00,783309000.00,721178000.00,287585000.00,559317000.00,171349000.00,98461000.00,533937000.00,5132991000.00,2992002000.00,1017170000.00,736407243.47,1299138000.00,410113000.00,160673333.17,766169000.00,604188000.00,339395000.00,0.0
