,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,484911.97,0,0,0,540298.85,0,0,0,-116011.45,-55627.10,-56668.93,-51965.31,-841216.28,1114891.05,1119805.46,509429.30,-234401.89,0,0,0,7515597.74,115326.49,115326.49,812010.73,617089.90,188125.68,188125.68,0,1542947.40,0,0,0,15125894.77,0,0,0,-433197.45,352523.42,543824.87,0,-2185439.11,88929.25,0,0,18086807.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-960.00,0,0,0,0,0,0,0,2880.00,0,0,0,-28300.00,0,0,0,17260.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-9241981.18,-6172161.71,-3667261.83,11041335.68,5305648.14,-884982.84,-4238147.88,28014127.18,-12661998.70,-5436909.92,-1642072.15,-14503089.95,-3574856.33,-2509637.72,-1372340.90,-5803981.03,-2908169.29,-2171150.56,-1528851.54,22120321.86,-3133439.94,-2189267.22,-1460352.12,-13275114.38,-2445951.88,-1963182.46,-1778695.06,26720360.80,43218923.41,44434071.18,0,1196323.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19463445.50,-14597584.14,-9731722.76,-4865861.38,3476221.44,8485364.98,13279585.27,18073805.56,-20214415.78,-15287803.61,-10079350.08,-5493011.69,-22899376.64,-15583272.81,-10389165.60,-3825219.30,-2929723.74,1100315.64,-10676.75,13250.00,-1864875.52,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-9241981.18,-6172161.71,-3667261.83,4931152.66,-804534.88,-6995165.86,-4238147.88,28014127.18,-12661998.70,-5436909.92,-1642072.15,-14503089.95,-3574856.33,-2509637.72,-1372340.90,-5803981.03,-2908169.29,-2171150.56,-1528851.54,-9491174.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-20740879.62,-14063333.47,-7493356.69,4100060.07,-7526349.65,-10794193.87,-11014999.11,4068913.63,-28452869.97,-15691645.25,-7037297.68,-41345666.09,-22968157.64,-15143832.75,-5377215.81,-34095527.22,-26863450.02,-18837740.95,-2833689.84,9678679.38,-13014100.40,-8009631.42,-4612444.43,-39166066.63,-17770212.15,-11755447.88,-9070817.76,5332696.75,22235837.37,29675515.24,-3651743.00,-34370855.19,-12736089.70,-9316973.06,-6043757.49,29078568.05,-17119119.15,-11849894.34,-2272788.48,-79624112.59,-14106063.94,-12505705.42,-3508465.17,349913.43,-12610307.49,-9609415.19,-5046173.62,-43502195.20,-16492995.17,-9568435.26,-5332445.66,-75420863.42,-35522219.74,-23341065.28,-11551709.00,24401177.83,-11555898.90,-745754.77,12345390.79,-40574959.44,-30937656.56,-20949019.59,-8849027.36,15029360.81,16254250.38,20608598.25,5363212.10,120917605.49,20788352.66,15956428.71,9199887.77,58756311.04,30751160.30,76581888.20,46647608.76,67624386.36,56080188.83,24772087.71,0.0
16,加:营业外收入,4530583.29,4529622.34,4529622.34,369062.73,368970.96,368970.96,368970.96,0,0,0,0,52438.20,0,0,0,88996.29,50996.29,45054.72,0,16666.68,5000.00,5000.00,5000.00,248132.00,210000.00,210000.00,210000.00,637239.20,590200.00,590200.00,10200.00,5822119.30,31800.00,20000.00,9000.00,2551251.25,1973706.70,1147446.90,8500.00,1456587.27,59207.20,28260.00,19260.00,7527539.44,3016486.00,3016486.00,946186.00,136854.80,78800.00,78800.00,72000.00,723389.07,46000.00,0,0,9824516.24,79292.12,79292.12,0,2972824.13,17100.00,10100.00,200100.00,1459572.87,391763.40,113338.40,87407.18,607562.02,7906814.72,3113601.24,1373925.40,8011241.08,2717068.37,5542281.27,202886.95,403919.41,633466.73,807775.97,0.0
17,减：营业外支出,119351.48,100551.48,100000.00,42000.00,39000.00,39000.00,30000.00,67524.00,0,0,0,79367.20,79367.20,0,0,1825928.77,1825928.77,1011644.81,0,3996115.58,166650.72,453.04,0,10000.00,10000.00,10000.00,10000.00,722710.02,300000.00,300000.00,300000.00,1699914.71,940047.43,600000.00,300000.00,6590262.75,1099039.08,450000.00,150000.00,646393.71,146393.71,145480.75,43.20,1810813.45,3307056.50,3307056.50,526477.43,38513882.87,35097459.77,2200000.00,0,42727163.15,257037.27,0,0,2195511.92,191912.92,141563.86,23800.00,19959431.23,3224522.12,2892807.77,144323.26,-543313.51,2703907.18,2598186.61,11792.74,31571139.52,2967864.52,1634913.12,434763.10,7087740.85,113302.11,2566073.30,87643.26,687717.35,332915.83,589237.46,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4283.96,0,0,0,0,0,0,0,0,0,0,0,422710.02,0,0,0,0,0,0,0,1204.95,0,0,0,0,0,0,0,0,0,0,0,38413882.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
