,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0.00,0.00,45287599.90,43547233.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,-4673185.92,2620610130.71,35227914.44,22093606.50,13517327.02,72259789.71,23401077.55,27553544.71,11179675.32,645997.90,1820135.54,-159796.57,-575130.28,911778.36,571244.27,-54762.02,23203.78,12851836.01,242182.05,119122.88,-245037.91,4953564.23,501342.43,-146955.49,114510.00,669087.25,86896.44,86896.44,0,2272963.79,73940.30,-66213.23,0,1057866.03,-57304.72,-57304.72,0,-29645566.71,674468.46,651827.67,0,33967229.25,86814.74,86814.74,0,-874448.46,-1043966.35,-520292.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110189.23,0,-26653.81,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798295.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-69525.89,-39407.87,13797.24,-102696.35,-95915.26,-66184.83,-63620.99,-1303762.97,-1070278.13,-749653.19,-170922.45,59268561.14,59230236.81,59201589.22,-36756.78,-180605.36,-141746.09,-103834.70,-101594.32,-146223.99,-108514.33,-33611.98,-18830.48,-72976.73,-1778.07,-38755.90,-45709.73,11339.24,-1645.91,-46719.18,-15667.84,-54333.94,-29567.30,-13128.87,-42437.29,-55810.62,-76185.02,-15620.57,-16429.90,-28884.51,-15539.18,-5343.13,0,-1192498.30,0,0,0,3543886.17,2373854.76,2185808.50,0,2871485.29,2445114.72,114918.54,0,150094.68,-566854.16,-281535.64,1219.36,-135711.94,-39025.53,-39025.53,0,-260936.83,-21272.42,-34466.43,3090.04,5826014.42,1952438.77,1526641.79,0,-1108019.98,1469930.47,3299833.60,0,7937.95,0,0,0,2849400.91,2849400.91,2148984.18,850454.00,383700.00,0.0
13,其中:对联营企业和合营企业的投资收益,-69525.89,-39407.87,13797.24,-102696.35,-95915.26,-66184.83,-63620.99,-1303762.97,-1070278.13,-749653.19,-170922.45,-29056.79,-25746.94,-54394.53,-36756.78,-180605.36,-141746.09,-103834.70,-101594.32,-146223.99,-108514.33,-33611.98,-18830.48,-72976.73,-1778.07,-38755.90,-45709.73,11339.24,-1645.91,-46719.18,-15667.84,-54333.94,-29567.30,-13128.87,-42437.29,-55810.62,-76185.02,0,0,-28884.51,-15539.18,-5343.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-464205750.27,-308525223.58,-122648617.52,-3466454335.11,-366896693.93,-218151979.39,-37913623.43,258071179.27,235774104.12,158674630.45,73410172.75,22631933.05,-38257930.44,-19188771.95,-28610976.15,-32683793.33,-46686114.14,-35289364.84,-21420004.45,-5895375.58,-20019205.18,-19622221.65,-6072681.12,21158652.03,10314539.09,2212394.95,-2071220.89,27829835.17,20462622.76,13004443.54,2448592.13,41197511.57,26133265.23,5924580.83,2905302.55,27022619.74,12789456.54,9290355.96,618765.91,59303735.96,-2152493.73,-2210961.45,28738.09,-57497290.77,-17258624.51,-11925827.39,-7585669.58,-16754294.57,-1722910.26,-2600547.94,826652.58,34825229.69,26785472.63,13881956.82,1888378.17,21332284.32,13852594.58,8926566.20,2364639.40,19557250.75,8631692.65,4285305.11,1161519.06,19770330.29,15671148.00,11060450.65,3745843.48,27860830.87,28369200.25,22373608.49,687358.95,48451681.23,33572707.95,76052507.71,42669230.03,75299126.10,39699272.68,91621432.61,31720348.29,62658505.13,27866757.64,50071528.24,21230628.74,27387757.71,0.0
16,加:营业外收入,1079863.77,365002.94,118038.71,1442041.41,994416.75,844218.39,430080.52,2431474.61,17520134.89,7897290.10,384400.00,45395362.38,37863734.60,32468817.23,32431965.89,15460359.58,6572679.76,6051689.91,30701.15,2069869.41,1852375.13,1704073.04,544703.51,3064601.85,689128.68,624689.72,581176.56,1522167.28,1586068.12,284113.19,202904.14,2186159.93,2050063.38,1951564.20,916086.13,7179194.92,5912456.71,5733813.03,4290166.48,8137721.28,53556.18,39609.69,16846.61,321208.66,299095.07,21176.50,10911.88,446715.54,144348.59,139202.47,131342.15,183157.87,116698.84,26392.93,10750.80,196175.02,169800.01,74247.71,33111.12,128903.58,111753.05,23274.53,7003.27,231478.29,135145.12,50172.30,1939.31,246182.40,196821.13,174831.15,87763.88,106912.82,82979.80,1065476.76,422714.32,244641.94,23975.63,52023.08,62158.10,219044.66,0,3685681.84,0,45542.40,0.0
17,减：营业外支出,67914577.63,47531908.71,14903324.03,254928637.26,53869915.23,36047789.20,1964784.46,66419968.87,579062.92,476380.51,195.00,1159803.29,1075583.33,67729.33,17583.60,946935.10,259931.29,30485.43,361.50,435520.79,332061.47,699.47,506.20,1695948.48,1594263.39,582390.80,163848.20,254408.33,76008.40,549.77,0.62,2065994.95,339240.35,266962.27,265000.10,638308.88,304567.98,197270.39,196900.17,1415104.46,0,0,0,13016.36,5760.00,760.00,2442.80,1132438.83,32557.29,21833.25,825.50,7285763.81,174974.66,154482.34,27865.68,180150.96,165207.55,71458.78,883.78,221065.76,191215.08,92532.43,3538.31,795126.05,372913.91,296495.98,24410.94,579283.99,416301.16,338524.55,29344.68,244728.31,112689.98,4921897.78,467114.43,115559.87,73784.59,46420.37,1222.10,110916.48,0,53360.94,0,7933.43,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,195.00,195.00,0,5427.82,1297.33,1297.33,0,234999.77,229628.56,787.20,0,8210.19,568.20,568.20,0,20650.31,889.50,889.50,0,5676.32,249.15,249.15,0,1710734.06,0,675.87,0,379909.16,0,0,0,3604.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
