,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,498539267.50,370122826.59,250288437.58,123462645.11,472352274.16,352545351.73,235471343.75,85929170.88,436130196.45,326733574.22,197938063.47,77060715.93,397827369.67,218422887.49,144421771.84,69887743.61,412065017.08,155010242.08,101861809.78,52023998.74,228061783.01,177053643.15,122522454.67,46919168.62,252177423.50,176739876.97,114958955.16,47707240.24,274907201.89,217023514.39,143151751.16,63811943.70,289177062.96,219223568.57,148567052.64,80501155.65,331967356.16,232997314.70,151573756.40,70960863.03,215283666.58,140463101.38,74855493.25,19844731.86,246809473.95,201595184.44,143152632.08,63555623.12,293919811.64,221919990.56,140143294.22,63606776.46,254420481.62,174995168.56,110413160.72,42601644.06,216578986.90,157583656.69,97631486.10,43543542.12,200358791.06,142374081.74,85645129.81,34813003.92,179969860.73,118065735.37,75344683.51,175274386.65,164751504.89,0.0
2,营业收入,498539267.50,370122826.59,250288437.58,123462645.11,472352274.16,352545351.73,235471343.75,85929170.88,436130196.45,326733574.22,197938063.47,77060715.93,397827369.67,218422887.49,144421771.84,69887743.61,412065017.08,155010242.08,101861809.78,52023998.74,228061783.01,177053643.15,122522454.67,46919168.62,252177423.50,176739876.97,114958955.16,47707240.24,274907201.89,217023514.39,143151751.16,63811943.70,289177062.96,219223568.57,148567052.64,80501155.65,331967356.16,232997314.70,151573756.40,70960863.03,215283666.58,140463101.38,74855493.25,19844731.86,246809473.95,201595184.44,143152632.08,63555623.12,293919811.64,221919990.56,140143294.22,63606776.46,254312596.23,174918231.37,110352291.37,42575093.47,216429708.73,157471457.04,97572267.54,43429320.15,200260951.62,142297911.32,85586637.57,34797447.05,179964088.21,118048462.99,75325375.66,175257137.31,164730477.92,0.0
3,二、营业总成本,469931649.72,344255072.24,232298403.32,119433037.07,440420825.90,323385610.31,217188565.37,83230093.99,396905876.24,294308730.04,181939874.56,73580023.85,359991988.09,203854284.15,132980784.79,65105205.81,372030273.15,156134440.95,104474324.57,51972196.95,277033740.22,175209163.94,120494468.60,45616259.64,256017070.17,174310294.59,113049735.73,48042567.40,308077134.86,239250824.63,160352647.28,72670925.59,322669377.71,237371834.65,154499474.47,82099585.53,326333010.23,234184363.70,154153169.12,75203642.18,258211740.16,168140585.09,100800365.40,34624615.04,279744506.42,216379556.97,153289827.52,71482444.49,334392184.84,243319391.91,154110319.24,69207310.43,242972678.06,163982923.58,102942313.75,40198120.70,197918165.54,141352740.88,87820109.35,41071684.94,177519369.73,124891273.35,76004971.67,33113646.18,156873289.30,105506248.20,66479639.09,152359051.22,142860518.02,0.0
4,营业成本,374600983.56,277561420.43,188225625.35,93186363.46,343365837.15,251641929.14,168972491.99,62697409.51,304914041.78,229403890.99,138939414.79,54884873.64,277104423.52,154772153.18,100042756.55,49673642.25,300663405.96,123197757.55,81326559.24,38848195.22,192156718.39,149520181.85,103067695.44,37945592.72,212608675.64,146527374.17,94377020.48,42044639.66,252515512.10,201516230.02,133557460.91,59582667.22,258073641.96,195106434.27,129746587.27,68793608.12,279559485.55,195600831.45,129015942.15,60548095.10,209912280.43,139108796.59,79847725.13,24563612.81,233078867.86,186010198.26,130231170.09,59224867.71,291060811.22,209873680.88,131626718.49,60590584.92,218786980.43,152153550.45,94895131.06,36173175.28,168976824.77,121935448.01,73163800.24,30764176.75,149698516.03,105624323.86,63722317.83,26558624.81,133062451.45,89944792.22,56267907.44,127719636.47,123257801.60,0.0
5,营业税金及附加,5602916.31,4727434.94,2966376.95,2087270.37,5147351.38,3732710.99,2524503.49,1039186.87,5189884.26,3766207.47,2380126.34,560179.86,4553627.26,882331.98,667554.57,101111.09,2571551.03,310748.84,236308.46,50627.25,848190.41,689354.55,443874.91,75996.54,1226803.48,919932.07,519909.99,188801.50,1313762.67,978359.97,635868.46,348963.81,479689.05,208716.09,140568.18,90726.19,663305.76,507228.63,448635.67,224926.90,311503.11,167234.05,75631.83,30978.57,527411.53,475057.75,429882.68,132798.87,563071.88,365541.69,198624.91,57140.03,371400.70,239701.06,-12164.89,336219.85,701786.62,475840.56,312568.33,143993.73,756790.32,598569.94,325690.12,190304.91,1086119.06,679420.21,382410.93,1229140.89,1460859.02,0.0
6,销售费用,27290092.73,18595065.52,11894676.23,6113967.38,26126330.52,19505531.23,12704376.73,4664229.47,24487992.04,18046566.76,11540266.49,4065228.02,21756838.95,12934621.57,8596570.40,2253501.92,18893371.00,9302438.48,6893041.13,2264233.18,13229986.29,7461970.21,5035310.98,1355735.25,12023271.04,8823198.26,5493651.97,677340.82,12237271.16,9977768.98,6877536.24,2913128.90,13736065.30,10980230.01,7398209.64,3037836.38,12209105.18,10661811.97,6672257.57,3363588.54,8890375.35,5802700.46,2968919.82,1124507.70,9814568.30,4852707.39,4265428.24,2794339.02,10269799.76,7633919.21,4726886.79,1622327.70,7890214.18,2279288.75,1416152.01,463036.37,8334005.48,2604656.71,2132281.13,1535553.53,9544736.12,3193565.09,1211864.19,848981.11,5237956.01,2440141.48,1195682.17,3170269.18,677200.83,0.0
7,管理费用,42630419.79,30840869.55,22278154.26,12663687.58,43367710.42,27087209.28,27533083.62,12001013.81,55958172.68,34328197.96,21747797.56,10617158.34,49349146.77,29566424.40,19553689.92,9007059.00,43108702.31,19874905.55,13396424.20,8159894.33,40926073.50,17356939.35,11026445.12,4782682.55,27078064.19,16233600.06,10877237.07,4887688.10,29507140.66,20866253.10,13701930.74,6463694.85,31752569.16,18364687.72,12254434.46,6274103.50,20287032.34,16379044.54,9061395.58,5146946.21,24052941.64,14431106.78,9869914.23,5213467.67,19725082.60,15107192.90,10089083.50,5105038.41,13791709.48,10863351.81,6292907.03,5517032.64,13271175.10,7689570.94,6038645.28,2490751.11,18615973.86,16051990.32,10974214.76,8240373.59,16246170.83,13490926.68,9022767.66,4691486.85,14842140.58,10632759.71,7603387.85,18335030.81,15842333.53,0.0
8,财务费用,-3416656.69,-1669428.74,-894032.78,-35315.71,-2922802.43,-1666229.37,-1175327.14,583319.62,3561600.71,2189614.39,1339673.57,302036.46,-331535.37,-98747.28,-329208.46,-187033.21,-2622147.13,1358886.66,891933.38,342052.74,496361.57,-677206.34,-664840.15,-11189.86,-1500508.82,-608965.45,-603496.89,-854485.42,4218906.20,3540209.31,2242574.37,814219.27,3318052.48,2346594.23,1655501.27,884033.26,4149167.86,3250287.30,2189536.67,1021522.39,3736338.93,2374618.79,1683697.13,881083.70,6817544.62,5330218.73,2920058.38,1698203.75,8160488.49,5017427.34,3228860.51,1420225.14,2652907.65,1620812.38,604550.29,734938.09,1289574.81,284805.28,1237244.89,387587.34,1273156.43,1983887.78,1722331.87,824248.50,2644622.20,1809134.58,1030250.70,1904973.87,1622323.04,0.0
9,研发费用,23223894.02,14199710.54,7827603.31,3536597.18,21601975.04,16981393.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,3734423.82,6103065.71,6629436.68,2244934.71,2794184.77,6574252.47,5992595.81,3150547.53,7559486.96,5797500.30,4449421.81,4256924.76,9415389.98,2089703.87,1730058.16,2307194.23,29376410.06,857924.32,1585982.30,1467442.44,4580764.64,2415155.48,2385413.11,1098582.74,8284542.07,2372003.25,3337276.56,2548251.54,15309359.76,10365172.33,3304173.65,3019278.08,9464913.54,7785159.81,6765401.48,4898563.04,11308300.70,6256128.42,6354477.26,2810964.59,9781031.51,4604181.94,5354204.63,2527196.73,10546304.01,9565470.98,8036321.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,9777.75,-2314.91,-580.55,-2.72,-284679.38,-4484.39,-23456.26,-22000.66,19551.21,47111.12,21000.56,3572.70,-13008.00,-14822.52,-5394.85,-40.33,8772.44,5691.14,12824.91,21446.26,-933075.03,13982.33,-9807.98,7340.78,-101370.22,19703.23,17989.39,62638.62,9129544.02,13295.33,5899.79,-7552.86,102564.34,276969.09,35266.14,1462.83,126341.82,91677.11,32168.55,33102.44,-45146.50,0,0,0,-98025.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
