,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,133886558.35,732891738.02,482073004.86,288459672.08,138600940.03,548972707.16,350358876.64,243963723.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,2393343.97,67768499.83,52038411.07,27823804.41,12752776.28,117855127.28,68849260.33,34562724.43,7868034.38,107178553.66,99596519.87,78584389.42,4741782.08,102791483.11,42471326.31,29296417.53,13515410.62,57533367.36,58091873.46,34101943.96,14086940.21,45325262.69,19431446.99,16030577.83,3185704.22,45493864.08,18031136.93,13145646.32,5836757.42,34135869.23,10790557.01,5939516.02,4860362.99,10951276.22,10401247.80,6940823.83,4302692.36,48990269.45,34072641.37,24400357.42,4838189.74,21301909.44,11714673.48,14531965.46,4973034.10,16202051.35,6630880.08,6213651.18,4867536.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21128570.89,0,3089371.14,0,0,851540.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-10747677.09,1328501.70,-9153503.99,-5456003.34,3924924.64,-2410266.97,-33762293.66,-16905949.52,2926305.72,2812281.15,1895309.07,733944.14,1248575.43,-930399.32,-827014.32,-416854.57,-128050.75,-182343.23,-1279711.09,603148.18,287457.50,-4939260.57,-1850137.06,-868465.62,-561734.79,-1236410.63,-3528802.13,-1242332.26,1006067.22,16381681.02,4800246.93,2114503.89,4971946.09,-11083794.52,-15329948.18,43870.70,1541484.96,10780224.20,5048295.93,-2151436.68,3398436.32,134342408.48,126197836.99,133611037.40,109911654.77,-272043891.80,-227674902.86,-153972612.48,-53833834.58,113455275.89,117337553.34,26825512.53,47092339.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-1074727.70,-19597761.68,-13980332.40,-3842092.53,-1468168.85,-42445887.41,-2087989.58,854288.83,68742.06,4297099345.96,4286999539.02,5084363.02,3300067.64,1340566.47,1725585.35,1684174.09,2571506.66,6776422.79,6896113.40,3471860.08,1334571.98,8223836.93,6761073.36,6664307.02,1409340.57,4539511.05,3810605.58,3086974.76,2162744.23,4136556.80,1668506.76,1731468.57,347088.76,-1485522.49,1142974.78,-654572.56,-693022.78,-1278935.84,-1085288.89,-384976.08,155236.22,-64029117.99,-66998058.40,-74301232.43,-75805840.59,56651329.23,58195777.16,56575358.73,33059094.86,222675012.39,215357745.96,118946965.95,29405250.39,80999849.17,13509571.86,10291382.00,11582780.52,11127585.24,550946.17,-2141698.39,-3488949.17,30959035.02,29378322.68,29261581.84,24776353.75,14425922.73,9193662.26,-1234644.98,-426562.82,-16731042.24,4652173.56,-1024134.31,39600.00,-8361253.37,149434.69,-6364983.31,1355970.24,7682730.54,4519048.00,6518113.35,3251068.24,5636045.23,2155005.69,17922432.92,9576546.46,14274512.59,6900385.47,13836367.49,6563934.75,2320000.00,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-3508226.23,-10686084.85,-6411434.03,-6388109.51,-4032454.36,-6186649.16,-1463269.62,1238167.27,-188206.94,1488310.65,3111360.37,585049.99,-786198.55,-373776.28,12248.80,1046651.54,2099206.66,6136618.37,6418129.12,3043875.80,1334571.98,4781707.78,3053683.82,2956769.34,1409340.57,2803662.91,2070484.56,1708850.99,963383.51,2432195.47,1159724.22,141933.89,-217800.79,-2717372.63,-2645427.34,-1472733.50,-712556.35,-2468715.50,-2881706.89,-2007910.04,-778683.28,-3611551.94,-1943158.70,-1072268.57,-1628312.32,-1659087.28,-3017182.68,-1886830.91,-946976.74,-3814741.54,-2562084.98,-1302963.78,-337605.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,553779811.29,1729853089.38,1334891398.35,920915129.40,462136866.46,1274495533.42,1063735940.28,750878671.70,382977971.97,5657808066.56,5159591176.54,603199094.53,318155625.14,876480274.44,690378594.54,463199434.29,243995611.44,692799082.87,554527896.09,377369501.52,187625999.78,584508541.09,480562643.18,344869755.57,153522356.12,590556920.08,448420598.53,308523239.34,165221651.75,518752796.89,421724866.98,282068231.88,138605669.52,429744753.78,342702787.19,261244259.11,144275018.34,516414880.02,404768514.19,289341700.18,149207062.69,583277672.45,427447926.05,300948052.24,141313636.01,99603628.93,92288579.32,92564696.28,70879324.45,613755800.98,534920540.74,276136573.69,154054308.79,219924183.56,106167954.74,73770683.12,37318000.17,133125566.67,97850872.50,81943006.31,38808156.57,159210279.18,128404280.33,101719246.76,68609001.05,160641381.51,102277785.10,88131632.12,35503216.25,116652926.72,107682980.88,65683070.09,30384194.85,106775197.70,52064699.05,37256338.27,18792881.89,12512989.78,32832047.55,62434645.25,39502530.20,36314369.81,38092545.04,68827750.37,46187175.43,73405788.64,56920600.53,106304833.70,56127194.06,85154634.14,35669620.31,59909983.37,59965645.51,29989967.74,0.0
16,加:营业外收入,517122.44,11483490.34,73576794.07,71038475.86,58872795.91,176898473.07,180141830.24,76388868.05,58500981.31,91912647.38,361532270.48,72877568.90,43652049.22,136029232.75,99905040.28,60093394.63,50716388.56,130686902.75,107503334.13,78355248.17,64191923.84,70113415.16,61402809.11,23405956.79,20303264.42,43108434.91,30631134.10,15038795.39,7291019.38,44267854.06,15945423.03,12560093.79,2612890.25,36182313.09,27503971.07,22250983.03,11690162.11,21167315.00,11745081.41,10547638.43,3459766.27,9955816.25,3948327.62,2684454.70,757488.63,11093620.56,5585017.96,2680893.09,2120807.04,7991660.08,6205912.54,4200202.50,548892.73,3437921.43,3074442.89,2512826.35,268534.24,2895753.48,1889765.20,1387663.87,684017.36,2569590.46,2130231.80,1499413.59,575839.04,3930639.08,4429962.07,3868313.37,762530.00,1691165.87,1887481.42,952754.74,338658.77,5275223.21,430818.89,347377.92,82838.06,6733550.57,82259.51,2341440.66,557659.10,34317603.29,0,28646490.55,0,15701269.44,0,7386449.17,374273.57,6181705.79,1089752.06,1855009.89,1080984.67,781700.70,0.0
17,减：营业外支出,9166771.19,13794185.53,7887477.56,4003453.13,1284346.33,34719651.84,10147373.71,9461134.24,1757060.63,24797925.12,19756772.76,11436436.31,3718750.22,7448331.26,3182217.00,2871052.59,408494.35,15564685.82,6776028.58,6155599.79,5053051.94,2596922.38,1329985.04,1058512.60,73757.03,4724901.29,1741557.95,1462423.58,134037.98,2707911.81,1913000.47,224395.39,120460.55,2775836.34,2119871.89,254085.94,67547.42,3914899.76,2367418.87,1485565.96,732072.09,3815422.05,2579815.61,1210940.78,107246.14,5043164.84,3552893.25,2822001.35,215608.18,1768656.19,1997040.81,763383.10,186639.04,38633401.84,2077387.79,967513.33,275010.69,3934180.77,3160870.55,2863243.53,1361068.42,7090164.27,1766408.48,572013.95,495331.24,6870858.83,4825808.67,3909687.44,225468.28,5977824.90,2547314.58,2056581.99,736356.58,11517782.88,4253315.02,2370825.04,766902.44,2291792.64,1791679.15,1788353.59,1176906.39,520180.45,0,541027.33,0,356348.65,0,479549.47,159085.78,269469.29,226353.78,685832.38,1656419.55,5923606.08,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,217688.88,1518793.75,6027761.74,7670643.65,331614.75,1592598.18,331848.45,217369.82,142502.22,6009136.37,5047461.68,4889806.85,5050372.86,1354272.04,841027.89,840060.89,22003.48,179663.39,378508.43,4620.05,53808.92,1081686.28,1712449.65,200045.53,112680.14,161267.88,162021.45,60007.09,1623.50,834836.01,548263.58,498732.12,384512.14,1301836.55,1484508.53,791268.55,10115.13,1897603.10,566606.11,493831.32,32595.74,726457.22,713865.12,190889.79,48045.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
