,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,76261765.07,49440284.47,24533100.72,95353624.78,64232172.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,-4513816.45,29586532.13,14632040.78,8627104.51,-2078720.38,47976570.66,29018215.00,20892861.45,3221422.96,64414020.83,38983251.08,19728130.92,3790850.05,49001601.42,25181053.82,13618298.23,8544190.58,21654392.41,14962891.57,9903254.77,3595003.93,21950426.27,13774768.58,12231035.29,5135478.45,21383761.08,13282279.04,9451481.41,3686118.29,27776348.62,14479162.26,9099684.12,3066927.60,25275440.01,22675965.13,21440568.17,3716402.24,25857275.38,12666118.12,6708884.96,3576115.04,11827875.34,12837869.45,9446664.01,3179524.16,10385342.87,6836210.70,4387914.10,3017446.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27327.58,-95314.23,487386.75,0,0,0,0,0,0,0.0
11,公允价值变动收益,155733945.48,142552823.26,168875279.90,-123044.12,-9606.32,10060.49,0,-51687.51,8189.75,-37054.50,23074.82,64724.71,0,0,0,0,-3867391.39,27586.66,0,0,0,0,1014889.12,242521.76,31807.31,110660.69,0,0,0,-5175.00,-810.00,0,0,-61000.00,0,-64350.00,-1085.00,-32600.13,0,-2250.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,32323104.93,22427669.11,-300004.03,73046793.55,50883078.69,49328953.87,11498216.09,223051481.86,191989529.15,132854935.30,110409337.01,67234646.02,51502010.08,41951908.09,4743137.57,277162339.20,242974809.46,233078831.45,52425133.59,165350161.91,54332810.62,33186074.19,6377669.08,194533049.81,111273295.04,81397069.62,25965727.67,113360799.71,87454185.81,70516164.45,25051519.93,80430925.96,67232378.05,44742594.58,22047878.48,95438313.24,71259064.73,44344311.71,19278547.92,63682844.72,46048172.10,26968087.97,9216036.49,45980829.98,41036973.48,27559232.48,8478869.41,78361317.89,66248551.28,20477544.43,7000242.19,27390508.99,8771307.80,5094922.26,474701.43,16958796.26,14763733.74,8751694.49,4351114.19,20119356.81,17411597.72,12254404.48,3935992.30,18118629.08,15916848.98,8981679.50,1529379.93,15562468.25,9990866.59,6284371.39,525976.98,11276048.99,6117282.75,8414912.13,2511537.59,2243706.92,1064868.41,454456.04,467842.98,1242810.01,1685193.60,1223746.11,0.0
13,其中:对联营企业和合营企业的投资收益,7770753.34,145511.34,-1505837.58,17424580.77,-3754346.16,-5051291.96,-5639432.50,19573689.86,12867849.15,14455084.14,4925137.19,34339851.57,18702724.14,9877224.89,4743137.57,24280023.40,14317730.95,10551820.97,502654.49,40371237.04,29876451.77,9881222.19,3331294.97,74104758.82,63856667.10,35222427.37,17884954.73,76644011.38,65211095.98,48287312.31,22044761.77,76933264.64,63679772.03,41201476.56,18542830.46,93160323.84,69050164.33,42167430.58,17069854.92,61115247.05,45043837.70,25968087.97,9216036.49,43975411.98,39036973.48,25559232.48,0,76359150.69,32081913.01,18477544.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,358211356.07,259585861.57,205402690.27,347853112.07,236531926.56,130585786.11,-19362807.08,419114785.79,296355660.75,209184086.02,137881319.75,252999310.08,194688155.56,108930119.75,14486067.74,373512442.99,299280380.01,233522369.58,50113324.27,250424671.10,111917919.71,70530055.33,17384544.51,264046992.90,149208003.77,101769043.55,29766941.41,134176457.42,134011724.43,99946521.11,42656630.64,169890321.71,148210812.81,88386598.96,40064975.24,135996985.26,102144564.81,56853927.68,24932764.03,66579522.35,54144989.36,28162070.72,3069248.97,20249760.21,31316264.71,24678822.76,-3009745.84,50408033.63,40626768.22,17304036.97,5009310.08,48787056.10,37167774.45,25833709.20,7501565.06,58951102.39,46783286.67,27672026.22,9489500.43,54327061.81,44911700.33,28093760.38,9790412.45,45369489.32,39255959.35,23013374.47,5083625.24,45971480.25,32931744.47,19425338.89,4461281.34,46063314.88,26432769.57,32181679.30,19614755.00,30040500.86,15859181.47,29840592.22,16062898.44,25956513.72,18208847.32,16988581.91,0.0
16,加:营业外收入,1916459.55,1329230.34,652301.55,6052573.68,4905369.06,2616909.15,121868.52,11691432.48,11113225.01,4709980.87,1519387.80,111144489.56,104310915.80,101594914.17,1473405.01,21763929.46,16529795.59,7005188.78,1187748.05,11586246.13,3331558.41,1977938.37,1254350.85,28827652.28,20164135.10,18036835.20,1062771.70,18607486.67,4763432.20,3065822.69,1760208.10,9034794.37,775986.05,164989.56,294939.65,19517254.26,11606114.52,9993021.52,409260.89,8900029.37,1877046.20,1283295.96,596483.70,9928843.71,2201389.21,1730843.46,1014356.57,7598379.48,22912293.96,21830781.04,7772583.54,2838456.15,2128094.19,2083574.47,2060776.47,205064.33,216754.98,101574.98,85024.98,1171996.36,284838.60,264300.42,60633.31,812905.98,447459.79,218785.23,14581.11,777572.76,37651.30,19899.30,3000.00,31933.38,260609.59,2399796.41,204696.92,1656167.64,514084.40,201340.00,0,170967.63,257865.70,82582.63,0.0
17,减：营业外支出,3363921.02,2676358.22,482713.75,6534909.28,2446277.49,1660355.98,930826.86,5792835.47,3269871.17,2822576.00,762447.08,1722933.12,877038.27,337167.98,244596.18,7955016.28,1795622.48,641472.96,36252.54,3540267.89,3375587.03,3135966.56,1166862.94,9310529.21,7997230.40,1018087.17,271078.31,2480615.02,1678312.35,1260002.32,1094217.34,6532264.37,1479502.73,237069.39,165947.28,15967962.16,16191602.69,16105298.18,201755.94,2237768.95,1519717.80,487329.43,74016.00,2496496.44,890786.15,789292.27,9500.00,1153643.59,727013.47,103370.99,69586.67,6211309.49,453154.73,199880.01,88068.76,976725.53,598751.54,471856.34,32446.15,992418.61,618422.85,511205.37,337656.76,518684.30,334093.05,202011.50,42078.74,399872.87,289126.30,271175.63,124517.51,710996.23,323805.39,409354.56,24600.72,7530.00,5690.00,62481.10,4030.00,12456.80,69540.42,87636.94,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,184833.22,42087.32,22443.11,322791.68,153342.87,141862.15,63360.45,5953474.13,971181.19,380072.33,2782.42,1385347.43,324098.16,1197086.01,-336897.72,7726210.36,7243755.48,714905.81,119389.57,436678.16,-1084561.66,-1021451.55,239419.69,1338818.91,43779.65,65215.42,-156294.89,15826769.72,14889857.05,15265229.64,56165.26,357090.85,0,0,0,0,0,0,0,0,631142.26,12499.78,48686.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
