,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,7273120.25,71357234.73,55934835.50,35848871.91,15018610.77,63502819.01,42851608.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,-115664.11,6131175.48,3660653.70,3342645.60,-600201.05,13993287.20,11413163.08,10977084.22,316524.02,8803658.75,5274655.35,5160407.59,339211.74,4459543.91,926458.04,1225120.12,109509.95,4000493.94,2464264.92,2115117.83,83460.74,6618769.22,-2591823.27,-1735969.26,72552.49,21496144.87,2269074.28,2081600.10,34100.43,7804896.60,988889.66,776632.31,-424195.16,955930.66,577831.69,497394.25,-1396813.27,6295980.84,6618203.32,4895953.53,720817.67,17038058.54,2169832.53,2155664.35,0,1857036.65,1513150.23,1513150.23,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,1352900.49,1352900.49,1352900.49,785665.68,1005504.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,1406063.08,3007077.28,1416873.73,999726.32,460083.38,3442075.02,6824194.68,5103281.46,2230986.04,7943591.60,5299718.35,3110127.39,0,3347007.45,2014578.32,1300850.15,0,298617.89,-34809.10,-34809.10,0,-60728.70,-65163.53,-65163.53,0,-19886.46,0,0,0,1753012.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,1406063.08,2009271.81,724907.88,1920.85,-282685.23,-3302206.70,402186.75,521453.72,0,5742694.06,4265416.98,2075826.02,0,2487445.81,0,1300850.15,0,298617.89,-34809.10,-34809.10,0,-60728.70,-65163.53,0,0,-19886.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,16244177.19,159469497.50,117875814.29,86763751.12,50153768.51,129227933.96,118897147.51,77636822.86,39035181.51,118494647.38,88325921.51,57555871.91,9910862.88,-1836160.33,7164924.86,4322609.91,1348714.90,-3446383.15,3343486.02,2564485.42,1133042.57,6370489.31,8416435.61,5483386.17,2182365.12,-3165223.95,3064887.18,3031651.76,966433.66,-41126441.93,-10175694.29,-7598269.58,-2167575.91,8147738.34,11362895.74,7141729.05,3080869.58,8495524.81,7541474.11,2904496.79,2321798.19,3831919.01,918849.90,-341123.02,188647.68,-19782418.69,2264452.05,803659.07,157970.34,7669853.10,6402803.25,3742454.91,2067730.44,19208063.05,15292129.76,10991446.15,4218429.91,14793376.16,9383375.99,5467132.25,16847140.86,7176608.21,0.0
16,加:营业外收入,127800.00,1987294.25,4462748.51,4078857.62,525408.23,8813329.40,4532871.42,3736034.99,466202.31,36030850.88,8858736.94,6396862.96,695632.26,49487539.93,2798774.92,560958.95,558438.92,23366514.67,13091755.97,2537188.00,378128.54,16307802.72,13291249.00,3228677.66,2621840.82,27784341.96,17402704.85,4125495.75,2227296.33,5943357.59,9564669.91,8164675.78,5188672.31,5069891.43,3158783.98,2719816.04,1161283.39,4662579.74,6769585.12,4055312.62,194050.30,2684115.83,1215759.99,1027581.82,306852.92,2680454.03,2012433.75,1898361.20,942743.32,4350796.25,1053561.46,60473.90,17000.00,13300.00,4400.00,0,0,20300.00,14300.00,11260.00,2655.12,9204.00,0.0
17,减：营业外支出,2038531.08,1184907.96,215298.15,166071.59,74626.42,908061.49,197509.42,78933.05,6004.50,933680.46,930014.46,220884.65,16787.89,8247383.81,466063.77,197543.41,166646.58,729849.20,582494.62,372184.69,113929.94,1534310.87,997875.78,718182.90,95127.72,210190.49,204276.22,94063.12,30698.10,352588.16,351768.16,315845.85,23979.02,324758.11,283905.94,190304.06,84675.89,852944.91,2773342.66,297426.83,110389.90,907154.94,283487.38,155068.46,0,702514.77,233883.15,205459.99,12500.00,140057.15,32968.40,16065.33,14125.40,542526.33,111352.09,109526.54,92538.85,128352.75,82306.95,72306.95,43689.41,28238.34,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,230240.95,63341.50,0,5533867.65,0,109463.92,0,190491.18,184043.40,176733.47,0,763972.53,687606.27,411471.41,0,180171.51,0,25649.55,0,258804.54,0,239751.16,0,130574.59,0,66114.58,0,398863.66,0,227.89,0,454746.48,0,0,0,311041.36,0,0,0,0,0,0,4712.40,0,0,0,0,0,0,0,0,0,0.0
