,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,20061231,20060630,20050630,20041231,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,5638549427.06,4092906657.79,2557939281.38,1105310883.77,5171040734.56,3613561844.61,2286791775.79,976338577.38,4471555580.67,3112645184.13,2009969948.17,876980127.43,4453660598.12,3490711997.67,2154120557.41,970037341.08,4488098717.55,3091727763.18,1979475001.71,882722428.87,4136582015.11,3312263396.16,2232059507.15,1027328176.38,3999575359.35,3124915939.01,1914301091.82,847685059.31,3968736585.71,2940865383.71,1935305831.01,871179805.24,3775367869.95,2676713950.24,1691764290.19,763442567.11,3266405614.91,2290509241.57,1452106823.37,635439708.77,2729379811.69,1947632516.84,1212473495.75,537387823.46,2369412281.06,1970986526.59,1035799041.14,367278849.93,247359809.27,597150666.63,219601408.84,478527465.21,534121840.58,0.0
2,营业收入,5638549427.06,4092906657.79,2557939281.38,1105310883.77,5171040734.56,3613561844.61,2286791775.79,976338577.38,4471555580.67,3112645184.13,2009969948.17,876980127.43,4453660598.12,3490711997.67,2154120557.41,970037341.08,4488098717.55,3091727763.18,1979475001.71,882722428.87,4136582015.11,3312263396.16,2232059507.15,1027328176.38,3999575359.35,3124915939.01,1914301091.82,847685059.31,3968736585.71,2940865383.71,1935305831.01,871179805.24,3775367869.95,2676713950.24,1691764290.19,763442567.11,3266405614.91,2290509241.57,1452106823.37,635439708.77,2729379811.69,1947632516.84,1212473495.75,537387823.46,2369412281.06,1970986526.59,953909996.07,338205923.11,243725570.12,586851524.78,216170363.11,469336938.35,529897833.64,0.0
3,二、营业总成本,4372806953.53,2943308151.15,1860797703.81,832746198.03,4311338597.34,2539228982.66,1631980659.34,703178093.07,3297915505.58,2150545393.93,1435503593.88,674535208.65,3778206045.25,2466118624.36,1556543712.37,698445183.66,3400243097.28,2034150874.97,1329737736.47,644578075.91,3079404546.59,2078971399.12,1509664203.32,756487511.46,2597694147.41,1902425754.18,1128961810.22,493269445.56,2581350224.45,1900587265.70,1261779413.20,530110443.88,2563728673.16,1721862543.57,1014865970.54,454098744.97,2158399298.33,1387806863.83,881802907.20,392410766.15,1718090108.99,1122401833.58,620721085.75,231588887.44,1636785134.32,1213945426.42,1261962276.01,428357489.01,315555829.40,708853123.74,275840050.11,449158829.23,477771821.48,0.0
4,营业成本,3269285967.03,2277082030.38,1450547346.46,676613572.35,3011198491.24,1964564349.36,1267290214.25,552680770.31,2409940093.44,1633754719.36,1084707632.66,512341274.52,2779645236.10,1848875439.22,1124551279.99,521737846.74,2453053001.73,1529805506.12,1026653936.85,508941904.47,2268870487.21,1565665229.50,1120901467.73,577718444.65,1989181345.97,1583473137.65,964613934.38,461686952.01,2082425898.82,1501076112.23,1027343848.93,471675804.42,2009482252.22,1359844007.24,819936720.07,388010194.35,1578604004.82,1010078970.91,643969768.37,306200197.53,1325245193.72,857924572.67,527014519.16,245430512.89,1099693451.91,935362454.99,946869929.54,299448964.47,217208442.21,504196006.78,181209854.71,280999796.79,346110306.74,0.0
5,营业税金及附加,87183389.10,51669545.64,44192630.51,10524627.48,85690739.50,49713829.91,42891517.71,9468398.46,94044953.55,63038686.31,51089000.82,11565890.13,108850911.06,20897159.76,16465771.49,7649208.68,47396408.09,24501224.89,13352808.34,4726553.35,42307768.01,30635641.70,23371509.42,11274619.34,31531212.48,29422341.55,16211930.74,6932464.96,37355995.59,25429537.78,17707487.34,7462038.64,37083575.94,22002247.03,13748372.15,6602057.98,25504632.97,13003552.09,8873726.13,3695251.93,15778433.17,9649457.99,4377470.13,1642348.09,11771808.99,11185990.36,13006075.82,3034112.38,2593049.74,9211057.08,3282951.45,6200922.49,6050471.33,0.0
6,销售费用,153725116.24,78133299.62,46914338.81,21717422.69,136807279.49,65897876.43,42788239.44,19389691.28,156623084.83,71779052.28,42861400.49,19103531.62,158884075.11,70998046.29,46015737.68,17866836.83,187324742.87,86412046.74,52960151.82,15751051.69,142669658.93,53782439.03,31332073.67,13964754.77,58293135.12,40564387.18,26303314.62,12652379.68,55741630.77,41544070.32,26131888.01,12603634.33,50810608.98,34461089.18,22198355.72,10709113.44,43996877.27,30747270.97,19272075.05,9174945.19,38922697.27,26385729.56,17339920.85,8444802.50,34158596.10,21438519.96,19875931.33,10539214.56,7010222.56,6801823.85,3262319.38,6412337.77,4324013.74,0.0
7,管理费用,845469006.46,512562324.09,311796059.57,137641942.57,739466675.96,435060435.69,264214142.91,121069274.80,649230804.64,394641096.30,248744723.19,114784420.62,628630258.37,377927492.08,241698776.57,103642415.20,589264877.77,344182501.37,229191602.89,97482695.59,558457574.45,351703542.11,230120182.84,98027177.43,516211601.45,324519445.26,214064918.08,93462673.22,473325698.03,289625214.32,192016584.60,83302588.40,415752651.58,257855011.27,165900799.68,69208885.91,351845308.53,212312266.90,131416188.01,58771059.74,276118671.68,163931479.29,101048092.42,46729658.24,232767235.73,174613629.08,194071300.98,77781565.22,55106936.42,112790361.27,42889653.38,66979488.96,47568848.10,0.0
8,财务费用,12250273.82,22104130.59,6166228.06,-15290118.64,30189480.43,25796900.50,18511109.43,5640966.27,-4708115.12,-7756672.69,6299835.04,21189524.84,79514958.17,142737635.87,127890725.40,42718033.60,60296927.11,58996862.54,14487451.36,24657219.07,42953497.03,60017913.20,91866985.88,58240509.94,-140386338.19,-75793218.39,-100352000.83,-75997899.79,-84715748.10,30254064.40,-7608635.38,-45275046.54,14083796.38,42614416.13,-10510237.55,-19312549.21,152766181.06,133846223.11,69107997.32,12380192.05,58527349.31,65709318.55,-35253557.24,-70939602.45,237904614.42,53368527.59,88139038.34,37553632.38,33637178.47,75853874.76,45195271.19,88566283.22,73718181.57,0.0
