,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20010630,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,313993646.67,183245679.02,136398926.12,2403133.05,270159030.24,40052482.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,1532593.19,1827839689.19,17912940.05,5687202.55,1223129.26,175792323.02,12031157.93,8468505.91,-2236377.41,31577135.20,7284324.91,7264873.53,145912.20,499140768.55,38395375.74,12346317.49,1534679.82,60819462.65,37552704.58,37391657.53,27982078.21,298671544.31,1223949.54,3280484.95,783232.43,11111403.32,4097289.08,7180070.01,-2276276.51,30477102.10,6417643.81,6417643.81,0,3950367.05,2534975.58,2549862.38,0,94407785.63,-4025588.57,-4025588.57,-121948.54,124946773.91,-20083543.45,-20063380.68,0,21100297.00,10023074.25,10023075.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,-532000.00,-532000.00,-638500.00,-574000.00,507000.00,426850.00,294050.00,220150.00,187250.00,162250.00,162250.00,-227250.00,-59700.00,-161200.00,-1077450.00,890300.00,-102550.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-10362109.26,-11541296.83,-6619130.95,1448453.84,-20263891.59,-9640669.90,-4436708.58,1702226.43,-18793992.74,15731863.81,-12957651.14,-1330950.62,-5511655.78,-13002293.14,-10038970.45,2712575.44,8358562.37,-784744.22,2309107.60,4060963.92,37228824.95,20998513.26,25568685.67,-6262631.31,-6898463.53,-9105700.89,-6544562.07,-853025.93,23447665.35,1394015.99,3077550.67,1158897.13,32659113.56,27233691.31,24848224.70,3138397.05,19641212.48,-56314230.93,-34621238.67,-21010945.83,-66870605.03,-31036583.17,-19972019.27,0,-91035675.42,-39915585.76,-15408165.92,-1892466.16,7492892.00,2128973.85,2127332.00,867260.05,2131564.00,894990.50,675759.52,999891.61,-2532432.25,49895.35,35040.00,0,215892.51,8889.02,8889.02,8653.98,-3456.30,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-11158834.60,-11541296.83,-6619130.95,1448453.84,-20113111.99,-9489890.30,-4055205.58,2420355.38,-28584381.14,-20740686.89,-12253913.70,-1125433.88,-7247860.81,-13917133.06,-9724382.85,2799156.00,9414532.84,-480722.17,1098961.55,3773465.45,35381331.43,20949013.26,25519185.67,-6262631.31,-3607475.93,-9152450.89,-6591312.07,-853025.93,5283811.56,0,3040300.67,1158897.13,17317147.51,0,9506258.64,0,19620587.48,-56334855.93,-34641803.67,-21010945.83,-66919545.03,-31062323.17,-19997759.27,0,-91061415.42,-39941325.76,-15433905.92,-1892466.16,7437892.00,2073973.85,2072332.00,867260.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,253758907.35,-369421738.19,-311610870.65,-256464606.94,-3549855586.53,-912157595.59,-534425299.46,-364922518.89,-531473836.20,-78008187.24,-89899609.46,-34307943.59,152166697.24,226002213.85,124863951.07,54512379.72,-1293002983.83,-350371958.52,-175775099.96,-107572873.15,-558229716.85,-194658461.03,-230985911.81,-162491817.90,-1117563031.97,-381140978.42,-279529616.54,-136680598.28,-288653163.21,-133799027.22,-135635630.03,-160299484.02,3481684.63,264592962.34,61607471.64,22267766.11,114171040.73,231919776.15,298022302.09,275659131.12,367179493.16,291583341.91,81969546.42,6901239.78,257912183.13,523741694.08,414002791.58,198578309.62,796476767.00,654424347.91,484371321.00,244346100.69,262228091.00,155315604.13,103064285.46,32316236.16,86223951.35,74877407.82,52388555.93,24983272.01,123303713.27,82056667.22,52338016.91,25504895.39,103932031.43,73575111.47,50505714.01,24721684.69,72141455.13,51556557.79,33212947.92,63475353.27,31020762.15,42075885.37,28698496.92,0.0
16,加:营业外收入,6684366.63,9504603.71,3757136.93,1248528.71,12174439.58,5925358.13,3155163.35,2045613.16,56121245.04,229464538.97,121923162.76,10828064.63,102127140.10,94830527.33,72589543.89,69499503.89,25336760.12,13353065.04,4826290.63,1590224.81,371576560.91,270060498.49,266751624.34,76862922.12,92368097.99,126592300.08,59043547.51,971568.98,235865630.51,69800686.84,57691422.95,3990653.71,248978675.07,52362146.17,45265815.12,23781378.55,124959144.63,36923382.50,6788788.87,5278906.31,84289188.60,54517577.75,33055038.64,21562208.42,20986278.65,9353795.66,9158528.82,9866587.56,5727967.00,5362762.80,3383256.00,136405.12,745861.00,150387.04,150387.04,119814.00,206533.60,205703.60,205703.60,203303.60,146272.10,34828.74,34828.74,0,384668.17,384668.17,0,0,50000.00,50000.00,0,500.00,400.00,0,45994.20,0.0
17,减：营业外支出,14894067.97,3695028.65,2612913.10,1058774.30,72504155.22,3592457.75,1613616.47,228049.99,12346735.88,9982849.59,5351045.24,572594.05,20233459.99,16420972.34,1282517.33,506315.45,8610879.96,4249123.83,2159122.84,843322.05,9437537.63,1888105.37,1273981.19,812560.44,11875423.85,4134895.26,1126569.87,684897.13,9825457.23,4840633.77,1714223.75,464476.01,10174622.70,6793210.86,3961436.47,354664.00,2508902.11,1592853.36,1101576.25,70.00,12051753.15,711624.01,250082.53,231417.18,1309389.92,893950.13,189004.61,20974.54,6384929.00,3929159.65,656493.00,646417.65,799041.00,0,0,0,3178202.86,208774.53,77116.96,75170.15,697789.40,234953.88,130153.88,69642.05,1039581.49,171951.15,602432.18,69942.86,1306458.01,48956.40,36756.40,784313.29,33460.00,332777.29,444683.39,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,2598851.57,2552673.04,109920.04,16471386.18,14505317.15,0,0,6991637.88,142556.12,0,0,317482.98,231494.52,5300.42,5300.42,5509680.66,2500121.92,0,0,826484.91,726529.94,345664.05,340106.51,5314222.95,3767621.69,3491887.01,0,650035.35,22066.60,0,0,10987037.44,0,0,0,387249.45,9449.60,9449.60,9449.60,947242.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,245549206.01,-363612163.13,-310466646.82,-256274852.53,-3610185302.17,-909824695.21,-532883752.58,-363104955.72,-487699327.04,141473502.14,26672508.06,-24052473.01,234060377.35,304411768.84,196170977.63,123505568.16,-1276277103.67,-341268017.31,-173107932.17,-106825970.39,-196090693.57,73513932.09,34491731.34,-86441456.22,-1037070357.83,-258683573.60,-221612638.90,-136393926.43,-62612989.93,-68838974.15,-79658430.83,-156773306.32,242285737.00,310161897.65,102911850.29,45694480.66,236621283.25,267250305.29,303709514.71,280937967.43,439416928.61,345389295.65,114774502.53,28232031.02,277589071.86,532201539.61,422972315.79,208423922.64,795819805.00,655857951.06,487098084.00,243836088.16,262174911.00,155465991.17,103214672.50,32436050.16,83252282.09,74874336.89,52517142.57,25111405.46,122752195.97,81856542.08,52242691.77,25435253.34,103277118.11,73787828.49,49903281.83,24651741.83,70884997.12,51557601.39,33176191.52,62691539.98,30987702.15,41743108.08,28299807.73,0.0
20,减：所得税费用,209676096.33,72392056.34,41929535.77,2470452.91,555006698.40,-193492591.52,-114961072.18,-78639067.25,-22410521.19,40775546.43,20700471.25,-2254323.52,73246611.40,89802837.80,64916051.66,34852859.32,-157086148.57,-37448633.13,-5666676.31,-18623090.35,-17114776.71,38325254.15,24221722.57,-10638279.30,-175518578.26,-32497524.18,-22873231.36,-20987323.68,-173530170.62,943800.35,-11013304.22,-23414399.40,78050927.57,112734432.44,42371442.35,33443992.99,98339373.32,73895113.23,80902667.51,73688103.62,135990606.62,104068970.58,43161766.59,19729322.05,104965915.54,146925104.40,110963137.47,52104544.40,255917884.00,221988289.13,166139276.00,82564262.33,83692055.00,53896692.55,35647559.46,11180215.25,25191650.53,23379109.04,16840085.80,8071780.39,39152761.46,26177511.53,17240088.29,8393633.61,28935093.00,22871744.75,15278776.05,6656836.14,15412763.65,9007036.71,2941171.46,20790737.08,9982229.85,11229376.56,9338936.55,0.0
21,五、净利润,35873109.68,-436004219.47,-352396182.59,-258745305.44,-4165192000.57,-716332103.69,-417922680.40,-284465888.47,-465288805.85,100697955.71,5972036.81,-21798149.49,160813765.95,214608931.04,131254925.97,88652708.84,-1119190955.10,-303819384.18,-167441255.86,-88202880.04,-178975916.86,35188677.94,10270008.77,-75803176.92,-861551779.57,-226186049.42,-198739407.54,-115406602.75,110917180.69,-69782774.50,-68645126.61,-133358906.92,164234809.43,197427465.21,60540407.94,12250487.67,138281909.93,193355192.06,222806847.20,207249863.81,303426321.99,241320325.07,71612735.94,8502708.97,172623156.32,385276435.21,312009178.32,156319378.24,539901921.00,433869661.93,320958808.00,161271825.83,178482856.00,101569298.62,67567113.04,21255834.91,58060631.56,51495227.85,35677056.77,17039625.07,83599434.51,55679030.55,35002603.48,17041619.73,74342025.11,50916083.74,34624505.78,17994905.69,55472233.47,42550564.68,30235020.06,41900802.90,21005472.30,30513731.52,18960871.18,0.0
22,归属于母公司所有者的净利润,104360502.49,-203054008.90,-190978916.56,-151638228.66,-2544104924.55,-417394055.91,-232064914.17,-180043912.86,-189332707.36,137424557.13,64615211.39,3603804.96,57999172.96,173531381.42,145252241.65,112569758.98,-435672499.30,-123741543.97,-75353826.03,-44099340.26,42666051.61,163641760.07,142347176.98,27408364.99,-848637588.29,-227118110.09,-197352140.56,-118971277.69,58169958.04,-34379295.68,-42990121.53,-113432596.12,201253415.88,234103133.55,107405130.29,47754543.13,200800637.29,175098965.41,208664674.99,203530693.67,310399560.34,251102815.80,81677934.16,25948545.58,194583435.18,384872179.51,312204230.43,158561437.04,548289799.00,444229473.78,330423818.00,164224903.90,177504134.00,105147691.26,69773063.11,22245499.83,54739144.90,46787918.72,34647749.93,16636636.92,80748518.67,54469585.32,35002603.48,17041619.73,74342025.11,50916083.74,34624505.78,17994905.69,55472233.47,42550564.68,30235020.06,41900802.90,21005472.30,30513731.52,18960871.18,0.0
23,少数股东损益,-68487392.81,-232950210.57,-161417266.03,-107107076.78,-1621087076.02,-298938047.78,-185857766.23,-104421975.61,-275956098.49,-36726601.42,-58643174.58,-25401954.45,102814592.99,41077549.62,-13997315.68,-23917050.14,-683518455.80,-180077840.21,-92087429.83,-44103539.78,-221641968.47,-128453082.13,-132077168.21,-103211541.91,-12914191.28,932060.67,-1387266.98,3564674.94,52747222.65,-35403478.82,-25655005.08,-19926310.80,-37018606.45,-36675668.34,-46864722.35,-35504055.46,-62518727.36,18256226.65,14142172.21,3719170.14,-6973238.35,-9782490.73,-10065198.22,-17445836.61,-21960278.86,404255.70,-195052.11,-2242058.80,-8387878.00,-10359811.85,-9465010.00,-2953078.07,978722.00,-3578392.64,-2205950.07,-989664.92,3321486.66,4707309.13,1029306.84,402988.15,2850915.84,1209445.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.050000,-0.100000,-0.100000,-0.080000,-1.310000,-0.220000,-0.120000,-0.100000,-0.110000,0.080000,0.040000,0.002000,0.030000,0.100000,0.080000,0.060000,-0.250000,-0.070000,-0.040000,-0.025300,0.020000,0.090000,0.080000,0.020000,-0.550000,-0.150000,-0.130000,-0.080000,0.040000,-0.020000,-0.030000,-0.070000,0.130000,0.160000,0.070000,0.030000,0.150000,0.150000,0.180000,0.172000,0.470000,0.382000,0.120000,0.040000,0.300000,0.585600,0.475000,0.241200,0.880000,0.724900,1.261300,0.718300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.050000,-0.100000,-0.100000,-0.080000,-1.310000,-0.220000,-0.120000,-0.100000,-0.110000,0.080000,0.040000,0.002000,0.030000,0.100000,0.080000,0.060000,-0.250000,-0.070000,-0.040000,-0.025300,0.020000,0.090000,0.080000,0.020000,-0.550000,-0.150000,-0.130000,-0.080000,0.040000,-0.020000,-0.030000,-0.070000,0.130000,0.160000,0.070000,0.030000,0.150000,0.150000,0.180000,0.172000,0.470000,0.382000,0.120000,0.040000,0.300000,0.585600,0.475000,0.241200,0.880000,0.724900,1.261300,0.718300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000935.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,35873109.68,-436004219.47,-352396182.59,-258745305.44,-4165192000.57,-716332103.69,-417922680.40,-284465888.47,-465288805.85,100697955.71,5972036.81,-21798149.49,160813765.95,214608931.04,131254925.97,88652708.84,-1119190955.10,-303819384.18,-167441255.86,-88202880.04,-178975916.86,35188677.94,10270008.77,-75803176.92,-861551779.57,-226186049.42,-198739407.54,-115406602.75,110917180.69,-69782774.50,-68645126.61,-133358906.92,164234809.43,197427465.21,60540407.94,12250487.67,245053175.12,193355192.06,222806847.20,207249863.81,332427257.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,104360502.49,-203054008.90,-190978916.56,-151638228.66,-2544104924.55,-417394055.91,-232064914.17,-180043912.86,-189332707.36,137424557.13,64615211.39,3603804.96,57999172.96,173531381.42,145252241.65,112569758.98,-435672499.30,-123741543.97,-75353826.03,-44099340.26,42666051.61,163641760.07,142347176.98,27408364.99,-848637588.29,-227118110.09,-197352140.56,-118971277.69,58169958.04,-34379295.68,-42990121.53,-113432596.12,201253415.88,234103133.55,107405130.29,47754543.13,221462660.13,175098965.41,208664674.99,203530693.67,339400495.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-68487392.81,-232950210.57,-161417266.03,-107107076.78,-1621087076.02,-298938047.78,-185857766.23,-104421975.61,-275956098.49,-36726601.42,-58643174.58,-25401954.45,102814592.99,41077549.62,-13997315.68,-23917050.14,-683518455.80,-180077840.21,-92087429.83,-44103539.78,-221641968.47,-128453082.13,-132077168.21,-103211541.91,-12914191.28,932060.67,-1387266.98,3564674.94,52747222.65,-35403478.82,-25655005.08,-19926310.80,-37018606.45,-36675668.34,-46864722.35,-35504055.46,23590514.99,18256226.65,14142172.21,3719170.14,-6973238.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
