,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,888635876.13,554607620.33,245916019.12,1019238732.07,725145242.90,463358800.05,224989852.43,689099349.22,478478017.19,295680712.66,132299804.51,604860656.33,469739093.54,310828496.99,157047216.48,642432917.76,496915693.64,328321087.26,171626978.30,668688165.82,513380031.49,336324499.01,166949440.69,623302812.79,464275454.89,286575716.76,78517099.45,325358991.57,241114711.95,153393508.53,76044313.91,324214970.12,249506013.62,143733140.55,68922717.73,289442020.80,211107010.39,141500148.15,67430150.26,259893808.89,187907000.29,119477056.85,55432034.43,225372855.39,168078430.62,108376120.38,51451340.74,194783184.85,147564074.43,94877055.07,46336735.20,166737592.36,122802680.03,74358650.48,34365983.45,174299162.34,134486761.72,93167918.61,45494590.47,182345517.91,131320722.18,85020752.15,42235324.60,112927991.27,72687983.90,39791819.06,15921501.05,78918266.91,37437307.27,70141057.03,65653733.05,0.0
2,营业收入,888635876.13,554607620.33,245916019.12,1019238732.07,725145242.90,463358800.05,224989852.43,689099349.22,478478017.19,295680712.66,132299804.51,604860656.33,469739093.54,310828496.99,157047216.48,642432917.76,496915693.64,328321087.26,171626978.30,668688165.82,513380031.49,336324499.01,166949440.69,623302812.79,464275454.89,286575716.76,78517099.45,325358991.57,241114711.95,153393508.53,76044313.91,324214970.12,249506013.62,143733140.55,68922717.73,289442020.80,211107010.39,141500148.15,67430150.26,259893808.89,187907000.29,119477056.85,55432034.43,225372855.39,168078430.62,108376120.38,51451340.74,194783184.85,147564074.43,94877055.07,46336735.20,166239532.93,122944372.18,74627404.91,34497247.33,172993634.82,133407389.57,92284800.84,44765865.58,181193511.56,130354792.31,84489702.01,42071015.48,112337724.49,72275682.71,39528790.90,15927498.41,78507934.28,37192528.22,69244609.04,64694592.97,0.0
3,二、营业总成本,808806617.18,500979552.98,225924759.40,931770447.93,656585699.37,416210646.31,205706077.50,606192839.82,420749839.56,255400427.95,116724448.87,529186172.89,416655386.03,276480337.85,143019880.62,590338774.11,457463445.81,302134436.59,159185413.08,620805197.09,475754503.16,311713882.90,155644036.46,581808145.81,432685689.30,264128239.09,71650970.70,293922284.60,218189100.41,138227373.32,69438471.03,295755646.90,227941604.48,130108382.93,63766506.61,265924466.63,191734070.25,129084718.06,62778003.96,240847504.28,172207634.67,109983261.66,51741946.66,213267069.89,156410870.52,99993744.38,47966229.56,185510324.22,136539303.80,87380839.60,43067795.84,152401004.50,112641966.75,67467951.73,31159165.39,162008494.35,124872160.34,86126916.28,42408591.47,169391355.15,116903944.01,75806264.24,38022860.18,94087043.20,57182548.08,28880580.15,11908780.30,54768364.53,26204436.99,49870271.33,50957534.19,0.0
4,营业成本,335181192.27,185910409.26,82446057.97,320073933.16,244750511.77,163674949.04,85858984.33,214184026.48,160595764.66,105569617.58,47738506.24,251083507.02,209944425.72,146327463.03,73791986.73,276580510.61,228574978.71,150411760.35,82298829.45,320814279.56,260555400.37,173554004.59,85670363.77,334400891.65,252969852.52,152681467.72,33581323.55,148135371.89,110111182.56,69946033.02,35172633.19,163003987.97,133843615.78,69724554.79,34975190.27,148545736.93,107666207.45,75282417.77,36307053.26,133260088.79,93601369.59,60130024.47,28425863.16,117801292.82,86529923.10,56085057.07,26818705.14,103200851.36,78219216.96,50875687.35,26204322.89,86722092.70,63445463.29,37383653.99,15976705.68,98296290.44,77057182.65,56636695.94,27732572.69,114103707.49,81854591.87,54535062.59,27647622.03,65454517.12,40162713.41,18007710.94,6226842.29,31038963.74,13680577.82,28777178.84,33091639.19,0.0
5,营业税金及附加,6085331.54,4335592.82,1878482.35,13534267.63,9621310.27,6373973.07,3269246.26,10720125.78,7277040.05,4528268.45,1881435.01,8489213.54,6241476.38,3944799.59,2084208.53,8123575.61,6584103.48,4322448.47,2207869.03,8276468.06,6253179.83,3957639.46,1845517.95,7121479.05,5204613.98,3178635.08,947464.74,3977525.19,3003896.82,1811624.26,900731.53,3422125.29,2475261.99,1566132.80,700765.21,2786516.58,2022933.90,1258370.18,575423.51,2553101.97,1958615.25,1212879.52,577667.39,2359861.94,1790753.45,1054138.67,514870.24,1868357.02,1412061.07,900942.82,373618.19,1982521.21,1634641.40,1101805.80,270773.91,1293038.76,965987.76,476547.29,209313.90,590214.61,284221.14,77026.01,37809.64,414876.79,292251.53,264576.93,177273.74,1057280.83,435170.49,955087.22,589979.81,0.0
6,销售费用,362400493.78,241163347.76,105393449.30,483198876.30,323754030.62,201141720.19,90777075.26,301321411.78,183835942.31,103051475.74,43197881.34,206915343.98,147842075.86,92934179.96,45630922.85,237259286.75,167154634.55,109046354.78,55530931.80,230603752.70,155986178.57,98920524.00,48849091.74,181505478.87,128320849.31,77300749.17,28205515.30,115119254.82,82083276.36,51332339.13,25646089.96,101743217.60,70193571.51,44979245.01,21029383.49,85487238.15,56247718.13,38978176.09,16974387.92,79147504.50,57759549.58,36246695.74,15627157.33,65028934.65,44549305.62,26023933.59,11050071.04,64926283.60,44845153.18,27900007.45,12284141.60,48884369.45,34608879.68,20198415.20,8959394.74,49133467.64,36257660.44,22699690.24,10161690.20,39179858.20,24780476.90,15707122.39,7553760.93,16511286.26,8589994.79,4405613.89,2779641.00,13882301.53,7761714.36,12653485.32,9066109.76,0.0
7,管理费用,75418893.81,53041298.96,30354280.17,74370768.89,59044046.93,46989353.43,25099606.73,74792078.97,69002768.35,43351778.14,22505815.07,67131330.40,56070404.18,38069488.53,19175521.35,61278504.68,48095174.69,32899407.88,15319822.75,51674727.66,43924161.66,28404415.32,16311072.01,49767093.58,40529656.35,27540762.17,7674226.89,23946485.26,19977676.97,13683124.68,6195221.00,23229305.29,17789545.60,11525702.68,5864810.73,24803475.28,23096465.00,11670562.07,7790392.57,22871882.61,16964490.58,10854590.20,6391920.18,23594044.37,21229929.67,15367441.94,8683416.05,12830207.46,13003228.88,8703685.93,4699200.71,16430073.18,14564635.73,10122459.77,5617648.56,14912865.29,12487907.46,7801228.81,4100957.93,16715705.59,11344658.60,6992425.84,2799370.11,11488707.46,7506671.57,5682386.45,2338782.47,7509308.41,3562095.56,5930267.58,6673628.65,0.0
8,财务费用,3717988.10,1599014.69,1701632.17,-4093787.97,-3457290.24,-3490831.46,400607.83,-1528277.48,-2026934.93,-2930617.20,1079730.07,-5640058.04,-5484001.46,-6480355.36,1075559.10,4903493.42,3912904.81,2696252.38,1781043.54,7425589.53,5491830.84,3297398.44,2057161.52,5051721.77,3005196.40,1237376.24,427167.56,1464824.18,707065.93,-45048.18,722434.25,1917144.57,1404899.76,626612.42,348294.87,1447569.55,958437.65,463755.00,319755.27,382037.36,-365527.62,-573645.64,38311.60,832503.06,196415.42,-170505.25,94927.96,-1269864.24,-1478296.62,-1537424.28,-493487.55,-1618052.04,-1611653.35,-1338383.03,334642.50,-1627167.78,-1896577.97,-1487246.00,204056.75,-1198130.74,-1360004.50,-1505372.59,-15702.53,217655.57,630916.78,520291.94,386240.80,1280510.02,764878.76,1554252.37,1536176.78,0.0
