,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4013629156.87,2991864315.23,1990827740.54,948833709.55,3569477900.87,2674515373.73,1762755654.95,853967972.12,3186082088.33,2332029431.01,1499363379.64,675379218.20,2566548725.40,1879599314.70,1207185076.42,568093295.18,2120941423.13,1583986963.09,1034320863.00,491594390.08,2286086565.25,1732395986.67,1123466634.40,550565878.99,2148529367.49,1627669614.33,1039409752.80,494731074.52,1950506155.37,1456274494.18,937317351.48,484314888.62,2355650583.52,1827812423.74,1225229984.04,589866323.86,1654742364.83,1159625883.93,655534510.05,265463007.20,972433263.29,705167178.66,437840912.58,205225108.35,1058040418.40,840843142.89,531743514.70,232306115.62,866106345.23,635317230.52,406022934.53,193657680.31,718406079.92,536525246.26,705760588.04,438199366.24,0.0
2,营业收入,4013629156.87,2991864315.23,1990827740.54,948833709.55,3569477900.87,2674515373.73,1762755654.95,853967972.12,3186082088.33,2332029431.01,1499363379.64,675379218.20,2566548725.40,1879599314.70,1207185076.42,568093295.18,2120941423.13,1583986963.09,1034320863.00,491594390.08,2286086565.25,1732395986.67,1123466634.40,550565878.99,2148529367.49,1627669614.33,1039409752.80,494731074.52,1950506155.37,1456274494.18,937317351.48,484314888.62,2355650583.52,1827812423.74,1225229984.04,589866323.86,1654742364.83,1159625883.93,655534510.05,265463007.20,972433263.29,705167178.66,437840912.58,205225108.35,1058040418.40,840843142.89,531743514.70,232306115.62,866106345.23,635317230.52,406022934.53,193657680.31,718406079.92,536525246.26,705760588.04,438199366.24,0.0
3,二、营业总成本,3645026687.91,2718095773.32,1813375865.31,854426393.50,3176021268.86,2350697917.85,1549029194.60,764445020.16,2855269915.02,2067154479.99,1325574927.99,609241974.05,2288169104.20,1631174812.90,1046193486.71,493034731.63,1912564465.38,1403154149.20,913005594.66,435389511.94,2126508073.69,1589577183.15,1025567541.14,515677081.61,2055886022.57,1552393563.33,995073265.67,470657512.63,1864712755.86,1374134917.21,885861590.90,438752296.15,2145244898.24,1639355610.31,1093844332.18,517288193.55,1495843900.66,1061838924.65,608537541.17,240403236.92,818621311.52,593278113.72,370026375.76,183536986.51,956883660.64,766490164.92,483579781.45,211980649.16,777626828.59,570135335.96,362037937.99,171242254.50,637801268.82,476372250.78,653066881.76,406888792.43,0.0
4,营业成本,3236277697.79,2417021896.95,1616211557.28,754930291.51,2803544088.57,2066523607.28,1359861394.82,672312720.54,2465315856.27,1801869919.59,1151262988.26,530883586.64,1958210730.31,1421287197.12,915034295.56,430353641.36,1652200628.98,1237545221.83,807940755.36,382497469.69,1832045319.43,1398689438.82,898512775.90,449996627.67,1821033819.08,1398092336.74,894609418.20,421002014.50,1664731936.37,1231449989.13,780474892.21,395444042.99,1975416775.11,1517237481.17,1013966320.08,489340336.69,1379777462.61,983317474.02,555060834.92,212847638.93,733701030.19,538559062.17,329551393.09,156843585.48,859440637.21,692694817.48,445657957.35,196130468.41,710985441.19,519490414.07,329452586.42,156063811.99,567453126.35,430650663.65,583272312.60,358290257.72,0.0
5,营业税金及附加,23151461.24,22759646.52,15888851.12,7885828.02,15449593.02,10948436.32,6744328.98,4415352.60,15839218.19,10891840.08,5692332.95,3530188.66,15801312.89,5760829.03,3210725.45,2256583.91,6207490.38,4093960.94,2751172.44,1607253.90,7154575.48,5093752.01,3651086.21,2841572.90,7277333.29,3989301.16,904806.75,31903.09,1639319.94,1636532.18,1613563.30,283515.86,2616391.67,970140.07,338414.15,1194.89,4830.60,316.14,0,0,2847845.62,3047162.06,2000642.42,1044622.90,4783543.05,3444902.32,2519394.95,951873.52,3185312.89,2519413.43,1653889.91,818874.70,2708684.93,1816843.65,3826698.82,2227237.62,0.0
6,销售费用,111290152.45,82999974.20,52441332.78,24696330.51,102789144.98,78109457.29,50949339.50,27806622.33,105471234.00,57733527.04,48474172.82,22206357.67,84753857.15,47155198.59,32099542.69,16444369.79,65670991.08,44383505.67,28890830.91,15011044.64,55434304.33,40389947.03,25998505.88,12672301.00,43577461.34,31265427.56,19212697.23,9011875.89,42215689.89,30578077.55,20253834.97,10819444.19,40708087.48,30768228.65,20349834.39,9011778.11,30969927.83,20051921.82,11363185.36,5677186.39,18134640.91,12216629.12,9563248.93,5007558.93,16313698.09,13502394.06,8246030.48,4098087.03,11867087.02,9262217.62,5956430.99,2622386.59,10407192.17,7872730.29,8451391.03,9504548.36,0.0
7,管理费用,131512499.46,99941800.88,65677320.01,29283694.60,112598304.34,105474543.07,128936742.36,58045408.68,223450642.45,154705301.48,101523548.57,49589622.29,187323381.30,158873482.47,95462598.33,45483851.43,177905675.04,130036213.30,80894315.35,39885609.41,170316182.16,128100348.48,85236015.69,39548095.49,160603237.83,120057712.20,75853291.94,35069457.20,129410513.85,98160685.60,62214119.48,31255357.04,118928978.67,84513192.25,53126649.21,16738780.91,59335044.07,42139660.55,26288105.23,16547522.76,57566345.46,40666446.33,28858609.97,17463795.54,55716040.97,45383986.92,24614935.44,9983556.59,37330829.87,27564854.81,17866278.89,9038672.85,39262308.05,23326116.26,40890302.01,21634452.30,0.0
8,财务费用,21307203.85,11542249.09,8283427.04,5440331.03,-5793840.57,-6513402.38,1571170.23,3039166.55,34945533.58,38726855.18,15693601.77,3849742.28,-19405603.45,-2548522.15,-4421182.97,1545891.57,-13934629.37,-14299556.21,-9180322.21,-3554412.16,20840033.80,15337612.56,9964629.09,8620232.16,1098803.37,1982231.18,2429964.80,3257451.70,5721370.99,1656745.18,1460713.43,-582038.34,3382888.15,1786100.13,462626.74,-353111.02,19402981.83,13037050.50,13945483.81,4240522.47,2497019.81,-3146916.10,-1089051.31,3125273.42,9672053.98,9612754.59,2228704.95,181733.04,13331618.33,10477986.13,6288301.88,2618300.67,16355765.80,12705896.93,13447879.29,11070147.87,0.0
