,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1256238559.63,783534627.98,504527919.53,2830107369.35,2000989057.44,1414456820.62,1036930697.39,1558273466.43,1056819157.14,745487836.21,231209584.96,1402982637.54,875114354.53,723816794.91,323418936.19,1530017318.89,926946466.67,671227511.25,295228536.03,1943477804.90,760751055.72,553740175.48,235206671.63,1017170299.64,726059027.07,458307029.43,183897204.84,767166106.69,641889318.36,392321052.61,178697074.80,993973960.02,718377041.17,549562730.48,255967528.30,2198796464.66,1345720540.04,512918315.28,240011194.20,1043960407.31,713653980.71,534068885.89,221461948.67,831993556.83,701527900.15,579298632.99,352806708.05,764829580.84,439961918.96,111404346.82,25963210.56,178417904.15,135284308.52,73381859.32,18395841.18,249457716.34,212958362.29,131376995.65,41238380.66,385819091.63,307546932.13,184191463.57,63506146.21,410399193.51,319072908.84,178678693.34,50497340.94,413384847.43,330886592.34,203861067.18,61012678.00,391378078.51,190615381.34,416457724.61,213162742.07,399215376.74,179329586.25,389973493.50,363265417.65,367368623.66,0.0
2,营业收入,1256238559.63,783534627.98,504527919.53,2830107369.35,2000989057.44,1414456820.62,1036930697.39,1558273466.43,1056819157.14,745487836.21,231209584.96,1402982637.54,875114354.53,723816794.91,323418936.19,1530017318.89,926946466.67,671227511.25,295228536.03,1943477804.90,760751055.72,553740175.48,235206671.63,1017170299.64,726059027.07,458307029.43,183897204.84,767166106.69,641889318.36,392321052.61,178697074.80,993973960.02,718377041.17,549562730.48,255967528.30,2198796464.66,1345720540.04,512918315.28,240011194.20,1043960407.31,713653980.71,534068885.89,221461948.67,831993556.83,701527900.15,579298632.99,352806708.05,764829580.84,439961918.96,111404346.82,25963210.56,178410758.31,135216371.44,73429569.42,18405416.82,244892980.22,213258838.98,131643521.51,41267601.31,387451855.56,307780725.10,184266224.10,63506757.84,409451646.64,318854860.90,178408298.07,50520549.36,411304478.33,329784001.41,203474210.42,60710147.53,388819674.13,190112756.68,413814830.75,211529970.37,396331405.36,179397615.49,389143829.17,359257538.20,365868193.94,0.0
3,二、营业总成本,923532455.26,536139241.73,332896180.19,2175354480.05,1546265809.88,1144303344.90,858746484.30,1257190333.19,875242549.14,616073609.45,187037598.25,1278512518.94,785838194.67,650875222.97,298399032.77,1415926027.24,840674830.34,595201229.84,263182783.97,1570428941.45,655992740.83,469012720.72,200849587.65,938258470.83,613228514.92,378628609.43,153560662.66,675749451.22,545994406.71,315994744.28,145504806.58,829110523.22,580724482.08,431508140.27,196573103.27,1630746448.21,983556447.01,347178174.65,182554943.57,801370514.33,519998409.03,386684138.70,164828285.37,659350153.21,546257766.37,460346541.93,280007964.47,614412912.72,387742036.33,150613970.26,47385709.17,264686919.71,208741180.23,121837711.54,51044603.89,372186934.24,288721107.76,181880134.66,67002221.81,481754099.77,340821072.67,212673542.55,85220940.39,413439049.71,313390460.58,177526505.86,56615097.95,399655840.15,319788967.01,200473690.39,64621575.93,347164258.10,170362924.87,348184866.93,187923560.54,339860511.47,163415135.53,325860259.90,311418590.90,317342485.10,0.0
4,营业成本,667363789.93,327926209.00,209982000.61,1564310344.40,1195167216.29,940623524.99,732284873.97,970219141.05,654351832.20,443345630.47,138135788.32,1088670427.48,655297255.32,542972176.38,252791764.58,1135997716.88,682852342.79,478995660.59,209561409.14,1307644168.26,513741394.29,368282185.57,152262128.73,713287715.52,474096431.73,297624641.11,117415493.85,500459612.21,421966305.07,236550790.74,103508170.43,602070713.40,416615959.60,311038297.62,136868073.28,1215303645.30,698707988.37,236138779.87,127641290.81,626463408.70,399987421.72,308927882.54,129425102.45,529689358.42,459007440.07,392582529.75,236569721.55,481208670.15,285090379.55,98864514.61,25580939.99,194350145.65,145331061.96,84502647.37,29145115.08,255696855.83,219354872.92,139252669.91,47393463.54,352026430.48,264598956.91,167133457.32,62783083.02,324911547.51,246497123.94,142810668.34,42722996.66,308442372.88,247743404.72,153735900.66,48142638.04,282479137.91,138272439.95,292441591.20,156051873.33,283315164.09,132142778.26,267050009.28,258723996.92,264654347.47,0.0
5,营业税金及附加,179743845.69,150713235.88,99095931.10,305681982.76,183307803.70,108579538.82,81046225.01,151031496.72,133905495.09,122707781.30,26492145.77,92231611.09,64471593.00,59866798.37,28479845.62,154973623.55,87698520.11,68340156.24,29474413.44,132580457.16,63632269.70,47844756.88,20665726.48,124804129.25,72619575.08,41172209.73,14654894.97,64323272.81,52031712.86,32201816.83,14820613.87,92552077.84,66761969.79,50825977.22,25664030.35,153270555.39,63561445.30,44354599.61,17544372.65,90848384.39,65355087.58,41813109.61,18916794.81,58472413.44,49276511.63,40015926.01,24071610.47,41622726.71,19401116.29,441805.03,0,739919.48,590806.74,205258.84,0,1990817.37,1675555.65,851856.46,251997.39,2910327.08,2418773.14,1385135.40,415106.91,3464323.31,2925288.62,1612661.01,325818.59,3587780.68,3113960.29,1976145.30,471553.73,3353122.99,1289659.08,3555278.53,1935169.28,3331024.90,1364266.79,2902411.79,2928304.27,3131340.12,0.0
6,销售费用,56780533.05,41613712.07,15241644.00,167300386.36,90271737.11,42745726.72,19296263.74,44612884.05,29872801.93,12368853.49,5680528.88,28843720.89,23036150.03,15355907.09,5107069.14,30064920.98,21541695.42,16016894.54,7751450.86,41745195.08,26964071.43,16044594.60,7926282.99,26265810.96,17018466.02,10959530.02,4403759.43,24247353.84,15248442.72,10506887.30,4794545.32,29532132.75,22294796.19,13592605.08,7120486.79,35825502.87,26720920.47,18255208.24,7993875.75,29157927.05,21018999.46,13060153.55,4594442.31,13610914.06,7578649.30,4557094.31,2485979.63,26995320.33,22560566.97,9459438.35,2666496.12,13362226.08,11370796.59,6383139.99,1602454.71,23575037.55,19881357.40,12652699.15,4900745.29,35484311.32,28540661.97,18454452.96,7071380.08,33647605.46,26439294.30,15431987.26,5281636.02,32926224.75,26721038.65,17922314.42,7241690.11,33395775.21,18493814.10,32989822.94,18508976.31,36650450.38,18722085.91,34064779.97,29290996.49,32061548.95,0.0
7,管理费用,44458355.58,27325477.59,10447560.45,92230248.41,60928732.13,59734184.50,28891646.63,89352495.77,55442934.97,35471362.57,17553379.44,57421009.74,34716910.53,22991722.73,8502801.59,59900783.81,35672458.88,24265243.36,11645606.69,66942333.49,46348288.98,31960852.42,19294511.65,61201252.87,42026915.44,27644367.30,15036436.58,56567294.61,43527538.19,31169079.52,19426733.93,72059624.32,62002790.51,44145707.35,25500336.81,68716420.63,47883732.82,31563865.38,19915661.93,37632188.80,26397666.94,17820951.83,10107909.64,27102767.97,20798434.17,14805379.10,8730011.98,45438579.50,40360529.71,22705416.44,11333668.20,28082023.43,30710190.17,18227575.35,11393790.72,66029883.17,28928265.56,16532861.68,8157851.17,68143211.03,28083353.62,17620165.65,9559777.66,57478640.52,30189233.09,17444739.06,8133732.36,31699650.95,24927256.58,16964194.34,8069578.59,19640799.28,10886002.06,17844837.94,10185023.02,16349359.38,6701767.70,10796481.39,10836498.30,11309150.03,0.0
8,财务费用,-24814068.99,-11439392.81,-3113609.66,-23524513.87,-23233575.82,-12561743.68,-6213798.69,-10668992.18,-7102262.18,-3819991.81,-1320357.72,1476327.95,3821885.84,5269454.55,3389251.84,10162623.17,-1021464.20,-985329.44,154254.81,1998515.91,-459252.23,670393.27,820511.29,2326137.08,1485636.97,1238850.00,2245865.02,13417065.29,8779801.69,4373655.72,1623980.28,6333582.44,1494389.33,1403200.85,670121.71,7615364.16,7752188.89,4059012.50,2803060.36,663632.87,-393039.99,-173059.14,-191943.15,-841520.93,-188420.99,-313013.51,-46929.11,17559208.29,16808507.90,14087786.97,7804604.86,28152605.07,20738324.77,12519089.99,8903243.38,24894340.32,18881056.23,12590047.46,6298164.42,23189819.86,17179327.03,8080331.22,5391592.72,-6063067.09,7339520.63,226450.19,150914.32,22999810.89,17283306.77,9875135.67,696115.46,8295422.71,1421009.68,1353336.32,1242518.60,214512.72,4484236.87,11046577.47,9638794.92,6186098.53,0.0
