,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,39052741.38,11185778.57,6591190.02,3287762.92,30847611.80,20143286.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,565113.50,7464462.81,2950508.56,3001128.89,1010453.48,24584693.46,-51424.19,-99112.61,-1379242.81,50745985.21,1778723.75,1444771.56,863496.93,37644530.76,2524730.77,895608.11,7362.11,28061010.25,2919567.33,2586656.79,50868.15,13376225.03,5681265.14,3888535.52,1339440.70,1754431.70,-397316.03,486155.64,-1192472.13,552202.38,1303798.06,1352098.22,367357.13,-538798.31,1941452.13,1395169.55,-88143.27,3254136.58,2730034.19,562725.34,-42696.58,2899169.90,3089734.24,585379.10,146381.52,1778693.65,1701930.32,1100312.80,0,65137.64,227923.52,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-146287.49,-146287.49,0.00,520367.27,155119.36,-142524.63,-24692.31,412025.56,82493.40,-158778.72,-109219.48,577465.34,-34255.10,-233149.59,-51709.24,81064.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-146287.49,-146287.49,0.00,520367.27,155119.36,-142524.63,-24692.31,412025.56,0,0,-109219.48,577465.34,0,0,0,81064.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,108619154.60,53106297.58,28497313.85,6970151.49,91135545.30,50694511.55,26541315.33,5651916.02,71242486.59,22633771.81,7709541.61,449520.61,1280456.96,-2032571.69,-1239329.43,348580.97,24351299.80,-7985077.80,3470685.09,2475739.26,-14385919.28,-8262652.16,-5198010.96,-899593.55,-17447927.10,-6121250.75,-3221973.06,-1592036.20,28566305.16,67275098.73,31063056.38,-3082693.07,34864052.19,57547632.70,32485944.36,1542951.45,95257064.22,63620254.57,32956711.04,-498897.06,78135272.63,57215925.06,27756506.14,1694581.71,59351225.07,52965524.74,35426329.18,215970.44,37836725.01,35037196.37,12827203.29,869232.89,46832174.25,36136343.48,0.0
16,加:营业外收入,159416.06,150162.74,162855.58,83647.74,84837.14,91415.95,41190.52,3394.00,618563.39,9172984.17,6186577.42,2826179.23,52262519.90,7557742.88,5317555.12,1998891.16,24890417.47,3963194.59,2577141.47,1387797.81,19394373.68,13446000.57,8033372.04,3013729.59,18995596.45,9176860.56,6019971.48,4693512.99,15346491.00,7818243.52,6152426.01,3905250.00,29877879.16,16395457.16,6127211.38,1097898.93,8687295.14,6870198.29,2439198.29,2636198.29,7826560.43,4318791.88,3101891.88,1202673.67,10506699.77,5009573.18,2789808.23,2697671.49,15227454.87,8794479.45,774479.45,5000.00,501981.20,0,0.0
17,减：营业外支出,79398.59,46194.75,40662.59,40026.73,68684.42,62338.71,49719.24,30649.83,2774498.34,1055768.29,957822.52,491322.61,302368.75,428623.10,125725.64,55175.25,38269008.83,71909.29,68419.29,16866.07,1546119.47,1513397.73,1458986.20,1441702.41,478045.93,384513.02,221198.38,2632172.40,204854.94,139428.38,22550.41,11223.76,404995.49,107335.54,79960.47,3001.00,225288.58,193551.58,132838.80,57665.95,1457542.72,642228.62,311862.33,26059.30,3051452.46,231247.13,218502.63,0,2759450.04,166248.82,82142.00,16949.05,2085210.97,587891.93,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,641148.74,543202.97,385534.86,205931.89,180737.82,100771.88,0,616286.13,53157.31,49667.31,16743.25,1530460.95,1443468.88,1443468.88,1441702.41,244380.10,165620.24,62305.60,2632172.40,204354.94,139428.38,22550.41,11223.76,398502.70,101116.56,76359.47,0,153938.19,110713.67,88491.44,57665.95,822348.44,504180.61,0,4826.63,75152.44,30667.13,18502.63,0,1093336.39,106120.17,22013.35,0,8229.33,29741.89,0.0
