,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,57701662.15,38108122.38,18676233.16,82865887.01,59872203.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,10744070.12,6958747.27,6958816.77,0,14879333.19,11742077.63,11797780.91,0,7870865.63,5802294.57,5802294.57,0,7281646.91,682723.00,688207.62,0,8071975.55,4178648.71,4144941.86,-149.83,10976856.94,1957584.44,1962756.05,-76899.55,9818482.39,1264949.16,76296.66,0,-519430.83,-1923554.30,-1923380.66,0,3689911.23,2089007.14,2088961.04,0,6966712.98,1679868.44,1679868.44,0,1640947.08,253013.75,253013.75,0,223686.60,528648.00,528648.00,0,0,1101366.35,0,0,0,0,0,0,0.0
11,公允价值变动收益,-2941986.71,-119295.90,1126371.38,-4037490.72,-22128739.92,-11586613.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-813723.70,-349427.14,-60500.08,364490.16,-993704.49,-627529.02,418968.87,1475.13,1479779.80,2022596.58,751174.28,461299.53,2262545.00,3052282.45,0,549792.61,0,0,98500.00,-652050.00,-268900.00,-268900.00,-247150.00,247150.00,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,6009934.84,3062312.02,410434.14,-21935643.75,-2334247.85,295270.00,-1008760.92,-1282449.68,365740.33,1127712.87,-293797.08,19306608.33,21997881.21,19831256.98,724712.86,3400641.53,-2522735.40,-2052439.16,-1121667.66,-1310925.25,-87653.84,-426003.23,-392715.12,52408.61,-2877731.10,-2856680.90,-429700.17,26582024.44,26263379.03,26430342.40,19561077.28,39743956.52,17888319.77,11024215.21,10188183.74,12936463.98,2731176.53,2222157.72,0,4325629.91,2605898.79,2605898.79,175689.96,-7898607.98,671166.77,671166.77,571784.20,129188.60,-334116.16,-334116.16,-41929.92,-981923.88,114135.18,114135.18,0,176300.00,-7110.95,99039.02,-663819.08,0.0
13,其中:对联营企业和合营企业的投资收益,-2010958.63,-2204075.38,-2398565.11,-2228231.33,-1411236.34,-1160107.05,-1438099.11,-6921137.33,2770561.58,-2702398.09,-1690807.96,-7484876.96,-3323041.87,-1335435.20,-1048238.48,-3657774.67,-2522735.40,-2052439.16,-1121667.66,-1310925.25,-87653.84,-426003.23,-392715.12,-3947591.39,-2877731.10,-2856680.90,-429700.17,-58333.65,-376979.06,-438922.72,-438922.72,7844650.56,17288319.76,11024215.21,0,6605613.10,0,0,0,3839146.17,0,0,0,0,0,0,0,0,0,16501761.97,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,139474260.88,74694185.49,31527451.34,150115300.46,114233954.89,68931523.28,26376974.22,168942746.44,124018338.89,76771336.44,28911886.61,149968954.90,105032938.53,66729979.46,15703068.85,19468111.00,10755629.42,4142704.32,3047954.56,41393741.49,32028702.73,13897088.81,1542618.63,28858249.86,27142563.80,14602306.52,1681859.57,10578730.74,17324354.96,24204416.26,15167280.23,69796589.74,58121709.34,42414879.51,25386229.03,87942007.08,64856831.23,47504463.17,20933049.20,38365201.76,25305055.77,10826371.71,2714934.01,17613027.53,20894606.42,7843948.27,1575656.67,24674479.85,21116156.86,16501761.97,5962843.69,34943712.55,27675311.43,21631106.46,11914070.01,32868026.09,20146795.42,33811875.62,49526399.81,0.0
16,加:营业外收入,1991119.53,30576.00,24543.48,528865.59,429234.14,350989.48,0,5149487.64,5572227.70,5553701.41,625262.02,6492448.08,3374594.36,2617824.11,1159886.04,5861045.96,2287885.81,1373871.84,788758.86,9768183.91,5012859.14,3622734.73,1256288.82,11517484.74,6427549.89,3165173.27,1851120.20,7149483.48,6290041.21,3521427.60,1518054.31,11352579.30,4530724.31,3300037.89,1419747.81,6266199.20,3981602.93,3157714.78,1247858.81,4532696.35,3111295.14,2878022.44,2538632.44,1787826.90,1221210.42,683860.42,640500.00,4234995.54,3284020.32,1274020.32,1156620.32,11600.51,2584990.00,3500.00,110000.00,1470297.66,39727.00,1000.00,966.28,0.0
17,减：营业外支出,928851.70,537799.38,277166.93,1529802.55,1336744.39,874597.05,314076.37,565388.58,981897.42,102034.48,28529.95,4150970.07,1277488.98,1174887.98,216688.80,1667603.14,692009.61,342134.61,217824.41,1948042.18,1010864.14,762925.13,317945.45,502485.35,400278.67,387120.09,260849.72,840329.12,587169.14,368799.07,104080.86,1046857.85,895322.01,394662.67,237398.88,12455877.90,6203751.71,5895375.75,74573.03,714173.41,261668.82,143329.91,109460.31,41465.24,42265.24,0,0,52084.98,31580.41,7753.91,6953.91,51955.83,26836.47,16824.60,8502.40,101626.67,29927.91,125072.69,191319.93,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,61137.05,60537.05,0,498854.04,236987.90,238152.20,130585.51,1110083.50,466397.99,168152.01,166806.01,1008246.11,736672.06,511317.45,0,411309.60,322692.53,321942.53,0,609378.74,0,335279.04,0,385370.26,0,34224.49,0,1096508.42,0,0,0,660401.10,0,0,0,41458.81,42258.81,0,0,36681.07,23826.50,0,0,0,0,0,0,0,0,0,0,0.0
